RNA-DMSO-1	RNA-DMSO-2	RNA-DMSO-3	RNA-TPG-1	RNA-TPG-2	RNA-TPG-3
TARDBP|ENSG00000120948.19|chr1	553	413	514	422	483	386
MASP2|ENSG00000009724.18|chr1	0	0	0	0	0	0
SRM|ENSG00000116649.10|chr1	627	503	394	706	590	591
EXOSC10|ENSG00000171824.14|chr1	132	141	106	133	159	155
MTOR|ENSG00000198793.14|chr1	150	130	144	131	121	110
ANGPTL7|ENSG00000171819.5|chr1	0	0	0	0	0	0
UBIAD1|ENSG00000120942.14|chr1	420	395	399	481	494	432
DISP3|ENSG00000204624.8|chr1	4	0	0	0	0	0
FBXO2|ENSG00000116661.11|chr1	0	0	0	0	0	0
FBXO44|ENSG00000132879.14|chr1	48	49	31	34	57	48
MAD2L2|ENSG00000116670.16|chr1	80	103	98	126	109	117
FBXO6|ENSG00000116663.11|chr1	8	7	0	11	17	1
DRAXIN|ENSG00000162490.7|chr1	3	8	0	8	9	0
AGTRAP|ENSG00000177674.16|chr1	89	66	78	40	116	67
C1orf167|ENSG00000215910.8|chr1	0	0	0	0	0	0
MTHFR|ENSG00000177000.13|chr1	208	128	162	135	99	148
CLCN6|ENSG00000011021.23|chr1	33	23	37	35	21	26
NPPA|ENSG00000175206.11|chr1	0	0	0	0	0	0
NPPB|ENSG00000120937.9|chr1	6	4	0	9	0	3
KIAA2013|ENSG00000116685.16|chr1	478	348	348	254	344	214
PLOD1|ENSG00000083444.17|chr1	117	88	82	87	85	86
MFN2|ENSG00000116688.18|chr1	534	334	399	542	457	455
MIIP|ENSG00000116691.11|chr1	55	27	33	59	30	41
TNFRSF8|ENSG00000120949.15|chr1	0	0	0	0	0	0
TNFRSF1B|ENSG00000028137.19|chr1	5	0	0	0	0	0
VPS13D|ENSG00000048707.15|chr1	55	74	94	56	49	47
DHRS3|ENSG00000162496.9|chr1	54	64	51	67	84	58
AADACL4|ENSG00000204518.3|chr1	0	0	0	0	0	0
AADACL3|ENSG00000188984.12|chr1	0	0	0	0	0	0
CFAP107|ENSG00000157330.10|chr1	0	0	0	0	0	0
PRAMEF12|ENSG00000116726.5|chr1	0	0	0	0	0	0
PRAMEF1|ENSG00000116721.9|chr1	0	0	0	0	0	0
PRAMEF11|ENSG00000239810.3|chr1	0	0	0	0	0	0
HNRNPCL1|ENSG00000179172.10|chr1	0	0	0	0	0	0
PRAMEF2|ENSG00000120952.4|chr1	0	0	0	0	0	0
PRAMEF4|ENSG00000243073.4|chr1	0	0	0	0	0	0
PRAMEF10|ENSG00000187545.5|chr1	0	0	0	0	0	0
PRAMEF7|ENSG00000204510.6|chr1	0	0	0	0	0	0
PRAMEF6|ENSG00000232423.6|chr1	0	0	0	0	0	0
PRAMEF27|ENSG00000274764.6|chr1	0	0	0	0	0	0
HNRNPCL3|ENSG00000277058.3|chr1	0	0	0	0	0	0
PRAMEF25|ENSG00000229571.7|chr1	0	0	0	0	0	0
HNRNPCL2|ENSG00000275774.3|chr1	0	0	0	0	0	0
PRAMEF26|ENSG00000280267.6|chr1	0	0	0	0	0	0
HNRNPCL4|ENSG00000179412.11|chr1	0	0	0	0	0	0
PRAMEF9|ENSG00000204505.5|chr1	0	0	0	0	0	0
PRAMEF13|ENSG00000279169.3|chr1	0	0	0	0	0	0
PRAMEF18|ENSG00000279804.3|chr1	0	0	0	0	0	0
PRAMEF5|ENSG00000270601.5|chr1	0	0	0	0	0	0
PRAMEF8|ENSG00000182330.11|chr1	0	0	0	0	0	0
PRAMEF33|ENSG00000237700.2|chr1	0	0	0	0	0	0
PRAMEF15|ENSG00000204501.7|chr1	0	0	0	0	0	0
PRAMEF14|ENSG00000204481.8|chr1	0	0	0	0	3	0
PRAMEF19|ENSG00000204480.9|chr1	0	0	0	0	0	0
PRAMEF17|ENSG00000204479.4|chr1	0	0	0	0	0	0
PRAMEF20|ENSG00000204478.11|chr1	0	0	0	0	0	0
LRRC38|ENSG00000162494.6|chr1	0	0	0	0	0	0
PDPN|ENSG00000162493.17|chr1	108	65	116	82	71	102
KAZN|ENSG00000189337.17|chr1	0	0	1	2	0	8
TMEM51|ENSG00000171729.14|chr1	207	170	150	216	191	177
FHAD1|ENSG00000142621.21|chr1	0	0	0	0	0	0
EFHD2|ENSG00000142634.13|chr1	32	38	32	39	33	54
CTRC|ENSG00000162438.12|chr1	0	0	0	0	0	0
CELA2A|ENSG00000142615.8|chr1	0	0	0	4	0	0
CELA2B|ENSG00000215704.10|chr1	0	0	0	0	0	0
CASP9|ENSG00000132906.18|chr1	64	32	64	66	80	64
DNAJC16|ENSG00000116138.13|chr1	226	189	214	216	292	257
AGMAT|ENSG00000116771.6|chr1	1	0	0	0	0	0
RSC1A1|ENSG00000215695.2|chr1	32	57	36	53	47	31
PLEKHM2|ENSG00000116786.13|chr1	91	51	88	91	99	53
SLC25A34|ENSG00000162461.8|chr1	0	0	0	1	8	2
TMEM82|ENSG00000162460.7|chr1	0	0	0	0	0	0
FBLIM1|ENSG00000162458.13|chr1	138	75	65	70	94	58
SPEN|ENSG00000065526.12|chr1	1648	1260	1345	2064	2258	2126
ZBTB17|ENSG00000116809.12|chr1	54	56	58	94	99	47
SRARP|ENSG00000183888.4|chr1	0	0	0	0	5	0
HSPB7|ENSG00000173641.18|chr1	0	0	0	0	0	0
CLCNKA|ENSG00000186510.12|chr1	0	0	0	0	0	0
CLCNKB|ENSG00000184908.20|chr1	0	0	0	0	0	0
FAM131C|ENSG00000185519.9|chr1	4	6	0	0	0	3
EPHA2|ENSG00000142627.13|chr1	414	254	247	594	440	513
ARHGEF19|ENSG00000142632.17|chr1	16	16	5	31	29	23
CPLANE2|ENSG00000132881.12|chr1	3	0	8	7	1	14
FBXO42|ENSG00000037637.11|chr1	135	95	129	158	113	121
SZRD1|ENSG00000055070.17|chr1	432	309	267	390	341	334
SPATA21|ENSG00000187144.11|chr1	0	0	0	0	0	0
NECAP2|ENSG00000157191.20|chr1	229	211	228	209	281	256
NBPF1|ENSG00000219481.11|chr1	0	0	0	0	0	0
CROCC|ENSG00000058453.17|chr1	83	48	58	71	42	72
MFAP2|ENSG00000117122.14|chr1	0	0	0	0	0	0
ATP13A2|ENSG00000159363.19|chr1	14	10	0	8	15	14
SDHB|ENSG00000117118.10|chr1	383	318	266	269	347	272
PADI2|ENSG00000117115.13|chr1	3	6	1	0	0	9
PADI1|ENSG00000142623.11|chr1	0	0	0	0	0	0
PADI3|ENSG00000142619.4|chr1	0	0	0	0	0	0
PADI4|ENSG00000159339.13|chr1	0	0	0	0	0	0
PADI6|ENSG00000276747.1|chr1	0	0	0	0	0	0
RCC2|ENSG00000179051.14|chr1	6	4	10	12	12	15
ARHGEF10L|ENSG00000074964.17|chr1	32	10	15	54	48	18
ACTL8|ENSG00000117148.8|chr1	23	6	3	9	3	9
IGSF21|ENSG00000117154.12|chr1	0	0	0	0	0	0
KLHDC7A|ENSG00000179023.9|chr1	0	2	0	4	0	5
PAX7|ENSG00000009709.12|chr1	0	0	2	0	8	0
ALDH4A1|ENSG00000159423.17|chr1	64	50	39	42	20	47
IFFO2|ENSG00000169991.11|chr1	44	51	71	45	71	56
UBR4|ENSG00000127481.15|chr1	139	124	112	152	210	171
EMC1|ENSG00000127463.16|chr1	110	90	79	131	154	149
MRTO4|ENSG00000053372.5|chr1	1147	951	969	1104	1246	1084
AKR7L|ENSG00000211454.16|chr1	5	0	3	0	3	13
AKR7A3|ENSG00000162482.5|chr1	14	0	10	11	0	10
AKR7A2|ENSG00000053371.13|chr1	174	112	136	183	149	157
SLC66A1|ENSG00000040487.13|chr1	89	41	42	58	50	54
CAPZB|ENSG00000077549.19|chr1	542	522	542	523	385	428
MICOS10|ENSG00000173436.15|chr1	248	167	232	153	238	185
NBL1|ENSG00000158747.15|chr1	55	19	32	25	43	22
HTR6|ENSG00000158748.4|chr1	0	1	1	0	0	0
TMCO4|ENSG00000162542.14|chr1	1	6	0	5	13	2
RNF186|ENSG00000178828.7|chr1	0	0	0	0	0	0
OTUD3|ENSG00000169914.6|chr1	148	119	130	126	105	126
PLA2G2E|ENSG00000188784.4|chr1	0	0	0	0	0	0
PLA2G2A|ENSG00000188257.12|chr1	0	0	0	0	0	0
PLA2G5|ENSG00000127472.11|chr1	0	0	0	0	0	0
PLA2G2D|ENSG00000117215.15|chr1	0	2	0	0	0	0
PLA2G2F|ENSG00000158786.5|chr1	0	0	0	0	0	0
PLA2G2C|ENSG00000187980.7|chr1	0	0	0	0	0	0
UBXN10|ENSG00000162543.6|chr1	0	0	0	0	0	0
VWA5B1|ENSG00000158816.16|chr1	0	0	0	0	0	0
CAMK2N1|ENSG00000162545.6|chr1	220	134	205	147	173	196
MUL1|ENSG00000090432.7|chr1	320	182	166	296	245	255
FAM43B|ENSG00000183114.8|chr1	10	4	3	0	0	2
CDA|ENSG00000158825.6|chr1	5	0	0	2	0	2
PINK1|ENSG00000158828.8|chr1	148	140	127	130	141	65
DDOST|ENSG00000244038.11|chr1	154	151	119	160	207	177
KIF17|ENSG00000117245.13|chr1	8	9	0	10	3	8
SH2D5|ENSG00000189410.12|chr1	29	22	30	17	38	21
HP1BP3|ENSG00000127483.19|chr1	484	397	538	512	542	421
EIF4G3|ENSG00000075151.24|chr1	359	358	433	346	451	344
ECE1|ENSG00000117298.16|chr1	145	141	70	115	159	85
NBPF3|ENSG00000142794.19|chr1	51	37	9	47	35	26
ALPL|ENSG00000162551.14|chr1	0	2	0	4	6	0
USP48|ENSG00000090686.16|chr1	83	105	105	88	124	76
LDLRAD2|ENSG00000187942.12|chr1	0	0	0	0	0	0
HSPG2|ENSG00000142798.20|chr1	4	8	1	11	0	2
CELA3B|ENSG00000219073.8|chr1	0	0	0	0	0	0
CELA3A|ENSG00000142789.20|chr1	0	0	0	0	0	0
ENSG00000289694|ENSG00000289694.1|chr1	75	37	29	31	59	22
CDC42|ENSG00000070831.18|chr1	971	842	767	748	814	742
WNT4|ENSG00000162552.15|chr1	0	0	2	0	0	2
ZBTB40|ENSG00000184677.18|chr1	176	79	118	113	106	121
EPHA8|ENSG00000070886.12|chr1	0	0	0	0	2	5
C1QA|ENSG00000173372.18|chr1	0	0	0	0	0	0
C1QC|ENSG00000159189.13|chr1	0	0	0	0	0	0
C1QB|ENSG00000173369.18|chr1	0	0	0	0	0	0
EPHB2|ENSG00000133216.17|chr1	11	37	21	26	8	4
TEX46|ENSG00000227868.7|chr1	0	0	0	0	0	0
KDM1A|ENSG00000004487.18|chr1	129	132	133	137	134	78
LUZP1|ENSG00000169641.14|chr1	175	159	145	169	147	120
HTR1D|ENSG00000179546.5|chr1	8	5	1	7	0	0
HNRNPR|ENSG00000125944.21|chr1	0	3	1	3	0	1
ZNF436|ENSG00000125945.15|chr1	0	0	0	0	0	0
TCEA3|ENSG00000204219.11|chr1	0	0	0	0	0	0
ASAP3|ENSG00000088280.20|chr1	0	0	0	0	0	0
E2F2|ENSG00000007968.7|chr1	0	0	0	0	0	0
RPL11|ENSG00000142676.14|chr1	263	183	219	178	191	178
ELOA|ENSG00000011007.13|chr1	665	393	617	522	511	420
PITHD1|ENSG00000057757.10|chr1	400	407	383	362	339	342
LYPLA2|ENSG00000011009.11|chr1	34	52	53	47	40	40
GALE|ENSG00000117308.15|chr1	26	32	43	45	30	23
HMGCL|ENSG00000117305.15|chr1	42	24	18	46	26	53
FUCA1|ENSG00000179163.12|chr1	96	83	79	96	119	58
CNR2|ENSG00000188822.8|chr1	0	0	0	0	0	0
PNRC2|ENSG00000189266.13|chr1	611	516	539	787	750	800
SRSF10|ENSG00000188529.15|chr1	1052	934	894	1428	1451	1288
MYOM3|ENSG00000142661.19|chr1	0	0	0	0	0	0
IL22RA1|ENSG00000142677.4|chr1	0	0	0	0	5	0
IFNLR1|ENSG00000185436.12|chr1	57	42	77	54	25	72
GRHL3|ENSG00000158055.17|chr1	10	0	5	8	0	0
STPG1|ENSG00000001460.18|chr1	22	6	13	22	13	11
NIPAL3|ENSG00000001461.17|chr1	169	140	134	143	121	102
RCAN3|ENSG00000117602.13|chr1	113	80	107	114	79	54
NCMAP|ENSG00000184454.7|chr1	0	0	0	0	0	0
SRRM1|ENSG00000133226.18|chr1	318	190	270	331	242	341
CLIC4|ENSG00000169504.15|chr1	280	203	230	665	574	462
RUNX3|ENSG00000020633.19|chr1	242	186	219	185	156	217
SYF2|ENSG00000117614.10|chr1	336	206	304	301	303	224
RSRP1|ENSG00000117616.18|chr1	515	394	395	423	441	448
RHD|ENSG00000187010.21|chr1	0	0	0	0	0	0
TMEM50A|ENSG00000183726.11|chr1	571	533	532	514	662	478
RHCE|ENSG00000188672.19|chr1	0	0	0	0	0	0
MACO1|ENSG00000204178.11|chr1	115	119	142	140	136	147
LDLRAP1|ENSG00000157978.12|chr1	154	111	157	84	58	110
MAN1C1|ENSG00000117643.15|chr1	17	5	24	20	17	18
SELENON|ENSG00000162430.18|chr1	34	30	18	32	29	46
MTFR1L|ENSG00000117640.18|chr1	116	73	42	78	87	90
AUNIP|ENSG00000127423.11|chr1	188	121	153	272	220	208
PAQR7|ENSG00000182749.6|chr1	3	8	0	2	0	0
STMN1|ENSG00000117632.23|chr1	1232	1057	997	997	907	907
PAFAH2|ENSG00000158006.14|chr1	109	75	86	105	113	74
EXTL1|ENSG00000158008.10|chr1	0	0	0	0	0	0
SLC30A2|ENSG00000158014.15|chr1	0	0	0	0	0	0
TRIM63|ENSG00000158022.7|chr1	0	0	0	1	0	0
PDIK1L|ENSG00000175087.10|chr1	248	178	165	308	281	292
FAM110D|ENSG00000197245.6|chr1	1	1	0	0	0	0
C1orf232|ENSG00000282872.2|chr1	0	0	0	0	0	0
ZNF593|ENSG00000142684.9|chr1	431	287	231	418	373	457
CNKSR1|ENSG00000142675.18|chr1	16	11	12	8	0	2
CATSPER4|ENSG00000188782.9|chr1	6	0	0	0	0	0
CEP85|ENSG00000130695.16|chr1	187	112	118	192	119	146
SH3BGRL3|ENSG00000142669.15|chr1	37	24	76	63	73	89
UBXN11|ENSG00000158062.21|chr1	0	0	0	0	2	0
CD52|ENSG00000169442.9|chr1	3	0	0	0	0	0
CRYBG2|ENSG00000176092.17|chr1	10	0	12	11	27	10
ZNF683|ENSG00000176083.18|chr1	0	0	0	0	0	0
LIN28A|ENSG00000131914.11|chr1	0	0	0	0	0	0
DHDDS|ENSG00000117682.18|chr1	139	121	67	112	127	135
HMGN2|ENSG00000198830.11|chr1	161	109	109	125	113	104
RPS6KA1|ENSG00000117676.14|chr1	0	0	7	0	0	0
ARID1A|ENSG00000117713.21|chr1	1141	854	1009	912	866	768
PIGV|ENSG00000060642.12|chr1	47	19	34	32	22	57
ZDHHC18|ENSG00000204160.12|chr1	112	86	108	101	155	68
SFN|ENSG00000175793.12|chr1	2	0	0	1	11	1
GPN2|ENSG00000142751.15|chr1	396	292	316	258	377	307
GPATCH3|ENSG00000198746.13|chr1	30	17	24	79	34	51
NUDC|ENSG00000090273.14|chr1	358	372	301	245	245	256
NR0B2|ENSG00000131910.5|chr1	0	0	0	0	0	0
KDF1|ENSG00000175707.10|chr1	4	5	0	1	3	8
TENT5B|ENSG00000158246.8|chr1	0	1	0	1	1	2
SLC9A1|ENSG00000090020.11|chr1	156	126	110	121	90	80
WDTC1|ENSG00000142784.16|chr1	71	63	37	78	47	62
TMEM222|ENSG00000186501.15|chr1	35	33	32	61	73	33
SYTL1|ENSG00000142765.18|chr1	0	5	3	5	0	18
MAP3K6|ENSG00000142733.18|chr1	2	10	0	10	9	1
FCN3|ENSG00000142748.14|chr1	0	0	0	0	0	0
CD164L2|ENSG00000174950.11|chr1	0	0	0	0	0	0
GPR3|ENSG00000181773.7|chr1	22	9	4	11	6	9
WASF2|ENSG00000158195.11|chr1	964	678	803	616	798	723
FGR|ENSG00000000938.13|chr1	0	0	0	0	0	0
IFI6|ENSG00000126709.16|chr1	17	7	20	8	22	24
FAM76A|ENSG00000009780.16|chr1	172	120	157	254	203	151
STX12|ENSG00000117758.14|chr1	162	132	105	153	170	185
PPP1R8|ENSG00000117751.18|chr1	464	509	467	460	515	519
THEMIS2|ENSG00000130775.16|chr1	9	0	9	0	10	1
RPA2|ENSG00000117748.10|chr1	666	536	609	725	675	617
SMPDL3B|ENSG00000130768.15|chr1	15	7	2	14	21	9
XKR8|ENSG00000158156.9|chr1	74	95	60	38	43	59
EYA3|ENSG00000158161.16|chr1	222	180	200	176	146	162
PTAFR|ENSG00000169403.12|chr1	6	0	0	5	15	1
DNAJC8|ENSG00000126698.11|chr1	486	382	400	426	450	355
ATP5IF1|ENSG00000130770.18|chr1	2	0	0	0	0	0
SESN2|ENSG00000130766.5|chr1	2	6	2	11	15	15
MED18|ENSG00000130772.14|chr1	0	0	0	0	0	0
PHACTR4|ENSG00000204138.13|chr1	729	585	650	557	539	545
RCC1|ENSG00000180198.17|chr1	584	524	526	559	458	521
TRNAU1AP|ENSG00000180098.9|chr1	101	89	118	142	120	117
TAF12|ENSG00000120656.14|chr1	50	82	78	89	79	51
RAB42|ENSG00000188060.8|chr1	0	0	0	0	0	0
GMEB1|ENSG00000162419.13|chr1	296	181	200	239	250	245
YTHDF2|ENSG00000198492.16|chr1	1180	949	954	1060	1017	929
OPRD1|ENSG00000116329.12|chr1	33	41	18	63	20	63
TMEM200B|ENSG00000253304.2|chr1	0	0	2	2	0	0
SRSF4|ENSG00000116350.18|chr1	1197	811	919	1269	944	1035
MECR|ENSG00000116353.16|chr1	95	73	83	144	75	156
PTPRU|ENSG00000060656.20|chr1	53	6	32	25	27	45
MATN1|ENSG00000162510.6|chr1	0	1	0	4	5	1
LAPTM5|ENSG00000162511.8|chr1	0	0	0	0	0	0
SDC3|ENSG00000162512.16|chr1	32	10	14	12	0	10
PUM1|ENSG00000134644.16|chr1	1692	1243	1356	1640	1346	1404
NKAIN1|ENSG00000084628.10|chr1	1	6	1	10	11	6
SNRNP40|ENSG00000060688.13|chr1	107	97	84	99	97	84
ZCCHC17|ENSG00000121766.16|chr1	101	95	103	66	86	95
FABP3|ENSG00000121769.8|chr1	0	0	0	0	0	0
SERINC2|ENSG00000168528.12|chr1	14	11	22	18	22	15
TINAGL1|ENSG00000142910.16|chr1	2	2	0	3	6	11
HCRTR1|ENSG00000121764.12|chr1	0	0	0	0	0	0
PEF1|ENSG00000162517.13|chr1	381	286	274	299	319	308
COL16A1|ENSG00000084636.18|chr1	0	0	1	0	0	0
ADGRB2|ENSG00000121753.13|chr1	4	10	1	11	4	9
SPOCD1|ENSG00000134668.13|chr1	4	0	0	0	0	3
PTP4A2|ENSG00000184007.22|chr1	2418	1812	2007	1944	1879	1848
KHDRBS1|ENSG00000121774.18|chr1	1403	1059	1082	1220	1131	1106
TMEM39B|ENSG00000121775.18|chr1	119	129	172	194	131	150
KPNA6|ENSG00000025800.14|chr1	1505	1121	1224	1130	1183	1085
TXLNA|ENSG00000084652.16|chr1	964	804	787	964	790	974
CCDC28B|ENSG00000160050.16|chr1	27	21	10	19	15	5
IQCC|ENSG00000160051.12|chr1	25	24	20	51	98	46
DCDC2B|ENSG00000222046.3|chr1	0	0	0	0	0	0
TMEM234|ENSG00000160055.20|chr1	33	29	19	20	20	4
EIF3I|ENSG00000084623.12|chr1	986	844	875	853	912	899
FAM167B|ENSG00000183615.6|chr1	1	0	0	0	4	2
LCK|ENSG00000182866.18|chr1	0	0	1	0	0	0
