,log2FC_total,padj_total,log2FC_trap,padj_trap,gene,regulation,plot_order
SAMD11|ENSG00000187634.13|chr1,-0.000822547945183,0.996311395234477,-0.0104185337583048,0.970852450544032,SAMD11|ENSG00000187634.13|chr1,ns,0
SPRED1|ENSG00000166068.13|chr15,0.0158634429217996,0.976255162832523,-1.09560610200896,0.0614647789728879,SPRED1|ENSG00000166068.13|chr15,ns,0
MEIS2|ENSG00000134138.21|chr15,0.081723969744537,0.836400595999168,-0.118630954408274,0.734677395295692,MEIS2|ENSG00000134138.21|chr15,ns,0
CDIN1|ENSG00000186073.14|chr15,-0.0186492125221171,0.964871850782958,-0.614835706224931,0.0736785375734587,CDIN1|ENSG00000186073.14|chr15,ns,0
BTBD6|ENSG00000184887.14|chr14,0.0318752134404187,0.954480401769737,-0.61465440050543,0.0501448089278687,BTBD6|ENSG00000184887.14|chr14,ns,0
ZNF770|ENSG00000198146.4|chr15,-0.0648176371349131,0.874622552233686,-0.433537446669998,0.106544029033852,ZNF770|ENSG00000198146.4|chr15,ns,0
GOLGA8B|ENSG00000215252.12|chr15,-0.0583464784137642,0.8482052031944,0.0238806764236536,0.341263589464835,GOLGA8B|ENSG00000215252.12|chr15,ns,0
GOLGA8A|ENSG00000175265.19|chr15,-0.0007142576912994,0.996500405297203,-0.0818488937575698,0.513575839437124,GOLGA8A|ENSG00000175265.19|chr15,ns,0
NOP10|ENSG00000182117.7|chr15,-0.165866967611573,0.552888287919995,-0.406082141865636,0.0303041108826491,NOP10|ENSG00000182117.7|chr15,ns,0
SLC12A6|ENSG00000140199.13|chr15,0.0711269661335838,0.825967398405114,-0.018496282701553,0.928314811267202,SLC12A6|ENSG00000140199.13|chr15,ns,0
EMC4|ENSG00000128463.13|chr15,-0.0346810302072212,0.948074548595462,-0.0907582669064228,0.778290698823947,EMC4|ENSG00000128463.13|chr15,ns,0
PGBD4|ENSG00000182405.6|chr15,-0.0438216416638714,0.922762160854754,0.0976776803853149,0.710376666297047,PGBD4|ENSG00000182405.6|chr15,ns,0
EMC7|ENSG00000134153.10|chr15,-0.215208729119893,0.498763577272965,-0.0782354277866289,0.788586209713437,EMC7|ENSG00000134153.10|chr15,ns,0
AVEN|ENSG00000169857.9|chr15,0.168350259870446,0.457943766179277,-0.0318949584740592,0.924159867024616,AVEN|ENSG00000169857.9|chr15,ns,0
GABRB3|ENSG00000166206.15|chr15,-0.145127377661959,0.660858349997725,-0.23962601273106,0.466254123520735,GABRB3|ENSG00000166206.15|chr15,ns,0
UBE3A|ENSG00000114062.22|chr15,-0.0768689564256565,0.819590813528198,0.084954325798155,0.762580926167917,UBE3A|ENSG00000114062.22|chr15,ns,0
NIPA2|ENSG00000140157.16|chr15,-0.0343065814805036,0.935786532472016,-0.380890373733073,0.184450120055534,NIPA2|ENSG00000140157.16|chr15,ns,0
TMEM121|ENSG00000184986.11|chr14,-0.0361397402082372,0.910230991153999,-0.196940533196342,0.549009682655505,TMEM121|ENSG00000184986.11|chr14,ns,0
TEDC1|ENSG00000185347.18|chr14,0.119154958967084,0.658649712895531,0.167293947540068,0.628837148256078,TEDC1|ENSG00000185347.18|chr14,ns,0
AQR|ENSG00000021776.11|chr15,-0.019611795479905,0.96981575199396,-0.259133968938676,0.455720490147895,AQR|ENSG00000021776.11|chr15,ns,0
RPUSD2|ENSG00000166133.18|chr15,-0.0441106052431507,0.926223541625094,0.0172768787972445,0.966646139577467,RPUSD2|ENSG00000166133.18|chr15,ns,0
BCL11B|ENSG00000127152.18|chr14,-0.190640207572155,0.557950496241708,-0.242996296500923,0.472400118768008,BCL11B|ENSG00000127152.18|chr14,ns,0
GSKIP|ENSG00000100744.15|chr14,-0.0294373699829706,0.956467805384391,-0.539358962288855,0.12044901178304,GSKIP|ENSG00000100744.15|chr14,ns,0
IFT43|ENSG00000119650.13|chr14,0.0221086175047382,0.956421268696116,0.56211074779981,0.169811838906824,IFT43|ENSG00000119650.13|chr14,ns,0
ERG28|ENSG00000133935.7|chr14,-0.0767235489917928,0.813995404941938,-0.132746054194974,0.693386478004977,ERG28|ENSG00000133935.7|chr14,ns,0
FOS|ENSG00000170345.10|chr14,0.211446234073859,0.339925531637742,0.0854084891229774,0.319733975775682,FOS|ENSG00000170345.10|chr14,ns,0
NEK9|ENSG00000119638.14|chr14,-0.0998684878477224,0.696842609422608,-0.063304935473191,0.549009682655505,NEK9|ENSG00000119638.14|chr14,ns,0
ACYP1|ENSG00000119640.9|chr14,-0.0299040744752232,0.945075832658888,-0.415444922219432,0.238025929551231,ACYP1|ENSG00000119640.9|chr14,ns,0
MLH3|ENSG00000119684.16|chr14,0.0763594044397268,0.778968096657408,-0.110547819730835,0.650087768457998,MLH3|ENSG00000119684.16|chr14,ns,0
EIF2B2|ENSG00000119718.11|chr14,0.160033371955437,0.642862880702157,1.02279248556402,0.0027537151767758,EIF2B2|ENSG00000119718.11|chr14,ns,0
FCF1|ENSG00000119616.11|chr14,0.144618009594378,0.679061940132425,-0.0621289796102718,0.615279176673321,FCF1|ENSG00000119616.11|chr14,ns,0
AREL1|ENSG00000119682.18|chr14,0.0444522304065155,0.904393845426665,-0.0504039400270901,0.862767693046923,AREL1|ENSG00000119682.18|chr14,ns,0
ISCA2|ENSG00000165898.14|chr14,-0.0197443041763584,0.969373610333798,0.152948559988471,0.649726269724628,ISCA2|ENSG00000165898.14|chr14,ns,0
NPC2|ENSG00000119655.11|chr14,-0.052645726568385,0.888215358345356,0.282934291995765,0.417818360011182,NPC2|ENSG00000119655.11|chr14,ns,0
ABCD4|ENSG00000119688.21|chr14,-0.0046740388596977,0.991822203135613,0.0706774635491356,0.832708722661218,ABCD4|ENSG00000119688.21|chr14,ns,0
LIN52|ENSG00000205659.12|chr14,-0.0031059686580384,0.993768506252698,0.133078451597734,0.708644551036448,LIN52|ENSG00000205659.12|chr14,ns,0
GPATCH2L|ENSG00000089916.18|chr14,-0.142848638648601,0.65110362324568,-0.124194608475353,0.259324802901213,GPATCH2L|ENSG00000089916.18|chr14,ns,0
ALDH6A1|ENSG00000119711.13|chr14,-0.0232604897049588,0.963591991251198,-0.0615468575077854,0.627138087813055,ALDH6A1|ENSG00000119711.13|chr14,ns,0
ZNF410|ENSG00000119725.21|chr14,0.0639852290295335,0.882459400860447,0.233799262415494,0.49349083754895,ZNF410|ENSG00000119725.21|chr14,ns,0
MIDEAS|ENSG00000156030.14|chr14,0.0683541147224567,0.862893900187705,-0.0563425035912837,0.860316343948757,MIDEAS|ENSG00000156030.14|chr14,ns,0
PNMA1|ENSG00000176903.5|chr14,0.0321992924640055,0.948074548595462,-0.305672497962731,0.174153398454356,PNMA1|ENSG00000176903.5|chr14,ns,0
DNAL1|ENSG00000119661.15|chr14,0.168071447649596,0.584502697407094,-0.125360156322341,0.635788533754384,DNAL1|ENSG00000119661.15|chr14,ns,0
ACOT2|ENSG00000119673.16|chr14,0.0978128962127364,0.801391224499492,0.244949102131062,0.350744977612166,ACOT2|ENSG00000119673.16|chr14,ns,0
RIOX1|ENSG00000170468.8|chr14,0.0135559090004116,0.979402047042111,-0.0113732758371912,0.977410461296688,RIOX1|ENSG00000170468.8|chr14,ns,0
NUMB|ENSG00000133961.21|chr14,-0.0016396227962553,0.993578523151614,0.015691890855462,0.958920115687106,NUMB|ENSG00000133961.21|chr14,ns,0
PSEN1|ENSG00000080815.20|chr14,-0.138313906888835,0.600615297850712,-0.0659422146524978,0.625479973444318,PSEN1|ENSG00000080815.20|chr14,ns,0
RBM25|ENSG00000119707.14|chr14,-0.094865011050945,0.787176374521218,-0.0515309287461972,0.88418744629616,RBM25|ENSG00000119707.14|chr14,ns,0
ZFYVE1|ENSG00000165861.14|chr14,0.0611873445060188,0.851867538028726,0.0243283144046984,0.938158826699561,ZFYVE1|ENSG00000165861.14|chr14,ns,0
DCAF4|ENSG00000119599.17|chr14,-0.0485609326652274,0.900574153960218,-0.0324171055273114,0.928314811267202,DCAF4|ENSG00000119599.17|chr14,ns,0
SIPA1L1|ENSG00000197555.10|chr14,-0.0311340819466416,0.956421268696116,-0.0854739304471205,0.317379403014103,SIPA1L1|ENSG00000197555.10|chr14,ns,0
PCNX1|ENSG00000100731.16|chr14,-0.0076218266586844,0.987644782761465,-0.127083224460328,0.192817784624523,PCNX1|ENSG00000100731.16|chr14,ns,0
COQ6|ENSG00000119723.17|chr14,0.034544735920566,0.933650829424447,0.0928675713215023,0.662973183334163,COQ6|ENSG00000119723.17|chr14,ns,0
VRK1|ENSG00000100749.9|chr14,-0.0049315858329324,0.992838478441304,0.237221552769904,0.486679939483637,VRK1|ENSG00000100749.9|chr14,ns,0
ANGEL1|ENSG00000013523.11|chr14,-0.0586801494209287,0.862893900187705,-0.0139720790738946,0.947667671014965,ANGEL1|ENSG00000013523.11|chr14,ns,0
CIPC|ENSG00000198894.8|chr14,0.0411459468018684,0.918003533017272,-0.0974708530845885,0.680765299721083,CIPC|ENSG00000198894.8|chr14,ns,0
ATG2B|ENSG00000066739.12|chr14,0.157318157915219,0.625546851698848,-0.101125108788501,0.345808169348593,ATG2B|ENSG00000066739.12|chr14,ns,0
C14orf132|ENSG00000227051.7|chr14,-0.0136620599297192,0.976255162832523,0.207180463759426,0.547963582565838,C14orf132|ENSG00000227051.7|chr14,ns,0
GLRX5|ENSG00000182512.5|chr14,-0.17077577558964,0.560439207179702,-0.274474238107163,0.215276793622847,GLRX5|ENSG00000182512.5|chr14,ns,0
DICER1|ENSG00000100697.17|chr14,-0.137164142905467,0.604087106238079,-0.581166004578615,0.0541309984571225,DICER1|ENSG00000100697.17|chr14,ns,0
GOLGA5|ENSG00000066455.13|chr14,0.0298495433300106,0.936554407219143,-0.100708684035481,0.645327882313919,GOLGA5|ENSG00000066455.13|chr14,ns,0
LGMN|ENSG00000100600.15|chr14,0.0985976894674438,0.792212263025737,0.437277701978332,0.21967277308013,LGMN|ENSG00000100600.15|chr14,ns,0
CPSF2|ENSG00000165934.13|chr14,-0.103742474785791,0.780656563904285,0.0577112149765293,0.880855640515999,CPSF2|ENSG00000165934.13|chr14,ns,0
NDUFB1|ENSG00000183648.11|chr14,0.009444410333915,0.986491582362843,-0.118614982063129,0.71891338303276,NDUFB1|ENSG00000183648.11|chr14,ns,0
ATXN3|ENSG00000066427.25|chr14,-0.0994872303615591,0.795713488051727,-0.47502348846907,0.212859101824929,ATXN3|ENSG00000066427.25|chr14,ns,0
TRIP11|ENSG00000100815.12|chr14,-0.0574142313134406,0.886686109643811,-0.0327315164240318,0.7307234438552,TRIP11|ENSG00000100815.12|chr14,ns,0
PPP4R3A|ENSG00000100796.18|chr14,0.168886317713553,0.605715217159858,-0.178490754631652,0.596746883854906,PPP4R3A|ENSG00000100796.18|chr14,ns,0
RPS6KA5|ENSG00000100784.12|chr14,0.0748254382867996,0.855833020586509,0.162556742655158,0.645124041469507,RPS6KA5|ENSG00000100784.12|chr14,ns,0
CALM1|ENSG00000198668.14|chr14,-0.127042519010527,0.543004508527356,-0.189940319305218,0.19151609101639,CALM1|ENSG00000198668.14|chr14,ns,0
IRF2BPL|ENSG00000119669.5|chr14,0.458975891832397,0.101225473198312,-0.173720772057297,0.560446721894478,IRF2BPL|ENSG00000119669.5|chr14,ns,0
NRDE2|ENSG00000119720.18|chr14,-0.110441032894011,0.770726230131436,-0.12912208198142,0.724490831314481,NRDE2|ENSG00000119720.18|chr14,ns,0
FOXN3|ENSG00000053254.16|chr14,0.090865779211695,0.793821240313504,-0.438824666928101,0.0994252898095738,FOXN3|ENSG00000053254.16|chr14,ns,0
TTC8|ENSG00000165533.19|chr14,0.0469779337663314,0.897510054847426,0.106440502186285,0.721607037893033,TTC8|ENSG00000165533.19|chr14,ns,0
ZC3H14|ENSG00000100722.20|chr14,-0.0664970431916426,0.878131425149932,-0.747623912290646,0.0333281463185966,ZC3H14|ENSG00000100722.20|chr14,ns,0
SEL1L|ENSG00000071537.14|chr14,1.49182902008815,2.05113688542234e-11,0.679458360967629,0.0967124451357618,SEL1L|ENSG00000071537.14|chr14,ns,0
STON2|ENSG00000140022.14|chr14,-0.086173849494087,0.808965749357101,0.421522869409352,0.191490873591969,STON2|ENSG00000140022.14|chr14,ns,0
GTF2A1|ENSG00000165417.12|chr14,-0.239630627822103,0.412037990590469,-0.342254489668776,0.319552234310199,GTF2A1|ENSG00000165417.12|chr14,ns,0
NRXN3|ENSG00000021645.20|chr14,-0.137848185289316,0.690513801733827,-0.0288418646530699,0.943396614157743,NRXN3|ENSG00000021645.20|chr14,ns,0
SNW1|ENSG00000100603.14|chr14,-0.297538669232062,0.310732955011227,-0.0756054908534602,0.816401345926787,SNW1|ENSG00000100603.14|chr14,ns,0
SLIRP|ENSG00000119705.10|chr14,-0.112560825407217,0.751373691268224,0.15481671768121,0.456095650872157,SLIRP|ENSG00000119705.10|chr14,ns,0
ALKBH1|ENSG00000100601.10|chr14,0.179804601032176,0.546656448632648,0.0271000824146186,0.940767847609874,ALKBH1|ENSG00000100601.10|chr14,ns,0
SPTLC2|ENSG00000100596.8|chr14,-0.0502521828093873,0.914948348239171,-0.0138384109800061,0.97250361325849,SPTLC2|ENSG00000100596.8|chr14,ns,0
AHSA1|ENSG00000100591.8|chr14,-0.172584844440182,0.604108493887175,0.109417666859004,0.712447861222343,AHSA1|ENSG00000100591.8|chr14,ns,0
TMED8|ENSG00000100580.8|chr14,-0.164288483617804,0.638330446970387,-0.164872179982845,0.596746883854906,TMED8|ENSG00000100580.8|chr14,ns,0
TDP1|ENSG00000042088.14|chr14,-0.110139665320624,0.763480620232044,-0.117693780574824,0.735977893696919,TDP1|ENSG00000042088.14|chr14,ns,0
KNL1|ENSG00000137812.21|chr15,-0.0141106299166936,0.972872831333892,-0.0766065115742531,0.688208523959831,KNL1|ENSG00000137812.21|chr15,ns,0
RAD51|ENSG00000051180.17|chr15,0.158211006380651,0.589858131814969,0.431985468000502,0.241408616099855,RAD51|ENSG00000051180.17|chr15,ns,0
RMDN3|ENSG00000137824.16|chr15,0.215741642218072,0.515918300380159,-0.113628559597465,0.749619334648351,RMDN3|ENSG00000137824.16|chr15,ns,0
SPG21|ENSG00000090487.11|chr15,-0.247014371973846,0.443505000202029,-0.517729083220667,0.0957642137299761,SPG21|ENSG00000090487.11|chr15,ns,0
OAZ2|ENSG00000180304.14|chr15,-0.0824543258366502,0.811626159043758,-0.572011266324395,0.116664846745281,OAZ2|ENSG00000180304.14|chr15,ns,0
TRIP4|ENSG00000103671.10|chr15,0.0351379203089404,0.920728683032515,-0.0666184406016565,0.850986812937379,TRIP4|ENSG00000103671.10|chr15,ns,0
PCLAF|ENSG00000166803.14|chr15,0.0082978147197096,0.984932963874509,-0.0708130978944886,0.733077774752805,PCLAF|ENSG00000166803.14|chr15,ns,0
CSNK1G1|ENSG00000169118.18|chr15,0.0082760241468495,0.988978318350365,0.229404326413059,0.503101530433905,CSNK1G1|ENSG00000169118.18|chr15,ns,0
SNX22|ENSG00000157734.14|chr15,-0.718126645861411,0.0927969393021533,-1.68933237269397,0.0073837215379326,SNX22|ENSG00000157734.14|chr15,ns,0
SNX1|ENSG00000028528.15|chr15,-0.0763223722042371,0.848861492989239,0.0219427348227104,0.958920115687106,SNX1|ENSG00000028528.15|chr15,ns,0
CIAO2A|ENSG00000166797.11|chr15,-0.127786988154769,0.690065891306773,-0.547945936286982,0.0091143563706667,CIAO2A|ENSG00000166797.11|chr15,ns,0
USP3|ENSG00000140455.17|chr15,0.0472267002077864,0.920728683032515,-0.219538826542937,0.481572163496427,USP3|ENSG00000140455.17|chr15,ns,0
CA12|ENSG00000074410.14|chr15,-0.365806832811275,0.267546654153728,0.186066239334084,0.59929167017571,CA12|ENSG00000074410.14|chr15,ns,0
RAB8B|ENSG00000166128.13|chr15,0.0926821796576493,0.788609848221222,-0.0830382204260919,0.787951181218102,RAB8B|ENSG00000166128.13|chr15,ns,0
RPS27L|ENSG00000185088.14|chr15,-0.522284457009268,0.0648286239601326,-0.390424464777132,0.168751692992601,RPS27L|ENSG00000185088.14|chr15,ns,0
TPM1|ENSG00000140416.23|chr15,-0.0665714424139972,0.819590813528198,-1.92983113625177,0.0040127682172552,TPM1|ENSG00000140416.23|chr15,ns,0
MTFMT|ENSG00000103707.10|chr15,0.0267516043819106,0.956467805384391,-0.397558548651943,0.272947374105867,MTFMT|ENSG00000103707.10|chr15,ns,0
RORA|ENSG00000069667.16|chr15,-0.115537206485678,0.753673293051609,-0.126296934508366,0.589089031520146,RORA|ENSG00000069667.16|chr15,ns,0
ANXA2|ENSG00000182718.18|chr15,-0.0023469314807751,0.994599662540644,0.126655669850951,0.720533785342706,ANXA2|ENSG00000182718.18|chr15,ns,0
FOXB1|ENSG00000171956.7|chr15,0.0803879380917287,0.842864378235644,-0.0489832539247914,0.89031625355911,FOXB1|ENSG00000171956.7|chr15,ns,0
BNIP2|ENSG00000140299.14|chr15,-0.0598766801504504,0.891443724001309,-0.671009939731061,0.0261344580110465,BNIP2|ENSG00000140299.14|chr15,ns,0
GTF2A2|ENSG00000140307.11|chr15,-0.154131892122145,0.646215975470559,-0.388512284098666,0.0749449220316306,GTF2A2|ENSG00000140307.11|chr15,ns,0
MYO1E|ENSG00000157483.9|chr15,-0.0251040262758442,0.959747152809814,-0.127570733992472,0.561490186480088,MYO1E|ENSG00000157483.9|chr15,ns,0
CCNB2|ENSG00000157456.8|chr15,-0.127564283820987,0.718973550134478,-0.0035574299760049,0.992466694455075,CCNB2|ENSG00000157456.8|chr15,ns,0
SLTM|ENSG00000137776.17|chr15,-0.0443156360175593,0.915287840000678,-0.20915984499105,0.168528393307564,SLTM|ENSG00000137776.17|chr15,ns,0
RNF111|ENSG00000157450.16|chr15,-0.13364031292204,0.690065891306773,-0.235946156840412,0.290674366987807,RNF111|ENSG00000157450.16|chr15,ns,0
MINDY2|ENSG00000128923.11|chr15,-0.361694239866167,0.250794900944528,-0.168100829784558,0.631480314964724,MINDY2|ENSG00000128923.11|chr15,ns,0
ADAM10|ENSG00000137845.15|chr15,0.0215554367370262,0.968778709835185,-0.167464663968873,0.524189461122968,ADAM10|ENSG00000137845.15|chr15,ns,0
ALDH1A2|ENSG00000128918.15|chr15,-0.0702381885755553,0.86878518667208,0.309316961001618,0.289354235636389,ALDH1A2|ENSG00000128918.15|chr15,ns,0
POLR2M|ENSG00000255529.9|chr15,0.105850167754186,0.778018584901525,0.027206990017727,0.948510822057688,POLR2M|ENSG00000255529.9|chr15,ns,0
RFX7|ENSG00000181827.16|chr15,0.200009842915694,0.543887910073841,-0.293444988067117,0.400908826795018,RFX7|ENSG00000181827.16|chr15,ns,0
ICE2|ENSG00000128915.12|chr15,0.0275255509376308,0.960032915062821,-0.0790380938304121,0.779279631442917,ICE2|ENSG00000128915.12|chr15,ns,0
PYGO1|ENSG00000171016.13|chr15,-0.156323655726643,0.646215975470559,-0.138205322779528,0.60387533899131,PYGO1|ENSG00000171016.13|chr15,ns,0
PDCD7|ENSG00000090470.15|chr15,0.167968729015334,0.609339180892384,0.0383521718589714,0.916203378112718,PDCD7|ENSG00000090470.15|chr15,ns,0
PARP16|ENSG00000138617.16|chr15,0.604677240796783,0.0789814284596459,0.894973614814754,0.0567388492005882,PARP16|ENSG00000138617.16|chr15,ns,0
SENP8|ENSG00000166192.15|chr15,-0.0641461429669504,0.870529485431182,-0.154341978890166,0.593179779604055,SENP8|ENSG00000166192.15|chr15,ns,0
MYO9A|ENSG00000066933.16|chr15,-0.14546780435617,0.680344767982445,-0.109244642980524,0.73785850743182,MYO9A|ENSG00000066933.16|chr15,ns,0
THAP10|ENSG00000129028.9|chr15,0.0242221102687417,0.958235239677138,-0.168457647702857,0.617203525345332,THAP10|ENSG00000129028.9|chr15,ns,0
LARP6|ENSG00000166173.11|chr15,0.177318439837073,0.568691166115597,-0.0076533528602264,0.984975745492686,LARP6|ENSG00000166173.11|chr15,ns,0
UACA|ENSG00000137831.15|chr15,0.0306275951230777,0.956421268696116,0.0776653496897075,0.844327167037158,UACA|ENSG00000137831.15|chr15,ns,0
TLE3|ENSG00000140332.18|chr15,-0.264524337691033,0.196221025505011,-0.325449724068544,0.0920927471458554,TLE3|ENSG00000140332.18|chr15,ns,0
RPLP1|ENSG00000137818.12|chr15,0.0051741136636336,0.992838478441304,0.35982675959449,0.0471901196510746,RPLP1|ENSG00000137818.12|chr15,ns,0
PAQR5|ENSG00000137819.14|chr15,0.0076630726893209,0.986491582362843,0.0071322888183577,0.975234974694386,PAQR5|ENSG00000137819.14|chr15,ns,0
GLCE|ENSG00000138604.10|chr15,0.0677439153376424,0.850246335143222,-0.0151156375009361,0.922408205664562,GLCE|ENSG00000138604.10|chr15,ns,0
