,log2FC_total,padj_total,log2FC_trap,padj_trap,gene,regulation,plot_order
CCDC32|ENSG00000128891.17|chr15,0.103625242779431,0.562537695885454,0.197814650103281,0.404133793083455,CCDC32|ENSG00000128891.17|chr15,ns,0
CHST14|ENSG00000169105.8|chr15,-0.308032275457589,0.0987404967305297,-0.195774516725947,0.415654850981911,CHST14|ENSG00000169105.8|chr15,ns,0
BAHD1|ENSG00000140320.12|chr15,-0.106429559142975,0.59790652227403,-0.0722958834776164,0.804067454448534,BAHD1|ENSG00000140320.12|chr15,ns,0
IVD|ENSG00000128928.10|chr15,-0.110908050441413,0.514545922797943,-0.0563879338196727,0.831454707569273,IVD|ENSG00000128928.10|chr15,ns,0
KNSTRN|ENSG00000128944.14|chr15,0.116236391200062,0.533981789869171,0.0835516460208945,0.766380816367014,KNSTRN|ENSG00000128944.14|chr15,ns,0
INAFM2|ENSG00000259330.3|chr15,0.122698696491697,0.514990754005349,0.16342223805578,0.519580453660552,INAFM2|ENSG00000259330.3|chr15,ns,0
BUB1B|ENSG00000156970.13|chr15,-0.184955360675202,0.314585238037523,0.028642875357532,0.933469978013605,BUB1B|ENSG00000156970.13|chr15,ns,0
SRP14|ENSG00000140319.11|chr15,-0.17569132617418,0.0874904097794349,0.0467903367306457,0.763800180748949,SRP14|ENSG00000140319.11|chr15,ns,0
EIF2AK4|ENSG00000128829.12|chr15,-0.0108904559598392,0.96975246590542,-0.2293068195115,0.324178991628417,EIF2AK4|ENSG00000128829.12|chr15,ns,0
FAM98B|ENSG00000171262.11|chr15,-0.182306086950296,0.226581764736755,0.13417892972115,0.55321281925907,FAM98B|ENSG00000171262.11|chr15,ns,0
MEIS2|ENSG00000134138.21|chr15,-0.0154817144971981,0.953552015075023,0.128921353850853,0.625998243252846,MEIS2|ENSG00000134138.21|chr15,ns,0
VPS39|ENSG00000166887.16|chr15,-0.112334350778431,0.555538961846476,0.0450984437457914,0.862272718095957,VPS39|ENSG00000166887.16|chr15,ns,0
TMEM87A|ENSG00000103978.16|chr15,0.193942929971984,0.196017678989192,0.184226294709271,0.419042450558627,TMEM87A|ENSG00000103978.16|chr15,ns,0
ZNF106|ENSG00000103994.18|chr15,0.0842075441081473,0.636429267416584,0.186993291079673,0.395535595333952,ZNF106|ENSG00000103994.18|chr15,ns,0
SNAP23|ENSG00000092531.10|chr15,-0.0410172786065437,0.832580026400504,-0.14112447682435,0.570022148292008,SNAP23|ENSG00000092531.10|chr15,ns,0
SLC27A2|ENSG00000140284.11|chr15,-0.3464425410576,0.128382750255353,0.388983614189406,0.163257057878914,SLC27A2|ENSG00000140284.11|chr15,ns,0
DTWD1|ENSG00000104047.15|chr15,0.311560710303051,0.161975068757074,0.172862491158471,0.423367649552288,DTWD1|ENSG00000104047.15|chr15,ns,0
GALK2|ENSG00000156958.15|chr15,-0.0907613960611216,0.636904331426385,0.0574435132657441,0.826066717862925,GALK2|ENSG00000156958.15|chr15,ns,0
COPS2|ENSG00000166200.15|chr15,0.0408177416477868,0.836080321076933,-0.0319213326925708,0.919929408303688,COPS2|ENSG00000166200.15|chr15,ns,0
DUT|ENSG00000128951.14|chr15,-0.221971646407739,0.0170994506866489,-0.129098888382148,0.384775531685018,DUT|ENSG00000128951.14|chr15,ns,0
MYEF2|ENSG00000104177.19|chr15,-0.351496266393059,0.06048751645326,-0.251156239672556,0.324178991628417,MYEF2|ENSG00000104177.19|chr15,ns,0
BLOC1S6|ENSG00000104164.12|chr15,-0.0729797870359455,0.720621134625083,-0.17450255005464,0.465517103458514,BLOC1S6|ENSG00000104164.12|chr15,ns,0
SPATA5L1|ENSG00000171763.20|chr15,0.0367096716012353,0.879872426332136,-0.0077937163575479,0.980143928425987,SPATA5L1|ENSG00000171763.20|chr15,ns,0
SORD|ENSG00000140263.15|chr15,0.003534203867048,0.988016995301466,0.0188346796000329,0.940117945339776,SORD|ENSG00000140263.15|chr15,ns,0
EIF3J|ENSG00000104131.13|chr15,0.0458648880234043,0.813225438150578,-0.113564880583152,0.601728806193693,EIF3J|ENSG00000104131.13|chr15,ns,0
CTDSPL2|ENSG00000137770.14|chr15,0.461958415088811,0.0386258727771841,0.271191828421643,0.286973589886695,CTDSPL2|ENSG00000137770.14|chr15,ns,0
GOLM2|ENSG00000166734.20|chr15,0.0028638510761935,0.993606270433828,-0.310589458552733,0.186551593894517,GOLM2|ENSG00000166734.20|chr15,ns,0
WDR76|ENSG00000092470.12|chr15,0.208875011398431,0.250138487277825,0.534407555779823,0.0345796730954247,WDR76|ENSG00000092470.12|chr15,ns,0
CDIN1|ENSG00000186073.14|chr15,-0.151491778894387,0.424855137318536,-0.647197749131162,0.0706091215786303,CDIN1|ENSG00000186073.14|chr15,ns,0
MFAP1|ENSG00000140259.7|chr15,-0.163421865450687,0.398047082965395,-0.0898112205162744,0.747551918724313,MFAP1|ENSG00000140259.7|chr15,ns,0
PDIA3|ENSG00000167004.14|chr15,0.0665127744386633,0.756126876999318,0.0701681105436092,0.753418581041658,PDIA3|ENSG00000167004.14|chr15,ns,0
CKMT1A|ENSG00000223572.10|chr15,0.0646822610168612,0.770661016663221,0.124334258158462,0.636290531163361,CKMT1A|ENSG00000223572.10|chr15,ns,0
CKMT1B|ENSG00000237289.10|chr15,0.0601612903826471,0.781964486397905,0.126036935620328,0.630962417884235,CKMT1B|ENSG00000237289.10|chr15,ns,0
TP53BP1|ENSG00000067369.14|chr15,-0.0466017986115611,0.839023987116377,0.0691799014875687,0.786329892180091,TP53BP1|ENSG00000067369.14|chr15,ns,0
TUBGCP4|ENSG00000137822.13|chr15,-0.412699614709143,0.0024234090151669,0.0912121678339539,0.704524567148633,TUBGCP4|ENSG00000137822.13|chr15,ns,0
ZSCAN29|ENSG00000140265.14|chr15,0.0644970979933364,0.77034779476559,-0.0695102299143669,0.808058104647446,ZSCAN29|ENSG00000140265.14|chr15,ns,0
ADAL|ENSG00000168803.16|chr15,-0.138705265518386,0.48772283933469,0.0083972453258571,0.980143928425987,ADAL|ENSG00000168803.16|chr15,ns,0
LCMT2|ENSG00000168806.8|chr15,-0.0916446355268309,0.658911517664937,0.0719403113981796,0.803907660141986,LCMT2|ENSG00000168806.8|chr15,ns,0
CCNDBP1|ENSG00000166946.14|chr15,0.0702881252488065,0.744534002042108,0.0813773265123566,0.777094652699746,CCNDBP1|ENSG00000166946.14|chr15,ns,0
TMEM62|ENSG00000137842.7|chr15,-0.0009969496543177,0.996841330703646,0.0053426396738468,0.987090932653388,TMEM62|ENSG00000137842.7|chr15,ns,0
TTBK2|ENSG00000128881.18|chr15,0.103002554577148,0.617064041090804,0.104315293975683,0.60796400649855,TTBK2|ENSG00000128881.18|chr15,ns,0
HAUS2|ENSG00000137814.12|chr15,0.292012530143141,0.0516382782390371,0.165183197721522,0.497495274094346,HAUS2|ENSG00000137814.12|chr15,ns,0
LRRC57|ENSG00000180979.10|chr15,0.0305470826694824,0.900253792789716,-0.0263420240251602,0.934655336180213,LRRC57|ENSG00000180979.10|chr15,ns,0
SERF2|ENSG00000140264.21|chr15,-0.128308400002534,0.190305678194158,-0.0763353083076474,0.540951763609867,SERF2|ENSG00000140264.21|chr15,ns,0
GABPB1|ENSG00000104064.18|chr15,-0.283911751967434,0.185620710346543,-0.0720601932643001,0.756358719382531,GABPB1|ENSG00000104064.18|chr15,ns,0
DPH6|ENSG00000134146.12|chr15,-0.0228955244049401,0.916529274267257,-0.0483870727756849,0.84391597404869,DPH6|ENSG00000134146.12|chr15,ns,0
AQR|ENSG00000021776.11|chr15,-0.0827898659150429,0.656390178624603,0.19139977697808,0.431088533255941,AQR|ENSG00000021776.11|chr15,ns,0
WDR25|ENSG00000176473.14|chr14,0.339136882211316,0.138055615044076,0.108891149176879,0.617887087630514,WDR25|ENSG00000176473.14|chr14,ns,0
WARS1|ENSG00000140105.18|chr14,0.0704259985891931,0.674104447255281,0.0827812089525351,0.700852682705993,WARS1|ENSG00000140105.18|chr14,ns,0
YY1|ENSG00000100811.14|chr14,0.142735628705881,0.0774169501659158,-0.0485976009299402,0.783176647075553,YY1|ENSG00000100811.14|chr14,ns,0
EVL|ENSG00000196405.13|chr14,0.0114398680286924,0.969552802350568,-0.393787000635669,0.144673567637754,EVL|ENSG00000196405.13|chr14,ns,0
EML1|ENSG00000066629.19|chr14,-0.0961219568997109,0.642522039471879,-0.188791248623706,0.44796701835981,EML1|ENSG00000066629.19|chr14,ns,0
CCNK|ENSG00000090061.17|chr14,-0.0547371870616341,0.797081753974119,0.118772627392389,0.651442828678139,CCNK|ENSG00000090061.17|chr14,ns,0
SETD3|ENSG00000183576.13|chr14,0.156142189275656,0.333704458579226,0.0130435895933229,0.970630316840019,SETD3|ENSG00000183576.13|chr14,ns,0
BCL11B|ENSG00000127152.18|chr14,-0.176020718338639,0.35972736454829,-0.0413169724751397,0.889159656016586,BCL11B|ENSG00000127152.18|chr14,ns,0
VRK1|ENSG00000100749.9|chr14,0.0713636097764329,0.70227412881079,0.198686923990004,0.364778200367846,VRK1|ENSG00000100749.9|chr14,ns,0
GSKIP|ENSG00000100744.15|chr14,0.0487864524336213,0.832580026400504,-0.0530075659452844,0.855318002527216,GSKIP|ENSG00000100744.15|chr14,ns,0
ATG2B|ENSG00000066739.12|chr14,0.0646498294215991,0.769317048640646,-0.0865165074086873,0.533328554050838,ATG2B|ENSG00000066739.12|chr14,ns,0
C14orf132|ENSG00000227051.7|chr14,-0.0246741229798459,0.915169562373885,0.0406038416348867,0.891705175673948,C14orf132|ENSG00000227051.7|chr14,ns,0
GOLGA5|ENSG00000066455.13|chr14,0.0685631228736675,0.7240900837831,0.039117307044713,0.844967089240483,GOLGA5|ENSG00000066455.13|chr14,ns,0
LGMN|ENSG00000100600.15|chr14,0.018666916397009,0.938583728865724,0.311188083264452,0.13562415096658,LGMN|ENSG00000100600.15|chr14,ns,0
CPSF2|ENSG00000165934.13|chr14,-0.0141136638163689,0.948554189291228,0.0401575809907623,0.892280294445878,CPSF2|ENSG00000165934.13|chr14,ns,0
NDUFB1|ENSG00000183648.11|chr14,-0.290138340500405,0.0052616589701306,-0.145616571336571,0.351294334485893,NDUFB1|ENSG00000183648.11|chr14,ns,0
ATXN3|ENSG00000066427.25|chr14,-0.0708111424657457,0.741168584539772,-0.0545712526037861,0.849562429237999,ATXN3|ENSG00000066427.25|chr14,ns,0
FBLN5|ENSG00000140092.15|chr14,-0.0968695147474961,0.564975402967989,-0.126950311174631,0.562286120735496,FBLN5|ENSG00000140092.15|chr14,ns,0
PPP4R3A|ENSG00000100796.18|chr14,0.631149898437248,0.0003881950723154,0.12086586156525,0.63579240550472,PPP4R3A|ENSG00000100796.18|chr14,ns,0
DGLUCY|ENSG00000133943.21|chr14,-0.0293096073442978,0.88449180539941,0.0255564605495042,0.919305450140728,DGLUCY|ENSG00000133943.21|chr14,ns,0
RPS6KA5|ENSG00000100784.12|chr14,0.188106380053379,0.29319508103536,0.21941006300082,0.378494411953041,RPS6KA5|ENSG00000100784.12|chr14,ns,0
TTC7B|ENSG00000165914.15|chr14,-0.0086053562592645,0.974142557331147,-0.0937761506280811,0.684007690104725,TTC7B|ENSG00000165914.15|chr14,ns,0
NRDE2|ENSG00000119720.18|chr14,-0.133934355479181,0.499021908727206,0.137674122611141,0.583724173921923,NRDE2|ENSG00000119720.18|chr14,ns,0
TDP1|ENSG00000042088.14|chr14,0.0164817075745793,0.952212287295606,-0.0746437874493145,0.793696184539568,TDP1|ENSG00000042088.14|chr14,ns,0
EFCAB11|ENSG00000140025.16|chr14,-0.153463218279186,0.395567009158,0.0616128163881029,0.822023635899797,EFCAB11|ENSG00000140025.16|chr14,ns,0
FOXN3|ENSG00000053254.16|chr14,0.102717837644712,0.50374440073105,-0.0522913011551654,0.858912922967927,FOXN3|ENSG00000053254.16|chr14,ns,0
TTC8|ENSG00000165533.19|chr14,0.0860862403940113,0.636484972859231,0.116448874833379,0.609714371614174,TTC8|ENSG00000165533.19|chr14,ns,0
PPP2R5C|ENSG00000078304.20|chr14,-0.133723925572459,0.492704141931912,-0.27193982991719,0.267369825970596,PPP2R5C|ENSG00000078304.20|chr14,ns,0
WDR20|ENSG00000140153.18|chr14,0.0097597639249638,0.972510391587636,0.0145041548208583,0.959541770853995,WDR20|ENSG00000140153.18|chr14,ns,0
MOK|ENSG00000080823.23|chr14,0.227622466743748,0.255819925729433,0.104058107957813,0.64312362257891,MOK|ENSG00000080823.23|chr14,ns,0
ZNF839|ENSG00000022976.16|chr14,-0.0700777179374818,0.745302394095767,-0.058355384927429,0.765190627162331,ZNF839|ENSG00000022976.16|chr14,ns,0
SLC12A6|ENSG00000140199.13|chr15,-0.0036262945802186,0.989570733288092,-0.0953322615674701,0.650205844810699,SLC12A6|ENSG00000140199.13|chr15,ns,0
EMC4|ENSG00000128463.13|chr15,-0.165771199661882,0.190144561710019,-0.11652216569956,0.514359360222781,EMC4|ENSG00000128463.13|chr15,ns,0
KATNBL1|ENSG00000134152.11|chr15,0.136857467947131,0.491021244544908,-0.239648487923353,0.248690346372521,KATNBL1|ENSG00000134152.11|chr15,ns,0
AVEN|ENSG00000169857.9|chr15,0.0904401533134374,0.652914694356771,-0.104331078047451,0.688192787543044,AVEN|ENSG00000169857.9|chr15,ns,0
GABRB3|ENSG00000166206.15|chr15,-0.204952624358809,0.259429112210465,-0.153589189977693,0.543826445083257,GABRB3|ENSG00000166206.15|chr15,ns,0
NIPA2|ENSG00000140157.16|chr15,0.024088693082887,0.920476362217633,-0.175004308876477,0.486928990952609,NIPA2|ENSG00000140157.16|chr15,ns,0
TMEM121|ENSG00000184986.11|chr14,-0.0010302061793023,0.996841330703646,-0.303015160798698,0.179557474362959,TMEM121|ENSG00000184986.11|chr14,ns,0
TEDC1|ENSG00000185347.18|chr14,0.339400734369696,0.13567806054601,0.617161737955566,0.0420459661226359,TEDC1|ENSG00000185347.18|chr14,ns,0
MTA1|ENSG00000182979.18|chr14,-0.0975936883826935,0.408632524236244,-0.349744278230305,0.0683630139090961,MTA1|ENSG00000182979.18|chr14,ns,0
PACS2|ENSG00000179364.15|chr14,0.0542440348948086,0.812107065537437,-0.394346710409456,0.166309545323381,PACS2|ENSG00000179364.15|chr14,ns,0
BTBD6|ENSG00000184887.14|chr14,0.128262757295858,0.37822965248648,-0.342794422294668,0.139221633751602,BTBD6|ENSG00000184887.14|chr14,ns,0
BRF1|ENSG00000185024.18|chr14,0.106838790009181,0.492704141931912,0.229834716111689,0.276837954644593,BRF1|ENSG00000185024.18|chr14,ns,0
NUDT14|ENSG00000183828.15|chr14,-0.0302669101288113,0.88449180539941,-0.307444999602747,0.242186608924972,NUDT14|ENSG00000183828.15|chr14,ns,0
ZNF770|ENSG00000198146.4|chr15,0.341667424591723,0.0209765434258433,-0.0559325537845838,0.843891376483061,ZNF770|ENSG00000198146.4|chr15,ns,0
JAG2|ENSG00000184916.9|chr14,-0.294637177132555,0.158590728344111,-0.0215067447645685,0.946572345475436,JAG2|ENSG00000184916.9|chr14,ns,0
CEP170B|ENSG00000099814.17|chr14,-0.56900266867191,0.001328267041344,-0.42111489555545,0.132160430105984,CEP170B|ENSG00000099814.17|chr14,ns,0
AKT1|ENSG00000142208.18|chr14,-0.225640991291168,0.0527090517290081,-0.651276517595649,0.0001555340096658,AKT1|ENSG00000142208.18|chr14,ns,0
ZFYVE21|ENSG00000100711.14|chr14,-0.204154925115714,0.288081752540592,-0.236734466565769,0.324250893815336,ZFYVE21|ENSG00000100711.14|chr14,ns,0
COA8|ENSG00000256053.9|chr14,0.0853495311650749,0.685104316552716,-0.191032225169337,0.435215106528,COA8|ENSG00000256053.9|chr14,ns,0
BAG5|ENSG00000166170.12|chr14,0.33811963721969,0.011754395441388,0.215141160992238,0.358605456254727,BAG5|ENSG00000166170.12|chr14,ns,0
TRMT61A|ENSG00000166166.13|chr14,0.349828139145091,0.0566713455347126,0.133658857069251,0.596910899530249,TRMT61A|ENSG00000166166.13|chr14,ns,0
CKB|ENSG00000166165.14|chr14,-0.0798039313136732,0.341524776980469,0.146262570565261,0.0702443528263777,CKB|ENSG00000166165.14|chr14,ns,0
MARK3|ENSG00000075413.19|chr14,0.376451876132196,0.0155078865694641,0.200648409800405,0.398031604859179,MARK3|ENSG00000075413.19|chr14,ns,0
CDC42BPB|ENSG00000198752.11|chr14,-0.234130965647841,0.24091895660142,-0.073335160705921,0.760087340291652,CDC42BPB|ENSG00000198752.11|chr14,ns,0
TRAF3|ENSG00000131323.17|chr14,-0.13416300430948,0.478135898191561,-0.099322927519137,0.688970080004307,TRAF3|ENSG00000131323.17|chr14,ns,0
RCOR1|ENSG00000089902.10|chr14,0.157724830024819,0.423663250052498,0.0377785280291258,0.895945518493577,RCOR1|ENSG00000089902.10|chr14,ns,0
ANKRD9|ENSG00000156381.9|chr14,-0.210261717582944,0.29119096633469,0.0325594133007701,0.911966480089223,ANKRD9|ENSG00000156381.9|chr14,ns,0
CINP|ENSG00000100865.15|chr14,-0.604182207820035,0.0082589918675401,-0.425806391013121,0.091703893689353,CINP|ENSG00000100865.15|chr14,ns,0
CDCA4|ENSG00000170779.11|chr14,0.444312766971244,0.0005324505542293,0.0862556342198782,0.750831848079808,CDCA4|ENSG00000170779.11|chr14,ns,0
ZC3H14|ENSG00000100722.20|chr14,0.164925506735749,0.302594362303087,0.0754427718745576,0.792827069180501,ZC3H14|ENSG00000100722.20|chr14,ns,0
USP8|ENSG00000138592.14|chr15,0.0974134817271716,0.630606214430503,-0.0845062409179293,0.72478620874235,USP8|ENSG00000138592.14|chr15,ns,0
SPPL2A|ENSG00000138600.11|chr15,-0.452967388115432,0.0063674856972118,-0.205786858911236,0.407326065460144,SPPL2A|ENSG00000138600.11|chr15,ns,0
FAM219B|ENSG00000178761.15|chr15,0.0020958992058596,0.995131464577628,0.0154531708534015,0.962858795643548,FAM219B|ENSG00000178761.15|chr15,ns,0
MPI|ENSG00000178802.18|chr15,0.0324455722472975,0.873780432065071,-0.0295766155789681,0.919305450140728,MPI|ENSG00000178802.18|chr15,ns,0
SCAMP2|ENSG00000140497.16|chr15,-0.183969992680323,0.180799630633878,-0.100869524129343,0.59993507566784,SCAMP2|ENSG00000140497.16|chr15,ns,0
ULK3|ENSG00000140474.14|chr15,-0.11917989910774,0.451292777845259,-0.291719037610981,0.183013672212312,ULK3|ENSG00000140474.14|chr15,ns,0
CSK|ENSG00000103653.17|chr15,-0.0859442800975252,0.670480481916488,-0.0218654353809004,0.94230220393555,CSK|ENSG00000103653.17|chr15,ns,0
EDC3|ENSG00000179151.13|chr15,0.134175351231619,0.478702533533559,0.384909289505794,0.0998256054472856,EDC3|ENSG00000179151.13|chr15,ns,0
CLK3|ENSG00000179335.20|chr15,0.0526770517660446,0.810240848119442,0.164731491974648,0.441623442391459,CLK3|ENSG00000179335.20|chr15,ns,0
ARID3B|ENSG00000179361.18|chr15,0.0808704846154822,0.70227412881079,-0.182565114564721,0.468567853348933,ARID3B|ENSG00000179361.18|chr15,ns,0
STOML1|ENSG00000067221.14|chr15,0.169734166280682,0.344126748424935,-0.107616679903797,0.545358552665425,STOML1|ENSG00000067221.14|chr15,ns,0
LOXL1|ENSG00000129038.16|chr15,-0.333680280420807,0.144811822817695,-0.0977292272360316,0.685740943766763,LOXL1|ENSG00000129038.16|chr15,ns,0
CD276|ENSG00000103855.18|chr15,-0.295575598170093,0.124229060946862,-0.286803654396854,0.261419206225388,CD276|ENSG00000103855.18|chr15,ns,0
NEO1|ENSG00000067141.17|chr15,-0.172634350174496,0.266639360303215,-0.0012850828750973,0.995214219554346,NEO1|ENSG00000067141.17|chr15,ns,0
ADPGK|ENSG00000159322.18|chr15,-0.0245196727918885,0.914635699243362,-0.0312586108894933,0.922357487541561,ADPGK|ENSG00000159322.18|chr15,ns,0
BBS4|ENSG00000140463.14|chr15,0.0702249293844931,0.733778834918473,0.190143223154096,0.448668739360874,BBS4|ENSG00000140463.14|chr15,ns,0
ARIH1|ENSG00000166233.15|chr15,0.194871816438327,0.142302272476156,0.257085391633208,0.24608453140329,ARIH1|ENSG00000166233.15|chr15,ns,0
HEXA|ENSG00000213614.11|chr15,0.0458750563768034,0.832604821193074,0.0313529318625149,0.920707612311662,HEXA|ENSG00000213614.11|chr15,ns,0
PARP6|ENSG00000137817.17|chr15,0.185302435733389,0.303035972986202,-0.0296270661186309,0.913022192277522,PARP6|ENSG00000137817.17|chr15,ns,0
SENP8|ENSG00000166192.15|chr15,-0.165600991914937,0.364706577776116,0.0012029073067272,0.997983372129733,SENP8|ENSG00000166192.15|chr15,ns,0
MYO9A|ENSG00000066933.16|chr15,0.0932060835208791,0.648886900301964,0.0281885325496016,0.924599748525258,MYO9A|ENSG00000066933.16|chr15,ns,0
THAP10|ENSG00000129028.9|chr15,0.0766961939096251,0.693408386764365,0.112235144314052,0.644653242785605,THAP10|ENSG00000129028.9|chr15,ns,0
LRRC49|ENSG00000137821.12|chr15,0.0763524070250794,0.70227412881079,-0.063625463606029,0.791059652366064,LRRC49|ENSG00000137821.12|chr15,ns,0
LARP6|ENSG00000166173.11|chr15,0.207644307677006,0.290451519674762,0.0979803446785028,0.692046954745797,LARP6|ENSG00000166173.11|chr15,ns,0
UACA|ENSG00000137831.15|chr15,0.147561133335686,0.452648852771078,0.233948545472407,0.360992246513224,UACA|ENSG00000137831.15|chr15,ns,0
TLE3|ENSG00000140332.18|chr15,-0.0262583474357891,0.894488455655961,-0.109712068736933,0.623558818813572,TLE3|ENSG00000140332.18|chr15,ns,0
RPLP1|ENSG00000137818.12|chr15,0.0855059833560316,0.454843230237582,0.365353846448776,0.111720540553961,RPLP1|ENSG00000137818.12|chr15,ns,0
KIF23|ENSG00000137807.16|chr15,-0.0993739661433846,0.574509883529201,-0.189212186096032,0.439447393651687,KIF23|ENSG00000137807.16|chr15,ns,0
PAQR5|ENSG00000137819.14|chr15,-0.009362054375096,0.973543955998243,-0.105870023888908,0.607642100648026,PAQR5|ENSG00000137819.14|chr15,ns,0
RPP25|ENSG00000178718.7|chr15,0.0505250103809429,0.74734811582204,-0.111935118910197,0.60796400649855,RPP25|ENSG00000178718.7|chr15,ns,0
PPCDC|ENSG00000138621.12|chr15,0.498531731485879,0.0142665128005646,0.401351028691299,0.0801757002896522,PPCDC|ENSG00000138621.12|chr15,ns,0
C15orf39|ENSG00000167173.19|chr15,-0.232163764968547,0.21599729570617,-0.305584073976796,0.21926174400859,C15orf39|ENSG00000167173.19|chr15,ns,0
COMMD4|ENSG00000140365.16|chr15,-0.21676600223697,0.115621513494169,-0.0575309749938146,0.772555214470494,COMMD4|ENSG00000140365.16|chr15,ns,0
EFL1|ENSG00000140598.16|chr15,0.175275171936053,0.343274606123605,-0.0007926559372887,0.997983372129733,EFL1|ENSG00000140598.16|chr15,ns,0
MEX3B|ENSG00000183496.6|chr15,0.0154051852725095,0.94824958637818,0.0815138478165454,0.691598753302259,MEX3B|ENSG00000183496.6|chr15,ns,0
TLNRD1|ENSG00000140406.4|chr15,0.0067759258487666,0.980479371599909,0.0254099494600919,0.936902483309965,TLNRD1|ENSG00000140406.4|chr15,ns,0
MESD|ENSG00000117899.11|chr15,-0.0437799059133232,0.834202592354227,0.0417221216713543,0.886056218279417,MESD|ENSG00000117899.11|chr15,ns,0
ABHD17C|ENSG00000136379.12|chr15,0.0023469357744865,0.995287040712775,-0.105604349034207,0.625889022565263,ABHD17C|ENSG00000136379.12|chr15,ns,0
FAH|ENSG00000103876.14|chr15,-0.13523559294766,0.423663250052498,0.0119527246535645,0.970421727410726,FAH|ENSG00000103876.14|chr15,ns,0
ZFAND6|ENSG00000086666.19|chr15,0.21614964820496,0.24098320187836,0.261231319205914,0.279080972393015,ZFAND6|ENSG00000086666.19|chr15,ns,0
ST20-MTHFS|ENSG00000259332.3|chr15,0.0246901133334668,0.920459267432294,0.120055773468569,0.654233134292089,ST20-MTHFS|ENSG00000259332.3|chr15,ns,0
MTHFS|ENSG00000136371.11|chr15,0.149327090335419,0.371651010171251,0.0843214875338783,0.7358885361589,MTHFS|ENSG00000136371.11|chr15,ns,0
TMED3|ENSG00000166557.14|chr15,-0.0390942802072534,0.851345195257004,-0.241953448933465,0.175249283073225,TMED3|ENSG00000166557.14|chr15,ns,0
CTSH|ENSG00000103811.18|chr15,-0.0352542941725803,0.831874801389994,-0.123793129391862,0.516918784147098,CTSH|ENSG00000103811.18|chr15,ns,0
MORF4L1|ENSG00000185787.15|chr15,-0.259271708396616,0.0001512706224958,-0.0376105114882954,0.849684742509459,MORF4L1|ENSG00000185787.15|chr15,ns,0
CHRNA5|ENSG00000169684.13|chr15,-0.161980933442742,0.409243441804157,-0.0474318708887843,0.876526532365265,CHRNA5|ENSG00000169684.13|chr15,ns,0
ANP32A|ENSG00000140350.15|chr15,-0.407949106593081,9.06354128944052e-08,-0.134492679241129,0.217681224054481,ANP32A|ENSG00000140350.15|chr15,ns,0
