Gene name,Gene stable ID
APOC3,ENSG00000110245
APOC4,ENSG00000267467
APOD,ENSG00000189058
APOE,ENSG00000130203
APOF,ENSG00000175336
APOH,ENSG00000091583
APOL4,ENSG00000100336
APOL2,ENSG00000128335
APOL3,ENSG00000128284
APOL1,ENSG00000100342
APOL6,ENSG00000221963
APOL4,ENSG00000100336
APOL2,ENSG00000128335
APOL3,ENSG00000128284
APOL1,ENSG00000100342
APOLD1,ENSG00000178878
APOM,ENSG00000204444
APOO,ENSG00000184831
APP,ENSG00000142192
AQP1,ENSG00000240583
AQP11,ENSG00000178301
AQP12B,ENSG00000185176
AQP12A,ENSG00000184945
AQP2,ENSG00000167580
AQP3,ENSG00000165272
AQP4,ENSG00000171885
AQP5,ENSG00000161798
AQP6,ENSG00000086159
AQP7,ENSG00000165269
AQP7B,ENSG00000259916
AQP8,ENSG00000103375
AQP9,ENSG00000103569
AREG,ENSG00000109321
AREL1,ENSG00000119682
ARL10,ENSG00000175414
ARL6IP1,ENSG00000170540
ARL6IP5,ENSG00000144746
ARL6IP6,ENSG00000177917
ARMC10,ENSG00000170632
ARMC5,ENSG00000140691
ARMCX1,ENSG00000126947
ARMCX2,ENSG00000184867
ARMCX3,ENSG00000102401
ARSA,ENSG00000100299
ARSB,ENSG00000113273
ARSI,ENSG00000183876
ARSK,ENSG00000164291
ART1,ENSG00000129744
ART3,ENSG00000156219
ART4,ENSG00000111339
ART5,ENSG00000167311
ARTN,ENSG00000117407
ARV1,ENSG00000173409
SPCS3,ENSG00000129128
SPCS3,ENSG00000129128
ASAH1,ENSG00000104763
ASAH2,ENSG00000188611
ASB5,ENSG00000164122
ASGR1,ENSG00000141505
ASGR2,ENSG00000161944
ASIC5,ENSG00000256394
ASPH,ENSG00000198363
ASPN,ENSG00000106819
ASTN1,ENSG00000152092
ASTN2,ENSG00000148219
ATCAY,ENSG00000167654
ATG9A,ENSG00000198925
ATG9B,ENSG00000181652
ATL1,ENSG00000198513
ATL2,ENSG00000119787
ATL3,ENSG00000184743
ATP10A,ENSG00000206190
ATP10B,ENSG00000118322
ATP10D,ENSG00000145246
ATP11A,ENSG00000068650
ATP11B,ENSG00000058063
ATP11C,ENSG00000101974
ATP12A,ENSG00000075673
ATP13A1,ENSG00000105726
ATP13A2,ENSG00000159363
ATP13A3,ENSG00000133657
ATP13A4,ENSG00000127249
ATP13A5,ENSG00000187527
ATP1A1,ENSG00000163399
ATP1A2,ENSG00000018625
ATP1A3,ENSG00000105409
ATP1A4,ENSG00000132681
ATP1B1,ENSG00000143153
ATP1B2,ENSG00000129244
ATP1B3,ENSG00000069849
ATP1B4,ENSG00000101892
ATP2A1,ENSG00000196296
ATP2A2,ENSG00000174437
ATP2A3,ENSG00000074370
ATP2B1,ENSG00000070961
ATP2B2,ENSG00000157087
ATP2B3,ENSG00000067842
ATP2B4,ENSG00000058668
ATP2C1,ENSG00000017260
ATP2C2,ENSG00000064270
ATP4A,ENSG00000105675
ATP4B,ENSG00000186009
ATP5MC2,ENSG00000135390
ATP5MC3,ENSG00000154518
ATP5MF,ENSG00000241468
ATP6AP1,ENSG00000071553
ATP6AP2,ENSG00000182220
ATP6V0A1,ENSG00000033627
ATP6V0A2,ENSG00000185344
ATP6V0A4,ENSG00000105929
ATP6V0B,ENSG00000117410
ATP6V0C,ENSG00000185883
ATP6V0E1,ENSG00000113732
ATP6V0E2,ENSG00000171130
ATP7A,ENSG00000165240
ATP7B,ENSG00000123191
ATP8A1,ENSG00000124406
ATP8A2,ENSG00000132932
ATP8B1,ENSG00000081923
ATP8B2,ENSG00000143515
ATP8B3,ENSG00000130270
ATP8B4,ENSG00000104043
ATP9A,ENSG00000054793
ATP9B,ENSG00000166377
ATRAID,ENSG00000138085
ATRN,ENSG00000088812
ATRNL1,ENSG00000107518
AUH,ENSG00000148090
AUP1,ENSG00000115307
AVP,ENSG00000101200
AVPR1A,ENSG00000166148
AVPR1B,ENSG00000198049
AVPR2,ENSG00000126895
AWAT1,ENSG00000204195
AWAT2,ENSG00000147160
AXL,ENSG00000167601
AZGP1,ENSG00000160862
B2M,ENSG00000166710
B3GALNT1,ENSG00000169255
B3GALNT2,ENSG00000162885
B3GALT1,ENSG00000172318
B3GALT2,ENSG00000162630
B3GALT4,ENSG00000235863
B3GALT5,ENSG00000183778
B3GALT6,ENSG00000176022
B3GAT1,ENSG00000109956
B3GAT2,ENSG00000112309
B3GAT3,ENSG00000149541
B3GNT3,ENSG00000179913
B3GNT4,ENSG00000176383
B3GNT5,ENSG00000176597
B3GNT6,ENSG00000198488
B3GNT7,ENSG00000156966
B3GNT9,ENSG00000237172
B4GALNT1,ENSG00000135454
B4GALNT2,ENSG00000167080
B4GALNT3,ENSG00000139044
B4GALNT4,ENSG00000182272
B4GALT1,ENSG00000086062
B4GALT2,ENSG00000117411
B4GALT3,ENSG00000158850
B4GALT4,ENSG00000121578
B4GALT5,ENSG00000158470
B4GALT6,ENSG00000118276
B4GALT7,ENSG00000027847
B9D1,ENSG00000108641
C6orf89,ENSG00000198663
C3orf52,ENSG00000114529
C1orf54,ENSG00000118292
C18orf32,ENSG00000177576
SMIM35,ENSG00000255274
TSBP1,ENSG00000204296
HAVCR1,ENSG00000113249
BACE1,ENSG00000186318
BACE2,ENSG00000182240
BAK1,ENSG00000030110
BAMBI,ENSG00000095739
BAX,ENSG00000087088
BCAM,ENSG00000187244
BCAN,ENSG00000132692
BCAP29,ENSG00000075790
BCAP31,ENSG00000185825
BCHE,ENSG00000114200
BCL2L1,ENSG00000171552
BCL2L13,ENSG00000099968
BCL2L2,ENSG00000129473
BDKRB1,ENSG00000100739
BDKRB2,ENSG00000168398
BDNF,ENSG00000176697
BEST1,ENSG00000167995
BEST2,ENSG00000039987
BEST3,ENSG00000127325
BFAR,ENSG00000103429
BGLAP,ENSG00000242252
BGLAP,ENSG00000242252
BGLAP,ENSG00000242252
BGN,ENSG00000182492
BIK,ENSG00000100290
BLCAP,ENSG00000166619
BMP1,ENSG00000168487
BMP10,ENSG00000163217
BMP15,ENSG00000130385
BMP2,ENSG00000125845
BMP3,ENSG00000152785
BMP4,ENSG00000125378
BMP5,ENSG00000112175
BMP6,ENSG00000153162
BMP7,ENSG00000101144
BMPER,ENSG00000164619
BMPR1A,ENSG00000107779
BMPR1B,ENSG00000138696
BMPR2,ENSG00000204217
BNIP1,ENSG00000113734
BNIP3,ENSG00000176171
BNIP3L,ENSG00000104765
BNIPL,ENSG00000163141
BOC,ENSG00000144857
BPI,ENSG00000101425
BPIFA1,ENSG00000198183
BPIFA2,ENSG00000131050
BPIFA3,ENSG00000131059
BPIFA1,ENSG00000198183
BPIFB1,ENSG00000125999
BPIFB2,ENSG00000078898
BPIFB3,ENSG00000186190
BPIFB4,ENSG00000186191
BPIFB6,ENSG00000167104
BPIFC,ENSG00000184459
BRI3,ENSG00000164713
BRI3BP,ENSG00000184992
BRS3,ENSG00000102239
BSCL2,ENSG00000168000
BSG,ENSG00000172270
BSND,ENSG00000162399
BSPH1,ENSG00000188334
BST1,ENSG00000109743
BST2,ENSG00000130303
BTBD17,ENSG00000204347
BTC,ENSG00000174808
BTD,ENSG00000169814
BTLA,ENSG00000186265
BTN1A1,ENSG00000124557
BTN2A2,ENSG00000124508
BTNL2,ENSG00000204290
BTNL9,ENSG00000165810
BVES,ENSG00000112276
C1orf115,ENSG00000162817
C1GALT1,ENSG00000106392
C1GALT1C1,ENSG00000171155
C1QA,ENSG00000173372
C1QB,ENSG00000173369
C1QC,ENSG00000159189
C1QL1,ENSG00000131094
C1QL2,ENSG00000144119
C1QL3,ENSG00000165985
C1QL4,ENSG00000186897
C1QTNF1,ENSG00000173918
C1QTNF2,ENSG00000145861
C1QTNF3,ENSG00000082196
C1QTNF4,ENSG00000172247
C1QTNF5,ENSG00000223953
C1QTNF6,ENSG00000133466
C1QTNF7,ENSG00000163145
C1QTNF9B,ENSG00000205863
C1QTNF9,ENSG00000240654
C1R,ENSG00000159403
C1R,ENSG00000159403
C1RL,ENSG00000139178
C2,ENSG00000166278
C2CD2,ENSG00000157617
C2CD2L,ENSG00000172375
C3,ENSG00000125730
C3AR1,ENSG00000171860
C4B,ENSG00000224389
C4A,ENSG00000244731
C5AR1,ENSG00000197405
C5AR2,ENSG00000134830
C6,ENSG00000039537
C7,ENSG00000112936
C8A,ENSG00000157131
C8B,ENSG00000021852
C8G,ENSG00000176919
C9,ENSG00000113600
CABP7,ENSG00000100314
CACFD1,ENSG00000160325
CACHD1,ENSG00000158966
CACNA1A,ENSG00000141837
CACNA1B,ENSG00000148408
CACNA1C,ENSG00000151067
CACNA1D,ENSG00000157388
CACNA1E,ENSG00000198216
CACNA1F,ENSG00000102001
CACNA1G,ENSG00000006283
CACNA1H,ENSG00000196557
CACNA1I,ENSG00000100346
CACNA1S,ENSG00000081248
CACNA2D1,ENSG00000153956
CACNA2D3,ENSG00000157445
CACNG1,ENSG00000108878
CACNG2,ENSG00000166862
CACNG3,ENSG00000006116
CACNG4,ENSG00000075461
CACNG5,ENSG00000075429
CACNG6,ENSG00000130433
CACNG7,ENSG00000105605
CACNG8,ENSG00000142408
CADM1,ENSG00000182985
CADM2,ENSG00000175161
CADM3,ENSG00000162706
CADM4,ENSG00000105767
CALCA,ENSG00000110680
CALCB,ENSG00000175868
CALCR,ENSG00000004948
CALCRL,ENSG00000064989
CALHM1,ENSG00000185933
CALHM2,ENSG00000138172
CALN1,ENSG00000183166
CALR,ENSG00000179218
CALU,ENSG00000128595
CALY,ENSG00000130643
CAMK2B,ENSG00000058404
CAMP,ENSG00000164047
CANX,ENSG00000127022
CA10,ENSG00000154975
CA11,ENSG00000063180
CA12,ENSG00000074410
CA14,ENSG00000118298
CA4,ENSG00000167434
CA6,ENSG00000131686
CA9,ENSG00000107159
CARTPT,ENSG00000164326
CASD1,ENSG00000127995
CASQ1,ENSG00000143318
CASQ2,ENSG00000118729
CASR,ENSG00000036828
CATSPER1,ENSG00000175294
CATSPER2,ENSG00000166762
CATSPER3,ENSG00000152705
CATSPER4,ENSG00000188782
CATSPERB,ENSG00000133962
CATSPERD,ENSG00000174898
CATSPERG,ENSG00000099338
CATSPERG,ENSG00000099338
CAV1,ENSG00000105974
CAV2,ENSG00000105971
CAV3,ENSG00000182533
CBLN1,ENSG00000102924
CBLN2,ENSG00000141668
CBLN3,ENSG00000139899
CBLN4,ENSG00000054803
CCBE1,ENSG00000183287
CCDC107,ENSG00000159884
CCDC112,ENSG00000164221
CCDC126,ENSG00000169193
CCDC134,ENSG00000100147
CCDC136,ENSG00000128596
CCDC141,ENSG00000163492
CCDC167,ENSG00000198937
CCDC3,ENSG00000151468
CCDC47,ENSG00000108588
CCDC51,ENSG00000164051
CCDC80,ENSG00000091986
CCDC88B,ENSG00000168071
CCDC90B,ENSG00000137500
CCK,ENSG00000187094
CCKAR,ENSG00000163394
CCKBR,ENSG00000110148
CCL11,ENSG00000172156
CCL17,ENSG00000102970
CCL19,ENSG00000172724
CCL2,ENSG00000108691
CCL20,ENSG00000115009
CCL21,ENSG00000137077
CCL21,ENSG00000137077
CCL22,ENSG00000102962
CCL24,ENSG00000106178
CCL28,ENSG00000151882
CCL18,ENSG00000275385
CCL3,ENSG00000277632
CCL3L3,ENSG00000276085
CCL4,ENSG00000275302
CCL4L2,ENSG00000276070
CCL15,ENSG00000275718
CCL23,ENSG00000274736
CCL15,ENSG00000275718
CCL23,ENSG00000274736
CCPG1,ENSG00000260916
CCR1,ENSG00000163823
CCR10,ENSG00000184451
CCR1,ENSG00000163823
CCR2,ENSG00000121807
CCR3,ENSG00000183625
CCR4,ENSG00000183813
CCR5,ENSG00000160791
CCR6,ENSG00000112486
CCR7,ENSG00000126353
CCR8,ENSG00000179934
CCR9,ENSG00000173585
CCRL2,ENSG00000121797
CD101,ENSG00000134256
CD109,ENSG00000156535
CD14,ENSG00000170458
CD151,ENSG00000177697
CD160,ENSG00000117281
CD163,ENSG00000177575
CD164,ENSG00000135535
CD164L2,ENSG00000174950
CD180,ENSG00000134061
CD19,ENSG00000177455
CD1D,ENSG00000158473
CD1D,ENSG00000158473
CD2,ENSG00000116824
CD200,ENSG00000091972
CD200R1L,ENSG00000206531
CD200R1,ENSG00000163606
CD200R1L,ENSG00000206531
CD200R1,ENSG00000163606
CD200R1L,ENSG00000206531
CD200R1,ENSG00000163606
CD200R1L,ENSG00000206531
CD200R1,ENSG00000163606
CD207,ENSG00000116031
CD209,ENSG00000090659
CD209,ENSG00000090659
CD209,ENSG00000090659
CD209,ENSG00000090659
CLEC4M,ENSG00000104938
CD22,ENSG00000012124
CD226,ENSG00000150637
CD247,ENSG00000198821
CD248,ENSG00000174807
CD24,ENSG00000272398
CD27,ENSG00000139193
CD274,ENSG00000120217
CD276,ENSG00000103855
CD28,ENSG00000178562
CD300A,ENSG00000167851
CD300LD,ENSG00000204345
CD300C,ENSG00000167850
CD300E,ENSG00000186407
CD300LB,ENSG00000178789
CD300LF,ENSG00000186074
CD300LF,ENSG00000186074
CD300LG,ENSG00000161649
CD302,ENSG00000241399
CD320,ENSG00000167775
SIGLEC6,ENSG00000105492
CD33,ENSG00000105383
CD34,ENSG00000174059
CD36,ENSG00000135218
CD37,ENSG00000104894
CD38,ENSG00000004468
CD3D,ENSG00000167286
CD3E,ENSG00000198851
CD3G,ENSG00000160654
CD4,ENSG00000010610
CD40,ENSG00000101017
CD40LG,ENSG00000102245
CD44,ENSG00000026508
CD46,ENSG00000117335
CD47,ENSG00000196776
CD48,ENSG00000117091
CD5,ENSG00000110448
CD52,ENSG00000169442
CD53,ENSG00000143119
CD55,ENSG00000196352
CD59,ENSG00000085063
CD59,ENSG00000085063
CD5L,ENSG00000073754
CD6,ENSG00000013725
CD63,ENSG00000135404
CD69,ENSG00000110848
CD7,ENSG00000173762
CD70,ENSG00000125726
CD74,ENSG00000019582
CD79A,ENSG00000105369
CD79B,ENSG00000007312
CD80,ENSG00000121594
CD81,ENSG00000110651
CD82,ENSG00000085117
CD83,ENSG00000112149
CD84,ENSG00000066294
CD86,ENSG00000114013
CD8A,ENSG00000153563
CD8B2,ENSG00000254126
CD8B,ENSG00000172116
CD9,ENSG00000010278
CD93,ENSG00000125810
CD96,ENSG00000153283
CD99L2,ENSG00000102181
CDCP1,ENSG00000163814
CDCP2,ENSG00000157211
CDH1,ENSG00000039068
CDH10,ENSG00000040731
CDH11,ENSG00000140937
CDH12,ENSG00000154162
CDH13,ENSG00000140945
CDH15,ENSG00000129910
CDH16,ENSG00000166589
CDH17,ENSG00000079112
CDH18,ENSG00000145526
CDH19,ENSG00000071991
CDH2,ENSG00000170558
CDH20,ENSG00000101542
CDH22,ENSG00000149654
CDH23,ENSG00000107736
CDH24,ENSG00000139880
CDH26,ENSG00000124215
CDH3,ENSG00000062038
CDH4,ENSG00000179242
CDH5,ENSG00000179776
CDH6,ENSG00000113361
CDH7,ENSG00000081138
CDH8,ENSG00000150394
CDH9,ENSG00000113100
CDHR1,ENSG00000148600
CDHR2,ENSG00000074276
CDHR3,ENSG00000128536
CDHR4,ENSG00000187492
CDHR5,ENSG00000099834
CDIP1,ENSG00000089486
CDIPT,ENSG00000103502
CDNF,ENSG00000185267
CDON,ENSG00000064309
CDS1,ENSG00000163624
CDS2,ENSG00000101290
CDSN,ENSG00000204539
PSG5,ENSG00000204941
PSG4,ENSG00000243137
PSG9,ENSG00000183668
PSG7,ENSG00000221878
PSG6,ENSG00000170848
CEACAM1,ENSG00000079385
CEACAM8,ENSG00000124469
CEACAM7,ENSG00000007306
CEACAM5,ENSG00000105388
CEACAM6,ENSG00000086548
CEACAM3,ENSG00000170956
PSG11,ENSG00000243130
PSG2,ENSG00000242221
PSG3,ENSG00000221826
PSG8,ENSG00000124467
PSG1,ENSG00000231924
PSG5,ENSG00000204941
PSG4,ENSG00000243137
PSG9,ENSG00000183668
PSG7,ENSG00000221878
PSG6,ENSG00000170848
CEACAM1,ENSG00000079385
CEACAM8,ENSG00000124469
CEACAM7,ENSG00000007306
CEACAM5,ENSG00000105388
CEACAM6,ENSG00000086548
CEACAM3,ENSG00000170956
PSG11,ENSG00000243130
PSG2,ENSG00000242221
PSG3,ENSG00000221826
PSG8,ENSG00000124467
PSG1,ENSG00000231924
CEACAM16,ENSG00000213892
CEACAM18,ENSG00000213822
CEACAM19,ENSG00000186567
PSG5,ENSG00000204941
PSG4,ENSG00000243137
PSG9,ENSG00000183668
PSG7,ENSG00000221878
PSG6,ENSG00000170848
CEACAM1,ENSG00000079385
CEACAM8,ENSG00000124469
CEACAM7,ENSG00000007306
CEACAM5,ENSG00000105388
CEACAM6,ENSG00000086548
CEACAM3,ENSG00000170956
PSG11,ENSG00000243130
PSG2,ENSG00000242221
PSG3,ENSG00000221826
PSG8,ENSG00000124467
PSG1,ENSG00000231924
CEACAM20,ENSG00000273777
CEACAM21,ENSG00000007129
CEACAM4,ENSG00000105352
CEL,ENSG00000170835
CELA1,ENSG00000139610
CELA2A,ENSG00000142615
CELA2B,ENSG00000215704
CELA3B,ENSG00000219073
CELA3A,ENSG00000142789
CELSR1,ENSG00000075275
CELSR2,ENSG00000143126
CELSR3,ENSG00000008300
CEND1,ENSG00000184524
CEPT1,ENSG00000134255
CER1,ENSG00000147869
CERCAM,ENSG00000167123
GDF1,ENSG00000130283
CERS2,ENSG00000143418
CERS3,ENSG00000154227
CERS4,ENSG00000090661
CERS5,ENSG00000139624
CERS6,ENSG00000172292
CES1,ENSG00000198848
CES1,ENSG00000198848
CES1,ENSG00000198848
CES1,ENSG00000198848
CES1,ENSG00000198848
CES2,ENSG00000172831
CES2,ENSG00000172831
CES2,ENSG00000172831
CES2,ENSG00000172831
CES2,ENSG00000172831
CES2,ENSG00000172831
CES3,ENSG00000172828
CES3,ENSG00000172828
CES4A,ENSG00000172824
CES5A,ENSG00000159398
CFB,ENSG00000243649
CFD,ENSG00000197766
