Gene	DMSO-P0-1	DMSO-P0-2	DMSO-P0-3	TPG-P0-1	TPG-P0-2	TPG-P0-3
SPSB1|ENSG00000171621.14|chr1	2	7	1	26	1	29
SLC25A33|ENSG00000171612.7|chr1	231	249	190	166	155	116
TMEM201|ENSG00000188807.13|chr1	48	66	117	146	73	57
PIK3CD|ENSG00000171608.18|chr1	21	16	15	37	22	0
CLSTN1|ENSG00000171603.18|chr1	520	576	491	596	592	246
CTNNBIP1|ENSG00000178585.15|chr1	212	302	223	190	113	194
LZIC|ENSG00000162441.12|chr1	330	331	309	279	231	195
NMNAT1|ENSG00000173614.14|chr1	37	80	29	39	110	104
RBP7|ENSG00000162444.12|chr1	96	125	34	43	47	19
UBE4B|ENSG00000130939.20|chr1	291	328	268	174	242	115
KIF1B|ENSG00000054523.20|chr1	122	108	53	119	113	86
PGD|ENSG00000142657.21|chr1	1302	1375	1368	1547	1138	1138
CENPS-CORT|ENSG00000251503.8|chr1	30	11	33	34	55	15
CENPS|ENSG00000175279.22|chr1	537	752	626	401	445	273
CORT|ENSG00000241563.4|chr1	30	11	33	34	55	15
DFFA|ENSG00000160049.12|chr1	1188	1711	1287	1469	1249	1033
PEX14|ENSG00000142655.13|chr1	96	79	91	149	161	37
CASZ1|ENSG00000130940.15|chr1	9	7	5	17	17	0
TARDBP|ENSG00000120948.19|chr1	717	918	760	852	686	880
MASP2|ENSG00000009724.18|chr1	0	0	0	0	0	0
SRM|ENSG00000116649.10|chr1	6095	8260	6337	3837	3810	2900
EXOSC10|ENSG00000171824.14|chr1	540	650	656	784	713	549
MTOR|ENSG00000198793.14|chr1	175	229	145	198	208	100
ANGPTL7|ENSG00000171819.5|chr1	0	0	0	0	0	0
UBIAD1|ENSG00000120942.14|chr1	337	295	232	238	236	183
DISP3|ENSG00000204624.8|chr1	0	1	0	25	0	0
FBXO2|ENSG00000116661.11|chr1	11	11	1	11	0	0
FBXO44|ENSG00000132879.14|chr1	102	141	72	63	114	21
MAD2L2|ENSG00000116670.16|chr1	1352	1755	1277	1233	880	916
FBXO6|ENSG00000116663.11|chr1	17	18	65	41	20	43
DRAXIN|ENSG00000162490.7|chr1	28	13	17	14	12	0
AGTRAP|ENSG00000177674.16|chr1	326	497	351	366	310	288
C1orf167|ENSG00000215910.8|chr1	0	0	0	0	0	0
MTHFR|ENSG00000177000.13|chr1	155	194	112	167	86	124
CLCN6|ENSG00000011021.23|chr1	0	7	14	15	21	26
NPPA|ENSG00000175206.11|chr1	0	0	0	0	0	0
NPPB|ENSG00000120937.9|chr1	0	0	9	14	0	0
KIAA2013|ENSG00000116685.16|chr1	269	386	348	259	110	210
PLOD1|ENSG00000083444.17|chr1	419	542	319	299	380	312
MFN2|ENSG00000116688.18|chr1	723	842	576	669	628	211
MIIP|ENSG00000116691.11|chr1	147	144	37	194	141	203
TNFRSF8|ENSG00000120949.15|chr1	0	0	0	0	0	0
TNFRSF1B|ENSG00000028137.19|chr1	0	0	0	0	0	0
VPS13D|ENSG00000048707.15|chr1	34	63	51	97	30	60
DHRS3|ENSG00000162496.9|chr1	164	206	246	253	207	263
AADACL4|ENSG00000204518.3|chr1	0	0	0	0	0	0
AADACL3|ENSG00000188984.12|chr1	0	0	0	0	0	0
CFAP107|ENSG00000157330.10|chr1	0	0	0	0	0	0
PRAMEF12|ENSG00000116726.5|chr1	0	0	0	0	0	0
PRAMEF1|ENSG00000116721.9|chr1	0	0	0	0	0	0
PRAMEF11|ENSG00000239810.3|chr1	0	0	0	0	0	0
HNRNPCL1|ENSG00000179172.10|chr1	0	0	0	0	0	0
PRAMEF2|ENSG00000120952.4|chr1	0	0	0	0	0	0
PRAMEF4|ENSG00000243073.4|chr1	0	0	0	0	0	0
PRAMEF10|ENSG00000187545.5|chr1	0	0	0	0	0	0
PRAMEF7|ENSG00000204510.6|chr1	0	0	0	0	0	0
PRAMEF6|ENSG00000232423.6|chr1	0	0	0	0	0	0
PRAMEF27|ENSG00000274764.6|chr1	0	0	0	0	0	0
HNRNPCL3|ENSG00000277058.3|chr1	0	0	0	0	0	0
PRAMEF25|ENSG00000229571.7|chr1	0	0	0	0	0	0
HNRNPCL2|ENSG00000275774.3|chr1	0	0	0	0	0	0
PRAMEF26|ENSG00000280267.6|chr1	0	0	0	0	0	0
HNRNPCL4|ENSG00000179412.11|chr1	0	0	0	0	0	0
PRAMEF9|ENSG00000204505.5|chr1	0	0	0	0	0	0
PRAMEF13|ENSG00000279169.3|chr1	0	0	0	0	0	0
PRAMEF18|ENSG00000279804.3|chr1	0	0	0	0	0	0
PRAMEF5|ENSG00000270601.5|chr1	0	0	0	0	0	0
PRAMEF8|ENSG00000182330.11|chr1	0	0	0	0	0	0
PRAMEF33|ENSG00000237700.2|chr1	0	0	0	0	0	0
PRAMEF15|ENSG00000204501.7|chr1	0	0	0	0	0	0
PRAMEF14|ENSG00000204481.8|chr1	0	0	0	0	0	0
PRAMEF19|ENSG00000204480.9|chr1	0	0	0	0	0	0
PRAMEF17|ENSG00000204479.4|chr1	0	0	0	0	0	0
PRAMEF20|ENSG00000204478.11|chr1	0	0	0	0	0	0
LRRC38|ENSG00000162494.6|chr1	0	0	0	0	0	0
PDPN|ENSG00000162493.17|chr1	389	483	266	258	164	244
KAZN|ENSG00000189337.17|chr1	0	0	0	0	0	0
TMEM51|ENSG00000171729.14|chr1	57	30	35	40	35	14
FHAD1|ENSG00000142621.21|chr1	0	0	0	0	0	0
EFHD2|ENSG00000142634.13|chr1	132	177	141	126	87	86
CTRC|ENSG00000162438.12|chr1	0	0	0	0	0	0
CELA2A|ENSG00000142615.8|chr1	0	0	0	0	0	0
CELA2B|ENSG00000215704.10|chr1	0	0	0	0	0	0
CASP9|ENSG00000132906.18|chr1	147	194	113	166	258	126
DNAJC16|ENSG00000116138.13|chr1	30	66	57	40	72	41
AGMAT|ENSG00000116771.6|chr1	0	0	0	0	0	0
RSC1A1|ENSG00000215695.2|chr1	13	30	5	23	28	49
PLEKHM2|ENSG00000116786.13|chr1	141	229	129	225	112	179
SLC25A34|ENSG00000162461.8|chr1	0	0	0	0	0	0
TMEM82|ENSG00000162460.7|chr1	0	0	0	0	0	0
FBLIM1|ENSG00000162458.13|chr1	87	106	45	61	60	65
SPEN|ENSG00000065526.12|chr1	96	183	141	252	366	265
ZBTB17|ENSG00000116809.12|chr1	11	30	44	81	14	12
SRARP|ENSG00000183888.4|chr1	0	0	0	0	0	0
HSPB7|ENSG00000173641.18|chr1	0	0	0	0	0	0
CLCNKA|ENSG00000186510.12|chr1	0	0	0	0	0	0
CLCNKB|ENSG00000184908.20|chr1	0	0	8	0	0	0
FAM131C|ENSG00000185519.9|chr1	12	61	30	31	34	30
EPHA2|ENSG00000142627.13|chr1	52	54	29	93	52	89
ARHGEF19|ENSG00000142632.17|chr1	21	9	0	8	19	38
CPLANE2|ENSG00000132881.12|chr1	0	33	13	2	0	1
FBXO42|ENSG00000037637.11|chr1	31	9	21	57	61	37
SZRD1|ENSG00000055070.17|chr1	676	850	489	541	362	423
SPATA21|ENSG00000187144.11|chr1	0	0	0	0	0	0
NECAP2|ENSG00000157191.20|chr1	206	282	371	242	274	126
NBPF1|ENSG00000219481.11|chr1	0	0	0	0	0	0
CROCC|ENSG00000058453.17|chr1	58	67	37	72	89	0
MFAP2|ENSG00000117122.14|chr1	0	0	0	0	0	0
ATP13A2|ENSG00000159363.19|chr1	175	318	227	31	33	50
SDHB|ENSG00000117118.10|chr1	2543	2743	2054	1955	1805	2221
PADI2|ENSG00000117115.13|chr1	31	31	14	21	2	1
PADI1|ENSG00000142623.11|chr1	0	0	0	0	0	0
PADI3|ENSG00000142619.4|chr1	0	0	0	0	0	0
PADI4|ENSG00000159339.13|chr1	0	0	0	0	0	0
PADI6|ENSG00000276747.1|chr1	0	0	0	0	0	0
RCC2|ENSG00000179051.14|chr1	6	26	5	10	6	0
ARHGEF10L|ENSG00000074964.17|chr1	7	17	9	11	22	14
ACTL8|ENSG00000117148.8|chr1	105	95	108	143	39	23
IGSF21|ENSG00000117154.12|chr1	7	1	12	18	11	24
KLHDC7A|ENSG00000179023.9|chr1	0	1	0	0	0	0
PAX7|ENSG00000009709.12|chr1	7	0	0	0	21	0
ALDH4A1|ENSG00000159423.17|chr1	71	128	111	62	103	46
IFFO2|ENSG00000169991.11|chr1	22	13	6	8	16	23
UBR4|ENSG00000127481.15|chr1	124	233	190	188	253	138
EMC1|ENSG00000127463.16|chr1	288	458	352	301	272	169
MRTO4|ENSG00000053372.5|chr1	3057	3386	2802	3005	3088	2386
AKR7L|ENSG00000211454.16|chr1	0	0	0	0	0	0
AKR7A3|ENSG00000162482.5|chr1	0	0	0	21	0	0
AKR7A2|ENSG00000053371.13|chr1	1740	2481	1893	1833	1603	1321
SLC66A1|ENSG00000040487.13|chr1	92	127	130	209	216	161
CAPZB|ENSG00000077549.19|chr1	2217	3746	2637	2625	2783	2074
MICOS10|ENSG00000173436.15|chr1	3101	3652	2499	2472	2271	1642
NBL1|ENSG00000158747.15|chr1	286	433	289	264	137	179
HTR6|ENSG00000158748.4|chr1	0	10	0	19	0	1
TMCO4|ENSG00000162542.14|chr1	6	1	10	14	13	25
RNF186|ENSG00000178828.7|chr1	0	0	0	0	0	0
OTUD3|ENSG00000169914.6|chr1	0	0	26	0	6	0
PLA2G2E|ENSG00000188784.4|chr1	0	0	0	0	0	0
PLA2G2A|ENSG00000188257.12|chr1	0	0	0	0	0	0
PLA2G5|ENSG00000127472.11|chr1	0	0	0	0	0	0
PLA2G2D|ENSG00000117215.15|chr1	0	0	0	0	0	0
PLA2G2F|ENSG00000158786.5|chr1	0	0	0	0	0	0
PLA2G2C|ENSG00000187980.7|chr1	0	0	0	0	0	0
UBXN10|ENSG00000162543.6|chr1	0	0	0	0	0	0
VWA5B1|ENSG00000158816.16|chr1	0	0	0	0	0	0
CAMK2N1|ENSG00000162545.6|chr1	202	238	200	145	123	83
MUL1|ENSG00000090432.7|chr1	96	84	72	132	58	113
FAM43B|ENSG00000183114.8|chr1	0	0	0	0	0	12
CDA|ENSG00000158825.6|chr1	23	35	2	26	20	17
PINK1|ENSG00000158828.8|chr1	1247	1303	941	1096	882	703
DDOST|ENSG00000244038.11|chr1	1928	2323	1646	1821	1689	1546
KIF17|ENSG00000117245.13|chr1	0	6	0	19	18	11
SH2D5|ENSG00000189410.12|chr1	13	23	86	5	38	47
HP1BP3|ENSG00000127483.19|chr1	466	643	521	486	457	211
EIF4G3|ENSG00000075151.24|chr1	1404	1577	1292	997	971	821
ECE1|ENSG00000117298.16|chr1	347	506	390	364	330	279
NBPF3|ENSG00000142794.19|chr1	56	50	23	11	45	18
ALPL|ENSG00000162551.14|chr1	0	6	0	7	17	17
USP48|ENSG00000090686.16|chr1	294	365	370	473	324	335
LDLRAD2|ENSG00000187942.12|chr1	0	0	0	0	0	0
HSPG2|ENSG00000142798.20|chr1	20	33	42	0	0	0
CELA3B|ENSG00000219073.8|chr1	0	0	0	0	0	0
CELA3A|ENSG00000142789.20|chr1	0	0	0	0	0	0
ENSG00000289694|ENSG00000289694.1|chr1	281	366	229	281	169	298
CDC42|ENSG00000070831.18|chr1	3316	4229	3477	2943	2333	2420
WNT4|ENSG00000162552.15|chr1	2	13	9	0	15	0
ZBTB40|ENSG00000184677.18|chr1	33	25	42	79	67	64
EPHA8|ENSG00000070886.12|chr1	2	0	0	0	0	0
C1QA|ENSG00000173372.18|chr1	0	0	0	0	0	0
C1QC|ENSG00000159189.13|chr1	0	0	0	0	0	0
C1QB|ENSG00000173369.18|chr1	0	0	0	0	0	0
EPHB2|ENSG00000133216.17|chr1	49	61	50	20	171	12
TEX46|ENSG00000227868.7|chr1	4	14	2	0	7	6
KDM1A|ENSG00000004487.18|chr1	540	628	400	607	710	547
LUZP1|ENSG00000169641.14|chr1	19	33	35	16	30	16
HTR1D|ENSG00000179546.5|chr1	0	0	0	0	0	25
HNRNPR|ENSG00000125944.21|chr1	2	0	12	0	0	0
ZNF436|ENSG00000125945.15|chr1	0	0	0	0	0	0
TCEA3|ENSG00000204219.11|chr1	0	0	0	0	0	0
ASAP3|ENSG00000088280.20|chr1	0	0	0	0	0	0
E2F2|ENSG00000007968.7|chr1	0	0	0	0	0	0
RPL11|ENSG00000142676.14|chr1	1408	1842	2022	2796	2259	2501
ELOA|ENSG00000011007.13|chr1	186	111	151	131	181	221
PITHD1|ENSG00000057757.10|chr1	486	699	717	1020	883	833
LYPLA2|ENSG00000011009.11|chr1	293	407	321	304	215	253
GALE|ENSG00000117308.15|chr1	271	292	272	301	300	227
HMGCL|ENSG00000117305.15|chr1	108	80	57	104	83	71
FUCA1|ENSG00000179163.12|chr1	406	541	435	416	263	222
CNR2|ENSG00000188822.8|chr1	0	0	0	0	0	0
PNRC2|ENSG00000189266.13|chr1	26	83	42	202	120	86
SRSF10|ENSG00000188529.15|chr1	1234	1588	1234	1578	1585	1309
MYOM3|ENSG00000142661.19|chr1	0	0	0	0	0	0
IL22RA1|ENSG00000142677.4|chr1	0	5	0	0	0	0
IFNLR1|ENSG00000185436.12|chr1	4	2	3	7	9	28
GRHL3|ENSG00000158055.17|chr1	13	0	0	0	0	0
STPG1|ENSG00000001460.18|chr1	16	18	0	3	0	57
NIPAL3|ENSG00000001461.17|chr1	323	423	278	227	285	262
RCAN3|ENSG00000117602.13|chr1	169	152	151	82	181	60
NCMAP|ENSG00000184454.7|chr1	0	0	0	0	0	0
SRRM1|ENSG00000133226.18|chr1	208	421	327	348	279	261
CLIC4|ENSG00000169504.15|chr1	448	544	435	363	364	217
RUNX3|ENSG00000020633.19|chr1	81	149	109	97	84	42
SYF2|ENSG00000117614.10|chr1	323	348	270	437	307	256
RSRP1|ENSG00000117616.18|chr1	28	33	21	34	8	2
RHD|ENSG00000187010.21|chr1	0	0	0	0	0	0
TMEM50A|ENSG00000183726.11|chr1	2198	2617	2272	1568	1314	1470
RHCE|ENSG00000188672.19|chr1	16	4	5	0	1	0
MACO1|ENSG00000204178.11|chr1	32	57	9	95	159	185
LDLRAP1|ENSG00000157978.12|chr1	218	286	367	305	236	129
MAN1C1|ENSG00000117643.15|chr1	3	8	7	1	32	30
SELENON|ENSG00000162430.18|chr1	212	253	334	231	139	174
MTFR1L|ENSG00000117640.18|chr1	217	228	225	243	190	192
AUNIP|ENSG00000127423.11|chr1	37	53	60	98	87	108
PAQR7|ENSG00000182749.6|chr1	0	0	0	0	0	43
STMN1|ENSG00000117632.23|chr1	10196	12450	9338	10650	8843	8473
PAFAH2|ENSG00000158006.14|chr1	57	83	61	39	18	16
EXTL1|ENSG00000158008.10|chr1	0	9	0	0	0	0
SLC30A2|ENSG00000158014.15|chr1	0	0	0	0	0	0
TRIM63|ENSG00000158022.7|chr1	0	0	0	0	0	0
PDIK1L|ENSG00000175087.10|chr1	47	16	21	22	39	0
FAM110D|ENSG00000197245.6|chr1	0	0	0	0	0	0
C1orf232|ENSG00000282872.2|chr1	0	0	0	0	0	0
ZNF593|ENSG00000142684.9|chr1	774	910	721	1026	1163	750
CNKSR1|ENSG00000142675.18|chr1	0	8	6	18	0	26
CATSPER4|ENSG00000188782.9|chr1	0	0	0	0	0	0
CEP85|ENSG00000130695.16|chr1	23	53	0	62	57	26
SH3BGRL3|ENSG00000142669.15|chr1	1037	1190	834	867	608	467
UBXN11|ENSG00000158062.21|chr1	0	0	0	0	0	0
CD52|ENSG00000169442.9|chr1	0	0	0	0	0	0
CRYBG2|ENSG00000176092.17|chr1	10	10	16	0	0	29
ZNF683|ENSG00000176083.18|chr1	0	0	0	0	0	0
LIN28A|ENSG00000131914.11|chr1	0	0	0	0	0	0
DHDDS|ENSG00000117682.18|chr1	102	116	96	159	153	113
HMGN2|ENSG00000198830.11|chr1	252	452	375	252	200	201
RPS6KA1|ENSG00000117676.14|chr1	0	0	0	0	0	0
ARID1A|ENSG00000117713.21|chr1	69	139	121	173	152	64
PIGV|ENSG00000060642.12|chr1	28	56	48	39	15	34
ZDHHC18|ENSG00000204160.12|chr1	92	119	114	73	105	18
SFN|ENSG00000175793.12|chr1	12	10	1	0	2	18
GPN2|ENSG00000142751.15|chr1	222	280	167	230	264	183
GPATCH3|ENSG00000198746.13|chr1	31	43	52	90	119	10
NUDC|ENSG00000090273.14|chr1	3058	3745	3056	3606	3250	2626
NR0B2|ENSG00000131910.5|chr1	0	0	0	0	0	0
KDF1|ENSG00000175707.10|chr1	0	0	0	0	0	0
TENT5B|ENSG00000158246.8|chr1	13	0	0	0	0	0
SLC9A1|ENSG00000090020.11|chr1	61	101	74	48	63	21
WDTC1|ENSG00000142784.16|chr1	132	133	92	83	31	83
TMEM222|ENSG00000186501.15|chr1	301	339	294	250	235	200
SYTL1|ENSG00000142765.18|chr1	12	5	29	1	2	21
MAP3K6|ENSG00000142733.18|chr1	87	39	45	81	9	55
FCN3|ENSG00000142748.14|chr1	0	0	0	0	0	0
CD164L2|ENSG00000174950.11|chr1	0	0	0	0	0	0
GPR3|ENSG00000181773.7|chr1	6	6	15	4	4	0
WASF2|ENSG00000158195.11|chr1	970	1335	920	1052	1048	711
FGR|ENSG00000000938.13|chr1	12	0	0	0	0	0
IFI6|ENSG00000126709.16|chr1	449	545	374	448	333	294
FAM76A|ENSG00000009780.16|chr1	86	64	97	175	140	127
STX12|ENSG00000117758.14|chr1	180	268	275	161	211	364
PPP1R8|ENSG00000117751.18|chr1	140	193	112	251	160	178
THEMIS2|ENSG00000130775.16|chr1	0	3	0	17	0	0
RPA2|ENSG00000117748.10|chr1	724	970	776	832	972	782
SMPDL3B|ENSG00000130768.15|chr1	193	262	133	94	149	74
XKR8|ENSG00000158156.9|chr1	76	77	35	90	43	41
EYA3|ENSG00000158161.16|chr1	155	209	153	184	153	102
PTAFR|ENSG00000169403.12|chr1	0	3	0	0	0	0
DNAJC8|ENSG00000126698.11|chr1	2389	3127	2433	2659	2168	2198
ATP5IF1|ENSG00000130770.18|chr1	5	28	9	31	2	5
SESN2|ENSG00000130766.5|chr1	0	0	0	13	0	0
MED18|ENSG00000130772.14|chr1	0	0	0	0	0	0
PHACTR4|ENSG00000204138.13|chr1	242	333	314	318	337	421
RCC1|ENSG00000180198.17|chr1	653	898	581	872	643	478
TRNAU1AP|ENSG00000180098.9|chr1	464	530	376	492	481	425
TAF12|ENSG00000120656.14|chr1	133	266	260	234	179	142
RAB42|ENSG00000188060.8|chr1	0	0	4	0	0	0
GMEB1|ENSG00000162419.13|chr1	81	64	90	237	146	128
YTHDF2|ENSG00000198492.16|chr1	179	184	193	414	310	162
OPRD1|ENSG00000116329.12|chr1	39	20	0	12	27	27
TMEM200B|ENSG00000253304.2|chr1	1	0	0	0	0	0
SRSF4|ENSG00000116350.18|chr1	292	307	196	724	632	436
MECR|ENSG00000116353.16|chr1	349	359	194	306	175	208
PTPRU|ENSG00000060656.20|chr1	98	114	108	129	47	52
MATN1|ENSG00000162510.6|chr1	0	0	0	0	0	0
LAPTM5|ENSG00000162511.8|chr1	0	0	0	0	0	0
SDC3|ENSG00000162512.16|chr1	32	45	29	20	30	1
PUM1|ENSG00000134644.16|chr1	162	171	97	94	208	90
NKAIN1|ENSG00000084628.10|chr1	38	5	14	0	0	0
SNRNP40|ENSG00000060688.13|chr1	252	331	199	260	282	150
ZCCHC17|ENSG00000121766.16|chr1	423	467	359	351	250	152
FABP3|ENSG00000121769.8|chr1	0	0	3	0	0	0
SERINC2|ENSG00000168528.12|chr1	238	296	169	59	47	109
TINAGL1|ENSG00000142910.16|chr1	3	13	0	15	0	0
HCRTR1|ENSG00000121764.12|chr1	0	0	0	0	0	0
PEF1|ENSG00000162517.13|chr1	1347	1772	1792	1470	1357	1193
COL16A1|ENSG00000084636.18|chr1	0	0	5	0	0	0
ADGRB2|ENSG00000121753.13|chr1	18	65	20	8	22	17
SPOCD1|ENSG00000134668.13|chr1	0	0	0	0	0	0
PTP4A2|ENSG00000184007.22|chr1	3816	4799	3745	3157	2682	2997
KHDRBS1|ENSG00000121774.18|chr1	4774	5513	4538	4855	4260	3566
TMEM39B|ENSG00000121775.18|chr1	120	245	190	229	182	188
KPNA6|ENSG00000025800.14|chr1	1403	1590	1372	1516	1439	1141
TXLNA|ENSG00000084652.16|chr1	324	329	302	387	313	226
CCDC28B|ENSG00000160050.16|chr1	200	347	228	203	192	249
IQCC|ENSG00000160051.12|chr1	4	25	38	14	32	22
DCDC2B|ENSG00000222046.3|chr1	0	0	0	0	0	0
