Gene	DMSO-Total-1	DMSO-Total-2	DMSO-Total-3	TPG-Total-1	TPG-Total-2	TPG-Total-3
MRPL20|ENSG00000242485.6|chr1	4912	4003	3966	3909	3784	3657
ANKRD65|ENSG00000235098.9|chr1	4	0	0	4	0	13
TMEM88B|ENSG00000205116.4|chr1	0	0	0	1	0	0
VWA1|ENSG00000179403.12|chr1	56	42	21	22	47	51
ATAD3C|ENSG00000215915.10|chr1	1	0	0	3	0	0
ATAD3B|ENSG00000160072.20|chr1	213	177	216	195	320	206
ATAD3A|ENSG00000197785.14|chr1	767	747	606	887	918	712
TMEM240|ENSG00000205090.9|chr1	6	1	0	4	0	0
SSU72|ENSG00000160075.12|chr1	961	816	845	861	909	785
FNDC10|ENSG00000228594.4|chr1	70	146	73	63	57	50
MIB2|ENSG00000197530.13|chr1	101	97	92	82	121	78
MMP23B|ENSG00000189409.14|chr1	0	0	0	0	0	0
CDK11B|ENSG00000248333.9|chr1	0	4	8	3	0	5
SLC35E2B|ENSG00000189339.12|chr1	389	300	345	246	246	309
CDK11A|ENSG00000008128.23|chr1	0	0	0	0	0	0
NADK|ENSG00000008130.15|chr1	321	283	223	308	372	306
CALML6|ENSG00000169885.10|chr1	0	0	0	0	0	0
TMEM52|ENSG00000178821.13|chr1	19	12	13	9	6	7
CFAP74|ENSG00000142609.20|chr1	0	0	4	0	0	0
GABRD|ENSG00000187730.9|chr1	13	7	17	19	3	24
PRKCZ|ENSG00000067606.17|chr1	294	197	177	415	399	371
FAAP20|ENSG00000162585.17|chr1	158	160	160	181	150	134
SKI|ENSG00000157933.10|chr1	1739	1339	1337	1433	1210	1227
MORN1|ENSG00000116151.14|chr1	1	0	2	12	0	5
RER1|ENSG00000157916.20|chr1	1680	1516	1413	1611	1731	1393
PEX10|ENSG00000157911.11|chr1	648	586	552	593	502	581
PLCH2|ENSG00000149527.18|chr1	0	0	0	0	0	0
PANK4|ENSG00000157881.16|chr1	0	0	0	2	0	0
HES5|ENSG00000197921.6|chr1	0	0	0	0	0	0
TNFRSF14|ENSG00000157873.18|chr1	0	0	0	0	0	0
PRXL2B|ENSG00000157870.17|chr1	0	0	0	0	0	0
MMEL1|ENSG00000142606.16|chr1	0	0	0	0	0	0
TTC34|ENSG00000215912.13|chr1	0	0	0	0	0	0
ACTRT2|ENSG00000169717.7|chr1	0	0	0	0	0	0
PRDM16|ENSG00000142611.17|chr1	172	145	202	156	196	77
ARHGEF16|ENSG00000130762.15|chr1	13	27	25	38	42	54
MEGF6|ENSG00000162591.17|chr1	21	24	11	13	0	0
TPRG1L|ENSG00000158109.15|chr1	395	363	426	282	301	250
WRAP73|ENSG00000116213.16|chr1	704	583	609	717	777	749
TP73|ENSG00000078900.15|chr1	238	159	213	190	358	239
CCDC27|ENSG00000162592.10|chr1	0	0	0	0	0	0
SMIM1|ENSG00000235169.11|chr1	8	17	9	43	6	25
LRRC47|ENSG00000130764.10|chr1	2167	1639	1925	2316	2320	1945
CEP104|ENSG00000116198.14|chr1	157	192	140	170	178	216
DFFB|ENSG00000169598.17|chr1	322	288	272	286	244	250
C1orf174|ENSG00000198912.12|chr1	328	319	323	402	289	399
NPHP4|ENSG00000131697.18|chr1	148	122	197	167	138	181
KCNAB2|ENSG00000069424.16|chr1	18	22	13	29	29	38
RPL22|ENSG00000116251.11|chr1	2194	2410	2470	2325	2127	2213
RNF207|ENSG00000158286.13|chr1	11	12	16	24	21	16
ICMT|ENSG00000116237.16|chr1	2001	1866	2018	1679	1352	1449
HES3|ENSG00000173673.8|chr1	0	0	0	0	0	0
GPR153|ENSG00000158292.7|chr1	237	195	163	168	189	133
ACOT7|ENSG00000097021.20|chr1	1193	1128	1114	1189	1010	1157
HES2|ENSG00000069812.11|chr1	7	2	0	21	2	0
ESPN|ENSG00000187017.18|chr1	0	0	0	0	0	0
TNFRSF25|ENSG00000215788.11|chr1	14	23	13	45	0	2
PLEKHG5|ENSG00000171680.23|chr1	12	15	5	26	22	15
NOL9|ENSG00000162408.11|chr1	2412	1812	2164	2406	2466	1997
TAS1R1|ENSG00000173662.21|chr1	5	0	0	4	0	3
ZBTB48|ENSG00000204859.13|chr1	51	60	63	118	87	99
KLHL21|ENSG00000162413.17|chr1	1022	933	896	893	1027	969
PHF13|ENSG00000116273.6|chr1	423	455	384	443	355	353
THAP3|ENSG00000041988.16|chr1	287	135	215	311	329	345
DNAJC11|ENSG00000007923.17|chr1	605	545	611	545	624	602
CAMTA1|ENSG00000171735.20|chr1	231	198	160	243	244	165
VAMP3|ENSG00000049245.13|chr1	1130	964	730	828	965	757
PER3|ENSG00000049246.15|chr1	16	35	33	36	20	12
UTS2|ENSG00000049247.14|chr1	0	0	0	0	0	0
TNFRSF9|ENSG00000049249.10|chr1	0	0	1	0	0	0
PARK7|ENSG00000116288.13|chr1	6210	5730	5362	5039	4604	4930
ERRFI1|ENSG00000116285.13|chr1	205	255	203	311	278	315
SLC45A1|ENSG00000162426.16|chr1	1	2	0	0	0	0
RERE|ENSG00000142599.19|chr1	987	848	999	1015	892	839
ENO1|ENSG00000074800.16|chr1	44788	37310	39653	39365	41668	38921
CA6|ENSG00000131686.15|chr1	0	0	0	2	0	0
SLC2A7|ENSG00000197241.4|chr1	0	0	0	0	5	0
SLC2A5|ENSG00000142583.18|chr1	0	0	0	0	0	0
GPR157|ENSG00000180758.12|chr1	201	171	198	162	118	87
H6PD|ENSG00000049239.13|chr1	168	143	138	137	187	128
SPSB1|ENSG00000171621.14|chr1	63	86	96	62	77	61
SLC25A33|ENSG00000171612.7|chr1	692	812	734	836	761	647
TMEM201|ENSG00000188807.13|chr1	196	207	134	143	180	192
PIK3CD|ENSG00000171608.18|chr1	32	18	31	24	32	20
CLSTN1|ENSG00000171603.18|chr1	768	710	741	687	843	617
CTNNBIP1|ENSG00000178585.15|chr1	309	317	274	242	326	281
LZIC|ENSG00000162441.12|chr1	550	580	555	541	516	525
NMNAT1|ENSG00000173614.14|chr1	131	100	108	128	121	123
RBP7|ENSG00000162444.12|chr1	62	75	64	56	27	30
UBE4B|ENSG00000130939.20|chr1	562	529	529	464	391	381
KIF1B|ENSG00000054523.20|chr1	282	231	250	279	293	264
PGD|ENSG00000142657.21|chr1	1244	1073	1286	1274	1265	1074
CENPS-CORT|ENSG00000251503.8|chr1	38	65	47	46	60	40
CENPS|ENSG00000175279.22|chr1	803	719	585	704	641	700
CORT|ENSG00000241563.4|chr1	38	65	47	46	60	40
DFFA|ENSG00000160049.12|chr1	2513	2381	2306	2440	2334	2177
PEX14|ENSG00000142655.13|chr1	260	188	227	290	264	296
CASZ1|ENSG00000130940.15|chr1	71	66	76	107	65	59
TARDBP|ENSG00000120948.19|chr1	1410	1210	1272	1171	1249	951
MASP2|ENSG00000009724.18|chr1	0	0	0	0	0	0
SRM|ENSG00000116649.10|chr1	4557	3723	3114	3608	3655	3232
EXOSC10|ENSG00000171824.14|chr1	848	782	740	961	1159	962
MTOR|ENSG00000198793.14|chr1	514	571	567	489	603	408
ANGPTL7|ENSG00000171819.5|chr1	0	0	0	0	0	0
UBIAD1|ENSG00000120942.14|chr1	717	700	666	839	809	862
DISP3|ENSG00000204624.8|chr1	12	16	0	7	0	4
FBXO2|ENSG00000116661.11|chr1	4	1	0	2	0	5
FBXO44|ENSG00000132879.14|chr1	114	87	103	114	124	135
MAD2L2|ENSG00000116670.16|chr1	849	893	704	849	879	876
FBXO6|ENSG00000116663.11|chr1	17	22	14	32	53	52
DRAXIN|ENSG00000162490.7|chr1	20	19	14	17	20	10
AGTRAP|ENSG00000177674.16|chr1	320	286	303	254	399	265
C1orf167|ENSG00000215910.8|chr1	0	0	0	0	0	0
MTHFR|ENSG00000177000.13|chr1	378	259	316	288	217	290
CLCN6|ENSG00000011021.23|chr1	46	52	53	53	43	45
NPPA|ENSG00000175206.11|chr1	0	0	0	0	0	0
NPPB|ENSG00000120937.9|chr1	6	13	0	9	0	4
KIAA2013|ENSG00000116685.16|chr1	796	583	597	480	583	435
PLOD1|ENSG00000083444.17|chr1	560	334	449	453	558	514
MFN2|ENSG00000116688.18|chr1	1625	1319	1380	1597	1318	1405
MIIP|ENSG00000116691.11|chr1	146	125	135	235	147	210
TNFRSF8|ENSG00000120949.15|chr1	0	0	0	0	0	0
TNFRSF1B|ENSG00000028137.19|chr1	5	0	3	0	0	3
VPS13D|ENSG00000048707.15|chr1	179	191	199	202	189	187
DHRS3|ENSG00000162496.9|chr1	251	177	195	259	227	239
AADACL4|ENSG00000204518.3|chr1	0	0	0	0	0	0
AADACL3|ENSG00000188984.12|chr1	0	0	0	0	0	0
CFAP107|ENSG00000157330.10|chr1	0	0	0	4	0	0
PRAMEF12|ENSG00000116726.5|chr1	0	0	0	0	0	0
PRAMEF1|ENSG00000116721.9|chr1	0	0	0	0	0	0
PRAMEF11|ENSG00000239810.3|chr1	0	0	0	0	0	0
HNRNPCL1|ENSG00000179172.10|chr1	0	0	0	0	0	0
PRAMEF2|ENSG00000120952.4|chr1	0	0	0	0	0	0
PRAMEF4|ENSG00000243073.4|chr1	0	0	0	0	0	0
PRAMEF10|ENSG00000187545.5|chr1	0	0	0	0	0	0
PRAMEF7|ENSG00000204510.6|chr1	0	0	0	0	0	0
PRAMEF6|ENSG00000232423.6|chr1	0	0	0	0	0	0
PRAMEF27|ENSG00000274764.6|chr1	0	0	0	0	0	0
HNRNPCL3|ENSG00000277058.3|chr1	0	0	0	0	0	0
PRAMEF25|ENSG00000229571.7|chr1	0	0	0	0	0	0
HNRNPCL2|ENSG00000275774.3|chr1	0	0	0	0	0	0
PRAMEF26|ENSG00000280267.6|chr1	0	0	0	0	0	0
HNRNPCL4|ENSG00000179412.11|chr1	0	0	0	0	0	0
PRAMEF9|ENSG00000204505.5|chr1	0	0	0	0	0	0
PRAMEF13|ENSG00000279169.3|chr1	0	0	0	0	0	0
PRAMEF18|ENSG00000279804.3|chr1	0	0	0	0	0	0
PRAMEF5|ENSG00000270601.5|chr1	0	0	0	0	0	0
PRAMEF8|ENSG00000182330.11|chr1	0	0	0	0	0	0
PRAMEF33|ENSG00000237700.2|chr1	0	0	0	0	0	0
PRAMEF15|ENSG00000204501.7|chr1	0	0	0	0	0	0
PRAMEF14|ENSG00000204481.8|chr1	0	0	0	0	3	0
PRAMEF19|ENSG00000204480.9|chr1	0	0	0	0	0	0
PRAMEF17|ENSG00000204479.4|chr1	0	0	0	0	0	0
PRAMEF20|ENSG00000204478.11|chr1	0	0	0	0	0	0
LRRC38|ENSG00000162494.6|chr1	0	0	0	0	0	0
PDPN|ENSG00000162493.17|chr1	436	348	404	366	339	283
KAZN|ENSG00000189337.17|chr1	0	0	5	2	0	8
TMEM51|ENSG00000171729.14|chr1	235	196	209	313	206	253
FHAD1|ENSG00000142621.21|chr1	0	0	0	0	0	0
EFHD2|ENSG00000142634.13|chr1	131	162	143	147	86	144
CTRC|ENSG00000162438.12|chr1	0	0	0	0	0	0
CELA2A|ENSG00000142615.8|chr1	0	0	0	6	0	0
CELA2B|ENSG00000215704.10|chr1	0	0	0	0	0	1
CASP9|ENSG00000132906.18|chr1	180	149	201	252	185	215
DNAJC16|ENSG00000116138.13|chr1	306	252	284	304	344	350
AGMAT|ENSG00000116771.6|chr1	3	3	4	0	0	3
RSC1A1|ENSG00000215695.2|chr1	42	74	72	74	68	65
PLEKHM2|ENSG00000116786.13|chr1	337	222	255	304	307	217
SLC25A34|ENSG00000162461.8|chr1	0	0	0	1	10	2
TMEM82|ENSG00000162460.7|chr1	0	0	0	0	0	0
FBLIM1|ENSG00000162458.13|chr1	176	130	107	136	172	140
SPEN|ENSG00000065526.12|chr1	1919	1730	1696	2607	2791	2629
ZBTB17|ENSG00000116809.12|chr1	90	90	76	170	146	140
SRARP|ENSG00000183888.4|chr1	0	0	0	0	5	0
HSPB7|ENSG00000173641.18|chr1	0	0	0	0	0	0
CLCNKA|ENSG00000186510.12|chr1	0	0	0	0	0	0
CLCNKB|ENSG00000184908.20|chr1	0	1	0	0	0	0
FAM131C|ENSG00000185519.9|chr1	15	20	0	24	16	5
EPHA2|ENSG00000142627.13|chr1	488	317	328	740	547	627
ARHGEF19|ENSG00000142632.17|chr1	27	23	10	48	37	29
CPLANE2|ENSG00000132881.12|chr1	4	3	15	26	7	40
FBXO42|ENSG00000037637.11|chr1	174	169	173	252	247	189
SZRD1|ENSG00000055070.17|chr1	1402	1190	1137	1143	1073	1035
SPATA21|ENSG00000187144.11|chr1	0	0	0	0	0	0
NECAP2|ENSG00000157191.20|chr1	457	433	482	467	547	466
NBPF1|ENSG00000219481.11|chr1	0	0	0	0	0	0
CROCC|ENSG00000058453.17|chr1	184	156	122	157	74	136
MFAP2|ENSG00000117122.14|chr1	0	0	0	0	0	0
ATP13A2|ENSG00000159363.19|chr1	149	162	149	64	53	74
SDHB|ENSG00000117118.10|chr1	1916	1957	1650	1760	1913	1503
PADI2|ENSG00000117115.13|chr1	15	9	18	19	26	9
PADI1|ENSG00000142623.11|chr1	0	0	0	0	0	0
PADI3|ENSG00000142619.4|chr1	0	0	0	0	0	0
PADI4|ENSG00000159339.13|chr1	0	0	0	0	0	0
PADI6|ENSG00000276747.1|chr1	0	0	0	0	0	0
RCC2|ENSG00000179051.14|chr1	11	5	20	14	19	19
ARHGEF10L|ENSG00000074964.17|chr1	34	12	26	62	71	21
ACTL8|ENSG00000117148.8|chr1	66	65	72	75	68	53
IGSF21|ENSG00000117154.12|chr1	0	3	2	4	3	6
KLHDC7A|ENSG00000179023.9|chr1	0	2	6	4	0	5
PAX7|ENSG00000009709.12|chr1	0	4	2	14	8	5
ALDH4A1|ENSG00000159423.17|chr1	135	147	91	131	125	163
IFFO2|ENSG00000169991.11|chr1	57	69	87	64	78	76
UBR4|ENSG00000127481.15|chr1	605	461	474	657	713	701
EMC1|ENSG00000127463.16|chr1	438	442	443	537	495	481
MRTO4|ENSG00000053372.5|chr1	3269	2870	2896	3454	3256	2777
AKR7L|ENSG00000211454.16|chr1	5	0	3	11	17	20
AKR7A3|ENSG00000162482.5|chr1	23	0	10	18	16	22
AKR7A2|ENSG00000053371.13|chr1	1342	1079	1169	1134	1296	1217
SLC66A1|ENSG00000040487.13|chr1	168	133	134	170	199	189
CAPZB|ENSG00000077549.19|chr1	3540	2756	2761	2946	2494	2806
MICOS10|ENSG00000173436.15|chr1	1718	1495	1411	1309	1475	1145
NBL1|ENSG00000158747.15|chr1	271	209	226	238	257	249
HTR6|ENSG00000158748.4|chr1	0	4	1	2	0	3
TMCO4|ENSG00000162542.14|chr1	12	22	0	25	24	14
RNF186|ENSG00000178828.7|chr1	0	0	0	0	0	0
OTUD3|ENSG00000169914.6|chr1	167	143	160	151	154	149
PLA2G2E|ENSG00000188784.4|chr1	0	0	0	0	0	0
PLA2G2A|ENSG00000188257.12|chr1	0	0	0	0	0	0
PLA2G5|ENSG00000127472.11|chr1	0	0	0	0	0	0
PLA2G2D|ENSG00000117215.15|chr1	0	2	0	0	0	0
PLA2G2F|ENSG00000158786.5|chr1	0	0	0	0	0	0
PLA2G2C|ENSG00000187980.7|chr1	0	0	0	0	0	0
UBXN10|ENSG00000162543.6|chr1	0	0	0	0	0	0
VWA5B1|ENSG00000158816.16|chr1	0	0	0	0	0	0
CAMK2N1|ENSG00000162545.6|chr1	489	390	468	497	448	435
MUL1|ENSG00000090432.7|chr1	434	272	267	434	482	352
FAM43B|ENSG00000183114.8|chr1	10	12	8	3	0	13
CDA|ENSG00000158825.6|chr1	19	7	18	7	17	11
PINK1|ENSG00000158828.8|chr1	967	773	874	781	856	635
DDOST|ENSG00000244038.11|chr1	1022	967	853	958	1067	896
KIF17|ENSG00000117245.13|chr1	18	20	10	20	22	9
SH2D5|ENSG00000189410.12|chr1	49	81	84	47	56	50
HP1BP3|ENSG00000127483.19|chr1	1206	1069	1294	1397	1310	1191
EIF4G3|ENSG00000075151.24|chr1	1543	1521	1525	1409	1637	1290
ECE1|ENSG00000117298.16|chr1	526	510	453	462	459	422
NBPF3|ENSG00000142794.19|chr1	128	73	63	93	119	85
ALPL|ENSG00000162551.14|chr1	2	14	12	7	6	2
USP48|ENSG00000090686.16|chr1	426	416	389	462	476	315
LDLRAD2|ENSG00000187942.12|chr1	0	0	0	0	0	0
HSPG2|ENSG00000142798.20|chr1	30	48	26	15	0	17
CELA3B|ENSG00000219073.8|chr1	0	0	0	0	0	0
CELA3A|ENSG00000142789.20|chr1	0	0	0	0	0	0
ENSG00000289694|ENSG00000289694.1|chr1	294	249	202	198	232	179
CDC42|ENSG00000070831.18|chr1	4843	4421	4190	3646	4225	3480
WNT4|ENSG00000162552.15|chr1	0	3	2	20	0	13
ZBTB40|ENSG00000184677.18|chr1	238	145	210	248	191	247
EPHA8|ENSG00000070886.12|chr1	0	6	0	5	2	13
C1QA|ENSG00000173372.18|chr1	0	0	0	0	0	0
C1QC|ENSG00000159189.13|chr1	0	0	0	0	0	0
C1QB|ENSG00000173369.18|chr1	0	0	0	0	0	0
EPHB2|ENSG00000133216.17|chr1	59	73	93	84	87	54
TEX46|ENSG00000227868.7|chr1	7	5	1	0	5	10
KDM1A|ENSG00000004487.18|chr1	737	563	676	823	719	520
LUZP1|ENSG00000169641.14|chr1	207	248	184	231	189	169
HTR1D|ENSG00000179546.5|chr1	9	5	1	7	9	0
HNRNPR|ENSG00000125944.21|chr1	7	3	3	7	2	1
ZNF436|ENSG00000125945.15|chr1	0	0	0	0	0	0
TCEA3|ENSG00000204219.11|chr1	0	0	0	0	0	0
ASAP3|ENSG00000088280.20|chr1	0	0	0	0	0	0
E2F2|ENSG00000007968.7|chr1	0	0	0	0	0	0
RPL11|ENSG00000142676.14|chr1	1118	1023	831	826	919	745
ELOA|ENSG00000011007.13|chr1	964	649	973	833	735	703
PITHD1|ENSG00000057757.10|chr1	754	840	869	963	870	909
LYPLA2|ENSG00000011009.11|chr1	271	305	294	207	172	169
GALE|ENSG00000117308.15|chr1	231	220	201	215	302	266
HMGCL|ENSG00000117305.15|chr1	112	97	90	123	132	106
FUCA1|ENSG00000179163.12|chr1	455	383	440	417	547	341
CNR2|ENSG00000188822.8|chr1	0	0	0	0	0	0
PNRC2|ENSG00000189266.13|chr1	693	667	731	1049	990	1018
SRSF10|ENSG00000188529.15|chr1	2414	2254	2292	3303	3078	2887
MYOM3|ENSG00000142661.19|chr1	0	0	0	0	3	0
IL22RA1|ENSG00000142677.4|chr1	0	3	0	0	17	0
IFNLR1|ENSG00000185436.12|chr1	62	57	85	67	30	78
GRHL3|ENSG00000158055.17|chr1	10	13	5	8	14	0
STPG1|ENSG00000001460.18|chr1	37	8	14	43	42	44
NIPAL3|ENSG00000001461.17|chr1	649	551	509	591	488	458
RCAN3|ENSG00000117602.13|chr1	326	261	347	331	250	259
NCMAP|ENSG00000184454.7|chr1	0	0	0	3	0	0
SRRM1|ENSG00000133226.18|chr1	819	592	650	799	647	730
CLIC4|ENSG00000169504.15|chr1	903	875	882	1350	1329	1112
RUNX3|ENSG00000020633.19|chr1	425	447	410	433	350	401
SYF2|ENSG00000117614.10|chr1	596	455	552	682	613	509
RSRP1|ENSG00000117616.18|chr1	580	513	463	526	533	524
RHD|ENSG00000187010.21|chr1	0	0	0	0	0	0
TMEM50A|ENSG00000183726.11|chr1	2210	2168	1948	1724	1947	1538
RHCE|ENSG00000188672.19|chr1	0	0	0	1	0	0
MACO1|ENSG00000204178.11|chr1	152	184	187	266	254	259
LDLRAP1|ENSG00000157978.12|chr1	440	289	424	411	203	416
MAN1C1|ENSG00000117643.15|chr1	32	37	48	36	41	31
SELENON|ENSG00000162430.18|chr1	259	303	213	220	216	191
MTFR1L|ENSG00000117640.18|chr1	285	223	243	272	311	261
AUNIP|ENSG00000127423.11|chr1	234	156	202	412	308	364
PAQR7|ENSG00000182749.6|chr1	7	9	0	3	0	8
STMN1|ENSG00000117632.23|chr1	9324	8081	7895	8292	8137	7580
PAFAH2|ENSG00000158006.14|chr1	161	134	142	133	137	128
EXTL1|ENSG00000158008.10|chr1	1	0	0	1	0	0
SLC30A2|ENSG00000158014.15|chr1	0	0	0	0	0	0
TRIM63|ENSG00000158022.7|chr1	0	0	0	1	0	0
PDIK1L|ENSG00000175087.10|chr1	277	206	193	345	339	346
FAM110D|ENSG00000197245.6|chr1	1	1	0	0	0	0
C1orf232|ENSG00000282872.2|chr1	0	3	0	0	0	0
ZNF593|ENSG00000142684.9|chr1	960	749	674	1142	1030	1163
CNKSR1|ENSG00000142675.18|chr1	17	17	18	11	17	7
CATSPER4|ENSG00000188782.9|chr1	6	0	0	0	0	0
CEP85|ENSG00000130695.16|chr1	214	165	159	261	184	223
SH3BGRL3|ENSG00000142669.15|chr1	582	632	519	622	602	560
UBXN11|ENSG00000158062.21|chr1	0	0	0	0	2	0
CD52|ENSG00000169442.9|chr1	3	0	0	0	13	1
CRYBG2|ENSG00000176092.17|chr1	19	14	29	46	38	36
ZNF683|ENSG00000176083.18|chr1	0	0	0	0	0	0
LIN28A|ENSG00000131914.11|chr1	0	2	0	0	0	0
DHDDS|ENSG00000117682.18|chr1	280	245	196	289	321	293
HMGN2|ENSG00000198830.11|chr1	454	350	358	341	347	276
RPS6KA1|ENSG00000117676.14|chr1	0	0	7	0	0	0
ARID1A|ENSG00000117713.21|chr1	1336	1254	1240	1161	1032	949
PIGV|ENSG00000060642.12|chr1	82	61	66	90	93	101
ZDHHC18|ENSG00000204160.12|chr1	225	243	255	283	320	179
SFN|ENSG00000175793.12|chr1	17	0	11	2	22	12
GPN2|ENSG00000142751.15|chr1	635	604	598	577	650	588
GPATCH3|ENSG00000198746.13|chr1	43	44	56	144	75	136
NUDC|ENSG00000090273.14|chr1	2306	1986	1979	1841	1948	1724
NR0B2|ENSG00000131910.5|chr1	0	0	0	0	0	0
KDF1|ENSG00000175707.10|chr1	4	5	0	5	3	11
TENT5B|ENSG00000158246.8|chr1	0	1	0	7	1	4
SLC9A1|ENSG00000090020.11|chr1	275	212	227	212	157	153
WDTC1|ENSG00000142784.16|chr1	202	129	97	213	127	113
TMEM222|ENSG00000186501.15|chr1	266	194	180	311	291	255
SYTL1|ENSG00000142765.18|chr1	4	19	13	10	26	26
MAP3K6|ENSG00000142733.18|chr1	68	55	46	34	57	40
FCN3|ENSG00000142748.14|chr1	0	0	0	0	0	0
CD164L2|ENSG00000174950.11|chr1	2	0	0	0	0	0
GPR3|ENSG00000181773.7|chr1	30	14	11	15	13	16
WASF2|ENSG00000158195.11|chr1	2770	2483	2416	2399	2551	2375
FGR|ENSG00000000938.13|chr1	0	0	0	0	0	0
IFI6|ENSG00000126709.16|chr1	308	198	203	237	276	238
FAM76A|ENSG00000009780.16|chr1	265	198	241	382	408	288
STX12|ENSG00000117758.14|chr1	413	501	342	544	481	565
PPP1R8|ENSG00000117751.18|chr1	634	658	657	806	742	783
THEMIS2|ENSG00000130775.16|chr1	22	3	16	9	18	1
RPA2|ENSG00000117748.10|chr1	1311	1190	1272	1542	1561	1454
SMPDL3B|ENSG00000130768.15|chr1	113	137	105	109	150	75
XKR8|ENSG00000158156.9|chr1	177	207	140	120	111	123
EYA3|ENSG00000158161.16|chr1	563	431	465	445	320	369
PTAFR|ENSG00000169403.12|chr1	6	1	0	11	15	1
DNAJC8|ENSG00000126698.11|chr1	3033	2443	2163	2490	2415	2260
ATP5IF1|ENSG00000130770.18|chr1	14	0	0	0	0	0
SESN2|ENSG00000130766.5|chr1	2	6	2	19	15	16
MED18|ENSG00000130772.14|chr1	0	0	0	0	0	0
PHACTR4|ENSG00000204138.13|chr1	1279	1058	1173	1370	1218	1166
RCC1|ENSG00000180198.17|chr1	1385	1219	1312	1441	1270	1428
TRNAU1AP|ENSG00000180098.9|chr1	411	324	310	455	426	329
TAF12|ENSG00000120656.14|chr1	270	191	205	268	291	204
RAB42|ENSG00000188060.8|chr1	13	5	0	0	0	0
GMEB1|ENSG00000162419.13|chr1	404	358	375	423	398	385
YTHDF2|ENSG00000198492.16|chr1	1408	1333	1281	1534	1316	1245
OPRD1|ENSG00000116329.12|chr1	38	61	40	69	34	89
TMEM200B|ENSG00000253304.2|chr1	0	0	5	2	7	0
SRSF4|ENSG00000116350.18|chr1	1528	1223	1349	2054	1565	1703
MECR|ENSG00000116353.16|chr1	445	309	410	388	357	339
PTPRU|ENSG00000060656.20|chr1	215	122	119	104	151	147
MATN1|ENSG00000162510.6|chr1	0	1	2	4	5	1
LAPTM5|ENSG00000162511.8|chr1	0	0	0	0	0	12
SDC3|ENSG00000162512.16|chr1	94	58	35	48	37	38
PUM1|ENSG00000134644.16|chr1	2044	1669	1765	2101	1646	1760
NKAIN1|ENSG00000084628.10|chr1	29	8	8	39	26	19
SNRNP40|ENSG00000060688.13|chr1	315	258	228	320	227	263
ZCCHC17|ENSG00000121766.16|chr1	367	377	357	340	267	309
FABP3|ENSG00000121769.8|chr1	0	0	0	0	4	0
SERINC2|ENSG00000168528.12|chr1	128	100	148	109	165	106
TINAGL1|ENSG00000142910.16|chr1	6	2	0	3	6	12
HCRTR1|ENSG00000121764.12|chr1	0	8	0	0	0	0
PEF1|ENSG00000162517.13|chr1	1662	1286	1413	1425	1433	1333
COL16A1|ENSG00000084636.18|chr1	0	5	1	0	0	0
ADGRB2|ENSG00000121753.13|chr1	57	17	18	32	27	12
SPOCD1|ENSG00000134668.13|chr1	4	0	2	3	0	3
PTP4A2|ENSG00000184007.22|chr1	6251	5494	5534	6139	5492	5424
KHDRBS1|ENSG00000121774.18|chr1	6431	5775	6464	6289	5784	5513
TMEM39B|ENSG00000121775.18|chr1	304	259	325	384	268	291
KPNA6|ENSG00000025800.14|chr1	3354	2789	2830	2944	2642	2439
TXLNA|ENSG00000084652.16|chr1	1371	1335	1271	1538	1368	1547
