Gene	DMSO-P0-1	DMSO-P0-2	DMSO-P0-3	TPG-P0-1	TPG-P0-2	TPG-P0-3
CFAP74|ENSG00000142609.20|chr1	0	0	0	0	0	0
GABRD|ENSG00000187730.9|chr1	0	3	0	0	31	0
PRKCZ|ENSG00000067606.17|chr1	127	80	74	139	70	48
FAAP20|ENSG00000162585.17|chr1	9	25	16	11	3	0
SKI|ENSG00000157933.10|chr1	883	1099	782	778	490	260
MORN1|ENSG00000116151.14|chr1	0	0	0	0	0	0
RER1|ENSG00000157916.20|chr1	497	564	342	347	339	252
PEX10|ENSG00000157911.11|chr1	184	172	134	48	114	92
PLCH2|ENSG00000149527.18|chr1	0	0	0	0	0	0
PANK4|ENSG00000157881.16|chr1	0	0	0	0	0	0
HES5|ENSG00000197921.6|chr1	0	0	0	0	0	0
TNFRSF14|ENSG00000157873.18|chr1	0	0	0	0	0	0
PRXL2B|ENSG00000157870.17|chr1	3	0	0	0	0	0
MMEL1|ENSG00000142606.16|chr1	0	0	0	0	0	0
TTC34|ENSG00000215912.13|chr1	0	0	0	0	0	0
ACTRT2|ENSG00000169717.7|chr1	0	0	0	0	0	0
PRDM16|ENSG00000142611.17|chr1	61	84	77	57	43	12
ARHGEF16|ENSG00000130762.15|chr1	0	13	18	2	0	8
MEGF6|ENSG00000162591.17|chr1	0	0	0	0	0	0
TPRG1L|ENSG00000158109.15|chr1	253	328	224	169	146	115
WRAP73|ENSG00000116213.16|chr1	458	427	285	402	279	209
TP73|ENSG00000078900.15|chr1	77	121	115	90	103	53
CCDC27|ENSG00000162592.10|chr1	0	0	0	0	0	0
SMIM1|ENSG00000235169.11|chr1	1	0	0	0	0	0
LRRC47|ENSG00000130764.10|chr1	750	769	643	642	463	609
CEP104|ENSG00000116198.14|chr1	47	22	52	13	22	0
DFFB|ENSG00000169598.17|chr1	100	136	76	80	77	40
C1orf174|ENSG00000198912.12|chr1	308	430	336	262	149	297
NPHP4|ENSG00000131697.18|chr1	13	5	33	22	33	1
KCNAB2|ENSG00000069424.16|chr1	15	0	17	18	0	0
RPL22|ENSG00000116251.11|chr1	808	834	669	776	625	593
RNF207|ENSG00000158286.13|chr1	0	0	12	0	0	0
ICMT|ENSG00000116237.16|chr1	667	782	515	401	487	476
HES3|ENSG00000173673.8|chr1	0	0	0	0	0	0
GPR153|ENSG00000158292.7|chr1	8	29	50	9	0	0
ACOT7|ENSG00000097021.20|chr1	177	259	223	184	159	158
HES2|ENSG00000069812.11|chr1	0	0	0	0	0	0
ESPN|ENSG00000187017.18|chr1	0	0	0	0	0	3
TNFRSF25|ENSG00000215788.11|chr1	0	14	4	0	0	0
PLEKHG5|ENSG00000171680.23|chr1	14	0	5	3	4	0
NOL9|ENSG00000162408.11|chr1	360	457	371	393	424	186
TAS1R1|ENSG00000173662.21|chr1	0	0	0	0	0	0
ZBTB48|ENSG00000204859.13|chr1	11	30	41	64	75	27
KLHL21|ENSG00000162413.17|chr1	404	489	460	350	452	233
PHF13|ENSG00000116273.6|chr1	283	307	233	192	152	100
THAP3|ENSG00000041988.16|chr1	166	235	211	373	303	168
DNAJC11|ENSG00000007923.17|chr1	151	132	173	231	90	67
CAMTA1|ENSG00000171735.20|chr1	25	107	50	88	70	23
VAMP3|ENSG00000049245.13|chr1	239	393	151	109	153	64
PER3|ENSG00000049246.15|chr1	0	9	0	0	0	0
UTS2|ENSG00000049247.14|chr1	0	0	0	0	0	0
TNFRSF9|ENSG00000049249.10|chr1	1	0	0	0	0	0
PARK7|ENSG00000116288.13|chr1	1823	2091	1573	1515	1134	1046
ERRFI1|ENSG00000116285.13|chr1	139	250	144	119	202	122
SLC45A1|ENSG00000162426.16|chr1	0	0	0	0	0	0
RERE|ENSG00000142599.19|chr1	433	429	376	420	293	124
ENO1|ENSG00000074800.16|chr1	4684	5673	4365	5096	4391	3422
CA6|ENSG00000131686.15|chr1	0	0	0	0	0	0
SLC2A7|ENSG00000197241.4|chr1	0	0	0	0	0	0
SLC2A5|ENSG00000142583.18|chr1	0	0	0	0	0	0
GPR157|ENSG00000180758.12|chr1	61	106	43	7	15	7
H6PD|ENSG00000049239.13|chr1	9	49	34	70	31	67
SPSB1|ENSG00000171621.14|chr1	22	70	51	33	16	0
SLC25A33|ENSG00000171612.7|chr1	330	465	433	248	202	216
TMEM201|ENSG00000188807.13|chr1	73	113	75	88	73	14
PIK3CD|ENSG00000171608.18|chr1	0	11	7	0	15	0
CLSTN1|ENSG00000171603.18|chr1	269	274	172	122	112	168
CTNNBIP1|ENSG00000178585.15|chr1	42	85	39	128	17	55
LZIC|ENSG00000162441.12|chr1	120	235	150	99	124	85
NMNAT1|ENSG00000173614.14|chr1	35	34	34	55	93	19
RBP7|ENSG00000162444.12|chr1	42	11	24	5	11	0
UBE4B|ENSG00000130939.20|chr1	45	72	38	61	103	38
KIF1B|ENSG00000054523.20|chr1	32	52	42	30	10	1
PGD|ENSG00000142657.21|chr1	269	381	289	307	300	228
CENPS-CORT|ENSG00000251503.8|chr1	0	5	31	0	0	0
CENPS|ENSG00000175279.22|chr1	243	334	236	252	213	279
CORT|ENSG00000241563.4|chr1	0	5	31	0	0	0
DFFA|ENSG00000160049.12|chr1	626	764	526	441	572	308
PEX14|ENSG00000142655.13|chr1	172	138	160	177	198	134
CASZ1|ENSG00000130940.15|chr1	15	8	5	37	23	9
TARDBP|ENSG00000120948.19|chr1	360	550	277	293	259	224
MASP2|ENSG00000009724.18|chr1	0	0	0	0	0	0
SRM|ENSG00000116649.10|chr1	1030	1286	1013	787	844	481
EXOSC10|ENSG00000171824.14|chr1	204	45	104	73	48	70
MTOR|ENSG00000198793.14|chr1	24	27	35	41	26	15
ANGPTL7|ENSG00000171819.5|chr1	0	0	0	0	0	0
UBIAD1|ENSG00000120942.14|chr1	572	467	371	416	438	228
DISP3|ENSG00000204624.8|chr1	0	0	0	0	0	0
FBXO2|ENSG00000116661.11|chr1	0	0	0	0	0	0
FBXO44|ENSG00000132879.14|chr1	31	71	30	21	22	4
MAD2L2|ENSG00000116670.16|chr1	225	265	211	206	141	38
FBXO6|ENSG00000116663.11|chr1	17	5	17	17	5	0
DRAXIN|ENSG00000162490.7|chr1	0	13	0	1	0	0
AGTRAP|ENSG00000177674.16|chr1	130	139	87	102	70	103
C1orf167|ENSG00000215910.8|chr1	0	0	0	0	0	0
MTHFR|ENSG00000177000.13|chr1	115	168	161	91	36	51
CLCN6|ENSG00000011021.23|chr1	0	1	5	12	0	16
NPPA|ENSG00000175206.11|chr1	0	0	0	0	0	0
NPPB|ENSG00000120937.9|chr1	0	3	0	0	0	0
KIAA2013|ENSG00000116685.16|chr1	405	661	411	397	303	134
PLOD1|ENSG00000083444.17|chr1	110	59	68	33	54	64
MFN2|ENSG00000116688.18|chr1	222	313	311	198	175	175
MIIP|ENSG00000116691.11|chr1	56	64	16	69	25	17
TNFRSF8|ENSG00000120949.15|chr1	0	0	0	0	0	0
TNFRSF1B|ENSG00000028137.19|chr1	0	0	0	0	0	0
VPS13D|ENSG00000048707.15|chr1	30	26	15	2	10	83
DHRS3|ENSG00000162496.9|chr1	80	106	70	171	61	43
AADACL4|ENSG00000204518.3|chr1	0	0	0	0	0	0
AADACL3|ENSG00000188984.12|chr1	0	0	0	0	0	0
CFAP107|ENSG00000157330.10|chr1	0	0	0	0	0	0
PRAMEF12|ENSG00000116726.5|chr1	0	0	0	0	0	0
PRAMEF1|ENSG00000116721.9|chr1	0	0	0	0	0	0
PRAMEF11|ENSG00000239810.3|chr1	0	0	0	0	0	0
HNRNPCL1|ENSG00000179172.10|chr1	0	0	0	0	0	0
PRAMEF2|ENSG00000120952.4|chr1	0	0	0	0	0	0
PRAMEF4|ENSG00000243073.4|chr1	0	0	0	0	0	0
PRAMEF10|ENSG00000187545.5|chr1	0	0	0	0	0	0
PRAMEF7|ENSG00000204510.6|chr1	0	0	0	0	0	0
PRAMEF6|ENSG00000232423.6|chr1	0	0	0	0	0	0
PRAMEF27|ENSG00000274764.6|chr1	0	0	0	0	0	0
HNRNPCL3|ENSG00000277058.3|chr1	0	0	0	0	0	0
PRAMEF25|ENSG00000229571.7|chr1	0	0	0	0	0	0
HNRNPCL2|ENSG00000275774.3|chr1	0	0	0	0	0	0
PRAMEF26|ENSG00000280267.6|chr1	0	0	0	0	0	0
HNRNPCL4|ENSG00000179412.11|chr1	0	0	0	0	0	0
PRAMEF9|ENSG00000204505.5|chr1	0	0	0	0	0	0
PRAMEF13|ENSG00000279169.3|chr1	0	0	0	0	0	0
PRAMEF18|ENSG00000279804.3|chr1	0	0	0	0	0	0
PRAMEF5|ENSG00000270601.5|chr1	0	0	0	0	0	0
PRAMEF8|ENSG00000182330.11|chr1	0	0	0	0	0	0
PRAMEF33|ENSG00000237700.2|chr1	0	0	0	0	0	0
PRAMEF15|ENSG00000204501.7|chr1	0	0	0	0	0	0
PRAMEF14|ENSG00000204481.8|chr1	0	0	0	0	0	0
PRAMEF19|ENSG00000204480.9|chr1	0	0	0	0	0	0
PRAMEF17|ENSG00000204479.4|chr1	0	0	0	0	0	0
PRAMEF20|ENSG00000204478.11|chr1	0	0	0	0	0	0
LRRC38|ENSG00000162494.6|chr1	0	0	0	0	0	0
PDPN|ENSG00000162493.17|chr1	152	145	80	52	63	22
KAZN|ENSG00000189337.17|chr1	0	0	0	1	0	0
TMEM51|ENSG00000171729.14|chr1	228	218	165	277	339	184
FHAD1|ENSG00000142621.21|chr1	0	0	0	0	0	0
EFHD2|ENSG00000142634.13|chr1	78	77	40	35	30	3
CTRC|ENSG00000162438.12|chr1	0	0	0	0	0	0
CELA2A|ENSG00000142615.8|chr1	0	0	0	0	0	0
CELA2B|ENSG00000215704.10|chr1	0	0	0	0	0	0
CASP9|ENSG00000132906.18|chr1	70	96	54	99	53	130
DNAJC16|ENSG00000116138.13|chr1	106	160	104	79	116	21
AGMAT|ENSG00000116771.6|chr1	0	0	0	0	0	0
RSC1A1|ENSG00000215695.2|chr1	12	40	13	8	3	45
PLEKHM2|ENSG00000116786.13|chr1	89	80	67	81	45	0
SLC25A34|ENSG00000162461.8|chr1	0	0	0	0	0	0
TMEM82|ENSG00000162460.7|chr1	0	0	0	0	0	0
FBLIM1|ENSG00000162458.13|chr1	92	99	81	96	63	96
SPEN|ENSG00000065526.12|chr1	740	947	618	1328	1228	812
ZBTB17|ENSG00000116809.12|chr1	134	118	47	72	112	38
SRARP|ENSG00000183888.4|chr1	0	6	0	0	0	0
HSPB7|ENSG00000173641.18|chr1	0	0	0	0	0	0
CLCNKA|ENSG00000186510.12|chr1	0	0	0	0	0	0
CLCNKB|ENSG00000184908.20|chr1	0	0	0	0	0	0
FAM131C|ENSG00000185519.9|chr1	0	5	18	0	0	0
EPHA2|ENSG00000142627.13|chr1	159	446	308	417	407	237
ARHGEF19|ENSG00000142632.17|chr1	31	22	35	18	15	17
CPLANE2|ENSG00000132881.12|chr1	21	6	2	0	30	0
FBXO42|ENSG00000037637.11|chr1	105	85	32	68	96	5
SZRD1|ENSG00000055070.17|chr1	274	343	265	323	253	274
SPATA21|ENSG00000187144.11|chr1	0	0	0	0	0	0
NECAP2|ENSG00000157191.20|chr1	208	275	188	272	267	212
NBPF1|ENSG00000219481.11|chr1	0	0	0	1	0	0
CROCC|ENSG00000058453.17|chr1	41	83	34	28	28	0
MFAP2|ENSG00000117122.14|chr1	0	0	0	0	0	0
ATP13A2|ENSG00000159363.19|chr1	29	16	19	0	17	0
SDHB|ENSG00000117118.10|chr1	485	518	371	414	229	236
PADI2|ENSG00000117115.13|chr1	0	0	0	0	0	0
PADI1|ENSG00000142623.11|chr1	0	0	0	0	0	0
PADI3|ENSG00000142619.4|chr1	0	0	0	0	0	0
PADI4|ENSG00000159339.13|chr1	0	0	0	0	0	0
PADI6|ENSG00000276747.1|chr1	0	0	0	0	0	0
RCC2|ENSG00000179051.14|chr1	33	16	20	20	7	0
ARHGEF10L|ENSG00000074964.17|chr1	26	43	18	0	8	0
ACTL8|ENSG00000117148.8|chr1	12	14	18	15	0	46
IGSF21|ENSG00000117154.12|chr1	0	5	0	0	0	0
KLHDC7A|ENSG00000179023.9|chr1	1	12	0	0	0	0
PAX7|ENSG00000009709.12|chr1	0	2	0	1	0	0
ALDH4A1|ENSG00000159423.17|chr1	20	10	47	105	32	18
IFFO2|ENSG00000169991.11|chr1	48	44	83	69	23	25
UBR4|ENSG00000127481.15|chr1	31	26	36	49	49	34
EMC1|ENSG00000127463.16|chr1	75	91	97	105	29	31
MRTO4|ENSG00000053372.5|chr1	1704	1835	1536	1847	1876	1284
AKR7L|ENSG00000211454.16|chr1	0	0	0	0	0	0
AKR7A3|ENSG00000162482.5|chr1	0	0	0	0	4	0
AKR7A2|ENSG00000053371.13|chr1	204	282	254	258	282	180
SLC66A1|ENSG00000040487.13|chr1	101	146	97	59	26	90
CAPZB|ENSG00000077549.19|chr1	522	657	418	565	390	354
MICOS10|ENSG00000173436.15|chr1	558	410	428	478	294	205
NBL1|ENSG00000158747.15|chr1	81	52	58	55	36	27
HTR6|ENSG00000158748.4|chr1	0	14	0	0	0	8
TMCO4|ENSG00000162542.14|chr1	0	10	1	0	21	0
RNF186|ENSG00000178828.7|chr1	0	0	0	0	0	0
OTUD3|ENSG00000169914.6|chr1	61	58	11	56	62	11
PLA2G2E|ENSG00000188784.4|chr1	0	0	0	0	0	0
PLA2G2A|ENSG00000188257.12|chr1	0	0	0	0	0	0
PLA2G5|ENSG00000127472.11|chr1	0	0	0	0	0	0
PLA2G2D|ENSG00000117215.15|chr1	0	0	0	0	0	0
PLA2G2F|ENSG00000158786.5|chr1	0	0	0	0	0	0
PLA2G2C|ENSG00000187980.7|chr1	0	0	0	0	0	0
UBXN10|ENSG00000162543.6|chr1	0	0	0	0	0	0
VWA5B1|ENSG00000158816.16|chr1	0	0	0	0	0	0
CAMK2N1|ENSG00000162545.6|chr1	200	232	175	182	78	1
MUL1|ENSG00000090432.7|chr1	331	322	297	225	225	169
FAM43B|ENSG00000183114.8|chr1	9	0	0	0	0	0
CDA|ENSG00000158825.6|chr1	10	7	10	0	3	0
PINK1|ENSG00000158828.8|chr1	200	270	217	207	161	175
DDOST|ENSG00000244038.11|chr1	209	298	232	480	432	269
KIF17|ENSG00000117245.13|chr1	2	7	0	0	0	0
SH2D5|ENSG00000189410.12|chr1	23	12	28	0	16	0
HP1BP3|ENSG00000127483.19|chr1	209	239	177	121	168	114
EIF4G3|ENSG00000075151.24|chr1	441	453	361	326	289	187
ECE1|ENSG00000117298.16|chr1	120	119	97	90	146	121
NBPF3|ENSG00000142794.19|chr1	11	25	2	0	0	0
ALPL|ENSG00000162551.14|chr1	0	3	0	0	0	0
USP48|ENSG00000090686.16|chr1	59	64	19	35	54	28
LDLRAD2|ENSG00000187942.12|chr1	0	0	0	0	0	0
HSPG2|ENSG00000142798.20|chr1	18	6	0	0	3	0
CELA3B|ENSG00000219073.8|chr1	0	0	0	0	0	0
CELA3A|ENSG00000142789.20|chr1	0	0	0	0	0	0
ENSG00000289694|ENSG00000289694.1|chr1	55	53	54	64	65	18
CDC42|ENSG00000070831.18|chr1	845	962	634	826	703	513
WNT4|ENSG00000162552.15|chr1	0	10	0	4	0	0
ZBTB40|ENSG00000184677.18|chr1	34	54	35	38	31	15
EPHA8|ENSG00000070886.12|chr1	5	0	0	0	0	0
C1QA|ENSG00000173372.18|chr1	0	0	0	0	0	0
C1QC|ENSG00000159189.13|chr1	0	0	0	0	0	0
C1QB|ENSG00000173369.18|chr1	0	0	0	0	0	0
EPHB2|ENSG00000133216.17|chr1	28	25	5	1	22	0
TEX46|ENSG00000227868.7|chr1	15	3	0	0	0	0
KDM1A|ENSG00000004487.18|chr1	116	162	114	91	119	92
LUZP1|ENSG00000169641.14|chr1	105	113	96	97	57	89
HTR1D|ENSG00000179546.5|chr1	1	0	6	2	0	0
HNRNPR|ENSG00000125944.21|chr1	6	0	0	0	2	0
ZNF436|ENSG00000125945.15|chr1	1	0	0	0	0	0
TCEA3|ENSG00000204219.11|chr1	0	0	0	0	0	0
ASAP3|ENSG00000088280.20|chr1	0	0	0	0	0	0
E2F2|ENSG00000007968.7|chr1	0	0	0	0	0	0
RPL11|ENSG00000142676.14|chr1	413	549	397	568	398	329
ELOA|ENSG00000011007.13|chr1	414	470	417	492	397	320
PITHD1|ENSG00000057757.10|chr1	519	648	539	665	530	429
LYPLA2|ENSG00000011009.11|chr1	46	65	70	99	68	90
GALE|ENSG00000117308.15|chr1	37	28	27	70	56	12
HMGCL|ENSG00000117305.15|chr1	23	25	20	56	25	27
FUCA1|ENSG00000179163.12|chr1	62	98	123	82	61	64
CNR2|ENSG00000188822.8|chr1	0	0	0	0	0	0
PNRC2|ENSG00000189266.13|chr1	528	549	439	547	478	575
SRSF10|ENSG00000188529.15|chr1	801	812	624	1120	786	472
MYOM3|ENSG00000142661.19|chr1	0	0	0	0	0	0
IL22RA1|ENSG00000142677.4|chr1	0	0	0	0	0	0
IFNLR1|ENSG00000185436.12|chr1	53	72	29	24	7	9
GRHL3|ENSG00000158055.17|chr1	0	5	0	1	0	0
STPG1|ENSG00000001460.18|chr1	0	18	25	6	1	36
NIPAL3|ENSG00000001461.17|chr1	111	122	91	64	107	65
RCAN3|ENSG00000117602.13|chr1	69	113	55	46	39	30
NCMAP|ENSG00000184454.7|chr1	0	0	0	0	0	0
SRRM1|ENSG00000133226.18|chr1	216	155	134	222	114	194
CLIC4|ENSG00000169504.15|chr1	101	232	188	332	215	87
RUNX3|ENSG00000020633.19|chr1	181	178	98	135	68	83
SYF2|ENSG00000117614.10|chr1	469	441	347	407	352	237
RSRP1|ENSG00000117616.18|chr1	244	259	198	208	168	109
RHD|ENSG00000187010.21|chr1	0	0	0	0	0	0
TMEM50A|ENSG00000183726.11|chr1	631	965	696	650	472	485
RHCE|ENSG00000188672.19|chr1	0	10	0	0	0	0
MACO1|ENSG00000204178.11|chr1	178	179	68	168	110	243
LDLRAP1|ENSG00000157978.12|chr1	59	102	107	34	49	15
MAN1C1|ENSG00000117643.15|chr1	55	32	27	23	42	22
SELENON|ENSG00000162430.18|chr1	33	27	32	30	14	0
MTFR1L|ENSG00000117640.18|chr1	97	105	82	100	71	48
AUNIP|ENSG00000127423.11|chr1	150	199	150	329	227	269
PAQR7|ENSG00000182749.6|chr1	0	0	0	0	0	0
STMN1|ENSG00000117632.23|chr1	1429	1560	1052	1243	1294	818
PAFAH2|ENSG00000158006.14|chr1	53	116	38	33	103	42
EXTL1|ENSG00000158008.10|chr1	0	1	0	0	0	0
SLC30A2|ENSG00000158014.15|chr1	0	0	0	0	0	0
TRIM63|ENSG00000158022.7|chr1	0	1	0	0	0	0
PDIK1L|ENSG00000175087.10|chr1	138	128	98	143	138	75
FAM110D|ENSG00000197245.6|chr1	0	3	0	0	0	0
C1orf232|ENSG00000282872.2|chr1	0	0	0	0	0	0
ZNF593|ENSG00000142684.9|chr1	491	790	471	657	689	438
CNKSR1|ENSG00000142675.18|chr1	3	6	6	7	0	0
CATSPER4|ENSG00000188782.9|chr1	0	0	0	0	0	0
CEP85|ENSG00000130695.16|chr1	59	77	60	174	155	76
SH3BGRL3|ENSG00000142669.15|chr1	96	179	71	39	120	40
UBXN11|ENSG00000158062.21|chr1	0	0	0	0	0	0
CD52|ENSG00000169442.9|chr1	7	0	0	0	0	0
CRYBG2|ENSG00000176092.17|chr1	1	24	9	0	21	0
ZNF683|ENSG00000176083.18|chr1	0	0	0	0	0	0
LIN28A|ENSG00000131914.11|chr1	0	0	0	0	0	0
DHDDS|ENSG00000117682.18|chr1	54	105	122	68	45	9
HMGN2|ENSG00000198830.11|chr1	102	193	77	109	106	31
RPS6KA1|ENSG00000117676.14|chr1	0	0	0	0	0	0
ARID1A|ENSG00000117713.21|chr1	623	679	548	538	428	340
PIGV|ENSG00000060642.12|chr1	37	25	23	19	42	1
ZDHHC18|ENSG00000204160.12|chr1	97	82	80	16	11	1
SFN|ENSG00000175793.12|chr1	0	16	0	0	4	0
GPN2|ENSG00000142751.15|chr1	214	213	135	193	202	88
GPATCH3|ENSG00000198746.13|chr1	8	48	31	65	77	43
NUDC|ENSG00000090273.14|chr1	515	577	602	568	514	454
NR0B2|ENSG00000131910.5|chr1	0	0	0	0	0	0
KDF1|ENSG00000175707.10|chr1	0	12	0	0	3	0
TENT5B|ENSG00000158246.8|chr1	12	0	0	0	24	0
SLC9A1|ENSG00000090020.11|chr1	90	101	123	126	22	32
WDTC1|ENSG00000142784.16|chr1	40	39	40	28	23	18
TMEM222|ENSG00000186501.15|chr1	50	68	77	83	120	42
SYTL1|ENSG00000142765.18|chr1	14	0	2	0	0	0
MAP3K6|ENSG00000142733.18|chr1	0	0	0	0	0	1
FCN3|ENSG00000142748.14|chr1	0	0	0	0	0	0
CD164L2|ENSG00000174950.11|chr1	0	0	0	0	0	0
GPR3|ENSG00000181773.7|chr1	2	2	15	25	0	0
WASF2|ENSG00000158195.11|chr1	479	729	590	496	433	491
FGR|ENSG00000000938.13|chr1	0	0	0	0	0	0
IFI6|ENSG00000126709.16|chr1	30	36	31	55	26	37
FAM76A|ENSG00000009780.16|chr1	80	101	87	115	77	74
STX12|ENSG00000117758.14|chr1	105	121	135	117	75	109
PPP1R8|ENSG00000117751.18|chr1	510	558	552	429	484	196
THEMIS2|ENSG00000130775.16|chr1	0	9	15	12	0	0
RPA2|ENSG00000117748.10|chr1	667	886	530	727	769	630
SMPDL3B|ENSG00000130768.15|chr1	14	32	15	15	20	0
XKR8|ENSG00000158156.9|chr1	105	87	63	31	47	0
EYA3|ENSG00000158161.16|chr1	130	106	98	63	92	74
PTAFR|ENSG00000169403.12|chr1	0	9	0	4	0	0
DNAJC8|ENSG00000126698.11|chr1	508	524	444	535	378	423
ATP5IF1|ENSG00000130770.18|chr1	0	0	0	0	0	0
SESN2|ENSG00000130766.5|chr1	4	5	0	28	62	30
MED18|ENSG00000130772.14|chr1	0	0	0	0	0	0
PHACTR4|ENSG00000204138.13|chr1	397	491	458	317	208	223
RCC1|ENSG00000180198.17|chr1	522	600	497	356	424	493
TRNAU1AP|ENSG00000180098.9|chr1	161	215	95	103	103	59
TAF12|ENSG00000120656.14|chr1	74	128	83	118	157	35
RAB42|ENSG00000188060.8|chr1	0	0	0	9	0	0
GMEB1|ENSG00000162419.13|chr1	215	215	200	161	248	130
YTHDF2|ENSG00000198492.16|chr1	725	948	702	875	867	637
OPRD1|ENSG00000116329.12|chr1	53	17	8	33	9	1
TMEM200B|ENSG00000253304.2|chr1	0	0	0	0	0	0
SRSF4|ENSG00000116350.18|chr1	944	988	779	1113	1263	547
MECR|ENSG00000116353.16|chr1	64	58	46	38	39	21
PTPRU|ENSG00000060656.20|chr1	8	25	30	16	1	9
MATN1|ENSG00000162510.6|chr1	0	0	0	0	0	0
LAPTM5|ENSG00000162511.8|chr1	0	6	0	0	0	0
SDC3|ENSG00000162512.16|chr1	24	17	8	18	10	0
PUM1|ENSG00000134644.16|chr1	865	797	621	803	916	579
NKAIN1|ENSG00000084628.10|chr1	12	0	12	11	0	0
SNRNP40|ENSG00000060688.13|chr1	139	145	161	79	98	58
ZCCHC17|ENSG00000121766.16|chr1	176	190	132	154	87	96
FABP3|ENSG00000121769.8|chr1	0	0	0	0	0	0
SERINC2|ENSG00000168528.12|chr1	32	23	28	20	18	14
TINAGL1|ENSG00000142910.16|chr1	0	2	1	0	0	0
HCRTR1|ENSG00000121764.12|chr1	0	0	0	0	0	0
PEF1|ENSG00000162517.13|chr1	486	606	462	355	317	215
COL16A1|ENSG00000084636.18|chr1	0	0	0	0	0	0
ADGRB2|ENSG00000121753.13|chr1	0	1	0	0	0	0
SPOCD1|ENSG00000134668.13|chr1	0	2	0	1	0	0
PTP4A2|ENSG00000184007.22|chr1	2322	3051	2280	1588	1155	1089
KHDRBS1|ENSG00000121774.18|chr1	1007	1373	823	992	1137	692
TMEM39B|ENSG00000121775.18|chr1	133	125	145	133	70	129
KPNA6|ENSG00000025800.14|chr1	806	1317	931	807	927	675
TXLNA|ENSG00000084652.16|chr1	507	644	517	742	531	435
CCDC28B|ENSG00000160050.16|chr1	16	23	39	32	21	30
IQCC|ENSG00000160051.12|chr1	21	27	32	25	75	73
DCDC2B|ENSG00000222046.3|chr1	0	0	0	0	0	0
TMEM234|ENSG00000160055.20|chr1	32	36	6	34	16	25
EIF3I|ENSG00000084623.12|chr1	1540	1730	1243	1671	1607	1347
FAM167B|ENSG00000183615.6|chr1	0	0	0	0	0	0
LCK|ENSG00000182866.18|chr1	0	0	0	0	0	0
