Gene	DMSO-L10a-1	DMSO-L10a-2	DMSO-L10a-3	TPG-L10a-1	TPG-L10a-2	TPG-L10a-3
ATAD3C|ENSG00000215915.10|chr1	0	3	0	0	1	1
ATAD3B|ENSG00000160072.20|chr1	152	111	162	163	143	131
ATAD3A|ENSG00000197785.14|chr1	915	544	886	901	1027	898
TMEM240|ENSG00000205090.9|chr1	0	0	3	0	0	0
SSU72|ENSG00000160075.12|chr1	1072	462	1077	605	443	458
FNDC10|ENSG00000228594.4|chr1	83	36	72	52	28	42
MIB2|ENSG00000197530.13|chr1	98	54	70	60	46	59
MMP23B|ENSG00000189409.14|chr1	0	0	0	0	0	0
CDK11B|ENSG00000248333.9|chr1	0	0	0	0	0	0
SLC35E2B|ENSG00000189339.12|chr1	304	221	252	160	175	181
CDK11A|ENSG00000008128.23|chr1	0	1	0	17	0	0
NADK|ENSG00000008130.15|chr1	361	239	319	183	181	204
CALML6|ENSG00000169885.10|chr1	0	0	0	2	0	0
TMEM52|ENSG00000178821.13|chr1	18	7	16	7	6	9
CFAP74|ENSG00000142609.20|chr1	0	0	0	0	0	0
GABRD|ENSG00000187730.9|chr1	19	13	26	2	30	10
PRKCZ|ENSG00000067606.17|chr1	234	164	177	360	237	262
FAAP20|ENSG00000162585.17|chr1	257	160	309	82	94	105
SKI|ENSG00000157933.10|chr1	357	201	355	232	257	207
MORN1|ENSG00000116151.14|chr1	3	0	1	1	0	6
RER1|ENSG00000157916.20|chr1	2296	1273	2128	1518	2023	1435
PEX10|ENSG00000157911.11|chr1	744	297	636	296	335	364
PLCH2|ENSG00000149527.18|chr1	0	0	0	0	0	0
PANK4|ENSG00000157881.16|chr1	0	0	0	0	0	0
HES5|ENSG00000197921.6|chr1	0	0	0	0	0	0
TNFRSF14|ENSG00000157873.18|chr1	0	0	0	0	0	0
PRXL2B|ENSG00000157870.17|chr1	0	0	0	0	0	0
MMEL1|ENSG00000142606.16|chr1	0	0	0	0	0	0
TTC34|ENSG00000215912.13|chr1	0	0	0	0	0	0
ACTRT2|ENSG00000169717.7|chr1	0	0	0	0	0	0
PRDM16|ENSG00000142611.17|chr1	23	43	41	11	38	8
ARHGEF16|ENSG00000130762.15|chr1	23	7	44	28	41	31
MEGF6|ENSG00000162591.17|chr1	6	7	15	0	0	7
TPRG1L|ENSG00000158109.15|chr1	267	128	212	113	67	52
WRAP73|ENSG00000116213.16|chr1	335	202	367	400	479	390
TP73|ENSG00000078900.15|chr1	115	66	52	85	130	125
CCDC27|ENSG00000162592.10|chr1	0	0	0	0	0	0
SMIM1|ENSG00000235169.11|chr1	30	6	19	26	7	11
LRRC47|ENSG00000130764.10|chr1	1637	1213	1434	1645	2135	1973
CEP104|ENSG00000116198.14|chr1	134	71	137	100	148	94
DFFB|ENSG00000169598.17|chr1	133	103	213	164	291	228
C1orf174|ENSG00000198912.12|chr1	66	74	160	190	306	215
NPHP4|ENSG00000131697.18|chr1	72	14	49	39	63	73
KCNAB2|ENSG00000069424.16|chr1	21	10	39	24	20	11
RPL22|ENSG00000116251.11|chr1	4029	3744	4169	3748	5344	4186
RNF207|ENSG00000158286.13|chr1	17	15	9	2	17	22
ICMT|ENSG00000116237.16|chr1	1257	1131	1208	939	1163	941
HES3|ENSG00000173673.8|chr1	0	0	0	0	0	0
GPR153|ENSG00000158292.7|chr1	160	74	170	136	103	112
ACOT7|ENSG00000097021.20|chr1	1631	1304	1882	1430	1477	1313
HES2|ENSG00000069812.11|chr1	0	1	10	0	10	0
ESPN|ENSG00000187017.18|chr1	0	0	2	0	0	0
TNFRSF25|ENSG00000215788.11|chr1	7	9	1	0	14	26
PLEKHG5|ENSG00000171680.23|chr1	0	0	2	0	12	0
NOL9|ENSG00000162408.11|chr1	1237	932	1328	983	1638	1287
TAS1R1|ENSG00000173662.21|chr1	0	0	4	0	10	0
ZBTB48|ENSG00000204859.13|chr1	25	15	30	39	42	32
KLHL21|ENSG00000162413.17|chr1	81	82	98	74	74	104
PHF13|ENSG00000116273.6|chr1	75	44	76	74	83	86
THAP3|ENSG00000041988.16|chr1	82	45	101	165	184	117
DNAJC11|ENSG00000007923.17|chr1	587	209	549	473	447	253
CAMTA1|ENSG00000171735.20|chr1	38	19	49	31	52	26
VAMP3|ENSG00000049245.13|chr1	963	548	970	589	423	501
PER3|ENSG00000049246.15|chr1	7	20	14	20	27	3
UTS2|ENSG00000049247.14|chr1	0	0	0	0	0	0
TNFRSF9|ENSG00000049249.10|chr1	4	0	0	0	0	0
PARK7|ENSG00000116288.13|chr1	9388	9209	9843	5873	7967	6733
ERRFI1|ENSG00000116285.13|chr1	19	14	29	36	58	47
SLC45A1|ENSG00000162426.16|chr1	4	0	2	0	1	0
RERE|ENSG00000142599.19|chr1	389	322	304	348	414	287
ENO1|ENSG00000074800.16|chr1	52991	25234	50489	35724	27548	31485
CA6|ENSG00000131686.15|chr1	0	0	0	0	0	0
SLC2A7|ENSG00000197241.4|chr1	11	0	1	0	0	0
SLC2A5|ENSG00000142583.18|chr1	19	0	0	0	0	0
GPR157|ENSG00000180758.12|chr1	30	74	33	41	73	48
H6PD|ENSG00000049239.13|chr1	59	56	115	49	73	57
SPSB1|ENSG00000171621.14|chr1	13	2	19	12	9	16
SLC25A33|ENSG00000171612.7|chr1	260	147	235	206	286	238
TMEM201|ENSG00000188807.13|chr1	81	56	111	117	107	96
PIK3CD|ENSG00000171608.18|chr1	36	14	16	8	17	17
CLSTN1|ENSG00000171603.18|chr1	664	272	592	414	428	330
CTNNBIP1|ENSG00000178585.15|chr1	378	358	363	206	270	226
LZIC|ENSG00000162441.12|chr1	549	454	454	320	556	401
NMNAT1|ENSG00000173614.14|chr1	72	54	81	91	103	80
RBP7|ENSG00000162444.12|chr1	89	60	119	41	59	63
UBE4B|ENSG00000130939.20|chr1	422	321	406	276	274	241
KIF1B|ENSG00000054523.20|chr1	174	87	151	152	196	124
PGD|ENSG00000142657.21|chr1	1584	615	1486	1182	831	921
CENPS-CORT|ENSG00000251503.8|chr1	51	29	37	35	19	31
CENPS|ENSG00000175279.22|chr1	789	800	904	448	674	571
CORT|ENSG00000241563.4|chr1	51	29	37	35	19	31
DFFA|ENSG00000160049.12|chr1	1880	1724	1949	1549	2461	1943
PEX14|ENSG00000142655.13|chr1	76	24	78	121	143	96
CASZ1|ENSG00000130940.15|chr1	16	17	5	24	29	16
TARDBP|ENSG00000120948.19|chr1	1104	1017	1264	731	1116	1166
MASP2|ENSG00000009724.18|chr1	0	0	0	0	0	0
SRM|ENSG00000116649.10|chr1	6967	2517	5581	3276	2222	2430
EXOSC10|ENSG00000171824.14|chr1	712	611	654	599	925	859
MTOR|ENSG00000198793.14|chr1	174	172	263	152	245	210
ANGPTL7|ENSG00000171819.5|chr1	0	0	0	0	0	0
UBIAD1|ENSG00000120942.14|chr1	411	250	386	391	420	328
DISP3|ENSG00000204624.8|chr1	2	6	0	0	19	7
FBXO2|ENSG00000116661.11|chr1	6	12	0	11	0	1
FBXO44|ENSG00000132879.14|chr1	153	56	106	91	41	60
MAD2L2|ENSG00000116670.16|chr1	1224	451	1267	1148	538	530
FBXO6|ENSG00000116663.11|chr1	50	12	9	51	10	3
DRAXIN|ENSG00000162490.7|chr1	6	12	10	25	9	1
AGTRAP|ENSG00000177674.16|chr1	460	212	339	280	278	199
C1orf167|ENSG00000215910.8|chr1	0	0	0	0	0	0
MTHFR|ENSG00000177000.13|chr1	154	88	200	130	189	90
CLCN6|ENSG00000011021.23|chr1	3	2	3	17	26	22
NPPA|ENSG00000175206.11|chr1	0	0	0	0	0	0
NPPB|ENSG00000120937.9|chr1	0	0	0	0	0	0
KIAA2013|ENSG00000116685.16|chr1	408	320	302	163	271	246
PLOD1|ENSG00000083444.17|chr1	426	403	585	320	424	406
MFN2|ENSG00000116688.18|chr1	1102	948	975	701	1082	883
MIIP|ENSG00000116691.11|chr1	103	97	164	156	203	187
TNFRSF8|ENSG00000120949.15|chr1	0	0	0	0	0	0
TNFRSF1B|ENSG00000028137.19|chr1	10	0	0	0	0	0
VPS13D|ENSG00000048707.15|chr1	63	52	43	59	133	72
DHRS3|ENSG00000162496.9|chr1	232	144	239	153	104	114
AADACL4|ENSG00000204518.3|chr1	0	0	0	0	0	0
AADACL3|ENSG00000188984.12|chr1	0	0	0	0	0	0
CFAP107|ENSG00000157330.10|chr1	0	0	0	0	0	0
PRAMEF12|ENSG00000116726.5|chr1	0	0	0	0	0	0
PRAMEF1|ENSG00000116721.9|chr1	0	0	0	0	0	0
PRAMEF11|ENSG00000239810.3|chr1	0	0	0	0	0	0
HNRNPCL1|ENSG00000179172.10|chr1	0	0	0	0	0	0
PRAMEF2|ENSG00000120952.4|chr1	0	0	0	0	0	0
PRAMEF4|ENSG00000243073.4|chr1	0	0	0	0	0	0
PRAMEF10|ENSG00000187545.5|chr1	0	0	0	0	0	0
PRAMEF7|ENSG00000204510.6|chr1	0	0	0	0	0	0
PRAMEF6|ENSG00000232423.6|chr1	0	0	0	0	0	0
PRAMEF27|ENSG00000274764.6|chr1	0	0	0	0	0	0
HNRNPCL3|ENSG00000277058.3|chr1	0	0	0	0	0	0
PRAMEF25|ENSG00000229571.7|chr1	0	0	0	0	0	0
HNRNPCL2|ENSG00000275774.3|chr1	0	0	0	0	0	0
PRAMEF26|ENSG00000280267.6|chr1	0	0	0	0	0	0
HNRNPCL4|ENSG00000179412.11|chr1	0	0	0	0	0	0
PRAMEF9|ENSG00000204505.5|chr1	0	0	0	0	0	0
PRAMEF13|ENSG00000279169.3|chr1	0	0	0	0	0	0
PRAMEF18|ENSG00000279804.3|chr1	0	0	0	0	0	0
PRAMEF5|ENSG00000270601.5|chr1	0	0	0	0	0	0
PRAMEF8|ENSG00000182330.11|chr1	0	0	0	0	0	0
PRAMEF33|ENSG00000237700.2|chr1	0	0	0	0	0	0
PRAMEF15|ENSG00000204501.7|chr1	0	0	0	0	0	0
PRAMEF14|ENSG00000204481.8|chr1	0	0	0	0	0	0
PRAMEF19|ENSG00000204480.9|chr1	0	0	0	0	0	0
PRAMEF17|ENSG00000204479.4|chr1	0	0	0	0	0	0
PRAMEF20|ENSG00000204478.11|chr1	0	0	0	0	0	0
LRRC38|ENSG00000162494.6|chr1	0	0	0	0	0	0
PDPN|ENSG00000162493.17|chr1	569	462	469	153	252	289
KAZN|ENSG00000189337.17|chr1	0	0	0	0	0	0
TMEM51|ENSG00000171729.14|chr1	69	32	72	77	67	57
FHAD1|ENSG00000142621.21|chr1	0	0	0	0	0	0
EFHD2|ENSG00000142634.13|chr1	145	126	237	170	165	151
CTRC|ENSG00000162438.12|chr1	0	0	0	0	0	0
CELA2A|ENSG00000142615.8|chr1	0	0	0	0	0	0
CELA2B|ENSG00000215704.10|chr1	0	0	0	0	0	0
CASP9|ENSG00000132906.18|chr1	234	163	241	140	272	235
DNAJC16|ENSG00000116138.13|chr1	35	54	33	46	158	69
AGMAT|ENSG00000116771.6|chr1	0	0	0	13	8	0
RSC1A1|ENSG00000215695.2|chr1	3	6	20	31	48	17
PLEKHM2|ENSG00000116786.13|chr1	186	178	245	224	197	90
SLC25A34|ENSG00000162461.8|chr1	0	0	3	0	0	0
TMEM82|ENSG00000162460.7|chr1	0	0	0	0	0	0
FBLIM1|ENSG00000162458.13|chr1	61	95	51	58	98	107
SPEN|ENSG00000065526.12|chr1	223	158	204	269	275	223
ZBTB17|ENSG00000116809.12|chr1	39	37	58	96	67	50
SRARP|ENSG00000183888.4|chr1	0	0	0	0	0	0
HSPB7|ENSG00000173641.18|chr1	2	0	0	0	0	0
CLCNKA|ENSG00000186510.12|chr1	0	0	0	0	0	0
CLCNKB|ENSG00000184908.20|chr1	0	0	0	0	0	0
FAM131C|ENSG00000185519.9|chr1	18	1	32	28	1	14
EPHA2|ENSG00000142627.13|chr1	41	16	42	26	70	35
ARHGEF19|ENSG00000142632.17|chr1	34	7	0	30	15	38
CPLANE2|ENSG00000132881.12|chr1	13	10	10	31	14	12
FBXO42|ENSG00000037637.11|chr1	25	15	37	54	107	52
SZRD1|ENSG00000055070.17|chr1	1264	870	1267	736	689	663
SPATA21|ENSG00000187144.11|chr1	0	0	0	0	0	0
NECAP2|ENSG00000157191.20|chr1	424	163	323	238	385	266
NBPF1|ENSG00000219481.11|chr1	0	0	0	0	0	0
CROCC|ENSG00000058453.17|chr1	88	43	73	69	108	76
MFAP2|ENSG00000117122.14|chr1	0	0	0	0	0	0
ATP13A2|ENSG00000159363.19|chr1	177	133	172	90	29	57
SDHB|ENSG00000117118.10|chr1	2970	2360	2515	1710	2952	2417
PADI2|ENSG00000117115.13|chr1	14	38	17	39	74	19
PADI1|ENSG00000142623.11|chr1	0	0	0	0	0	0
PADI3|ENSG00000142619.4|chr1	0	0	0	0	0	0
PADI4|ENSG00000159339.13|chr1	0	0	0	0	0	0
PADI6|ENSG00000276747.1|chr1	0	0	0	0	0	0
RCC2|ENSG00000179051.14|chr1	13	7	16	1	6	11
ARHGEF10L|ENSG00000074964.17|chr1	12	14	10	19	10	8
ACTL8|ENSG00000117148.8|chr1	123	56	136	91	77	113
IGSF21|ENSG00000117154.12|chr1	2	0	6	0	0	0
KLHDC7A|ENSG00000179023.9|chr1	3	0	0	0	5	0
PAX7|ENSG00000009709.12|chr1	5	14	6	7	8	5
ALDH4A1|ENSG00000159423.17|chr1	61	52	71	126	106	96
IFFO2|ENSG00000169991.11|chr1	7	14	4	8	12	15
UBR4|ENSG00000127481.15|chr1	301	107	182	177	226	134
EMC1|ENSG00000127463.16|chr1	384	254	438	298	459	325
MRTO4|ENSG00000053372.5|chr1	3706	3120	3466	3002	4410	3817
AKR7L|ENSG00000211454.16|chr1	14	0	0	0	0	0
AKR7A3|ENSG00000162482.5|chr1	0	5	3	0	0	3
AKR7A2|ENSG00000053371.13|chr1	2177	1373	2268	1433	1391	1296
SLC66A1|ENSG00000040487.13|chr1	113	80	161	197	165	197
CAPZB|ENSG00000077549.19|chr1	3431	2310	3757	1790	2509	2286
MICOS10|ENSG00000173436.15|chr1	3854	3494	3804	2079	3145	2379
NBL1|ENSG00000158747.15|chr1	479	165	362	191	100	208
HTR6|ENSG00000158748.4|chr1	6	2	0	0	0	1
TMCO4|ENSG00000162542.14|chr1	19	0	10	0	13	17
RNF186|ENSG00000178828.7|chr1	0	0	0	0	0	0
OTUD3|ENSG00000169914.6|chr1	2	7	23	22	15	24
PLA2G2E|ENSG00000188784.4|chr1	0	0	0	0	0	0
PLA2G2A|ENSG00000188257.12|chr1	0	0	0	0	0	0
PLA2G5|ENSG00000127472.11|chr1	0	0	0	0	0	0
PLA2G2D|ENSG00000117215.15|chr1	0	0	0	0	0	0
PLA2G2F|ENSG00000158786.5|chr1	0	0	0	0	0	0
PLA2G2C|ENSG00000187980.7|chr1	0	0	0	0	0	0
UBXN10|ENSG00000162543.6|chr1	0	0	0	0	0	0
VWA5B1|ENSG00000158816.16|chr1	0	0	0	0	0	0
CAMK2N1|ENSG00000162545.6|chr1	311	246	360	202	269	203
MUL1|ENSG00000090432.7|chr1	130	66	110	141	104	95
FAM43B|ENSG00000183114.8|chr1	9	0	2	0	0	5
CDA|ENSG00000158825.6|chr1	32	9	12	57	12	4
PINK1|ENSG00000158828.8|chr1	1225	1000	1116	920	1242	963
DDOST|ENSG00000244038.11|chr1	2200	1178	2160	1611	2581	1793
KIF17|ENSG00000117245.13|chr1	5	0	8	9	2	0
SH2D5|ENSG00000189410.12|chr1	63	16	67	50	32	29
HP1BP3|ENSG00000127483.19|chr1	748	511	846	498	1019	688
EIF4G3|ENSG00000075151.24|chr1	1428	968	1614	769	1478	885
ECE1|ENSG00000117298.16|chr1	465	438	574	306	457	355
NBPF3|ENSG00000142794.19|chr1	88	29	77	43	92	42
ALPL|ENSG00000162551.14|chr1	7	0	2	16	0	0
USP48|ENSG00000090686.16|chr1	433	389	449	273	584	443
LDLRAD2|ENSG00000187942.12|chr1	0	0	0	0	0	0
HSPG2|ENSG00000142798.20|chr1	64	40	70	0	3	1
CELA3B|ENSG00000219073.8|chr1	0	0	0	0	0	0
CELA3A|ENSG00000142789.20|chr1	0	0	0	0	0	0
ENSG00000289694|ENSG00000289694.1|chr1	291	256	348	331	224	182
CDC42|ENSG00000070831.18|chr1	4414	3126	3871	3464	3615	3090
WNT4|ENSG00000162552.15|chr1	1	1	8	0	18	7
ZBTB40|ENSG00000184677.18|chr1	44	34	62	130	130	108
EPHA8|ENSG00000070886.12|chr1	0	0	0	0	0	0
C1QA|ENSG00000173372.18|chr1	0	0	0	0	0	0
C1QC|ENSG00000159189.13|chr1	0	0	0	0	0	0
C1QB|ENSG00000173369.18|chr1	0	0	0	0	0	0
EPHB2|ENSG00000133216.17|chr1	71	37	62	60	62	24
TEX46|ENSG00000227868.7|chr1	7	22	12	0	1	12
KDM1A|ENSG00000004487.18|chr1	772	594	874	561	1009	826
LUZP1|ENSG00000169641.14|chr1	57	20	36	17	42	17
HTR1D|ENSG00000179546.5|chr1	10	0	3	19	2	12
HNRNPR|ENSG00000125944.21|chr1	1	4	0	13	7	0
ZNF436|ENSG00000125945.15|chr1	0	0	0	0	0	0
TCEA3|ENSG00000204219.11|chr1	0	0	0	0	0	0
ASAP3|ENSG00000088280.20|chr1	0	0	0	0	0	0
E2F2|ENSG00000007968.7|chr1	0	0	0	0	0	0
RPL11|ENSG00000142676.14|chr1	2574	2333	2701	2022	2745	1514
ELOA|ENSG00000011007.13|chr1	222	197	229	231	285	225
PITHD1|ENSG00000057757.10|chr1	720	691	825	787	1300	853
LYPLA2|ENSG00000011009.11|chr1	400	179	349	349	84	155
GALE|ENSG00000117308.15|chr1	324	217	261	230	263	144
HMGCL|ENSG00000117305.15|chr1	48	81	90	106	99	91
FUCA1|ENSG00000179163.12|chr1	380	474	410	370	492	404
CNR2|ENSG00000188822.8|chr1	0	0	0	0	0	0
PNRC2|ENSG00000189266.13|chr1	82	109	125	92	160	167
SRSF10|ENSG00000188529.15|chr1	2031	1885	1853	1877	3143	2050
MYOM3|ENSG00000142661.19|chr1	0	0	0	0	0	0
IL22RA1|ENSG00000142677.4|chr1	7	0	0	4	0	0
IFNLR1|ENSG00000185436.12|chr1	0	7	3	0	4	2
GRHL3|ENSG00000158055.17|chr1	0	0	0	0	0	0
STPG1|ENSG00000001460.18|chr1	4	2	16	52	22	17
NIPAL3|ENSG00000001461.17|chr1	588	409	524	387	601	515
RCAN3|ENSG00000117602.13|chr1	143	204	253	238	237	184
NCMAP|ENSG00000184454.7|chr1	0	0	0	0	0	0
SRRM1|ENSG00000133226.18|chr1	472	180	383	473	652	422
CLIC4|ENSG00000169504.15|chr1	677	452	663	590	935	639
RUNX3|ENSG00000020633.19|chr1	174	136	204	176	185	163
SYF2|ENSG00000117614.10|chr1	369	278	333	405	547	388
RSRP1|ENSG00000117616.18|chr1	31	43	34	12	38	64
RHD|ENSG00000187010.21|chr1	0	0	0	0	0	0
TMEM50A|ENSG00000183726.11|chr1	2847	1691	2337	1692	2240	1478
RHCE|ENSG00000188672.19|chr1	3	3	0	0	0	0
MACO1|ENSG00000204178.11|chr1	65	66	69	202	128	99
LDLRAP1|ENSG00000157978.12|chr1	420	179	316	223	203	170
MAN1C1|ENSG00000117643.15|chr1	5	21	37	6	2	4
SELENON|ENSG00000162430.18|chr1	266	126	396	239	89	120
MTFR1L|ENSG00000117640.18|chr1	362	185	262	250	234	214
AUNIP|ENSG00000127423.11|chr1	39	53	52	149	128	130
PAQR7|ENSG00000182749.6|chr1	0	1	1	0	3	5
STMN1|ENSG00000117632.23|chr1	11606	10062	12336	9674	12365	10516
PAFAH2|ENSG00000158006.14|chr1	60	62	60	58	80	62
EXTL1|ENSG00000158008.10|chr1	0	0	0	0	0	0
SLC30A2|ENSG00000158014.15|chr1	0	0	0	0	0	0
TRIM63|ENSG00000158022.7|chr1	0	0	0	0	0	0
PDIK1L|ENSG00000175087.10|chr1	8	9	37	25	4	19
FAM110D|ENSG00000197245.6|chr1	0	0	0	0	0	0
C1orf232|ENSG00000282872.2|chr1	0	0	0	0	0	4
ZNF593|ENSG00000142684.9|chr1	1020	439	764	623	732	804
CNKSR1|ENSG00000142675.18|chr1	15	4	2	0	3	10
CATSPER4|ENSG00000188782.9|chr1	0	0	0	0	0	0
CEP85|ENSG00000130695.16|chr1	20	49	68	66	81	53
SH3BGRL3|ENSG00000142669.15|chr1	1036	397	1125	719	410	444
UBXN11|ENSG00000158062.21|chr1	0	0	0	0	0	0
CD52|ENSG00000169442.9|chr1	0	0	8	0	0	0
CRYBG2|ENSG00000176092.17|chr1	49	18	71	29	16	9
ZNF683|ENSG00000176083.18|chr1	0	0	0	0	0	0
LIN28A|ENSG00000131914.11|chr1	0	0	0	0	0	0
DHDDS|ENSG00000117682.18|chr1	156	142	234	149	241	166
HMGN2|ENSG00000198830.11|chr1	389	369	552	186	417	301
RPS6KA1|ENSG00000117676.14|chr1	0	0	0	0	0	5
ARID1A|ENSG00000117713.21|chr1	121	65	219	108	220	110
PIGV|ENSG00000060642.12|chr1	51	47	69	15	48	71
ZDHHC18|ENSG00000204160.12|chr1	169	155	151	85	72	100
SFN|ENSG00000175793.12|chr1	10	19	7	13	11	6
GPN2|ENSG00000142751.15|chr1	323	223	288	226	401	416
GPATCH3|ENSG00000198746.13|chr1	38	52	56	78	56	84
NUDC|ENSG00000090273.14|chr1	2967	1935	2825	2714	2377	2453
NR0B2|ENSG00000131910.5|chr1	0	0	0	0	0	0
KDF1|ENSG00000175707.10|chr1	0	0	0	1	0	0
TENT5B|ENSG00000158246.8|chr1	0	0	2	0	0	0
SLC9A1|ENSG00000090020.11|chr1	78	48	126	31	59	22
WDTC1|ENSG00000142784.16|chr1	129	100	157	136	79	98
TMEM222|ENSG00000186501.15|chr1	356	85	343	267	173	175
SYTL1|ENSG00000142765.18|chr1	16	6	7	0	7	12
MAP3K6|ENSG00000142733.18|chr1	44	84	23	83	20	66
FCN3|ENSG00000142748.14|chr1	0	0	0	0	0	0
CD164L2|ENSG00000174950.11|chr1	0	0	0	0	0	0
GPR3|ENSG00000181773.7|chr1	4	1	4	7	14	0
WASF2|ENSG00000158195.11|chr1	2039	1133	1861	1645	1252	1312
FGR|ENSG00000000938.13|chr1	0	0	0	0	0	0
IFI6|ENSG00000126709.16|chr1	478	271	340	258	323	289
FAM76A|ENSG00000009780.16|chr1	85	110	112	131	176	132
STX12|ENSG00000117758.14|chr1	320	365	303	298	385	372
PPP1R8|ENSG00000117751.18|chr1	213	161	175	285	346	381
THEMIS2|ENSG00000130775.16|chr1	0	0	9	9	15	0
RPA2|ENSG00000117748.10|chr1	1001	756	1102	1080	1406	1208
SMPDL3B|ENSG00000130768.15|chr1	205	89	184	95	161	90
XKR8|ENSG00000158156.9|chr1	142	61	113	75	91	64
EYA3|ENSG00000158161.16|chr1	191	156	203	150	224	167
PTAFR|ENSG00000169403.12|chr1	0	2	10	0	11	0
DNAJC8|ENSG00000126698.11|chr1	3236	1407	2759	2374	2130	1864
ATP5IF1|ENSG00000130770.18|chr1	28	30	10	0	0	0
SESN2|ENSG00000130766.5|chr1	0	0	0	0	0	0
MED18|ENSG00000130772.14|chr1	0	0	0	0	0	0
PHACTR4|ENSG00000204138.13|chr1	532	358	468	545	813	731
RCC1|ENSG00000180198.17|chr1	1001	734	1067	842	1493	1061
TRNAU1AP|ENSG00000180098.9|chr1	520	518	556	455	603	545
TAF12|ENSG00000120656.14|chr1	242	152	219	223	206	201
RAB42|ENSG00000188060.8|chr1	0	0	0	0	3	0
GMEB1|ENSG00000162419.13|chr1	166	93	179	115	187	159
YTHDF2|ENSG00000198492.16|chr1	321	286	240	276	597	412
OPRD1|ENSG00000116329.12|chr1	14	13	4	31	15	25
TMEM200B|ENSG00000253304.2|chr1	3	0	6	4	9	5
SRSF4|ENSG00000116350.18|chr1	366	288	412	675	1107	674
MECR|ENSG00000116353.16|chr1	270	249	279	300	207	174
PTPRU|ENSG00000060656.20|chr1	117	55	125	32	85	87
MATN1|ENSG00000162510.6|chr1	0	4	0	0	0	0
LAPTM5|ENSG00000162511.8|chr1	0	0	0	0	7	0
SDC3|ENSG00000162512.16|chr1	48	7	85	31	10	8
PUM1|ENSG00000134644.16|chr1	239	137	240	113	296	243
NKAIN1|ENSG00000084628.10|chr1	16	4	13	16	12	6
SNRNP40|ENSG00000060688.13|chr1	331	170	263	212	479	241
ZCCHC17|ENSG00000121766.16|chr1	596	564	633	295	445	351
FABP3|ENSG00000121769.8|chr1	1	4	0	0	0	0
SERINC2|ENSG00000168528.12|chr1	145	58	179	150	54	63
TINAGL1|ENSG00000142910.16|chr1	2	0	0	10	0	0
HCRTR1|ENSG00000121764.12|chr1	0	0	0	0	0	0
PEF1|ENSG00000162517.13|chr1	2076	1013	1947	1336	1268	1297
COL16A1|ENSG00000084636.18|chr1	0	4	0	0	0	0
ADGRB2|ENSG00000121753.13|chr1	2	22	30	18	17	20
SPOCD1|ENSG00000134668.13|chr1	0	0	0	0	5	0
PTP4A2|ENSG00000184007.22|chr1	5174	4338	5188	3047	4965	3941
KHDRBS1|ENSG00000121774.18|chr1	5730	4111	5175	3988	6885	4832
TMEM39B|ENSG00000121775.18|chr1	263	192	175	164	294	247
KPNA6|ENSG00000025800.14|chr1	1915	1647	1885	1530	2282	1837
TXLNA|ENSG00000084652.16|chr1	367	312	411	427	383	321
CCDC28B|ENSG00000160050.16|chr1	297	149	235	288	190	193
IQCC|ENSG00000160051.12|chr1	14	29	15	8	51	72
