Gene	DMSO-P0-1	DMSO-P0-2	DMSO-P0-3	DMSO-L10a-1	DMSO-L10a-2	DMSO-L10a-3
ACTRT2|ENSG00000169717.7|chr1	0	0	0	0	0	0
PRDM16|ENSG00000142611.17|chr1	61	84	77	160	42	126
ARHGEF16|ENSG00000130762.15|chr1	0	13	18	0	7	19
MEGF6|ENSG00000162591.17|chr1	0	0	0	0	0	3
TPRG1L|ENSG00000158109.15|chr1	253	328	224	448	279	404
WRAP73|ENSG00000116213.16|chr1	458	427	285	384	328	406
TP73|ENSG00000078900.15|chr1	77	121	115	163	104	153
CCDC27|ENSG00000162592.10|chr1	0	0	0	0	0	0
SMIM1|ENSG00000235169.11|chr1	1	0	0	1	3	5
LRRC47|ENSG00000130764.10|chr1	750	769	643	905	792	796
CEP104|ENSG00000116198.14|chr1	47	22	52	63	21	42
DFFB|ENSG00000169598.17|chr1	100	136	76	91	94	91
C1orf174|ENSG00000198912.12|chr1	308	430	336	521	360	492
NPHP4|ENSG00000131697.18|chr1	13	5	33	36	21	40
KCNAB2|ENSG00000069424.16|chr1	15	0	17	21	1	1
RPL22|ENSG00000116251.11|chr1	808	834	669	1052	860	961
RNF207|ENSG00000158286.13|chr1	0	0	12	6	6	6
ICMT|ENSG00000116237.16|chr1	667	782	515	811	709	1019
HES3|ENSG00000173673.8|chr1	0	0	0	0	0	0
GPR153|ENSG00000158292.7|chr1	8	29	50	30	17	44
ACOT7|ENSG00000097021.20|chr1	177	259	223	255	166	206
HES2|ENSG00000069812.11|chr1	0	0	0	0	0	0
ESPN|ENSG00000187017.18|chr1	0	0	0	0	0	0
TNFRSF25|ENSG00000215788.11|chr1	0	14	4	7	6	6
PLEKHG5|ENSG00000171680.23|chr1	14	0	5	3	0	0
NOL9|ENSG00000162408.11|chr1	360	457	371	669	428	526
TAS1R1|ENSG00000173662.21|chr1	0	0	0	0	0	0
ZBTB48|ENSG00000204859.13|chr1	11	30	41	70	6	39
KLHL21|ENSG00000162413.17|chr1	404	489	460	783	517	692
PHF13|ENSG00000116273.6|chr1	283	307	233	388	316	374
THAP3|ENSG00000041988.16|chr1	166	235	211	317	109	281
DNAJC11|ENSG00000007923.17|chr1	151	132	173	164	95	75
CAMTA1|ENSG00000171735.20|chr1	25	107	50	89	127	97
VAMP3|ENSG00000049245.13|chr1	239	393	151	310	182	366
PER3|ENSG00000049246.15|chr1	0	9	0	0	0	3
UTS2|ENSG00000049247.14|chr1	0	0	0	0	0	0
TNFRSF9|ENSG00000049249.10|chr1	1	0	0	3	0	0
PARK7|ENSG00000116288.13|chr1	1823	2091	1573	2067	1880	1995
ERRFI1|ENSG00000116285.13|chr1	139	250	144	182	177	233
SLC45A1|ENSG00000162426.16|chr1	0	0	0	0	0	6
RERE|ENSG00000142599.19|chr1	433	429	376	512	345	504
ENO1|ENSG00000074800.16|chr1	4684	5673	4365	5956	2457	5315
CA6|ENSG00000131686.15|chr1	0	0	0	0	0	0
SLC2A7|ENSG00000197241.4|chr1	0	0	0	0	0	1
SLC2A5|ENSG00000142583.18|chr1	0	0	0	0	0	0
GPR157|ENSG00000180758.12|chr1	61	106	43	143	122	125
H6PD|ENSG00000049239.13|chr1	9	49	34	44	31	37
SPSB1|ENSG00000171621.14|chr1	22	70	51	71	49	53
SLC25A33|ENSG00000171612.7|chr1	330	465	433	550	450	679
TMEM201|ENSG00000188807.13|chr1	73	113	75	104	36	110
PIK3CD|ENSG00000171608.18|chr1	0	11	7	10	11	6
CLSTN1|ENSG00000171603.18|chr1	269	274	172	272	164	202
CTNNBIP1|ENSG00000178585.15|chr1	42	85	39	75	35	74
LZIC|ENSG00000162441.12|chr1	120	235	150	334	241	244
NMNAT1|ENSG00000173614.14|chr1	35	34	34	90	81	68
RBP7|ENSG00000162444.12|chr1	42	11	24	7	18	22
UBE4B|ENSG00000130939.20|chr1	45	72	38	112	60	118
KIF1B|ENSG00000054523.20|chr1	32	52	42	71	25	53
PGD|ENSG00000142657.21|chr1	269	381	289	375	182	325
CENPS-CORT|ENSG00000251503.8|chr1	0	5	31	7	9	12
CENPS|ENSG00000175279.22|chr1	243	334	236	324	332	338
CORT|ENSG00000241563.4|chr1	0	5	31	7	9	12
DFFA|ENSG00000160049.12|chr1	626	764	526	914	789	815
PEX14|ENSG00000142655.13|chr1	172	138	160	168	92	119
CASZ1|ENSG00000130940.15|chr1	15	8	5	20	12	25
TARDBP|ENSG00000120948.19|chr1	360	550	277	644	402	729
MASP2|ENSG00000009724.18|chr1	0	0	0	0	0	0
SRM|ENSG00000116649.10|chr1	1030	1286	1013	1103	298	966
EXOSC10|ENSG00000171824.14|chr1	204	45	104	99	100	133
MTOR|ENSG00000198793.14|chr1	24	27	35	88	79	56
ANGPTL7|ENSG00000171819.5|chr1	0	0	0	0	0	0
UBIAD1|ENSG00000120942.14|chr1	572	467	371	590	469	604
DISP3|ENSG00000204624.8|chr1	0	0	0	8	0	0
FBXO2|ENSG00000116661.11|chr1	0	0	0	0	0	0
FBXO44|ENSG00000132879.14|chr1	31	71	30	64	36	57
MAD2L2|ENSG00000116670.16|chr1	225	265	211	212	46	210
FBXO6|ENSG00000116663.11|chr1	17	5	17	12	2	17
DRAXIN|ENSG00000162490.7|chr1	0	13	0	16	0	5
AGTRAP|ENSG00000177674.16|chr1	130	139	87	176	73	106
C1orf167|ENSG00000215910.8|chr1	0	0	0	0	0	0
MTHFR|ENSG00000177000.13|chr1	115	168	161	108	138	161
CLCN6|ENSG00000011021.23|chr1	0	1	5	27	29	20
NPPA|ENSG00000175206.11|chr1	0	0	0	0	0	0
NPPB|ENSG00000120937.9|chr1	0	3	0	2	9	10
KIAA2013|ENSG00000116685.16|chr1	405	661	411	716	467	718
PLOD1|ENSG00000083444.17|chr1	110	59	68	88	40	119
MFN2|ENSG00000116688.18|chr1	222	313	311	448	386	424
MIIP|ENSG00000116691.11|chr1	56	64	16	34	44	50
TNFRSF8|ENSG00000120949.15|chr1	0	0	0	0	0	6
TNFRSF1B|ENSG00000028137.19|chr1	0	0	0	0	2	0
VPS13D|ENSG00000048707.15|chr1	30	26	15	31	62	45
DHRS3|ENSG00000162496.9|chr1	80	106	70	169	71	175
AADACL4|ENSG00000204518.3|chr1	0	0	0	0	0	0
AADACL3|ENSG00000188984.12|chr1	0	0	0	0	0	0
CFAP107|ENSG00000157330.10|chr1	0	0	0	0	0	0
PRAMEF12|ENSG00000116726.5|chr1	0	0	0	0	0	0
PRAMEF1|ENSG00000116721.9|chr1	0	0	0	0	0	0
PRAMEF11|ENSG00000239810.3|chr1	0	0	0	0	0	0
HNRNPCL1|ENSG00000179172.10|chr1	0	0	0	0	0	0
PRAMEF2|ENSG00000120952.4|chr1	0	0	0	0	0	0
PRAMEF4|ENSG00000243073.4|chr1	0	0	0	0	0	0
PRAMEF10|ENSG00000187545.5|chr1	0	0	0	0	0	0
PRAMEF7|ENSG00000204510.6|chr1	0	0	0	0	0	0
PRAMEF6|ENSG00000232423.6|chr1	0	0	0	0	0	0
PRAMEF27|ENSG00000274764.6|chr1	0	0	0	0	0	0
HNRNPCL3|ENSG00000277058.3|chr1	0	0	0	0	0	0
PRAMEF25|ENSG00000229571.7|chr1	0	0	0	0	0	0
HNRNPCL2|ENSG00000275774.3|chr1	0	0	0	0	0	0
PRAMEF26|ENSG00000280267.6|chr1	0	0	0	0	0	0
HNRNPCL4|ENSG00000179412.11|chr1	0	0	0	0	0	0
PRAMEF9|ENSG00000204505.5|chr1	0	0	0	0	0	0
PRAMEF13|ENSG00000279169.3|chr1	0	0	0	0	0	0
PRAMEF18|ENSG00000279804.3|chr1	0	0	0	0	0	0
PRAMEF5|ENSG00000270601.5|chr1	0	0	0	0	0	0
PRAMEF8|ENSG00000182330.11|chr1	0	0	0	0	0	0
PRAMEF33|ENSG00000237700.2|chr1	0	0	0	0	0	0
PRAMEF15|ENSG00000204501.7|chr1	0	0	0	0	0	0
PRAMEF14|ENSG00000204481.8|chr1	0	0	0	0	0	0
PRAMEF19|ENSG00000204480.9|chr1	0	0	0	0	0	0
PRAMEF17|ENSG00000204479.4|chr1	0	0	0	0	0	0
PRAMEF20|ENSG00000204478.11|chr1	0	0	0	0	0	0
LRRC38|ENSG00000162494.6|chr1	0	0	0	0	0	0
PDPN|ENSG00000162493.17|chr1	152	145	80	177	129	136
KAZN|ENSG00000189337.17|chr1	0	0	0	0	0	1
TMEM51|ENSG00000171729.14|chr1	228	218	165	163	157	259
FHAD1|ENSG00000142621.21|chr1	0	0	0	0	0	0
EFHD2|ENSG00000142634.13|chr1	78	77	40	66	86	50
CTRC|ENSG00000162438.12|chr1	0	0	0	0	0	0
CELA2A|ENSG00000142615.8|chr1	0	0	0	0	0	0
CELA2B|ENSG00000215704.10|chr1	0	0	0	0	0	0
CASP9|ENSG00000132906.18|chr1	70	96	54	83	54	80
DNAJC16|ENSG00000116138.13|chr1	106	160	104	149	133	117
AGMAT|ENSG00000116771.6|chr1	0	0	0	0	0	0
RSC1A1|ENSG00000215695.2|chr1	12	40	13	23	12	39
PLEKHM2|ENSG00000116786.13|chr1	89	80	67	145	75	108
SLC25A34|ENSG00000162461.8|chr1	0	0	0	0	0	0
TMEM82|ENSG00000162460.7|chr1	0	0	0	0	0	0
FBLIM1|ENSG00000162458.13|chr1	92	99	81	129	111	150
SPEN|ENSG00000065526.12|chr1	740	947	618	1319	509	1237
ZBTB17|ENSG00000116809.12|chr1	134	118	47	42	42	49
SRARP|ENSG00000183888.4|chr1	0	6	0	0	0	0
HSPB7|ENSG00000173641.18|chr1	0	0	0	0	0	0
CLCNKA|ENSG00000186510.12|chr1	0	0	0	0	0	0
CLCNKB|ENSG00000184908.20|chr1	0	0	0	0	0	0
FAM131C|ENSG00000185519.9|chr1	0	5	18	1	0	3
EPHA2|ENSG00000142627.13|chr1	159	446	308	317	140	271
ARHGEF19|ENSG00000142632.17|chr1	31	22	35	32	15	20
CPLANE2|ENSG00000132881.12|chr1	21	6	2	11	4	30
FBXO42|ENSG00000037637.11|chr1	105	85	32	147	71	154
SZRD1|ENSG00000055070.17|chr1	274	343	265	473	343	592
SPATA21|ENSG00000187144.11|chr1	0	0	0	0	0	0
NECAP2|ENSG00000157191.20|chr1	208	275	188	378	212	321
NBPF1|ENSG00000219481.11|chr1	0	0	0	0	0	3
CROCC|ENSG00000058453.17|chr1	41	83	34	74	74	64
MFAP2|ENSG00000117122.14|chr1	0	0	0	0	0	0
ATP13A2|ENSG00000159363.19|chr1	29	16	19	4	6	27
SDHB|ENSG00000117118.10|chr1	485	518	371	392	427	465
PADI2|ENSG00000117115.13|chr1	0	0	0	0	0	0
PADI1|ENSG00000142623.11|chr1	0	0	0	0	0	0
PADI3|ENSG00000142619.4|chr1	0	0	0	0	0	0
PADI4|ENSG00000159339.13|chr1	0	0	0	0	0	0
PADI6|ENSG00000276747.1|chr1	0	0	0	0	0	0
RCC2|ENSG00000179051.14|chr1	33	16	20	14	8	7
ARHGEF10L|ENSG00000074964.17|chr1	26	43	18	13	42	16
ACTL8|ENSG00000117148.8|chr1	12	14	18	20	15	25
IGSF21|ENSG00000117154.12|chr1	0	5	0	0	0	11
KLHDC7A|ENSG00000179023.9|chr1	1	12	0	2	8	0
PAX7|ENSG00000009709.12|chr1	0	2	0	8	3	1
ALDH4A1|ENSG00000159423.17|chr1	20	10	47	43	7	26
IFFO2|ENSG00000169991.11|chr1	48	44	83	75	52	74
UBR4|ENSG00000127481.15|chr1	31	26	36	118	28	79
EMC1|ENSG00000127463.16|chr1	75	91	97	103	88	105
MRTO4|ENSG00000053372.5|chr1	1704	1835	1536	1903	1711	1960
AKR7L|ENSG00000211454.16|chr1	0	0	0	0	2	0
AKR7A3|ENSG00000162482.5|chr1	0	0	0	0	0	4
AKR7A2|ENSG00000053371.13|chr1	204	282	254	304	144	244
SLC66A1|ENSG00000040487.13|chr1	101	146	97	142	135	94
CAPZB|ENSG00000077549.19|chr1	522	657	418	816	449	663
MICOS10|ENSG00000173436.15|chr1	558	410	428	508	421	529
NBL1|ENSG00000158747.15|chr1	81	52	58	117	44	92
HTR6|ENSG00000158748.4|chr1	0	14	0	5	0	5
TMCO4|ENSG00000162542.14|chr1	0	10	1	6	4	1
RNF186|ENSG00000178828.7|chr1	0	0	0	0	0	0
OTUD3|ENSG00000169914.6|chr1	61	58	11	106	63	105
PLA2G2E|ENSG00000188784.4|chr1	0	0	0	0	0	0
PLA2G2A|ENSG00000188257.12|chr1	0	0	0	0	0	0
PLA2G5|ENSG00000127472.11|chr1	0	0	0	0	0	0
PLA2G2D|ENSG00000117215.15|chr1	0	0	0	0	0	0
PLA2G2F|ENSG00000158786.5|chr1	0	0	0	0	0	0
PLA2G2C|ENSG00000187980.7|chr1	0	0	0	0	0	0
UBXN10|ENSG00000162543.6|chr1	0	0	0	0	0	0
VWA5B1|ENSG00000158816.16|chr1	0	0	0	0	0	0
CAMK2N1|ENSG00000162545.6|chr1	200	232	175	203	132	234
MUL1|ENSG00000090432.7|chr1	331	322	297	338	180	265
FAM43B|ENSG00000183114.8|chr1	9	0	0	12	3	7
CDA|ENSG00000158825.6|chr1	10	7	10	3	0	1
PINK1|ENSG00000158828.8|chr1	200	270	217	271	292	207
DDOST|ENSG00000244038.11|chr1	209	298	232	315	202	268
KIF17|ENSG00000117245.13|chr1	2	7	0	0	0	0
SH2D5|ENSG00000189410.12|chr1	23	12	28	39	13	14
HP1BP3|ENSG00000127483.19|chr1	209	239	177	283	234	281
EIF4G3|ENSG00000075151.24|chr1	441	453	361	408	335	498
ECE1|ENSG00000117298.16|chr1	120	119	97	254	133	204
NBPF3|ENSG00000142794.19|chr1	11	25	2	8	10	26
ALPL|ENSG00000162551.14|chr1	0	3	0	0	0	0
USP48|ENSG00000090686.16|chr1	59	64	19	122	71	116
LDLRAD2|ENSG00000187942.12|chr1	0	0	0	0	0	0
HSPG2|ENSG00000142798.20|chr1	18	6	0	14	0	14
CELA3B|ENSG00000219073.8|chr1	0	0	0	0	0	0
CELA3A|ENSG00000142789.20|chr1	0	0	0	0	0	0
ENSG00000289694|ENSG00000289694.1|chr1	55	53	54	83	57	62
CDC42|ENSG00000070831.18|chr1	845	962	634	916	742	864
WNT4|ENSG00000162552.15|chr1	0	10	0	0	0	0
ZBTB40|ENSG00000184677.18|chr1	34	54	35	68	48	120
EPHA8|ENSG00000070886.12|chr1	5	0	0	0	0	0
C1QA|ENSG00000173372.18|chr1	0	0	0	0	0	0
C1QC|ENSG00000159189.13|chr1	0	0	0	0	0	0
C1QB|ENSG00000173369.18|chr1	0	0	0	0	0	0
EPHB2|ENSG00000133216.17|chr1	28	25	5	26	23	48
TEX46|ENSG00000227868.7|chr1	15	3	0	0	4	4
KDM1A|ENSG00000004487.18|chr1	116	162	114	148	126	175
LUZP1|ENSG00000169641.14|chr1	105	113	96	151	73	82
HTR1D|ENSG00000179546.5|chr1	1	0	6	6	7	15
HNRNPR|ENSG00000125944.21|chr1	6	0	0	1	10	0
ZNF436|ENSG00000125945.15|chr1	1	0	0	0	0	0
TCEA3|ENSG00000204219.11|chr1	0	0	0	0	0	0
ASAP3|ENSG00000088280.20|chr1	0	0	0	0	0	0
E2F2|ENSG00000007968.7|chr1	0	0	0	0	0	0
RPL11|ENSG00000142676.14|chr1	413	549	397	524	598	551
ELOA|ENSG00000011007.13|chr1	414	470	417	585	444	692
PITHD1|ENSG00000057757.10|chr1	519	648	539	835	725	874
LYPLA2|ENSG00000011009.11|chr1	46	65	70	84	31	88
GALE|ENSG00000117308.15|chr1	37	28	27	78	25	44
HMGCL|ENSG00000117305.15|chr1	23	25	20	46	17	27
FUCA1|ENSG00000179163.12|chr1	62	98	123	74	101	117
CNR2|ENSG00000188822.8|chr1	0	0	0	0	0	0
PNRC2|ENSG00000189266.13|chr1	528	549	439	699	509	672
SRSF10|ENSG00000188529.15|chr1	801	812	624	949	829	1010
MYOM3|ENSG00000142661.19|chr1	0	0	0	0	0	0
IL22RA1|ENSG00000142677.4|chr1	0	0	0	0	0	0
IFNLR1|ENSG00000185436.12|chr1	53	72	29	60	36	59
GRHL3|ENSG00000158055.17|chr1	0	5	0	1	0	10
STPG1|ENSG00000001460.18|chr1	0	18	25	21	15	11
NIPAL3|ENSG00000001461.17|chr1	111	122	91	218	140	179
RCAN3|ENSG00000117602.13|chr1	69	113	55	129	96	125
NCMAP|ENSG00000184454.7|chr1	0	0	0	0	0	0
SRRM1|ENSG00000133226.18|chr1	216	155	134	290	191	292
CLIC4|ENSG00000169504.15|chr1	101	232	188	266	190	250
RUNX3|ENSG00000020633.19|chr1	181	178	98	229	156	226
SYF2|ENSG00000117614.10|chr1	469	441	347	432	379	436
RSRP1|ENSG00000117616.18|chr1	244	259	198	473	253	337
RHD|ENSG00000187010.21|chr1	0	0	0	0	0	0
TMEM50A|ENSG00000183726.11|chr1	631	965	696	898	693	879
RHCE|ENSG00000188672.19|chr1	0	10	0	3	3	0
MACO1|ENSG00000204178.11|chr1	178	179	68	151	91	149
LDLRAP1|ENSG00000157978.12|chr1	59	102	107	128	67	103
MAN1C1|ENSG00000117643.15|chr1	55	32	27	37	21	37
SELENON|ENSG00000162430.18|chr1	33	27	32	46	10	64
MTFR1L|ENSG00000117640.18|chr1	97	105	82	134	86	195
AUNIP|ENSG00000127423.11|chr1	150	199	150	263	171	242
PAQR7|ENSG00000182749.6|chr1	0	0	0	0	5	0
STMN1|ENSG00000117632.23|chr1	1429	1560	1052	1664	1188	1653
PAFAH2|ENSG00000158006.14|chr1	53	116	38	164	83	116
EXTL1|ENSG00000158008.10|chr1	0	1	0	0	0	0
SLC30A2|ENSG00000158014.15|chr1	0	0	0	0	0	0
TRIM63|ENSG00000158022.7|chr1	0	1	0	0	0	0
PDIK1L|ENSG00000175087.10|chr1	138	128	98	206	151	178
FAM110D|ENSG00000197245.6|chr1	0	3	0	0	0	7
C1orf232|ENSG00000282872.2|chr1	0	0	0	0	0	0
ZNF593|ENSG00000142684.9|chr1	491	790	471	614	367	471
CNKSR1|ENSG00000142675.18|chr1	3	6	6	3	4	0
CATSPER4|ENSG00000188782.9|chr1	0	0	0	0	0	0
CEP85|ENSG00000130695.16|chr1	59	77	60	167	88	125
SH3BGRL3|ENSG00000142669.15|chr1	96	179	71	108	37	100
UBXN11|ENSG00000158062.21|chr1	0	0	0	0	0	0
CD52|ENSG00000169442.9|chr1	7	0	0	0	0	0
CRYBG2|ENSG00000176092.17|chr1	1	24	9	30	12	21
ZNF683|ENSG00000176083.18|chr1	0	0	0	0	0	0
LIN28A|ENSG00000131914.11|chr1	0	0	0	0	0	0
DHDDS|ENSG00000117682.18|chr1	54	105	122	116	71	100
HMGN2|ENSG00000198830.11|chr1	102	193	77	295	161	238
RPS6KA1|ENSG00000117676.14|chr1	0	0	0	0	0	0
ARID1A|ENSG00000117713.21|chr1	623	679	548	923	664	854
PIGV|ENSG00000060642.12|chr1	37	25	23	20	57	26
ZDHHC18|ENSG00000204160.12|chr1	97	82	80	124	114	168
SFN|ENSG00000175793.12|chr1	0	16	0	6	5	6
GPN2|ENSG00000142751.15|chr1	214	213	135	338	251	388
GPATCH3|ENSG00000198746.13|chr1	8	48	31	82	50	88
NUDC|ENSG00000090273.14|chr1	515	577	602	634	284	650
NR0B2|ENSG00000131910.5|chr1	0	0	0	0	0	0
KDF1|ENSG00000175707.10|chr1	0	12	0	0	0	6
TENT5B|ENSG00000158246.8|chr1	12	0	0	3	6	7
SLC9A1|ENSG00000090020.11|chr1	90	101	123	125	72	83
WDTC1|ENSG00000142784.16|chr1	40	39	40	80	51	70
TMEM222|ENSG00000186501.15|chr1	50	68	77	61	36	69
SYTL1|ENSG00000142765.18|chr1	14	0	2	0	0	3
MAP3K6|ENSG00000142733.18|chr1	0	0	0	0	8	12
FCN3|ENSG00000142748.14|chr1	0	0	0	0	0	0
CD164L2|ENSG00000174950.11|chr1	0	0	0	0	0	0
GPR3|ENSG00000181773.7|chr1	2	2	15	9	11	11
WASF2|ENSG00000158195.11|chr1	479	729	590	885	515	1074
FGR|ENSG00000000938.13|chr1	0	0	0	0	0	0
IFI6|ENSG00000126709.16|chr1	30	36	31	33	1	9
FAM76A|ENSG00000009780.16|chr1	80	101	87	201	125	125
STX12|ENSG00000117758.14|chr1	105	121	135	147	124	213
PPP1R8|ENSG00000117751.18|chr1	510	558	552	759	508	591
THEMIS2|ENSG00000130775.16|chr1	0	9	15	1	6	21
RPA2|ENSG00000117748.10|chr1	667	886	530	1000	722	867
SMPDL3B|ENSG00000130768.15|chr1	14	32	15	30	2	21
XKR8|ENSG00000158156.9|chr1	105	87	63	92	126	88
EYA3|ENSG00000158161.16|chr1	130	106	98	165	105	170
PTAFR|ENSG00000169403.12|chr1	0	9	0	3	4	2
DNAJC8|ENSG00000126698.11|chr1	508	524	444	595	277	462
ATP5IF1|ENSG00000130770.18|chr1	0	0	0	0	0	3
SESN2|ENSG00000130766.5|chr1	4	5	0	2	5	14
MED18|ENSG00000130772.14|chr1	0	0	0	1	0	0
PHACTR4|ENSG00000204138.13|chr1	397	491	458	630	541	668
RCC1|ENSG00000180198.17|chr1	522	600	497	811	682	766
TRNAU1AP|ENSG00000180098.9|chr1	161	215	95	225	149	172
TAF12|ENSG00000120656.14|chr1	74	128	83	154	63	80
RAB42|ENSG00000188060.8|chr1	0	0	0	0	0	0
GMEB1|ENSG00000162419.13|chr1	215	215	200	207	191	305
YTHDF2|ENSG00000198492.16|chr1	725	948	702	1392	1484	1445
OPRD1|ENSG00000116329.12|chr1	53	17	8	42	19	20
TMEM200B|ENSG00000253304.2|chr1	0	0	0	0	0	1
SRSF4|ENSG00000116350.18|chr1	944	988	779	1251	774	1256
MECR|ENSG00000116353.16|chr1	64	58	46	102	82	102
PTPRU|ENSG00000060656.20|chr1	8	25	30	17	16	12
MATN1|ENSG00000162510.6|chr1	0	0	0	0	0	0
LAPTM5|ENSG00000162511.8|chr1	0	6	0	0	0	0
SDC3|ENSG00000162512.16|chr1	24	17	8	21	3	21
PUM1|ENSG00000134644.16|chr1	865	797	621	1039	816	1053
NKAIN1|ENSG00000084628.10|chr1	12	0	12	11	13	8
SNRNP40|ENSG00000060688.13|chr1	139	145	161	125	101	133
ZCCHC17|ENSG00000121766.16|chr1	176	190	132	193	187	246
FABP3|ENSG00000121769.8|chr1	0	0	0	1	0	0
SERINC2|ENSG00000168528.12|chr1	32	23	28	11	25	23
TINAGL1|ENSG00000142910.16|chr1	0	2	1	13	3	2
HCRTR1|ENSG00000121764.12|chr1	0	0	0	0	0	0
PEF1|ENSG00000162517.13|chr1	486	606	462	638	199	500
COL16A1|ENSG00000084636.18|chr1	0	0	0	0	0	0
ADGRB2|ENSG00000121753.13|chr1	0	1	0	14	0	7
SPOCD1|ENSG00000134668.13|chr1	0	2	0	0	6	0
PTP4A2|ENSG00000184007.22|chr1	2322	3051	2280	3062	2238	3098
KHDRBS1|ENSG00000121774.18|chr1	1007	1373	823	1282	882	1077
TMEM39B|ENSG00000121775.18|chr1	133	125	145	185	145	194
KPNA6|ENSG00000025800.14|chr1	806	1317	931	1235	959	1327
TXLNA|ENSG00000084652.16|chr1	507	644	517	763	505	770
CCDC28B|ENSG00000160050.16|chr1	16	23	39	36	10	14
IQCC|ENSG00000160051.12|chr1	21	27	32	44	63	39
DCDC2B|ENSG00000222046.3|chr1	0	0	0	0	0	0
TMEM234|ENSG00000160055.20|chr1	32	36	6	34	29	46
EIF3I|ENSG00000084623.12|chr1	1540	1730	1243	1865	1493	1797
FAM167B|ENSG00000183615.6|chr1	0	0	0	0	0	0
