Gene	DMSO-P0-1	DMSO-P0-2	DMSO-P0-3	DMSO-L10a-1	DMSO-L10a-2	DMSO-L10a-3
DHRS3|ENSG00000162496.9|chr1	244	312	316	401	215	414
AADACL4|ENSG00000204518.3|chr1	0	0	0	0	0	0
AADACL3|ENSG00000188984.12|chr1	0	0	0	0	0	0
CFAP107|ENSG00000157330.10|chr1	0	0	0	0	0	0
PRAMEF12|ENSG00000116726.5|chr1	0	0	0	0	0	0
PRAMEF1|ENSG00000116721.9|chr1	0	0	0	0	0	0
PRAMEF11|ENSG00000239810.3|chr1	0	0	0	0	0	0
HNRNPCL1|ENSG00000179172.10|chr1	0	0	0	0	0	0
PRAMEF2|ENSG00000120952.4|chr1	0	0	0	0	0	0
PRAMEF4|ENSG00000243073.4|chr1	0	0	0	0	0	0
PRAMEF10|ENSG00000187545.5|chr1	0	0	0	0	0	0
PRAMEF7|ENSG00000204510.6|chr1	0	0	0	0	0	0
PRAMEF6|ENSG00000232423.6|chr1	0	0	0	0	0	0
PRAMEF27|ENSG00000274764.6|chr1	0	0	0	0	0	0
HNRNPCL3|ENSG00000277058.3|chr1	0	0	0	0	0	0
PRAMEF25|ENSG00000229571.7|chr1	0	0	0	0	0	0
HNRNPCL2|ENSG00000275774.3|chr1	0	0	0	0	0	0
PRAMEF26|ENSG00000280267.6|chr1	0	0	0	0	0	0
HNRNPCL4|ENSG00000179412.11|chr1	0	0	0	0	0	0
PRAMEF9|ENSG00000204505.5|chr1	0	0	0	0	0	0
PRAMEF13|ENSG00000279169.3|chr1	0	0	0	0	0	0
PRAMEF18|ENSG00000279804.3|chr1	0	0	0	0	0	0
PRAMEF5|ENSG00000270601.5|chr1	0	0	0	0	0	0
PRAMEF8|ENSG00000182330.11|chr1	0	0	0	0	0	0
PRAMEF33|ENSG00000237700.2|chr1	0	0	0	0	0	0
PRAMEF15|ENSG00000204501.7|chr1	0	0	0	0	0	0
PRAMEF14|ENSG00000204481.8|chr1	0	0	0	0	0	0
PRAMEF19|ENSG00000204480.9|chr1	0	0	0	0	0	0
PRAMEF17|ENSG00000204479.4|chr1	0	0	0	0	0	0
PRAMEF20|ENSG00000204478.11|chr1	0	0	0	0	0	0
LRRC38|ENSG00000162494.6|chr1	0	0	0	0	0	0
PDPN|ENSG00000162493.17|chr1	541	628	346	746	591	605
KAZN|ENSG00000189337.17|chr1	0	0	0	0	0	1
TMEM51|ENSG00000171729.14|chr1	285	248	200	232	189	331
FHAD1|ENSG00000142621.21|chr1	0	0	0	0	0	0
EFHD2|ENSG00000142634.13|chr1	210	254	181	211	212	287
CTRC|ENSG00000162438.12|chr1	0	0	0	0	0	0
CELA2A|ENSG00000142615.8|chr1	0	0	0	0	0	0
CELA2B|ENSG00000215704.10|chr1	0	0	0	0	0	0
CASP9|ENSG00000132906.18|chr1	217	290	167	317	217	321
DNAJC16|ENSG00000116138.13|chr1	136	226	161	184	187	150
AGMAT|ENSG00000116771.6|chr1	0	0	0	0	0	0
RSC1A1|ENSG00000215695.2|chr1	25	70	18	26	18	59
PLEKHM2|ENSG00000116786.13|chr1	230	309	196	331	253	353
SLC25A34|ENSG00000162461.8|chr1	0	0	0	0	0	3
TMEM82|ENSG00000162460.7|chr1	0	0	0	0	0	0
FBLIM1|ENSG00000162458.13|chr1	179	205	126	190	206	201
SPEN|ENSG00000065526.12|chr1	836	1130	759	1542	667	1441
ZBTB17|ENSG00000116809.12|chr1	145	148	91	81	79	107
SRARP|ENSG00000183888.4|chr1	0	6	0	0	0	0
HSPB7|ENSG00000173641.18|chr1	0	0	0	2	0	0
CLCNKA|ENSG00000186510.12|chr1	0	0	0	0	0	0
CLCNKB|ENSG00000184908.20|chr1	0	0	8	0	0	0
FAM131C|ENSG00000185519.9|chr1	12	66	48	19	1	35
EPHA2|ENSG00000142627.13|chr1	211	500	337	358	156	313
ARHGEF19|ENSG00000142632.17|chr1	52	31	35	66	22	20
CPLANE2|ENSG00000132881.12|chr1	21	39	15	24	14	40
FBXO42|ENSG00000037637.11|chr1	136	94	53	172	86	191
SZRD1|ENSG00000055070.17|chr1	950	1193	754	1737	1213	1859
SPATA21|ENSG00000187144.11|chr1	0	0	0	0	0	0
NECAP2|ENSG00000157191.20|chr1	414	557	559	802	375	644
NBPF1|ENSG00000219481.11|chr1	0	0	0	0	0	3
CROCC|ENSG00000058453.17|chr1	99	150	71	162	117	137
MFAP2|ENSG00000117122.14|chr1	0	0	0	0	0	0
ATP13A2|ENSG00000159363.19|chr1	204	334	246	181	139	199
SDHB|ENSG00000117118.10|chr1	3028	3261	2425	3362	2787	2980
PADI2|ENSG00000117115.13|chr1	31	31	14	14	38	17
PADI1|ENSG00000142623.11|chr1	0	0	0	0	0	0
PADI3|ENSG00000142619.4|chr1	0	0	0	0	0	0
PADI4|ENSG00000159339.13|chr1	0	0	0	0	0	0
PADI6|ENSG00000276747.1|chr1	0	0	0	0	0	0
RCC2|ENSG00000179051.14|chr1	39	42	25	27	15	23
ARHGEF10L|ENSG00000074964.17|chr1	33	60	27	25	56	26
ACTL8|ENSG00000117148.8|chr1	117	109	126	143	71	161
IGSF21|ENSG00000117154.12|chr1	7	6	12	2	0	17
KLHDC7A|ENSG00000179023.9|chr1	1	13	0	5	8	0
PAX7|ENSG00000009709.12|chr1	7	2	0	13	17	7
ALDH4A1|ENSG00000159423.17|chr1	91	138	158	104	59	97
IFFO2|ENSG00000169991.11|chr1	70	57	89	82	66	78
UBR4|ENSG00000127481.15|chr1	155	259	226	419	135	261
EMC1|ENSG00000127463.16|chr1	363	549	449	487	342	543
MRTO4|ENSG00000053372.5|chr1	4761	5221	4338	5609	4831	5426
AKR7L|ENSG00000211454.16|chr1	0	0	0	14	2	0
AKR7A3|ENSG00000162482.5|chr1	0	0	0	0	5	7
AKR7A2|ENSG00000053371.13|chr1	1944	2763	2147	2481	1517	2512
SLC66A1|ENSG00000040487.13|chr1	193	273	227	255	215	255
CAPZB|ENSG00000077549.19|chr1	2739	4403	3055	4247	2759	4420
MICOS10|ENSG00000173436.15|chr1	3659	4062	2927	4362	3915	4333
NBL1|ENSG00000158747.15|chr1	367	485	347	596	209	454
HTR6|ENSG00000158748.4|chr1	0	24	0	11	2	5
TMCO4|ENSG00000162542.14|chr1	6	11	11	25	4	11
RNF186|ENSG00000178828.7|chr1	0	0	0	0	0	0
OTUD3|ENSG00000169914.6|chr1	61	58	37	108	70	128
PLA2G2E|ENSG00000188784.4|chr1	0	0	0	0	0	0
PLA2G2A|ENSG00000188257.12|chr1	0	0	0	0	0	0
PLA2G5|ENSG00000127472.11|chr1	0	0	0	0	0	0
PLA2G2D|ENSG00000117215.15|chr1	0	0	0	0	0	0
PLA2G2F|ENSG00000158786.5|chr1	0	0	0	0	0	0
PLA2G2C|ENSG00000187980.7|chr1	0	0	0	0	0	0
UBXN10|ENSG00000162543.6|chr1	0	0	0	0	0	0
VWA5B1|ENSG00000158816.16|chr1	0	0	0	0	0	0
CAMK2N1|ENSG00000162545.6|chr1	402	470	375	514	378	594
MUL1|ENSG00000090432.7|chr1	427	406	369	468	246	375
FAM43B|ENSG00000183114.8|chr1	9	0	0	21	3	9
CDA|ENSG00000158825.6|chr1	33	42	12	35	9	13
PINK1|ENSG00000158828.8|chr1	1447	1573	1158	1496	1292	1323
DDOST|ENSG00000244038.11|chr1	2137	2621	1878	2515	1380	2428
KIF17|ENSG00000117245.13|chr1	2	13	0	5	0	8
SH2D5|ENSG00000189410.12|chr1	36	35	114	102	29	81
HP1BP3|ENSG00000127483.19|chr1	675	882	698	1031	745	1127
EIF4G3|ENSG00000075151.24|chr1	1845	2030	1653	1836	1303	2112
ECE1|ENSG00000117298.16|chr1	467	625	487	719	571	778
NBPF3|ENSG00000142794.19|chr1	67	75	25	96	39	103
ALPL|ENSG00000162551.14|chr1	0	9	0	7	0	2
USP48|ENSG00000090686.16|chr1	353	429	389	555	460	565
LDLRAD2|ENSG00000187942.12|chr1	0	0	0	0	0	0
HSPG2|ENSG00000142798.20|chr1	38	39	42	78	40	84
CELA3B|ENSG00000219073.8|chr1	0	0	0	0	0	0
CELA3A|ENSG00000142789.20|chr1	0	0	0	0	0	0
ENSG00000289694|ENSG00000289694.1|chr1	336	419	283	374	313	410
CDC42|ENSG00000070831.18|chr1	4161	5191	4111	5330	3868	4735
WNT4|ENSG00000162552.15|chr1	2	23	9	1	1	8
ZBTB40|ENSG00000184677.18|chr1	67	79	77	112	82	182
EPHA8|ENSG00000070886.12|chr1	7	0	0	0	0	0
C1QA|ENSG00000173372.18|chr1	0	0	0	0	0	0
C1QC|ENSG00000159189.13|chr1	0	0	0	0	0	0
C1QB|ENSG00000173369.18|chr1	0	0	0	0	0	0
EPHB2|ENSG00000133216.17|chr1	77	86	55	97	60	110
TEX46|ENSG00000227868.7|chr1	19	17	2	7	26	16
KDM1A|ENSG00000004487.18|chr1	656	790	514	920	720	1049
LUZP1|ENSG00000169641.14|chr1	124	146	131	208	93	118
HTR1D|ENSG00000179546.5|chr1	1	0	6	16	7	18
HNRNPR|ENSG00000125944.21|chr1	8	0	12	2	14	0
ZNF436|ENSG00000125945.15|chr1	1	0	0	0	0	0
TCEA3|ENSG00000204219.11|chr1	0	0	0	0	0	0
ASAP3|ENSG00000088280.20|chr1	0	0	0	0	0	0
E2F2|ENSG00000007968.7|chr1	0	0	0	0	0	0
RPL11|ENSG00000142676.14|chr1	1821	2391	2419	3098	2931	3252
ELOA|ENSG00000011007.13|chr1	600	581	568	807	641	921
PITHD1|ENSG00000057757.10|chr1	1005	1347	1256	1555	1416	1699
LYPLA2|ENSG00000011009.11|chr1	339	472	391	484	210	437
GALE|ENSG00000117308.15|chr1	308	320	299	402	242	305
HMGCL|ENSG00000117305.15|chr1	131	105	77	94	98	117
FUCA1|ENSG00000179163.12|chr1	468	639	558	454	575	527
CNR2|ENSG00000188822.8|chr1	0	0	0	0	0	0
PNRC2|ENSG00000189266.13|chr1	554	632	481	781	618	797
SRSF10|ENSG00000188529.15|chr1	2035	2400	1858	2980	2714	2863
MYOM3|ENSG00000142661.19|chr1	0	0	0	0	0	0
IL22RA1|ENSG00000142677.4|chr1	0	5	0	7	0	0
IFNLR1|ENSG00000185436.12|chr1	57	74	32	60	43	62
GRHL3|ENSG00000158055.17|chr1	13	5	0	1	0	10
STPG1|ENSG00000001460.18|chr1	16	36	25	25	17	27
NIPAL3|ENSG00000001461.17|chr1	434	545	369	806	549	703
RCAN3|ENSG00000117602.13|chr1	238	265	206	272	300	378
NCMAP|ENSG00000184454.7|chr1	0	0	0	0	0	0
SRRM1|ENSG00000133226.18|chr1	424	576	461	762	371	675
CLIC4|ENSG00000169504.15|chr1	549	776	623	943	642	913
RUNX3|ENSG00000020633.19|chr1	262	327	207	403	292	430
SYF2|ENSG00000117614.10|chr1	792	789	617	801	657	769
RSRP1|ENSG00000117616.18|chr1	272	292	219	504	296	371
RHD|ENSG00000187010.21|chr1	0	0	0	0	0	0
TMEM50A|ENSG00000183726.11|chr1	2829	3582	2968	3745	2384	3216
RHCE|ENSG00000188672.19|chr1	16	14	5	6	6	0
MACO1|ENSG00000204178.11|chr1	210	236	77	216	157	218
LDLRAP1|ENSG00000157978.12|chr1	277	388	474	548	246	419
MAN1C1|ENSG00000117643.15|chr1	58	40	34	42	42	74
SELENON|ENSG00000162430.18|chr1	245	280	366	312	136	460
MTFR1L|ENSG00000117640.18|chr1	314	333	307	496	271	457
AUNIP|ENSG00000127423.11|chr1	187	252	210	302	224	294
PAQR7|ENSG00000182749.6|chr1	0	0	0	0	6	1
STMN1|ENSG00000117632.23|chr1	11625	14010	10390	13270	11250	13989
PAFAH2|ENSG00000158006.14|chr1	110	199	99	224	145	176
EXTL1|ENSG00000158008.10|chr1	0	10	0	0	0	0
SLC30A2|ENSG00000158014.15|chr1	0	0	0	0	0	0
TRIM63|ENSG00000158022.7|chr1	0	1	0	0	0	0
PDIK1L|ENSG00000175087.10|chr1	185	144	119	214	160	215
FAM110D|ENSG00000197245.6|chr1	0	3	0	0	0	7
C1orf232|ENSG00000282872.2|chr1	0	0	0	0	0	0
ZNF593|ENSG00000142684.9|chr1	1265	1700	1192	1634	806	1235
CNKSR1|ENSG00000142675.18|chr1	3	14	12	18	8	2
CATSPER4|ENSG00000188782.9|chr1	0	0	0	0	0	0
CEP85|ENSG00000130695.16|chr1	82	130	60	187	137	193
SH3BGRL3|ENSG00000142669.15|chr1	1133	1369	905	1144	434	1225
UBXN11|ENSG00000158062.21|chr1	0	0	0	0	0	0
CD52|ENSG00000169442.9|chr1	7	0	0	0	0	8
CRYBG2|ENSG00000176092.17|chr1	11	34	25	79	30	92
ZNF683|ENSG00000176083.18|chr1	0	0	0	0	0	0
LIN28A|ENSG00000131914.11|chr1	0	0	0	0	0	0
DHDDS|ENSG00000117682.18|chr1	156	221	218	272	213	334
HMGN2|ENSG00000198830.11|chr1	354	645	452	684	530	790
RPS6KA1|ENSG00000117676.14|chr1	0	0	0	0	0	0
ARID1A|ENSG00000117713.21|chr1	692	818	669	1044	729	1073
PIGV|ENSG00000060642.12|chr1	65	81	71	71	104	95
ZDHHC18|ENSG00000204160.12|chr1	189	201	194	293	269	319
SFN|ENSG00000175793.12|chr1	12	26	1	16	24	13
GPN2|ENSG00000142751.15|chr1	436	493	302	661	474	676
GPATCH3|ENSG00000198746.13|chr1	39	91	83	120	102	144
NUDC|ENSG00000090273.14|chr1	3573	4322	3658	3601	2219	3475
NR0B2|ENSG00000131910.5|chr1	0	0	0	0	0	0
KDF1|ENSG00000175707.10|chr1	0	12	0	0	0	6
TENT5B|ENSG00000158246.8|chr1	25	0	0	3	6	9
SLC9A1|ENSG00000090020.11|chr1	151	202	197	203	120	209
WDTC1|ENSG00000142784.16|chr1	172	172	132	209	151	227
TMEM222|ENSG00000186501.15|chr1	351	407	371	417	121	412
SYTL1|ENSG00000142765.18|chr1	26	5	31	16	6	10
MAP3K6|ENSG00000142733.18|chr1	87	39	45	44	92	35
FCN3|ENSG00000142748.14|chr1	0	0	0	0	0	0
CD164L2|ENSG00000174950.11|chr1	0	0	0	0	0	0
GPR3|ENSG00000181773.7|chr1	8	8	30	13	12	15
WASF2|ENSG00000158195.11|chr1	1449	2064	1510	2924	1648	2935
FGR|ENSG00000000938.13|chr1	12	0	0	0	0	0
IFI6|ENSG00000126709.16|chr1	479	581	405	511	272	349
FAM76A|ENSG00000009780.16|chr1	166	165	184	286	235	237
STX12|ENSG00000117758.14|chr1	285	389	410	467	489	516
PPP1R8|ENSG00000117751.18|chr1	650	751	664	972	669	766
THEMIS2|ENSG00000130775.16|chr1	0	12	15	1	6	30
RPA2|ENSG00000117748.10|chr1	1391	1856	1306	2001	1478	1969
SMPDL3B|ENSG00000130768.15|chr1	207	294	148	235	91	205
XKR8|ENSG00000158156.9|chr1	181	164	98	234	187	201
EYA3|ENSG00000158161.16|chr1	285	315	251	356	261	373
PTAFR|ENSG00000169403.12|chr1	0	12	0	3	6	12
DNAJC8|ENSG00000126698.11|chr1	2897	3651	2877	3831	1684	3221
ATP5IF1|ENSG00000130770.18|chr1	5	28	9	28	30	13
SESN2|ENSG00000130766.5|chr1	4	5	0	2	5	14
MED18|ENSG00000130772.14|chr1	0	0	0	1	0	0
PHACTR4|ENSG00000204138.13|chr1	639	824	772	1162	899	1136
RCC1|ENSG00000180198.17|chr1	1175	1498	1078	1812	1416	1833
TRNAU1AP|ENSG00000180098.9|chr1	625	745	471	745	667	728
TAF12|ENSG00000120656.14|chr1	207	394	343	396	215	299
RAB42|ENSG00000188060.8|chr1	0	0	4	0	0	0
GMEB1|ENSG00000162419.13|chr1	296	279	290	373	284	484
YTHDF2|ENSG00000198492.16|chr1	904	1132	895	1713	1770	1685
OPRD1|ENSG00000116329.12|chr1	92	37	8	56	32	24
TMEM200B|ENSG00000253304.2|chr1	1	0	0	3	0	7
SRSF4|ENSG00000116350.18|chr1	1236	1295	975	1617	1062	1668
MECR|ENSG00000116353.16|chr1	413	417	240	372	331	381
PTPRU|ENSG00000060656.20|chr1	106	139	138	134	71	137
MATN1|ENSG00000162510.6|chr1	0	0	0	0	4	0
LAPTM5|ENSG00000162511.8|chr1	0	6	0	0	0	0
SDC3|ENSG00000162512.16|chr1	56	62	37	69	10	106
PUM1|ENSG00000134644.16|chr1	1027	968	718	1278	953	1293
NKAIN1|ENSG00000084628.10|chr1	50	5	26	27	17	21
SNRNP40|ENSG00000060688.13|chr1	391	476	360	456	271	396
ZCCHC17|ENSG00000121766.16|chr1	599	657	491	789	751	879
FABP3|ENSG00000121769.8|chr1	0	0	3	2	4	0
SERINC2|ENSG00000168528.12|chr1	270	319	197	156	83	202
TINAGL1|ENSG00000142910.16|chr1	3	15	1	15	3	2
HCRTR1|ENSG00000121764.12|chr1	0	0	0	0	0	0
PEF1|ENSG00000162517.13|chr1	1833	2378	2254	2714	1212	2447
COL16A1|ENSG00000084636.18|chr1	0	0	5	0	4	0
ADGRB2|ENSG00000121753.13|chr1	18	66	20	16	22	37
SPOCD1|ENSG00000134668.13|chr1	0	2	0	0	6	0
PTP4A2|ENSG00000184007.22|chr1	6138	7850	6025	8236	6576	8286
KHDRBS1|ENSG00000121774.18|chr1	5781	6886	5361	7012	4993	6252
TMEM39B|ENSG00000121775.18|chr1	253	370	335	448	337	369
KPNA6|ENSG00000025800.14|chr1	2209	2907	2303	3150	2606	3212
