Gene	DMSO-L10a-1	DMSO-L10a-2	DMSO-L10a-3	TPG-L10a-1	TPG-L10a-2	TPG-L10a-3
AKR7L|ENSG00000211454.16|chr1	14	2	0	0	0	0
AKR7A3|ENSG00000162482.5|chr1	0	5	7	0	0	4
AKR7A2|ENSG00000053371.13|chr1	2481	1517	2512	1629	1569	1534
SLC66A1|ENSG00000040487.13|chr1	255	215	255	347	298	287
CAPZB|ENSG00000077549.19|chr1	4247	2759	4420	2102	3101	2746
MICOS10|ENSG00000173436.15|chr1	4362	3915	4333	2453	3540	2763
NBL1|ENSG00000158747.15|chr1	596	209	454	258	132	237
HTR6|ENSG00000158748.4|chr1	11	2	5	0	0	4
TMCO4|ENSG00000162542.14|chr1	25	4	11	5	25	37
RNF186|ENSG00000178828.7|chr1	0	0	0	0	0	0
OTUD3|ENSG00000169914.6|chr1	108	70	128	73	98	84
PLA2G2E|ENSG00000188784.4|chr1	0	0	0	0	0	0
PLA2G2A|ENSG00000188257.12|chr1	0	0	0	0	0	0
PLA2G5|ENSG00000127472.11|chr1	0	0	0	0	0	0
PLA2G2D|ENSG00000117215.15|chr1	0	0	0	0	0	0
PLA2G2F|ENSG00000158786.5|chr1	0	0	0	0	0	0
PLA2G2C|ENSG00000187980.7|chr1	0	0	0	0	0	0
UBXN10|ENSG00000162543.6|chr1	0	0	0	0	0	0
VWA5B1|ENSG00000158816.16|chr1	0	0	0	0	0	0
CAMK2N1|ENSG00000162545.6|chr1	514	378	594	315	406	277
MUL1|ENSG00000090432.7|chr1	468	246	375	358	289	336
FAM43B|ENSG00000183114.8|chr1	21	3	9	0	2	5
CDA|ENSG00000158825.6|chr1	35	9	13	58	17	4
PINK1|ENSG00000158828.8|chr1	1496	1292	1323	1022	1438	1235
DDOST|ENSG00000244038.11|chr1	2515	1380	2428	1918	3047	2196
KIF17|ENSG00000117245.13|chr1	5	0	8	12	2	0
SH2D5|ENSG00000189410.12|chr1	102	29	81	66	59	48
HP1BP3|ENSG00000127483.19|chr1	1031	745	1127	688	1383	913
EIF4G3|ENSG00000075151.24|chr1	1836	1303	2112	917	1899	1265
ECE1|ENSG00000117298.16|chr1	719	571	778	339	586	481
NBPF3|ENSG00000142794.19|chr1	96	39	103	68	110	58
ALPL|ENSG00000162551.14|chr1	7	0	2	16	0	0
USP48|ENSG00000090686.16|chr1	555	460	565	332	700	533
LDLRAD2|ENSG00000187942.12|chr1	0	0	0	0	0	0
HSPG2|ENSG00000142798.20|chr1	78	40	84	0	8	1
CELA3B|ENSG00000219073.8|chr1	0	0	0	0	0	0
CELA3A|ENSG00000142789.20|chr1	0	0	0	0	0	0
ENSG00000289694|ENSG00000289694.1|chr1	374	313	410	381	278	247
CDC42|ENSG00000070831.18|chr1	5330	3868	4735	4283	4526	3966
WNT4|ENSG00000162552.15|chr1	1	1	8	0	18	7
ZBTB40|ENSG00000184677.18|chr1	112	82	182	173	223	211
EPHA8|ENSG00000070886.12|chr1	0	0	0	0	0	0
C1QA|ENSG00000173372.18|chr1	0	0	0	0	0	0
C1QC|ENSG00000159189.13|chr1	0	0	0	0	0	0
C1QB|ENSG00000173369.18|chr1	0	0	0	0	0	0
EPHB2|ENSG00000133216.17|chr1	97	60	110	67	112	45
TEX46|ENSG00000227868.7|chr1	7	26	16	0	1	12
KDM1A|ENSG00000004487.18|chr1	920	720	1049	633	1188	955
LUZP1|ENSG00000169641.14|chr1	208	93	118	94	176	86
HTR1D|ENSG00000179546.5|chr1	16	7	18	19	2	12
HNRNPR|ENSG00000125944.21|chr1	2	14	0	13	12	5
ZNF436|ENSG00000125945.15|chr1	0	0	0	0	0	0
TCEA3|ENSG00000204219.11|chr1	0	0	0	0	0	0
ASAP3|ENSG00000088280.20|chr1	0	0	0	0	0	0
E2F2|ENSG00000007968.7|chr1	0	0	0	0	0	0
RPL11|ENSG00000142676.14|chr1	3098	2931	3252	2357	3185	1873
ELOA|ENSG00000011007.13|chr1	807	641	921	792	798	688
PITHD1|ENSG00000057757.10|chr1	1555	1416	1699	1377	2061	1521
LYPLA2|ENSG00000011009.11|chr1	484	210	437	412	102	182
GALE|ENSG00000117308.15|chr1	402	242	305	243	312	153
HMGCL|ENSG00000117305.15|chr1	94	98	117	149	214	145
FUCA1|ENSG00000179163.12|chr1	454	575	527	438	588	458
CNR2|ENSG00000188822.8|chr1	0	0	0	0	0	0
PNRC2|ENSG00000189266.13|chr1	781	618	797	736	1229	887
SRSF10|ENSG00000188529.15|chr1	2980	2714	2863	2817	4896	3088
MYOM3|ENSG00000142661.19|chr1	0	0	0	0	0	0
IL22RA1|ENSG00000142677.4|chr1	7	0	0	10	0	0
IFNLR1|ENSG00000185436.12|chr1	60	43	62	43	70	50
GRHL3|ENSG00000158055.17|chr1	1	0	10	6	1	0
STPG1|ENSG00000001460.18|chr1	25	17	27	63	34	61
NIPAL3|ENSG00000001461.17|chr1	806	549	703	469	807	679
RCAN3|ENSG00000117602.13|chr1	272	300	378	297	313	222
NCMAP|ENSG00000184454.7|chr1	0	0	0	0	0	0
SRRM1|ENSG00000133226.18|chr1	762	371	675	577	968	602
CLIC4|ENSG00000169504.15|chr1	943	642	913	909	1488	1121
RUNX3|ENSG00000020633.19|chr1	403	292	430	279	366	357
SYF2|ENSG00000117614.10|chr1	801	657	769	747	973	813
RSRP1|ENSG00000117616.18|chr1	504	296	371	197	428	293
RHD|ENSG00000187010.21|chr1	0	0	0	0	0	0
TMEM50A|ENSG00000183726.11|chr1	3745	2384	3216	2135	2909	2113
RHCE|ENSG00000188672.19|chr1	6	6	0	0	0	0
MACO1|ENSG00000204178.11|chr1	216	157	218	292	290	276
LDLRAP1|ENSG00000157978.12|chr1	548	246	419	278	246	199
MAN1C1|ENSG00000117643.15|chr1	42	42	74	7	16	20
SELENON|ENSG00000162430.18|chr1	312	136	460	341	111	147
MTFR1L|ENSG00000117640.18|chr1	496	271	457	309	313	321
AUNIP|ENSG00000127423.11|chr1	302	224	294	410	476	405
PAQR7|ENSG00000182749.6|chr1	0	6	1	0	11	6
STMN1|ENSG00000117632.23|chr1	13270	11250	13989	10832	13937	11723
PAFAH2|ENSG00000158006.14|chr1	224	145	176	109	175	126
EXTL1|ENSG00000158008.10|chr1	0	0	0	0	0	0
SLC30A2|ENSG00000158014.15|chr1	0	0	0	0	0	0
TRIM63|ENSG00000158022.7|chr1	0	0	0	0	0	0
PDIK1L|ENSG00000175087.10|chr1	214	160	215	117	332	183
FAM110D|ENSG00000197245.6|chr1	0	0	7	0	0	0
C1orf232|ENSG00000282872.2|chr1	0	0	0	0	0	4
ZNF593|ENSG00000142684.9|chr1	1634	806	1235	1160	1155	1270
CNKSR1|ENSG00000142675.18|chr1	18	8	2	0	7	15
CATSPER4|ENSG00000188782.9|chr1	0	0	0	0	0	0
CEP85|ENSG00000130695.16|chr1	187	137	193	171	185	121
SH3BGRL3|ENSG00000142669.15|chr1	1144	434	1225	810	459	493
UBXN11|ENSG00000158062.21|chr1	0	0	0	0	0	0
CD52|ENSG00000169442.9|chr1	0	0	8	0	0	0
CRYBG2|ENSG00000176092.17|chr1	79	30	92	50	43	28
ZNF683|ENSG00000176083.18|chr1	0	0	0	0	0	0
LIN28A|ENSG00000131914.11|chr1	0	0	0	0	0	0
DHDDS|ENSG00000117682.18|chr1	272	213	334	232	415	280
HMGN2|ENSG00000198830.11|chr1	684	530	790	322	592	426
RPS6KA1|ENSG00000117676.14|chr1	0	0	0	0	0	5
ARID1A|ENSG00000117713.21|chr1	1044	729	1073	734	1087	743
PIGV|ENSG00000060642.12|chr1	71	104	95	49	85	119
ZDHHC18|ENSG00000204160.12|chr1	293	269	319	123	139	138
SFN|ENSG00000175793.12|chr1	16	24	13	13	18	18
GPN2|ENSG00000142751.15|chr1	661	474	676	508	679	647
GPATCH3|ENSG00000198746.13|chr1	120	102	144	142	110	137
NUDC|ENSG00000090273.14|chr1	3601	2219	3475	3030	2734	2734
NR0B2|ENSG00000131910.5|chr1	0	0	0	0	0	0
KDF1|ENSG00000175707.10|chr1	0	0	6	10	0	0
TENT5B|ENSG00000158246.8|chr1	3	6	9	0	3	3
SLC9A1|ENSG00000090020.11|chr1	203	120	209	122	135	98
WDTC1|ENSG00000142784.16|chr1	209	151	227	226	122	140
TMEM222|ENSG00000186501.15|chr1	417	121	412	315	200	220
SYTL1|ENSG00000142765.18|chr1	16	6	10	0	7	12
MAP3K6|ENSG00000142733.18|chr1	44	92	35	103	23	71
FCN3|ENSG00000142748.14|chr1	0	0	0	0	0	0
CD164L2|ENSG00000174950.11|chr1	0	0	0	0	0	0
GPR3|ENSG00000181773.7|chr1	13	12	15	28	34	0
WASF2|ENSG00000158195.11|chr1	2924	1648	2935	2193	1657	1843
FGR|ENSG00000000938.13|chr1	0	0	0	0	0	0
IFI6|ENSG00000126709.16|chr1	511	272	349	271	346	306
FAM76A|ENSG00000009780.16|chr1	286	235	237	288	298	274
STX12|ENSG00000117758.14|chr1	467	489	516	368	572	519
PPP1R8|ENSG00000117751.18|chr1	972	669	766	942	1136	938
THEMIS2|ENSG00000130775.16|chr1	1	6	30	9	16	8
RPA2|ENSG00000117748.10|chr1	2001	1478	1969	1899	2462	2071
SMPDL3B|ENSG00000130768.15|chr1	235	91	205	95	174	98
XKR8|ENSG00000158156.9|chr1	234	187	201	137	118	110
EYA3|ENSG00000158161.16|chr1	356	261	373	305	465	313
PTAFR|ENSG00000169403.12|chr1	3	6	12	0	19	0
DNAJC8|ENSG00000126698.11|chr1	3831	1684	3221	2710	2507	2285
ATP5IF1|ENSG00000130770.18|chr1	28	30	13	0	3	3
SESN2|ENSG00000130766.5|chr1	2	5	14	15	13	20
MED18|ENSG00000130772.14|chr1	1	0	0	0	0	0
PHACTR4|ENSG00000204138.13|chr1	1162	899	1136	1055	1610	1229
RCC1|ENSG00000180198.17|chr1	1812	1416	1833	1330	2548	1714
TRNAU1AP|ENSG00000180098.9|chr1	745	667	728	635	798	704
TAF12|ENSG00000120656.14|chr1	396	215	299	275	255	260
RAB42|ENSG00000188060.8|chr1	0	0	0	0	3	0
GMEB1|ENSG00000162419.13|chr1	373	284	484	230	499	440
YTHDF2|ENSG00000198492.16|chr1	1713	1770	1685	1314	2377	1819
OPRD1|ENSG00000116329.12|chr1	56	32	24	31	34	60
TMEM200B|ENSG00000253304.2|chr1	3	0	7	12	16	8
SRSF4|ENSG00000116350.18|chr1	1617	1062	1668	1410	2448	1770
MECR|ENSG00000116353.16|chr1	372	331	381	348	305	239
PTPRU|ENSG00000060656.20|chr1	134	71	137	57	104	106
MATN1|ENSG00000162510.6|chr1	0	4	0	0	2	7
LAPTM5|ENSG00000162511.8|chr1	0	0	0	0	7	0
SDC3|ENSG00000162512.16|chr1	69	10	106	34	20	10
PUM1|ENSG00000134644.16|chr1	1278	953	1293	1008	1614	1200
NKAIN1|ENSG00000084628.10|chr1	27	17	21	16	24	6
SNRNP40|ENSG00000060688.13|chr1	456	271	396	371	627	329
ZCCHC17|ENSG00000121766.16|chr1	789	751	879	382	612	512
FABP3|ENSG00000121769.8|chr1	2	4	0	0	0	0
SERINC2|ENSG00000168528.12|chr1	156	83	202	179	55	63
TINAGL1|ENSG00000142910.16|chr1	15	3	2	10	0	0
HCRTR1|ENSG00000121764.12|chr1	0	0	0	0	0	0
PEF1|ENSG00000162517.13|chr1	2714	1212	2447	1768	1595	1614
COL16A1|ENSG00000084636.18|chr1	0	4	0	0	0	0
ADGRB2|ENSG00000121753.13|chr1	16	22	37	18	17	20
SPOCD1|ENSG00000134668.13|chr1	0	6	0	0	5	6
PTP4A2|ENSG00000184007.22|chr1	8236	6576	8286	4639	6948	5667
KHDRBS1|ENSG00000121774.18|chr1	7012	4993	6252	4936	8259	5831
TMEM39B|ENSG00000121775.18|chr1	448	337	369	221	543	403
KPNA6|ENSG00000025800.14|chr1	3150	2606	3212	2332	3569	3096
