Gene	DMSO-Total-1	DMSO-Total-2	DMSO-Total-3	TPG-Total-1	TPG-Total-2	TPG-Total-3
NOL9|ENSG00000162408.11|chr1	1516	1215	1365	1639	1693	1313
TAS1R1|ENSG00000173662.21|chr1	0	0	0	4	0	3
ZBTB48|ENSG00000204859.13|chr1	21	26	33	53	62	41
KLHL21|ENSG00000162413.17|chr1	114	239	185	153	178	198
PHF13|ENSG00000116273.6|chr1	82	119	168	122	54	78
THAP3|ENSG00000041988.16|chr1	46	33	91	114	86	134
DNAJC11|ENSG00000007923.17|chr1	457	425	368	434	439	475
CAMTA1|ENSG00000171735.20|chr1	25	50	50	61	18	66
VAMP3|ENSG00000049245.13|chr1	851	714	570	541	680	519
PER3|ENSG00000049246.15|chr1	1	27	12	25	13	7
UTS2|ENSG00000049247.14|chr1	0	0	0	0	0	0
TNFRSF9|ENSG00000049249.10|chr1	0	0	1	0	0	0
PARK7|ENSG00000116288.13|chr1	5126	4735	4436	4142	3600	3992
ERRFI1|ENSG00000116285.13|chr1	18	70	45	91	58	94
SLC45A1|ENSG00000162426.16|chr1	1	0	0	0	0	0
RERE|ENSG00000142599.19|chr1	385	415	451	644	461	463
ENO1|ENSG00000074800.16|chr1	40294	34161	36096	35325	37605	35037
CA6|ENSG00000131686.15|chr1	0	0	0	2	0	0
SLC2A7|ENSG00000197241.4|chr1	0	0	0	0	0	0
SLC2A5|ENSG00000142583.18|chr1	0	0	0	0	0	0
GPR157|ENSG00000180758.12|chr1	42	44	47	49	45	28
H6PD|ENSG00000049239.13|chr1	73	77	80	76	64	53
SPSB1|ENSG00000171621.14|chr1	15	26	51	9	17	5
SLC25A33|ENSG00000171612.7|chr1	258	329	311	380	350	241
TMEM201|ENSG00000188807.13|chr1	96	99	69	61	130	122
PIK3CD|ENSG00000171608.18|chr1	30	12	24	17	18	10
CLSTN1|ENSG00000171603.18|chr1	511	539	496	446	587	459
CTNNBIP1|ENSG00000178585.15|chr1	214	277	224	193	260	237
LZIC|ENSG00000162441.12|chr1	326	367	307	349	343	328
NMNAT1|ENSG00000173614.14|chr1	42	62	63	74	70	36
RBP7|ENSG00000162444.12|chr1	55	59	52	54	27	29
UBE4B|ENSG00000130939.20|chr1	421	370	385	368	342	274
KIF1B|ENSG00000054523.20|chr1	175	158	172	179	195	169
PGD|ENSG00000142657.21|chr1	1014	908	1074	1062	978	814
CENPS-CORT|ENSG00000251503.8|chr1	28	53	37	31	48	33
CENPS|ENSG00000175279.22|chr1	585	541	399	507	490	489
CORT|ENSG00000241563.4|chr1	28	53	37	31	48	33
DFFA|ENSG00000160049.12|chr1	1588	1614	1394	1721	1630	1538
PEX14|ENSG00000142655.13|chr1	88	97	100	111	92	132
CASZ1|ENSG00000130940.15|chr1	24	27	28	50	36	37
TARDBP|ENSG00000120948.19|chr1	857	797	758	749	766	565
MASP2|ENSG00000009724.18|chr1	0	0	0	0	0	0
SRM|ENSG00000116649.10|chr1	3930	3220	2720	2902	3065	2641
EXOSC10|ENSG00000171824.14|chr1	716	641	634	828	1000	807
MTOR|ENSG00000198793.14|chr1	364	441	423	358	482	298
ANGPTL7|ENSG00000171819.5|chr1	0	0	0	0	0	0
UBIAD1|ENSG00000120942.14|chr1	297	305	267	358	315	430
DISP3|ENSG00000204624.8|chr1	8	16	0	7	0	4
FBXO2|ENSG00000116661.11|chr1	4	1	0	2	0	5
FBXO44|ENSG00000132879.14|chr1	66	38	72	80	67	87
MAD2L2|ENSG00000116670.16|chr1	769	790	606	723	770	759
FBXO6|ENSG00000116663.11|chr1	9	15	14	21	36	51
DRAXIN|ENSG00000162490.7|chr1	17	11	14	9	11	10
AGTRAP|ENSG00000177674.16|chr1	231	220	225	214	283	198
C1orf167|ENSG00000215910.8|chr1	0	0	0	0	0	0
MTHFR|ENSG00000177000.13|chr1	170	131	154	153	118	142
CLCN6|ENSG00000011021.23|chr1	13	29	16	18	22	19
NPPA|ENSG00000175206.11|chr1	0	0	0	0	0	0
NPPB|ENSG00000120937.9|chr1	0	9	0	0	0	1
KIAA2013|ENSG00000116685.16|chr1	318	235	249	226	239	221
PLOD1|ENSG00000083444.17|chr1	443	246	367	366	473	428
MFN2|ENSG00000116688.18|chr1	1091	985	981	1055	861	950
MIIP|ENSG00000116691.11|chr1	91	98	102	176	117	169
TNFRSF8|ENSG00000120949.15|chr1	0	0	0	0	0	0
TNFRSF1B|ENSG00000028137.19|chr1	0	0	3	0	0	3
VPS13D|ENSG00000048707.15|chr1	124	117	105	146	140	140
DHRS3|ENSG00000162496.9|chr1	197	113	144	192	143	181
AADACL4|ENSG00000204518.3|chr1	0	0	0	0	0	0
AADACL3|ENSG00000188984.12|chr1	0	0	0	0	0	0
CFAP107|ENSG00000157330.10|chr1	0	0	0	4	0	0
PRAMEF12|ENSG00000116726.5|chr1	0	0	0	0	0	0
PRAMEF1|ENSG00000116721.9|chr1	0	0	0	0	0	0
PRAMEF11|ENSG00000239810.3|chr1	0	0	0	0	0	0
HNRNPCL1|ENSG00000179172.10|chr1	0	0	0	0	0	0
PRAMEF2|ENSG00000120952.4|chr1	0	0	0	0	0	0
PRAMEF4|ENSG00000243073.4|chr1	0	0	0	0	0	0
PRAMEF10|ENSG00000187545.5|chr1	0	0	0	0	0	0
PRAMEF7|ENSG00000204510.6|chr1	0	0	0	0	0	0
PRAMEF6|ENSG00000232423.6|chr1	0	0	0	0	0	0
PRAMEF27|ENSG00000274764.6|chr1	0	0	0	0	0	0
HNRNPCL3|ENSG00000277058.3|chr1	0	0	0	0	0	0
PRAMEF25|ENSG00000229571.7|chr1	0	0	0	0	0	0
HNRNPCL2|ENSG00000275774.3|chr1	0	0	0	0	0	0
PRAMEF26|ENSG00000280267.6|chr1	0	0	0	0	0	0
HNRNPCL4|ENSG00000179412.11|chr1	0	0	0	0	0	0
PRAMEF9|ENSG00000204505.5|chr1	0	0	0	0	0	0
PRAMEF13|ENSG00000279169.3|chr1	0	0	0	0	0	0
PRAMEF18|ENSG00000279804.3|chr1	0	0	0	0	0	0
PRAMEF5|ENSG00000270601.5|chr1	0	0	0	0	0	0
PRAMEF8|ENSG00000182330.11|chr1	0	0	0	0	0	0
PRAMEF33|ENSG00000237700.2|chr1	0	0	0	0	0	0
PRAMEF15|ENSG00000204501.7|chr1	0	0	0	0	0	0
PRAMEF14|ENSG00000204481.8|chr1	0	0	0	0	0	0
PRAMEF19|ENSG00000204480.9|chr1	0	0	0	0	0	0
PRAMEF17|ENSG00000204479.4|chr1	0	0	0	0	0	0
PRAMEF20|ENSG00000204478.11|chr1	0	0	0	0	0	0
LRRC38|ENSG00000162494.6|chr1	0	0	0	0	0	0
PDPN|ENSG00000162493.17|chr1	328	283	288	284	268	181
KAZN|ENSG00000189337.17|chr1	0	0	4	0	0	0
TMEM51|ENSG00000171729.14|chr1	28	26	59	97	15	76
FHAD1|ENSG00000142621.21|chr1	0	0	0	0	0	0
EFHD2|ENSG00000142634.13|chr1	99	124	111	108	53	90
CTRC|ENSG00000162438.12|chr1	0	0	0	0	0	0
CELA2A|ENSG00000142615.8|chr1	0	0	0	2	0	0
CELA2B|ENSG00000215704.10|chr1	0	0	0	0	0	1
CASP9|ENSG00000132906.18|chr1	116	117	137	186	105	151
DNAJC16|ENSG00000116138.13|chr1	80	63	70	88	52	93
AGMAT|ENSG00000116771.6|chr1	2	3	4	0	0	3
RSC1A1|ENSG00000215695.2|chr1	10	17	36	21	21	34
PLEKHM2|ENSG00000116786.13|chr1	246	171	167	213	208	164
SLC25A34|ENSG00000162461.8|chr1	0	0	0	0	2	0
TMEM82|ENSG00000162460.7|chr1	0	0	0	0	0	0
FBLIM1|ENSG00000162458.13|chr1	38	55	42	66	78	82
SPEN|ENSG00000065526.12|chr1	271	470	351	543	533	503
ZBTB17|ENSG00000116809.12|chr1	36	34	18	76	47	93
SRARP|ENSG00000183888.4|chr1	0	0	0	0	0	0
HSPB7|ENSG00000173641.18|chr1	0	0	0	0	0	0
CLCNKA|ENSG00000186510.12|chr1	0	0	0	0	0	0
CLCNKB|ENSG00000184908.20|chr1	0	1	0	0	0	0
FAM131C|ENSG00000185519.9|chr1	11	14	0	24	16	2
EPHA2|ENSG00000142627.13|chr1	74	63	81	146	107	114
ARHGEF19|ENSG00000142632.17|chr1	11	7	5	17	8	6
CPLANE2|ENSG00000132881.12|chr1	1	3	7	19	6	26
FBXO42|ENSG00000037637.11|chr1	39	74	44	94	134	68
SZRD1|ENSG00000055070.17|chr1	970	881	870	753	732	701
SPATA21|ENSG00000187144.11|chr1	0	0	0	0	0	0
NECAP2|ENSG00000157191.20|chr1	228	222	254	258	266	210
NBPF1|ENSG00000219481.11|chr1	0	0	0	0	0	0
CROCC|ENSG00000058453.17|chr1	101	108	64	86	32	64
MFAP2|ENSG00000117122.14|chr1	0	0	0	0	0	0
ATP13A2|ENSG00000159363.19|chr1	135	152	149	56	38	60
SDHB|ENSG00000117118.10|chr1	1533	1639	1384	1491	1566	1231
PADI2|ENSG00000117115.13|chr1	12	3	17	19	26	0
PADI1|ENSG00000142623.11|chr1	0	0	0	0	0	0
PADI3|ENSG00000142619.4|chr1	0	0	0	0	0	0
PADI4|ENSG00000159339.13|chr1	0	0	0	0	0	0
PADI6|ENSG00000276747.1|chr1	0	0	0	0	0	0
RCC2|ENSG00000179051.14|chr1	5	1	10	2	7	4
ARHGEF10L|ENSG00000074964.17|chr1	2	2	11	8	23	3
ACTL8|ENSG00000117148.8|chr1	43	59	69	66	65	44
IGSF21|ENSG00000117154.12|chr1	0	3	2	4	3	6
KLHDC7A|ENSG00000179023.9|chr1	0	0	6	0	0	0
PAX7|ENSG00000009709.12|chr1	0	4	0	14	0	5
ALDH4A1|ENSG00000159423.17|chr1	71	97	52	89	105	116
IFFO2|ENSG00000169991.11|chr1	13	18	16	19	7	20
UBR4|ENSG00000127481.15|chr1	466	337	362	505	503	530
EMC1|ENSG00000127463.16|chr1	328	352	364	406	341	332
MRTO4|ENSG00000053372.5|chr1	2122	1919	1927	2350	2010	1693
AKR7L|ENSG00000211454.16|chr1	0	0	0	11	14	7
AKR7A3|ENSG00000162482.5|chr1	9	0	0	7	16	12
AKR7A2|ENSG00000053371.13|chr1	1168	967	1033	951	1147	1060
SLC66A1|ENSG00000040487.13|chr1	79	92	92	112	149	135
CAPZB|ENSG00000077549.19|chr1	2998	2234	2219	2423	2109	2378
MICOS10|ENSG00000173436.15|chr1	1470	1328	1179	1156	1237	960
NBL1|ENSG00000158747.15|chr1	216	190	194	213	214	227
HTR6|ENSG00000158748.4|chr1	0	3	0	2	0	3
TMCO4|ENSG00000162542.14|chr1	11	16	0	20	11	12
RNF186|ENSG00000178828.7|chr1	0	0	0	0	0	0
OTUD3|ENSG00000169914.6|chr1	19	24	30	25	49	23
PLA2G2E|ENSG00000188784.4|chr1	0	0	0	0	0	0
PLA2G2A|ENSG00000188257.12|chr1	0	0	0	0	0	0
PLA2G5|ENSG00000127472.11|chr1	0	0	0	0	0	0
PLA2G2D|ENSG00000117215.15|chr1	0	0	0	0	0	0
PLA2G2F|ENSG00000158786.5|chr1	0	0	0	0	0	0
PLA2G2C|ENSG00000187980.7|chr1	0	0	0	0	0	0
UBXN10|ENSG00000162543.6|chr1	0	0	0	0	0	0
VWA5B1|ENSG00000158816.16|chr1	0	0	0	0	0	0
CAMK2N1|ENSG00000162545.6|chr1	269	256	263	350	275	239
MUL1|ENSG00000090432.7|chr1	114	90	101	138	237	97
FAM43B|ENSG00000183114.8|chr1	0	8	5	3	0	11
CDA|ENSG00000158825.6|chr1	14	7	18	5	17	9
PINK1|ENSG00000158828.8|chr1	819	633	747	651	715	570
DDOST|ENSG00000244038.11|chr1	868	816	734	798	860	719
KIF17|ENSG00000117245.13|chr1	10	11	10	10	19	1
SH2D5|ENSG00000189410.12|chr1	20	59	54	30	18	29
HP1BP3|ENSG00000127483.19|chr1	722	672	756	885	768	770
EIF4G3|ENSG00000075151.24|chr1	1184	1163	1092	1063	1186	946
ECE1|ENSG00000117298.16|chr1	381	369	383	347	300	337
NBPF3|ENSG00000142794.19|chr1	77	36	54	46	84	59
ALPL|ENSG00000162551.14|chr1	2	12	12	3	0	2
USP48|ENSG00000090686.16|chr1	343	311	284	374	352	239
LDLRAD2|ENSG00000187942.12|chr1	0	0	0	0	0	0
HSPG2|ENSG00000142798.20|chr1	26	40	25	4	0	15
CELA3B|ENSG00000219073.8|chr1	0	0	0	0	0	0
CELA3A|ENSG00000142789.20|chr1	0	0	0	0	0	0
ENSG00000289694|ENSG00000289694.1|chr1	219	212	173	167	173	157
CDC42|ENSG00000070831.18|chr1	3872	3579	3423	2898	3411	2738
WNT4|ENSG00000162552.15|chr1	0	3	0	20	0	11
ZBTB40|ENSG00000184677.18|chr1	62	66	92	135	85	126
EPHA8|ENSG00000070886.12|chr1	0	6	0	5	0	8
C1QA|ENSG00000173372.18|chr1	0	0	0	0	0	0
C1QC|ENSG00000159189.13|chr1	0	0	0	0	0	0
C1QB|ENSG00000173369.18|chr1	0	0	0	0	0	0
EPHB2|ENSG00000133216.17|chr1	48	36	72	58	79	50
TEX46|ENSG00000227868.7|chr1	7	5	1	0	5	10
KDM1A|ENSG00000004487.18|chr1	608	431	543	686	585	442
LUZP1|ENSG00000169641.14|chr1	32	89	39	62	42	49
HTR1D|ENSG00000179546.5|chr1	1	0	0	0	9	0
HNRNPR|ENSG00000125944.21|chr1	7	0	2	4	2	0
ZNF436|ENSG00000125945.15|chr1	0	0	0	0	0	0
TCEA3|ENSG00000204219.11|chr1	0	0	0	0	0	0
ASAP3|ENSG00000088280.20|chr1	0	0	0	0	0	0
E2F2|ENSG00000007968.7|chr1	0	0	0	0	0	0
RPL11|ENSG00000142676.14|chr1	855	840	612	648	728	567
ELOA|ENSG00000011007.13|chr1	299	256	356	311	224	283
PITHD1|ENSG00000057757.10|chr1	354	433	486	601	531	567
LYPLA2|ENSG00000011009.11|chr1	237	253	241	160	132	129
GALE|ENSG00000117308.15|chr1	205	188	158	170	272	243
HMGCL|ENSG00000117305.15|chr1	70	73	72	77	106	53
FUCA1|ENSG00000179163.12|chr1	359	300	361	321	428	283
CNR2|ENSG00000188822.8|chr1	0	0	0	0	0	0
PNRC2|ENSG00000189266.13|chr1	82	151	192	262	240	218
SRSF10|ENSG00000188529.15|chr1	1362	1320	1398	1875	1627	1599
MYOM3|ENSG00000142661.19|chr1	0	0	0	0	3	0
IL22RA1|ENSG00000142677.4|chr1	0	3	0	0	12	0
IFNLR1|ENSG00000185436.12|chr1	5	15	8	13	5	6
GRHL3|ENSG00000158055.17|chr1	0	13	0	0	14	0
STPG1|ENSG00000001460.18|chr1	15	2	1	21	29	33
NIPAL3|ENSG00000001461.17|chr1	480	411	375	448	367	356
RCAN3|ENSG00000117602.13|chr1	213	181	240	217	171	205
NCMAP|ENSG00000184454.7|chr1	0	0	0	3	0	0
SRRM1|ENSG00000133226.18|chr1	501	402	380	468	405	389
CLIC4|ENSG00000169504.15|chr1	623	672	652	685	755	650
RUNX3|ENSG00000020633.19|chr1	183	261	191	248	194	184
SYF2|ENSG00000117614.10|chr1	260	249	248	381	310	285
RSRP1|ENSG00000117616.18|chr1	65	119	68	103	92	76
RHD|ENSG00000187010.21|chr1	0	0	0	0	0	0
TMEM50A|ENSG00000183726.11|chr1	1639	1635	1416	1210	1285	1060
RHCE|ENSG00000188672.19|chr1	0	0	0	1	0	0
MACO1|ENSG00000204178.11|chr1	37	65	45	126	118	112
LDLRAP1|ENSG00000157978.12|chr1	286	178	267	327	145	306
MAN1C1|ENSG00000117643.15|chr1	15	32	24	16	24	13
SELENON|ENSG00000162430.18|chr1	225	273	195	188	187	145
MTFR1L|ENSG00000117640.18|chr1	169	150	201	194	224	171
AUNIP|ENSG00000127423.11|chr1	46	35	49	140	88	156
PAQR7|ENSG00000182749.6|chr1	4	1	0	1	0	8
STMN1|ENSG00000117632.23|chr1	8092	7024	6898	7295	7230	6673
PAFAH2|ENSG00000158006.14|chr1	52	59	56	28	24	54
EXTL1|ENSG00000158008.10|chr1	1	0	0	1	0	0
SLC30A2|ENSG00000158014.15|chr1	0	0	0	0	0	0
TRIM63|ENSG00000158022.7|chr1	0	0	0	0	0	0
PDIK1L|ENSG00000175087.10|chr1	29	28	28	37	58	54
FAM110D|ENSG00000197245.6|chr1	0	0	0	0	0	0
C1orf232|ENSG00000282872.2|chr1	0	3	0	0	0	0
ZNF593|ENSG00000142684.9|chr1	529	462	443	724	657	706
CNKSR1|ENSG00000142675.18|chr1	1	6	6	3	17	5
CATSPER4|ENSG00000188782.9|chr1	0	0	0	0	0	0
CEP85|ENSG00000130695.16|chr1	27	53	41	69	65	77
SH3BGRL3|ENSG00000142669.15|chr1	545	608	443	559	529	471
UBXN11|ENSG00000158062.21|chr1	0	0	0	0	0	0
CD52|ENSG00000169442.9|chr1	0	0	0	0	13	1
CRYBG2|ENSG00000176092.17|chr1	9	14	17	35	11	26
ZNF683|ENSG00000176083.18|chr1	0	0	0	0	0	0
LIN28A|ENSG00000131914.11|chr1	0	2	0	0	0	0
DHDDS|ENSG00000117682.18|chr1	141	124	129	177	194	158
HMGN2|ENSG00000198830.11|chr1	293	241	249	216	234	172
RPS6KA1|ENSG00000117676.14|chr1	0	0	0	0	0	0
ARID1A|ENSG00000117713.21|chr1	195	400	231	249	166	181
PIGV|ENSG00000060642.12|chr1	35	42	32	58	71	44
ZDHHC18|ENSG00000204160.12|chr1	113	157	147	182	165	111
SFN|ENSG00000175793.12|chr1	15	0	11	1	11	11
GPN2|ENSG00000142751.15|chr1	239	312	282	319	273	281
GPATCH3|ENSG00000198746.13|chr1	13	27	32	65	41	85
NUDC|ENSG00000090273.14|chr1	1948	1614	1678	1596	1703	1468
NR0B2|ENSG00000131910.5|chr1	0	0	0	0	0	0
KDF1|ENSG00000175707.10|chr1	0	0	0	4	0	3
TENT5B|ENSG00000158246.8|chr1	0	0	0	6	0	2
SLC9A1|ENSG00000090020.11|chr1	119	86	117	91	67	73
WDTC1|ENSG00000142784.16|chr1	131	66	60	135	80	51
TMEM222|ENSG00000186501.15|chr1	231	161	148	250	218	222
SYTL1|ENSG00000142765.18|chr1	4	14	10	5	26	8
MAP3K6|ENSG00000142733.18|chr1	66	45	46	24	48	39
FCN3|ENSG00000142748.14|chr1	0	0	0	0	0	0
CD164L2|ENSG00000174950.11|chr1	2	0	0	0	0	0
GPR3|ENSG00000181773.7|chr1	8	5	7	4	7	7
WASF2|ENSG00000158195.11|chr1	1806	1805	1613	1783	1753	1652
FGR|ENSG00000000938.13|chr1	0	0	0	0	0	0
IFI6|ENSG00000126709.16|chr1	291	191	183	229	254	214
FAM76A|ENSG00000009780.16|chr1	93	78	84	128	205	137
STX12|ENSG00000117758.14|chr1	251	369	237	391	311	380
PPP1R8|ENSG00000117751.18|chr1	170	149	190	346	227	264
THEMIS2|ENSG00000130775.16|chr1	13	3	7	9	8	0
RPA2|ENSG00000117748.10|chr1	645	654	663	817	886	837
SMPDL3B|ENSG00000130768.15|chr1	98	130	103	95	129	66
XKR8|ENSG00000158156.9|chr1	103	112	80	82	68	64
EYA3|ENSG00000158161.16|chr1	341	251	265	269	174	207
PTAFR|ENSG00000169403.12|chr1	0	1	0	6	0	0
DNAJC8|ENSG00000126698.11|chr1	2547	2061	1763	2064	1965	1905
ATP5IF1|ENSG00000130770.18|chr1	12	0	0	0	0	0
SESN2|ENSG00000130766.5|chr1	0	0	0	8	0	1
MED18|ENSG00000130772.14|chr1	0	0	0	0	0	0
PHACTR4|ENSG00000204138.13|chr1	550	473	523	813	679	621
RCC1|ENSG00000180198.17|chr1	801	695	786	882	812	907
TRNAU1AP|ENSG00000180098.9|chr1	310	235	192	313	306	212
TAF12|ENSG00000120656.14|chr1	220	109	127	179	212	153
RAB42|ENSG00000188060.8|chr1	13	5	0	0	0	0
GMEB1|ENSG00000162419.13|chr1	108	177	175	184	148	140
YTHDF2|ENSG00000198492.16|chr1	228	384	327	474	299	316
OPRD1|ENSG00000116329.12|chr1	5	20	22	6	14	26
TMEM200B|ENSG00000253304.2|chr1	0	0	3	0	7	0
SRSF4|ENSG00000116350.18|chr1	331	412	430	785	621	668
MECR|ENSG00000116353.16|chr1	350	236	327	244	282	183
PTPRU|ENSG00000060656.20|chr1	162	116	87	79	124	102
MATN1|ENSG00000162510.6|chr1	0	0	2	0	0	0
LAPTM5|ENSG00000162511.8|chr1	0	0	0	0	0	12
SDC3|ENSG00000162512.16|chr1	62	48	21	36	37	28
PUM1|ENSG00000134644.16|chr1	352	426	409	461	300	356
NKAIN1|ENSG00000084628.10|chr1	28	2	7	29	15	13
SNRNP40|ENSG00000060688.13|chr1	208	161	144	221	130	179
ZCCHC17|ENSG00000121766.16|chr1	266	282	254	274	181	214
FABP3|ENSG00000121769.8|chr1	0	0	0	0	4	0
SERINC2|ENSG00000168528.12|chr1	114	89	126	91	143	91
TINAGL1|ENSG00000142910.16|chr1	4	0	0	0	0	1
HCRTR1|ENSG00000121764.12|chr1	0	8	0	0	0	0
PEF1|ENSG00000162517.13|chr1	1281	1000	1139	1126	1114	1025
COL16A1|ENSG00000084636.18|chr1	0	5	0	0	0	0
ADGRB2|ENSG00000121753.13|chr1	53	7	17	21	23	3
SPOCD1|ENSG00000134668.13|chr1	0	0	2	3	0	0
PTP4A2|ENSG00000184007.22|chr1	3833	3682	3527	4195	3613	3576
KHDRBS1|ENSG00000121774.18|chr1	5028	4716	5382	5069	4653	4407
TMEM39B|ENSG00000121775.18|chr1	185	130	153	190	137	141
KPNA6|ENSG00000025800.14|chr1	1849	1668	1606	1814	1459	1354
TXLNA|ENSG00000084652.16|chr1	407	531	484	574	578	573
CCDC28B|ENSG00000160050.16|chr1	175	153	104	119	140	119
IQCC|ENSG00000160051.12|chr1	13	32	34	41	71	25
DCDC2B|ENSG00000222046.3|chr1	0	0	0	0	0	0
