rownames(nonTcReadCount)	DMSO.L10a.1	DMSO.L10a.2	DMSO.L10a.3	TPG.L10a.1	TPG.L10a.2	TPG.L10a.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
FAAP20|ENSG00000162585.17|chr1	9	0	14	14	8	7	1.51084272633293e-05	0.000622913989425049	259	-1.29862838754535	0.30011506627737	162.290747472354	-4.32710161356958
SKI|ENSG00000157933.10|chr1	1160	810	1057	552	719	702	0.186482973943366	0.435620280402096	5094	-0.322773913767405	0.244330384115333	260.991222904501	-1.32105515626351
MORN1|ENSG00000116151.14|chr1	0	0	0	0	0	0	0.687562094541742	1	10773	1.04377825714594	2.5953936306714	1.81469126249646	0.402165684931549
RER1|ENSG00000157916.20|chr1	561	412	484	336	494	388	0.376639218107641	0.637519034356	7394	-0.140149826112243	0.158521593289323	1726.33388810958	-0.884105585896114
PEX10|ENSG00000157911.11|chr1	161	113	138	145	118	157	0.00812029020806327	0.0574766833965521	1532	-0.657716435329562	0.24847365336119	428.466295283266	-2.64702686354228
PLCH2|ENSG00000149527.18|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
PANK4|ENSG00000157881.16|chr1	5	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
HES5|ENSG00000197921.6|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
TNFRSF14|ENSG00000157873.18|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
PRXL2B|ENSG00000157870.17|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
MMEL1|ENSG00000142606.16|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
TTC34|ENSG00000215912.13|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
ACTRT2|ENSG00000169717.7|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
PRDM16|ENSG00000142611.17|chr1	160	42	126	70	61	64	0.163607995402622	0.40325431944317	4797	-1.01909432872861	0.731561947349134	26.8752215230985	-1.393039007047
ARHGEF16|ENSG00000130762.15|chr1	0	7	19	9	18	24	0.438649392375634	0.690792804839196	8061	0.535749456802752	0.691757394641343	27.7160123247297	0.774475937594456
MEGF6|ENSG00000162591.17|chr1	0	0	3	0	0	0	0.248803950720407	1	5872	-1.90136354874179	1.64868687434651	5.71521012583946	-1.15325934737937
TPRG1L|ENSG00000158109.15|chr1	448	279	404	206	229	221	0.0009708192180157	0.0128907273610205	804	-1.27236089236601	0.385698367453674	135.885512619225	-3.29884956673775
WRAP73|ENSG00000116213.16|chr1	384	328	406	200	403	289	0.0113135375368643	0.0724777773522457	1696	0.551340969833699	0.217675063578389	354.617980734962	2.53286233512526
TP73|ENSG00000078900.15|chr1	163	104	153	130	99	91	0.147966370523956	0.377795581222129	4602	0.574179300533002	0.39687470014589	93.7749056263329	1.44675208654504
CCDC27|ENSG00000162592.10|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
SMIM1|ENSG00000235169.11|chr1	1	3	5	0	2	0	0.899872540028551	0.96023150882836	12804	-0.114811709497502	0.912490494974435	16.2235831687128	-0.125822362128516
LRRC47|ENSG00000130764.10|chr1	905	792	796	681	707	705	0.00176196055817463	0.0195481972067953	963	0.459541911280558	0.146927732673636	1649.01466516719	3.12767306020653
CEP104|ENSG00000116198.14|chr1	63	21	42	40	40	39	0.880107460981239	0.951982304671009	12639	0.0510826572161652	0.3386703194095	110.126170618175	0.150832990931216
DFFB|ENSG00000169598.17|chr1	91	94	91	93	101	117	0.0324207446350237	0.146557256891088	2470	0.639029399956194	0.298725732939243	183.130390995729	2.13918430685101
C1orf174|ENSG00000198912.12|chr1	521	360	492	352	418	435	0.000222762110387083	0.00438733702911066	541	1.27194073590483	0.344540866254996	164.518481771794	3.69169773597614
NPHP4|ENSG00000131697.18|chr1	36	21	40	8	71	27	0.384883799279298	0.645375250968317	7486	0.484372175974319	0.557433308679373	49.441805193782	0.868932961903291
KCNAB2|ENSG00000069424.16|chr1	21	1	1	0	0	5	0.763184549860797	0.8964309378478	11434	-0.234081811909527	0.776902085356868	20.1202588044025	-0.301301562090674
RPL22|ENSG00000116251.11|chr1	1052	860	961	728	1259	873	0.254350104097051	0.517391764832473	5958	0.162288891643404	0.14237780203346	4145.0510305674	1.13984686745807
RNF207|ENSG00000158286.13|chr1	6	6	6	0	0	0	0.965370539616021	0.987614930360997	13387	-0.0429374101364135	0.988994252263777	13.3982255537231	-0.0434152271746081
ICMT|ENSG00000116237.16|chr1	811	709	1019	546	706	692	0.181613958423232	0.428572965349268	5026	-0.221609876148583	0.16590022735697	1094.22731591765	-1.33580212444038
HES3|ENSG00000173673.8|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
GPR153|ENSG00000158292.7|chr1	30	17	44	15	32	5	0.802070815136084	0.914826949104623	11790	-0.0903436071010057	0.360411431312049	123.079097373376	-0.250667984564521
ACOT7|ENSG00000097021.20|chr1	255	166	206	152	141	184	0.393881339153838	0.65334481366219	7583	-0.138642720333053	0.162611743009421	1485.24034193348	-0.852599681715609
HES2|ENSG00000069812.11|chr1	0	0	0	0	0	1	0.915690613245619	1	12962	-0.250135716408835	2.36281244101183	3.08099593078338	-0.105863551447071
ESPN|ENSG00000187017.18|chr1	0	0	0	0	0	0	0.673045733692925	1	10566	-1.70876010319023	4.04946690533351	0.295974162975567	-0.421971618273912
TNFRSF25|ENSG00000215788.11|chr1	7	6	6	0	0	4	0.406345848969346	1	7704	1.13663829115891	1.36888084915685	9.44531094337589	0.830341290740548
PLEKHG5|ENSG00000171680.23|chr1	3	0	0	0	1	9	0.412310237981476	1	7792	2.48474698522725	3.0307895090951	1.9755464502745	0.819834890470213
NOL9|ENSG00000162408.11|chr1	669	428	526	418	571	615	0.244555004610052	0.507568535688245	5815	0.182851180411418	0.157132269441787	1203.85146912659	1.16367682501498
TAS1R1|ENSG00000173662.21|chr1	0	0	0	0	0	0	0.67755519831311	1	10644	1.23744888773337	2.97605620034511	1.99159189870025	0.415801585867186
ZBTB48|ENSG00000204859.13|chr1	70	6	39	62	12	39	0.203892895655407	0.458190437380737	5314	0.759891762154239	0.598086395638648	29.9579501701079	1.27053845012277
KLHL21|ENSG00000162413.17|chr1	783	517	692	567	599	459	0.980304125741572	0.993665435949217	13518	-0.00968640562668296	0.392358744602137	85.291155389728	-0.0246876251898126
PHF13|ENSG00000116273.6|chr1	388	316	374	220	278	259	0.333743581108089	0.59896001871025	6863	0.385727185099503	0.399055269222435	71.6466027410265	0.96660090681448
THAP3|ENSG00000041988.16|chr1	317	109	281	302	158	225	0.00197979098480901	0.0209988641391754	1010	1.10336395736933	0.356700858257031	113.432587149049	3.09324727381023
DNAJC11|ENSG00000007923.17|chr1	164	95	75	133	77	72	0.769476272046762	0.899614695451945	11491	-0.0883316049994716	0.301411307357941	405.251356706576	-0.293060024103786
CAMTA1|ENSG00000171735.20|chr1	89	127	97	147	183	156	0.877210354277737	0.950789782521165	12615	0.0895084101684525	0.579317934780404	34.2970680152352	0.154506540872727
VAMP3|ENSG00000049245.13|chr1	310	182	366	244	142	152	0.00894431271515548	0.0616215458581193	1574	-0.610872216473119	0.233676835756201	652.226680160992	-2.61417531821791
PER3|ENSG00000049246.15|chr1	0	0	3	1	0	0	0.834108909149259	0.930284171240546	12232	0.202302516961775	0.965945566958691	15.2319604919733	0.209434696821199
UTS2|ENSG00000049247.14|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
TNFRSF9|ENSG00000049249.10|chr1	3	0	0	0	0	0	0.502020851684578	1	8769	-2.67239058361276	3.98083857953484	0.58091356395139	-0.671313475846847
PARK7|ENSG00000116288.13|chr1	2067	1880	1995	1280	1896	1494	0.00169332632881592	0.0191080785730921	948	-0.458249366055023	0.145970274027096	8078.1470564719	-3.13933346435973
ERRFI1|ENSG00000116285.13|chr1	182	177	233	244	388	243	0.0344832951025383	0.152633713200904	2523	1.2256272345357	0.579664218931646	33.0050368820169	2.1143744852746
SLC45A1|ENSG00000162426.16|chr1	0	0	6	0	0	3	0.510105828035474	1	8880	-2.30265765542284	3.49590456265871	1.01685208420187	-0.658672916880665
RERE|ENSG00000142599.19|chr1	512	345	504	353	393	321	0.77571126955697	0.901990306224039	11548	0.0668973583189231	0.234799757957834	340.440743523507	0.284912381940942
ENO1|ENSG00000074800.16|chr1	5956	2457	5315	3564	2540	3358	0.099538480870897	0.298199371022151	3832	-0.328508742868583	0.199447332557991	36380.1984405416	-1.64709519378038
CA6|ENSG00000131686.15|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
SLC2A7|ENSG00000197241.4|chr1	0	0	1	0	0	0	0.173476577184533	1	4925	-4.25409343804563	3.12544185681308	1.74549938235411	-1.36111744608917
SLC2A5|ENSG00000142583.18|chr1	0	0	0	0	2	0	0.0936609596959602	1	3744	-4.91286411040678	2.9306134818285	2.7593394287691	-1.67639442760684
GPR157|ENSG00000180758.12|chr1	143	122	125	37	89	121	0.804089855149289	0.915661146030471	11805	0.140218398273186	0.565265522129021	50.5099190819242	0.248057581408938
H6PD|ENSG00000049239.13|chr1	44	31	37	145	85	79	0.459389529988327	0.707843215520879	8316	-0.324590557149954	0.438723366502365	66.3161320380405	-0.739852449022006
SPSB1|ENSG00000171621.14|chr1	71	49	53	28	74	29	0.776926665698684	1	11567	0.289820925944176	1.02292252993577	11.4252919854337	0.283326368774354
SLC25A33|ENSG00000171612.7|chr1	550	450	679	214	264	303	0.337998571104335	0.602629597155909	6908	0.237107142418579	0.247469352513953	222.740221632728	0.958127299440885
TMEM201|ENSG00000188807.13|chr1	104	36	110	135	82	111	0.234625825230398	0.495336769105658	5702	0.445213557511721	0.37459269748177	93.4099237539916	1.18852706020354
PIK3CD|ENSG00000171608.18|chr1	10	11	6	0	1	2	0.451570354812476	0.701469519388892	8220	-0.604522313903632	0.803032206835387	17.2695109186604	-0.752799587311636
CLSTN1|ENSG00000171603.18|chr1	272	164	202	192	146	173	0.247090701417227	0.509768900353764	5852	-0.287962320216635	0.248791418448842	434.928229932693	-1.15744474633415
CTNNBIP1|ENSG00000178585.15|chr1	75	35	74	46	30	49	0.00622036770196976	0.0475548457215524	1414	-0.634616556210816	0.231956170267642	297.012129365624	-2.73593306648651
LZIC|ENSG00000162441.12|chr1	334	241	244	91	273	186	0.365452682397246	0.628216336436045	7247	-0.191262486063698	0.211334163420329	446.770589516463	-0.90502398177473
NMNAT1|ENSG00000173614.14|chr1	90	81	68	64	119	79	0.232552734232562	0.493466103995322	5674	0.452206245315535	0.378792828527063	78.9671961758937	1.19380888776047
RBP7|ENSG00000162444.12|chr1	7	18	22	0	9	0	0.113240350203779	0.322552352354636	4063	-0.661029074691594	0.417370319169156	69.6257464567619	-1.58379511990091
UBE4B|ENSG00000130939.20|chr1	112	60	118	143	80	84	0.0308245889023178	0.142378964258483	2417	-0.488392950183473	0.226178024101856	318.822934543142	-2.15932981165107
KIF1B|ENSG00000054523.20|chr1	71	25	53	78	67	46	0.410833765849096	0.66861266276692	7771	0.255039564731482	0.310105920485652	143.068836649253	0.82242726721266
PGD|ENSG00000142657.21|chr1	375	182	325	310	214	212	0.439205672527787	0.691281223028681	8067	-0.196660010812723	0.254235355831859	1075.30616269099	-0.773535255036621
CENPS-CORT|ENSG00000251503.8|chr1	7	9	12	45	13	10	0.551713340137999	0.773059847476524	9290.5	-0.357489084052778	0.600625460538292	33.4350323146807	-0.595194688770585
CENPS|ENSG00000175279.22|chr1	324	332	338	196	317	209	0.00364547172513441	0.0327182867608465	1198	-0.553136005671108	0.190256719062122	688.336955744909	-2.90731390932112
CORT|ENSG00000241563.4|chr1	7	9	12	45	13	10	0.551713340137999	0.773059847476524	9290.5	-0.357489084052778	0.600625460538292	33.4350323146807	-0.595194688770585
DFFA|ENSG00000160049.12|chr1	914	789	815	425	713	645	0.498474173403007	0.735894332473295	8702	0.105096916719343	0.155263825882226	1885.59183032471	0.67689248363017
PEX14|ENSG00000142655.13|chr1	168	92	119	233	218	127	0.00808494691834232	0.057417013642449	1526	1.11313949711757	0.420290288584464	87.1544621755964	2.64850158890566
CASZ1|ENSG00000130940.15|chr1	20	12	25	3	19	22	0.317281146867704	0.584853055563029	6657	0.827515722613917	0.827465518300536	17.8995080646626	1.00006067239332
TARDBP|ENSG00000120948.19|chr1	644	402	729	284	540	444	0.424934162910399	0.681080726949286	7916	-0.149146002948576	0.18692545351367	1050.08479411074	-0.797890282703893
MASP2|ENSG00000009724.18|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
SRM|ENSG00000116649.10|chr1	1103	298	966	910	493	497	0.0483102299835683	0.187644866900986	2889	-0.789157765450893	0.399648561956865	3702.01955724774	-1.97462931328167
EXOSC10|ENSG00000171824.14|chr1	99	100	133	104	108	135	0.132090280457878	0.352876928048351	4361	0.28203258232237	0.18728382393855	715.943428229812	1.50590999474097
MTOR|ENSG00000198793.14|chr1	88	79	56	1	73	79	0.959872307929849	0.984875275958621	13338	0.0140462108580248	0.279172000845459	198.538288303945	0.0503138237913779
ANGPTL7|ENSG00000171819.5|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
UBIAD1|ENSG00000120942.14|chr1	590	469	604	425	589	556	0.402188072308344	0.660333165453778	7668	0.183824710162679	0.219434592642153	357.414095769046	0.837719832362321
DISP3|ENSG00000204624.8|chr1	8	0	0	0	0	0	0.422036852376411	1	7891	1.41069047796526	1.75701033487956	5.3723315846382	0.802892532821651
FBXO2|ENSG00000116661.11|chr1	0	0	0	1	0	0	0.766087466928422	1	11462	-0.539008433040238	1.81181426577479	5.56063236550935	-0.297496516735804
FBXO44|ENSG00000132879.14|chr1	64	36	57	51	35	28	0.228307131565038	0.488360662584842	5629	-0.564545243323286	0.468606853539346	82.6879379455134	-1.20473108547032
MAD2L2|ENSG00000116670.16|chr1	212	46	210	145	94	77	0.671154956149817	0.844191307771564	10536	-0.240961886409341	0.567552146426243	842.285461445573	-0.424563430737822
FBXO6|ENSG00000116663.11|chr1	12	2	17	3	31	7	0.944392676735648	0.977893560313782	13204	0.0686668332922695	0.984471301389217	22.6584355098984	0.0697499593897472
DRAXIN|ENSG00000162490.7|chr1	16	0	5	0	0	0	0.743244352950924	1	11268	0.379171789214556	1.15756430284872	10.9704954424859	0.327560022610777
AGTRAP|ENSG00000177674.16|chr1	176	73	106	48	61	78	0.209291698133466	0.463867378081374	5398	-0.336022026059581	0.267636708444404	286.505818217794	-1.25551546352761
C1orf167|ENSG00000215910.8|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
MTHFR|ENSG00000177000.13|chr1	108	138	161	136	92	168	0.857198343378602	0.940656094953926	12442	-0.0619215288656193	0.344119964380098	136.546227264645	-0.179941692651182
CLCN6|ENSG00000011021.23|chr1	27	29	20	14	43	73	0.00260598248887089	0.0255439319630675	1098	3.05677665198581	1.01528544484427	11.9785744382192	3.01075590860527
NPPA|ENSG00000175206.11|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
NPPB|ENSG00000120937.9|chr1	2	9	10	0	1	0	1	1	16610.5	NA	NA	0	NA
KIAA2013|ENSG00000116685.16|chr1	716	467	718	265	304	292	0.0188322199023932	0.103018173508393	2003	-0.590346406268506	0.25133577140154	280.091366928633	-2.34883559541294
PLOD1|ENSG00000083444.17|chr1	88	40	119	40	93	77	0.215001395936803	0.471241783549404	5463	-0.267135713987044	0.21544424098998	420.409853206805	-1.23992970412919
MFN2|ENSG00000116688.18|chr1	448	386	424	388	384	401	0.313036152803036	0.580481793870105	6611	-0.175128014710109	0.173587988269389	933.576305367082	-1.00887173390321
MIIP|ENSG00000116691.11|chr1	34	44	50	50	40	41	0.0425166150662635	0.173338227488314	2750	0.623992372456917	0.307623669056029	149.361930265201	2.02842770314682
TNFRSF8|ENSG00000120949.15|chr1	0	0	6	0	0	0	1	1	16610.5	NA	NA	0	NA
TNFRSF1B|ENSG00000028137.19|chr1	0	2	0	0	0	0	0.276717200127706	1	6203	-3.98761334382082	3.6660175373385	1.45228390987848	-1.08772347737207
VPS13D|ENSG00000048707.15|chr1	31	62	45	57	45	46	0.103302410043075	0.305155376865464	3904	0.712367073005338	0.437289845088665	68.3419833652593	1.62905011631564
DHRS3|ENSG00000162496.9|chr1	169	71	175	74	59	58	0.0499635685960105	0.191769064534791	2929	-0.633313805719038	0.323073835447869	161.579606297856	-1.96027575195339
AADACL4|ENSG00000204518.3|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
AADACL3|ENSG00000188984.12|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
CFAP107|ENSG00000157330.10|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
PRAMEF12|ENSG00000116726.5|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
PRAMEF1|ENSG00000116721.9|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
PRAMEF11|ENSG00000239810.3|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
HNRNPCL1|ENSG00000179172.10|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
PRAMEF2|ENSG00000120952.4|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
PRAMEF4|ENSG00000243073.4|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
PRAMEF10|ENSG00000187545.5|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
PRAMEF7|ENSG00000204510.6|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
PRAMEF6|ENSG00000232423.6|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
PRAMEF27|ENSG00000274764.6|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
HNRNPCL3|ENSG00000277058.3|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
PRAMEF25|ENSG00000229571.7|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
HNRNPCL2|ENSG00000275774.3|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
PRAMEF26|ENSG00000280267.6|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
HNRNPCL4|ENSG00000179412.11|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
PRAMEF9|ENSG00000204505.5|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
PRAMEF13|ENSG00000279169.3|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
PRAMEF18|ENSG00000279804.3|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
PRAMEF5|ENSG00000270601.5|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
PRAMEF8|ENSG00000182330.11|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
PRAMEF33|ENSG00000237700.2|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
PRAMEF15|ENSG00000204501.7|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
PRAMEF14|ENSG00000204481.8|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
PRAMEF19|ENSG00000204480.9|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
PRAMEF17|ENSG00000204479.4|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
PRAMEF20|ENSG00000204478.11|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
LRRC38|ENSG00000162494.6|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
PDPN|ENSG00000162493.17|chr1	177	129	136	156	150	66	1.23164700728679e-05	0.000526637149244364	248	-1.09603167776622	0.250698632062836	359.686027290898	-4.3719092870499
