rownames(nonTcReadCount)	DMSO.Total.1	DMSO.Total.2	DMSO.Total.3	TPG.Total.1	TPG.Total.2	TPG.Total.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
UBE2J2|ENSG00000160087.21|chr1	883	669	694	866	730	803	3.69322020441189e-07	1.59156600202422e-05	244	0.550061927281155	0.108192025242657	892.471457036393	5.08412635818078
SCNN1D|ENSG00000162572.21|chr1	0	9	5	0	6	0	0.418048432458999	0.672343112160657	7686	0.490463816615848	0.605651712997853	26.3854688886484	0.809811655923751
ACAP3|ENSG00000131584.19|chr1	16	4	0	3	26	9	0.0863049561318332	0.265509048082831	3643	0.5910049403115	0.344565156087742	71.7548554882107	1.71521969029568
PUSL1|ENSG00000169972.12|chr1	73	62	60	82	39	44	0.092698150452508	0.277417418541862	3748	0.291885830470306	0.173603765667284	331.160670697285	1.68133352032071
INTS11|ENSG00000127054.22|chr1	23	46	36	38	30	22	0.942889369292583	0.980427090660927	13375	0.0177669157447665	0.248006920668503	151.482862237185	0.0716387901469674
CPTP|ENSG00000224051.7|chr1	127	93	62	67	87	77	0.547613908336853	0.775300962186887	9130	0.203759626681488	0.33884293016292	84.3196363906567	0.601339465998354
TAS1R3|ENSG00000169962.5|chr1	0	0	3	0	0	0	1	1	16732.5	NA	NA	0	NA
DVL1|ENSG00000107404.21|chr1	222	162	129	172	239	160	0.166500895911119	0.400630874257533	4790	0.20976917698739	0.151618270068828	400.652874260588	1.38353495849915
MXRA8|ENSG00000162576.17|chr1	5	0	12	8	4	0	0.0279841823702206	1	2395	1.99945469017321	0.909873660046696	12.667677794149	2.19750804751354
AURKAIP1|ENSG00000175756.14|chr1	244	315	191	204	169	170	0.382809935098708	0.641187499930051	7340	-0.0669413001446236	0.0767032807199303	1878.55198153248	-0.872730599217118
CCNL2|ENSG00000221978.13|chr1	512	330	333	479	520	527	0.419228190565373	0.673327477645381	7697	0.128185103844571	0.158691873838683	349.869068846116	0.807760981982455
MRPL20|ENSG00000242485.6|chr1	1094	834	851	955	956	935	8.92824561653262e-08	4.5573059542641e-06	206	-0.33574350187852	0.0627876362327495	3086.98306998325	-5.34728685491427
ANKRD65|ENSG00000235098.9|chr1	0	0	0	4	0	0	0.442773725800187	1	7962	1.76930207608464	2.30522617346655	2.83742117895114	0.767517780445815
TMEM88B|ENSG00000205116.4|chr1	0	0	0	0	0	0	0.831080014846296	1	12333.5	0.870432657655198	4.0804728567969	0.154511686706835	0.213316615059773
VWA1|ENSG00000179403.12|chr1	6	2	0	0	9	15	0.583665117954985	0.798807590172676	9531	-0.280115685731485	0.511123626507422	34.2953587598774	-0.548039008968444
ATAD3C|ENSG00000215915.10|chr1	1	0	0	1	0	0	0.670777760413804	1	10501	1.71825635217439	4.04218745608396	0.309023373413671	0.425080818453437
ATAD3B|ENSG00000160072.20|chr1	42	31	59	75	118	84	0.469980084931234	0.716001245008972	8273	-0.185670405772972	0.256979186097943	152.104854794961	-0.722511455469423
ATAD3A|ENSG00000197785.14|chr1	66	81	72	92	116	77	0.270252869330723	0.530466477695081	6083	0.139064021306474	0.126137407688958	681.771814564783	1.10248041286366
TMEM240|ENSG00000205090.9|chr1	6	0	0	0	0	0	0.627808918390752	1	9964.5	1.75391812490719	3.61772004307231	0.796549012350575	0.484813115449834
SSU72|ENSG00000160075.12|chr1	221	213	210	144	157	161	0.943224008476076	0.980427090660927	13380	-0.00808126799610913	0.113471772929131	672.740496080018	-0.0712183108406732
FNDC10|ENSG00000228594.4|chr1	5	9	6	11	0	3	0.0215834031762988	0.10511787142139	2211	-0.895722596088778	0.389847945953284	71.6237024808049	-2.29762040658825
MIB2|ENSG00000197530.13|chr1	1	0	0	0	5	2	0.56447803582662	0.78709541794416	9308	-0.171001308054696	0.296772723472417	93.3365079563486	-0.576202913980366
MMP23B|ENSG00000189409.14|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
CDK11B|ENSG00000248333.9|chr1	0	0	0	3	0	0	0.507275307340896	1	8690	-1.33869437913518	2.01888419588636	2.97487361732184	-0.663086264117022
SLC35E2B|ENSG00000189339.12|chr1	109	56	69	101	71	121	0.000259069183453865	0.00364673689962167	748	-0.740481233363852	0.202698091129542	218.701394143558	-3.65312386139156
CDK11A|ENSG00000008128.23|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
NADK|ENSG00000008130.15|chr1	51	62	34	77	110	95	0.850994805352981	0.936835705258797	12566	-0.0363385873870705	0.193445446502406	228.57924228768	-0.187849277634036
CALML6|ENSG00000169885.10|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
TMEM52|ENSG00000178821.13|chr1	8	0	0	5	1	0	0.173585141095301	1	4909	-1.25633018169804	0.923246799940073	8.77997800539459	-1.36077393583123
CFAP74|ENSG00000142609.20|chr1	0	0	0	0	0	0	0.451050602470685	1	8105.5	-2.99274082084247	3.97091829664501	0.706859196995854	-0.753664668288695
GABRD|ENSG00000187730.9|chr1	0	1	1	0	0	16	0.726122662677567	1	11104	-0.321315691123485	0.917290356174581	10.7273163758992	-0.350287876636448
PRKCZ|ENSG00000067606.17|chr1	80	41	56	129	175	92	0.00678854196231031	0.0457011458153554	1582	0.606773952466226	0.224146385534561	210.081509615579	2.70704321650847
FAAP20|ENSG00000162585.17|chr1	2	14	6	21	15	20	0.279352605229327	0.540061159034082	6184	-0.253688636688851	0.234511504534137	143.422451840031	-1.08177480329935
SKI|ENSG00000157933.10|chr1	1288	889	888	990	865	908	0.0118858484984749	0.0686701631656393	1849	-0.383951593262601	0.152633370278907	408.310684232819	-2.51551539850693
MORN1|ENSG00000116151.14|chr1	1	0	2	0	0	4	0.0869561962289521	1	3655	4.42461444833684	2.58495864733192	2.02356947272946	1.71167707185712
RER1|ENSG00000157916.20|chr1	341	361	279	405	376	304	0.383006948263028	0.641292684870341	7346	-0.0813298869509126	0.0932287368032819	1204.23244330526	-0.872369290195612
PEX10|ENSG00000157911.11|chr1	135	134	122	210	186	204	0.00188025807534549	0.0176526014841588	1128	-0.461211368903766	0.148369999118267	411.119735393069	-3.10852174728484
PLCH2|ENSG00000149527.18|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
PANK4|ENSG00000157881.16|chr1	0	0	0	2	0	0	1	1	16732.5	NA	NA	0	NA
HES5|ENSG00000197921.6|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
TNFRSF14|ENSG00000157873.18|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
PRXL2B|ENSG00000157870.17|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
MMEL1|ENSG00000142606.16|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
TTC34|ENSG00000215912.13|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
ACTRT2|ENSG00000169717.7|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
PRDM16|ENSG00000142611.17|chr1	146	97	143	97	124	55	0.884287774144232	0.952205421927967	12886	0.0727983211718947	0.500208688456779	47.3518137497471	0.145535899019445
ARHGEF16|ENSG00000130762.15|chr1	3	5	10	2	0	7	0.0179935544782303	0.0919796914626116	2102	1.30980611386886	0.553653474037824	28.3331378498787	2.36575073631594
MEGF6|ENSG00000162591.17|chr1	2	0	0	1	0	0	0.043910369166068	1	2785	-2.30382355747387	1.14336772845915	11.0975529135168	-2.01494541093843
TPRG1L|ENSG00000158109.15|chr1	254	189	238	177	198	183	0.00032321417026978	0.00435159667142987	783	-0.979183900045859	0.272302128974009	130.525766666516	-3.59594654560825
WRAP73|ENSG00000116213.16|chr1	406	300	280	352	313	383	0.0733820100764946	0.240737811012306	3394	0.299140390495996	0.167075773497374	347.744512009011	1.79044743731621
TP73|ENSG00000078900.15|chr1	170	87	127	111	226	109	0.118457465395616	0.324573865082417	4150	0.504876427344325	0.323373197074367	93.9511171007003	1.56128099642166
CCDC27|ENSG00000162592.10|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
SMIM1|ENSG00000235169.11|chr1	1	0	0	10	0	0	0.287244875100418	0.548679416220822	6268	0.846533221237242	0.795475576244119	16.0195128446426	1.06418505673574
LRRC47|ENSG00000130764.10|chr1	794	561	585	639	586	578	0.0144458533585297	0.0786287991578176	1964	0.24152591731348	0.0987439795034227	1412.10567348911	2.44598119832823
CEP104|ENSG00000116198.14|chr1	47	44	29	52	25	26	0.406004266988528	0.661708829757703	7568	0.232980264438541	0.280379627070907	138.114035396925	0.830945767609647
DFFB|ENSG00000169598.17|chr1	193	135	167	88	62	85	0.0946996563452307	0.280972597762444	3781	0.397850836861558	0.238075578386984	153.673561997038	1.67111149978964
C1orf174|ENSG00000198912.12|chr1	254	203	238	241	166	193	0.0143408565452792	0.0782532986889524	1960	0.740256767757331	0.302317117223267	126.703914724151	2.44861016986556
NPHP4|ENSG00000131697.18|chr1	42	45	103	95	68	82	0.376992868454666	0.636186809789891	7272	-0.278391260409172	0.315118088287154	86.1486058817448	-0.883450588071243
KCNAB2|ENSG00000069424.16|chr1	0	1	0	1	0	10	0.283758186242408	0.544385752226922	6239	0.617768385908844	0.57632214550777	22.55957534464	1.07191505779213
RPL22|ENSG00000116251.11|chr1	585	450	523	500	456	462	0.108342649397929	0.306737468610452	3982	-0.170870456073835	0.106415778442147	1792.23073533985	-1.60568722585372
RNF207|ENSG00000158286.13|chr1	7	6	5	13	3	4	0.330271201945438	1	6767	0.855928365966745	0.879166713804729	10.2293548067375	0.973567757430879
ICMT|ENSG00000116237.16|chr1	827	746	803	668	537	567	8.89773580623871e-06	0.00024492065969267	382	-0.467390204374524	0.105212130828315	1035.5041972876	-4.44236040744399
HES3|ENSG00000173673.8|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
GPR153|ENSG00000158292.7|chr1	53	55	29	28	25	13	0.40399674221267	0.660143860818372	7547	-0.198243826721262	0.237558721769246	145.773976468293	-0.834504518482077
ACOT7|ENSG00000097021.20|chr1	73	142	98	164	123	132	0.0873758386938555	0.267248082546907	3665	-0.175625671731204	0.102740782291894	1005.62726851133	-1.70940563049479
HES2|ENSG00000069812.11|chr1	4	2	0	1	0	0	0.148145639233117	1	4555	2.80691255574978	1.94100561287556	3.88268215075759	1.44611253936118
ESPN|ENSG00000187017.18|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
TNFRSF25|ENSG00000215788.11|chr1	4	3	6	10	0	0	0.897033197690927	1	12988	-0.148419870975263	1.14689603871696	12.1409193037776	-0.129410047611029
PLEKHG5|ENSG00000171680.23|chr1	0	4	0	2	7	0	0.261940141774562	1	5980	0.858412859755143	0.765198471075376	13.3737229620298	1.12181726990224
NOL9|ENSG00000162408.11|chr1	896	597	799	767	773	684	0.333513374736144	0.59529674679181	6788	0.0897449269012827	0.0928016910632733	1442.16879296149	0.967061331243345
TAS1R1|ENSG00000173662.21|chr1	5	0	0	0	0	0	0.247252385592919	1	5812	3.57632344908708	3.09090088921495	1.12633444356966	1.1570488919803
ZBTB48|ENSG00000204859.13|chr1	30	34	30	65	25	58	0.0619442314870488	0.215676686783549	3183	0.857299827104791	0.459260862449967	38.7471252364549	1.86669472014543
KLHL21|ENSG00000162413.17|chr1	908	694	711	740	849	771	0.647724554182236	0.840531122698533	10213	-0.12950276461245	0.283422020979035	178.786790091667	-0.456925556331521
PHF13|ENSG00000116273.6|chr1	341	336	216	321	301	275	0.070064156708806	0.233806603552236	3332	-0.652732224325333	0.360327783519011	104.550579303322	-1.81149568304353
THAP3|ENSG00000041988.16|chr1	241	102	124	197	243	211	0.0243989516385061	0.114695826084249	2298	0.882166750964399	0.391936801744071	83.1917987498671	2.25078825728756
DNAJC11|ENSG00000007923.17|chr1	148	120	243	111	185	127	0.87416122250432	0.947023001713674	12797	0.0229761350970705	0.145074150420142	430.393770345956	0.158375113902308
CAMTA1|ENSG00000171735.20|chr1	206	148	110	182	226	99	0.832582220801299	0.928642242566124	12399	0.111824242917771	0.528992583585475	45.1830106257786	0.211390946466271
VAMP3|ENSG00000049245.13|chr1	279	250	160	287	285	238	0.00774644707075035	0.0502491615971252	1644	-0.380743837720403	0.142979509063208	642.313069852639	-2.66292589906771
PER3|ENSG00000049246.15|chr1	15	8	21	11	7	5	0.991625486056113	0.996458523115446	13883	0.00981944204574264	0.935533381636144	14.2037098977818	0.0104960894378451
UTS2|ENSG00000049247.14|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
TNFRSF9|ENSG00000049249.10|chr1	0	0	0	0	0	0	0.796339065306535	1	11855.5	-1.05312069398729	4.0804728567969	0.176714799248963	-0.258087905727174
PARK7|ENSG00000116288.13|chr1	1084	995	926	897	1004	938	3.04407381821717e-08	1.76842188942285e-06	181	-0.373507257114332	0.0674336820623911	4328.38450866819	-5.5388827317594
ERRFI1|ENSG00000116285.13|chr1	187	185	158	220	220	221	0.105576229708926	0.302159514259489	3935	0.753108315690511	0.465341015921407	62.4642299509978	1.61840089294365
SLC45A1|ENSG00000162426.16|chr1	0	2	0	0	0	0	0.796339065306535	1	11855.5	-1.05312069398729	4.0804728567969	0.158710289933608	-0.258087905727174
RERE|ENSG00000142599.19|chr1	602	433	548	371	431	376	0.160492782307741	0.391267276712566	4720	0.224778143851139	0.160164998221582	465.742731589654	1.40341614177255
ENO1|ENSG00000074800.16|chr1	4494	3149	3557	4040	4063	3884	0.00541263604329727	0.0391699022679083	1470	-0.121997116999774	0.04386189478329	36213.5637260713	-2.78139185738622
CA6|ENSG00000131686.15|chr1	0	0	0	0	0	0	0.670777760413804	1	10501	1.71825635217439	4.04218745608396	0.309023373413671	0.425080818453437
SLC2A7|ENSG00000197241.4|chr1	0	0	0	0	5	0	1	1	16732.5	NA	NA	0	NA
SLC2A5|ENSG00000142583.18|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
GPR157|ENSG00000180758.12|chr1	159	127	151	113	73	59	0.594940971914947	0.805282220069608	9636	-0.229111650956965	0.430912389272352	42.2577633799497	-0.531689634971619
H6PD|ENSG00000049239.13|chr1	95	66	58	61	123	75	0.285865444578905	0.547219215318985	6257	-0.353461580870408	0.331193570684129	70.3125085474352	-1.06723563546321
SPSB1|ENSG00000171621.14|chr1	48	60	45	53	60	56	0.0176698292914407	0.0907218041989739	2089	-1.6963766390475	0.715026995842916	20.9606185038746	-2.37246516412672
SLC25A33|ENSG00000171612.7|chr1	434	483	423	456	411	406	0.98041875257774	0.992933525694976	13742	0.00480980793221733	0.195967403755339	309.535259340184	0.0245439182233708
TMEM201|ENSG00000188807.13|chr1	100	108	65	82	50	70	0.629276403834589	0.830175684134721	9981	0.166201275566355	0.344283379408144	95.7574530352136	0.482745568061029
PIK3CD|ENSG00000171608.18|chr1	2	6	7	7	14	10	0.337762078186208	0.600100104400706	6830	-0.636963145210702	0.664474754368461	18.3123399841333	-0.958596456860267
CLSTN1|ENSG00000171603.18|chr1	257	171	245	241	256	158	0.321424199786708	0.583106843698207	6661	-0.145158037227685	0.146397226472807	504.483649565094	-0.991535432227935
CTNNBIP1|ENSG00000178585.15|chr1	95	40	50	49	66	44	0.492023516916332	0.732704614130468	8522	-0.146169415236302	0.212735699406983	234.090009291166	-0.687093965158459
LZIC|ENSG00000162441.12|chr1	224	213	248	192	173	197	0.681801653422265	0.858785863169036	10646	-0.0659874060959795	0.160942595052229	335.247155452301	-0.41000585379256
NMNAT1|ENSG00000173614.14|chr1	89	38	45	54	51	87	0.982995430563619	0.993960664715497	13782	-0.00865570421260742	0.406110247497288	57.4704363082525	-0.0213136808685558
RBP7|ENSG00000162444.12|chr1	7	16	12	2	0	1	0.106662482241228	0.303944715654882	3954	-0.696186054023841	0.431508423931134	45.977234872581	-1.61337766637656
UBE4B|ENSG00000130939.20|chr1	141	159	144	96	49	107	0.0217356865604892	0.105420084955509	2220	-0.351404806080203	0.153120545417765	358.272278866641	-2.29495529239039
KIF1B|ENSG00000054523.20|chr1	107	73	78	100	98	95	0.95065326039105	0.982712442446265	13456	0.0129398666103753	0.209090474562109	173.504697147171	0.0618864471826125
PGD|ENSG00000142657.21|chr1	230	165	212	212	287	260	0.126499565590391	0.337942818135914	4260	-0.166391260738837	0.108891080597203	969.490072208247	-1.52805225025117
CENPS-CORT|ENSG00000251503.8|chr1	10	12	10	15	12	7	0.701930265360184	0.867232103674141	10858.5	-0.182769815821171	0.477559760886016	38.4156038388429	-0.382716113857831
CENPS|ENSG00000175279.22|chr1	218	178	186	197	151	211	0.39879079668988	0.656320675053496	7489	-0.12357364975384	0.146451968291991	498.610568859845	-0.843782785544149
CORT|ENSG00000241563.4|chr1	10	12	10	15	12	7	0.701930265360184	0.867232103674141	10858.5	-0.182769815821171	0.477559760886016	38.4156038388429	-0.382716113857831
DFFA|ENSG00000160049.12|chr1	925	767	912	719	704	639	0.96554193756758	0.988296622502329	13591	-0.00365873823249784	0.0846926026382709	1570.7705997995	-0.043200210154417
PEX14|ENSG00000142655.13|chr1	172	91	127	179	172	164	0.621614579303759	0.824142895142986	9890	0.143357216030307	0.290453518880383	103.018768229651	0.493563364571754
CASZ1|ENSG00000130940.15|chr1	47	39	48	57	29	22	0.258868943099369	0.518193368051842	5943	0.538608220855615	0.477037687558503	33.264804277763	1.12906848851342
TARDBP|ENSG00000120948.19|chr1	553	413	514	422	483	386	0.00897292621169326	0.0559278714380289	1714	-0.308828731256332	0.11818553813076	744.837231921141	-2.61308393684044
MASP2|ENSG00000009724.18|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
SRM|ENSG00000116649.10|chr1	627	503	394	706	590	591	0.000841726460594878	0.00947618172714683	940	-0.282735426131173	0.0846843893164955	3059.78514607154	-3.33869593219231
EXOSC10|ENSG00000171824.14|chr1	132	141	106	133	159	155	0.00609759104661105	0.0426021062160234	1525	0.314111276330911	0.114535203018336	762.917542943673	2.74248674689672
MTOR|ENSG00000198793.14|chr1	150	130	144	131	121	110	0.246156935941797	0.502297725873858	5803	-0.213169063498189	0.183808510546104	393.27802854831	-1.1597344587846
ANGPTL7|ENSG00000171819.5|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
UBIAD1|ENSG00000120942.14|chr1	420	395	399	481	494	432	0.153151215064667	0.379905977125483	4625	0.258229805115725	0.180771318962288	326.752765825947	1.42848880341243
DISP3|ENSG00000204624.8|chr1	4	0	0	0	0	0	0.400619156160883	1	7507	-1.22815731281741	1.46119451565553	5.88501730377821	-0.840515961193866
FBXO2|ENSG00000116661.11|chr1	0	0	0	0	0	0	0.8199408725887	1	12165	0.489184259507072	2.1491171885011	1.96951295990853	0.227621026030811
FBXO44|ENSG00000132879.14|chr1	48	49	31	34	57	48	0.365595470040708	0.625384149581592	7138	0.328881934050018	0.363504066641006	67.6793467319725	0.904754483461719
MAD2L2|ENSG00000116670.16|chr1	80	103	98	126	109	117	0.798482100766105	0.913175431667898	11950	-0.0319755736997246	0.125241150354594	732.245163357744	-0.255312040884266
FBXO6|ENSG00000116663.11|chr1	8	7	0	11	17	1	0.0218991490526223	0.105678227981067	2230	1.42036899157029	0.619676807707707	24.1592858899605	2.2921125559378
DRAXIN|ENSG00000162490.7|chr1	3	8	0	8	9	0	0.464861576214215	1	8227	-0.566668089760979	0.775338864325383	11.9602510494587	-0.730865065372459
AGTRAP|ENSG00000177674.16|chr1	89	66	78	40	116	67	0.784968392580391	0.908470584787378	11655	-0.0542130638608205	0.198691699500837	227.064827036086	-0.272850169368007
C1orf167|ENSG00000215910.8|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
MTHFR|ENSG00000177000.13|chr1	208	128	162	135	99	148	0.341904807230634	0.60391887250632	6880	-0.226125769119062	0.23792485743568	143.940599464263	-0.950408341340258
CLCN6|ENSG00000011021.23|chr1	33	23	37	35	21	26	0.896998938826481	0.959213245373787	12987	-0.0832282062119376	0.64292047175074	19.5470950457392	-0.129453345894086
NPPA|ENSG00000175206.11|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
NPPB|ENSG00000120937.9|chr1	6	4	0	9	0	3	0.242636229781149	1	5753	-3.21429158811536	2.75096597264311	1.77594962195654	-1.16842288130052
KIAA2013|ENSG00000116685.16|chr1	478	348	348	254	344	214	0.0870430617746013	0.266908638067328	3657	-0.309593858718921	0.180921425945942	246.583337977266	-1.71120616090781
PLOD1|ENSG00000083444.17|chr1	117	88	82	87	85	86	0.324343505725717	0.585832189629706	6694	0.18560044504169	0.188317615120783	382.950635643224	0.985571344043676
MFN2|ENSG00000116688.18|chr1	534	334	399	542	457	455	0.0730436263036143	0.24016689511648	3389	-0.182985961685199	0.102080915146045	982.477179938	-1.79255800580751
MIIP|ENSG00000116691.11|chr1	55	27	33	59	30	41	0.0347690916138229	0.147715958916908	2563	0.573975896938655	0.271892804376771	124.292941527823	2.11103746660128
TNFRSF8|ENSG00000120949.15|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
TNFRSF1B|ENSG00000028137.19|chr1	5	0	0	0	0	0	0.984088532410236	1	13796	-0.0647281643097175	3.24559499545025	1.03843209448921	-0.0199433892400176
VPS13D|ENSG00000048707.15|chr1	55	74	94	56	49	47	0.384145640599294	0.642483125640461	7355	0.210620987000725	0.242014300008996	127.540921990371	0.87028323116814
DHRS3|ENSG00000162496.9|chr1	54	64	51	67	84	58	0.66422364074879	0.850024433673431	10398	0.107342847585222	0.247282904904893	159.83325369503	0.434089237290817
AADACL4|ENSG00000204518.3|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
AADACL3|ENSG00000188984.12|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
CFAP107|ENSG00000157330.10|chr1	0	0	0	0	0	0	0.494650202166298	1	8561	2.71480161302353	3.97521871281218	0.618046746827341	0.682931382938426
PRAMEF12|ENSG00000116726.5|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
PRAMEF1|ENSG00000116721.9|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
PRAMEF11|ENSG00000239810.3|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
HNRNPCL1|ENSG00000179172.10|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
PRAMEF2|ENSG00000120952.4|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
PRAMEF4|ENSG00000243073.4|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
PRAMEF10|ENSG00000187545.5|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
PRAMEF7|ENSG00000204510.6|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
PRAMEF6|ENSG00000232423.6|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
PRAMEF27|ENSG00000274764.6|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
HNRNPCL3|ENSG00000277058.3|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
PRAMEF25|ENSG00000229571.7|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
HNRNPCL2|ENSG00000275774.3|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
PRAMEF26|ENSG00000280267.6|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
HNRNPCL4|ENSG00000179412.11|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
PRAMEF9|ENSG00000204505.5|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
PRAMEF13|ENSG00000279169.3|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
PRAMEF18|ENSG00000279804.3|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
PRAMEF5|ENSG00000270601.5|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
PRAMEF8|ENSG00000182330.11|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
PRAMEF33|ENSG00000237700.2|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
PRAMEF15|ENSG00000204501.7|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
PRAMEF14|ENSG00000204481.8|chr1	0	0	0	0	3	0	1	1	16732.5	NA	NA	0	NA
PRAMEF19|ENSG00000204480.9|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
PRAMEF17|ENSG00000204479.4|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
PRAMEF20|ENSG00000204478.11|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
LRRC38|ENSG00000162494.6|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
PDPN|ENSG00000162493.17|chr1	108	65	116	82	71	102	0.0369050349101541	0.154358171074093	2607	-0.390987795756261	0.187361197194306	270.401539760416	-2.08681307341766
