rownames(nonTcReadCount)	DMSO.P0.1	DMSO.P0.2	DMSO.P0.3	TPG.P0.1	TPG.P0.2	TPG.P0.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
DVL1|ENSG00000107404.21|chr1	192	200	102	122	169	34	0.902238368581216	0.96148086350785	12516	0.0308661111469415	0.251282654426099	306.472395613723	0.122834229117152
MXRA8|ENSG00000162576.17|chr1	0	11	0	8	0	0	0.634609467028152	0.834698453071327	9978	-0.819781530783442	1.72495142128792	8.98906314742661	-0.475249053779938
AURKAIP1|ENSG00000175756.14|chr1	440	468	397	304	326	247	0.000799990815348235	0.0115691766378174	782	-0.288489314017074	0.0860443479159873	3301.81247426043	-3.35279795831275
CCNL2|ENSG00000221978.13|chr1	116	206	124	102	181	149	0.778446395293975	0.907851365272881	11350	0.140849009556071	0.50062876216764	77.5514032459883	0.281344221906504
MRPL20|ENSG00000242485.6|chr1	1666	1991	1466	1259	1298	1249	0.000213910291468798	0.0039919331455786	606	-0.234290392550768	0.0632875927106273	5700.35442825007	-3.70199564426513
ANKRD65|ENSG00000235098.9|chr1	0	0	1	0	9	0	0.489104528236632	1	8603.5	-2.74486462393061	3.96809393640492	0.651137363995746	-0.691733781488412
TMEM88B|ENSG00000205116.4|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
VWA1|ENSG00000179403.12|chr1	20	12	18	15	8	0	0.192608240292596	0.453793039472702	5161	0.720998289140335	0.553378780842406	54.078596186007	1.30290194366102
ATAD3C|ENSG00000215915.10|chr1	0	0	0	0	0	0	0.435430183029355	1	8036	-3.08487212052726	3.95530288716399	0.836291627665972	-0.779933220926895
ATAD3B|ENSG00000160072.20|chr1	19	44	18	48	2	51	0.0311235929278857	0.148701610655454	2401	0.794651106507317	0.368663967856932	157.734609651493	2.15548894329619
ATAD3A|ENSG00000197785.14|chr1	67	93	107	106	64	40	0.197373454787908	0.459090168695279	5230	0.196062076800898	0.152095655596765	874.556751653312	1.28907085499337
TMEM240|ENSG00000205090.9|chr1	0	5	0	0	0	0	0.156909148215352	1	4682	4.12125717410941	2.91143057282346	2.96867937077021	1.41554368927049
SSU72|ENSG00000160075.12|chr1	281	368	222	166	181	134	0.518223504207973	0.76022208573696	8867	-0.106913031200949	0.165477956492793	748.840311192082	-0.646086242946839
FNDC10|ENSG00000228594.4|chr1	33	11	35	9	0	0	0.928556662467863	0.972080617660107	12742	-0.0678945313916967	0.757236510404788	65.0918480428242	-0.0896609321642495
MIB2|ENSG00000197530.13|chr1	4	0	2	0	0	0	0.00350210312434664	0.0338217627952486	1171	-1.44620866233894	0.495303954300846	79.4402135695404	-2.91984073573641
MMP23B|ENSG00000189409.14|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
CDK11B|ENSG00000248333.9|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
SLC35E2B|ENSG00000189339.12|chr1	9	55	7	30	27	64	0.449688234679901	0.70900015491956	8214	-0.302390697213204	0.400022146958414	118.860492233579	-0.755934888886641
CDK11A|ENSG00000008128.23|chr1	0	0	0	0	0	0	0.770674972968826	1	11285	1.18942566609678	4.0804728567969	0.15382466583052	0.291492115703094
NADK|ENSG00000008130.15|chr1	32	49	50	53	66	68	0.298288981684929	0.578420797989518	6474	-0.321287790183344	0.308898012866806	310.281590153126	-1.04010960511384
CALML6|ENSG00000169885.10|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
TMEM52|ENSG00000178821.13|chr1	0	9	3	0	3	0	0.681152571601219	0.859181463724673	10436	-0.838082009468476	2.03967065257691	8.67195154558543	-0.410890850642797
CFAP74|ENSG00000142609.20|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
GABRD|ENSG00000187730.9|chr1	0	3	0	0	31	0	0.878650081436441	0.95227134566542	12316	0.185323761085382	1.21379952434197	11.8839711069038	0.15268070004052
PRKCZ|ENSG00000067606.17|chr1	127	80	74	139	70	48	0.00502684848666691	0.0442401786270164	1285	0.829673174210873	0.295751164554734	222.853047996603	2.80530822409433
FAAP20|ENSG00000162585.17|chr1	9	25	16	11	3	0	0.0834186675321369	0.281184932836472	3521	-0.803583288502128	0.464180900235971	210.599137253182	-1.73118559616222
SKI|ENSG00000157933.10|chr1	883	1099	782	778	490	260	0.0586485380056504	0.225444023217505	3060	-0.748680840633146	0.395955891991991	168.886694471567	-1.89081879010981
MORN1|ENSG00000116151.14|chr1	0	0	0	0	0	0	0.285457866671059	1	6333	4.20581560585347	3.93751754153688	1.5382466583052	1.06813888737925
RER1|ENSG00000157916.20|chr1	497	564	342	347	339	252	0.0215666669719144	0.116584130467794	2114	-0.251862222306261	0.109604706230503	1680.615010398	-2.29791430467032
PEX10|ENSG00000157911.11|chr1	184	172	134	48	114	92	0.0722247705206627	0.257743745603716	3322	-0.42816567483254	0.238174327703103	459.27863781481	-1.79769868130486
PLCH2|ENSG00000149527.18|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
PANK4|ENSG00000157881.16|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
HES5|ENSG00000197921.6|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
TNFRSF14|ENSG00000157873.18|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
PRXL2B|ENSG00000157870.17|chr1	3	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
MMEL1|ENSG00000142606.16|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
TTC34|ENSG00000215912.13|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
ACTRT2|ENSG00000169717.7|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
PRDM16|ENSG00000142611.17|chr1	61	84	77	57	43	12	0.317685134951916	0.597428913478619	6717	-1.06276601355663	1.06358903700672	13.8219434827145	-0.999226182838059
ARHGEF16|ENSG00000130762.15|chr1	0	13	18	2	0	8	0.359676207100775	0.63905392397528	7183	-1.36507723052161	1.49028787091621	13.3985918766124	-0.915982245552581
MEGF6|ENSG00000162591.17|chr1	0	0	0	0	0	0	0.665981460778869	0.852471345777954	10275	-0.556960852323629	1.29024760382439	15.9239308541258	-0.431669743600187
TPRG1L|ENSG00000158109.15|chr1	253	328	224	169	146	115	0.269940854788075	0.548964722166036	6124	-0.575560299050759	0.521719488815743	104.2319309223	-1.10319877134977
WRAP73|ENSG00000116213.16|chr1	458	427	285	402	279	209	0.072969650692921	0.25950118858058	3333	0.438596882468968	0.244613427076261	326.587688633174	1.79302047198018
TP73|ENSG00000078900.15|chr1	77	121	115	90	103	53	0.120597511764911	0.349791551820821	4137	0.718522503427603	0.462884851735884	75.5857447546287	1.55227050687237
CCDC27|ENSG00000162592.10|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
SMIM1|ENSG00000235169.11|chr1	1	0	0	0	0	0	0.0519505601398699	0.209205481358907	2913	-2.55614194954261	1.31519687322144	11.3244743198531	-1.94354320755159
LRRC47|ENSG00000130764.10|chr1	750	769	643	642	463	609	0.00679382964926863	0.0547520056425033	1402	0.348078331178473	0.128594759678283	1291.62952229167	2.70678472473754
CEP104|ENSG00000116198.14|chr1	47	22	52	13	22	0	0.534647594497939	0.772237193139532	9006	0.20304591444557	0.327004437272464	157.630726594406	0.620927092424712
DFFB|ENSG00000169598.17|chr1	100	136	76	80	77	40	0.000104320722323683	0.00219286812036903	538	1.43113480175633	0.368819111812704	163.842719024189	3.88031627407395
C1orf174|ENSG00000198912.12|chr1	308	430	336	262	149	297	0.0134299259848188	0.0851817346956341	1791	1.02633857136398	0.41515857504717	158.522522098162	2.47216035763531
NPHP4|ENSG00000131697.18|chr1	13	5	33	22	33	1	0.229097506315397	0.502866709892037	5583	0.677704179966485	0.56349177965141	66.1712395491129	1.20268689702222
KCNAB2|ENSG00000069424.16|chr1	15	0	17	18	0	0	0.393606817782893	0.667061217189681	7577	-0.878277270000454	1.02951913897246	20.6239212376924	-0.853094650456955
RPL22|ENSG00000116251.11|chr1	808	834	669	776	625	593	0.0261171740600193	0.132745672559442	2253	0.276455509143837	0.124279549353475	2854.83299173637	2.2244650111946
RNF207|ENSG00000158286.13|chr1	0	0	12	0	0	0	0.653175534440221	1	10148.5	-1.78308301052441	3.96809363824944	0.823670491753509	-0.449355074017616
ICMT|ENSG00000116237.16|chr1	667	782	515	401	487	476	0.709082565993861	0.874102326010963	10681	-0.0626975524907866	0.168050073655728	784.357946822804	-0.373088515386375
HES3|ENSG00000173673.8|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
GPR153|ENSG00000158292.7|chr1	8	29	50	9	0	0	0.00884072263880379	0.0643784496601623	1554	-1.46889314043	0.561041808062581	60.0648512736043	-2.61815272822975
ACOT7|ENSG00000097021.20|chr1	177	259	223	184	159	158	0.449126516950284	0.708490972268206	8211	0.0998255233135154	0.131892203226422	1581.63312449956	0.756872058177259
HES2|ENSG00000069812.11|chr1	0	0	0	0	0	0	0.703629249109263	1	10635	1.11575770771322	2.93291686696605	3.70873693490665	0.380425957612436
ESPN|ENSG00000187017.18|chr1	0	0	0	0	0	3	0.1460717915173	1	4526	3.47600720758439	2.39139561838406	4.89881524695866	1.45354753553209
TNFRSF25|ENSG00000215788.11|chr1	0	14	4	0	0	0	0.0251774136814058	1	2237	-4.74846390219435	2.12110962377246	5.34591874980209	-2.23866972690882
PLEKHG5|ENSG00000171680.23|chr1	14	0	5	3	4	0	0.521667892831779	0.762532575333759	8899	0.820654009419301	1.28071798679834	15.2773710233226	0.640776515890783
NOL9|ENSG00000162408.11|chr1	360	457	371	393	424	186	0.165772705852799	0.416496882890725	4820	-0.234425599813021	0.169148551287307	789.518539961249	-1.38591550461959
TAS1R1|ENSG00000173662.21|chr1	0	0	0	0	0	0	0.120310361467041	1	4133	5.23717843040615	3.37127266886141	3.17241082021786	1.55347221800808
ZBTB48|ENSG00000204859.13|chr1	11	30	41	64	75	27	0.00250214142455375	0.0266415589607871	1062	1.95709921659195	0.647385346765008	51.2545511509176	3.02308235175787
KLHL21|ENSG00000162413.17|chr1	404	489	460	350	452	233	0.343742740616781	0.624703381351206	6999	0.659366455891957	0.69641871757826	57.9526159015982	0.946795999660737
PHF13|ENSG00000116273.6|chr1	283	307	233	192	152	100	0.338951257001515	0.619649763642476	6945	0.724052334240308	0.757187240081916	46.1370817384788	0.95623948200973
THAP3|ENSG00000041988.16|chr1	166	235	211	373	303	168	0.00186186490172938	0.0216623767218699	972	1.66662778630439	0.535647671069583	135.786491960187	3.11142543190091
DNAJC11|ENSG00000007923.17|chr1	151	132	173	231	90	67	0.23197340238344	0.505780529483501	5619	0.252584739934053	0.211316546040316	496.290346691183	1.19529087838613
CAMTA1|ENSG00000171735.20|chr1	25	107	50	88	70	23	0.144952559555176	0.388636438124581	4506	1.36138893769189	0.933997527471724	24.4133347383115	1.45759372765909
VAMP3|ENSG00000049245.13|chr1	239	393	151	109	153	64	0.000382617614311162	0.00637923673348639	678	-0.631093548160854	0.177683152601646	602.85941076441	-3.55179170855732
PER3|ENSG00000049246.15|chr1	0	9	0	0	0	0	0.327185690276493	0.608096262711854	6813	1.29899942758134	1.32578248446271	11.6566277745698	0.979798302364645
UTS2|ENSG00000049247.14|chr1	0	0	0	0	0	0	0.489104528236632	1	8603.5	-2.74486462393061	3.96809393640492	0.651137363995746	-0.691733781488412
TNFRSF9|ENSG00000049249.10|chr1	1	0	0	0	0	0	0.260797535720772	1	5979.5	-4.4136399720104	3.92495169009336	2.08363956478639	-1.12450810111892
PARK7|ENSG00000116288.13|chr1	1823	2091	1573	1515	1134	1046	0.000292102748299857	0.00521862556164784	633	-0.224824412418964	0.0620683883925093	7329.4319597658	-3.62220476866927
ERRFI1|ENSG00000116285.13|chr1	139	250	144	119	202	122	0.197943355424521	0.459753831689446	5238	1.12480597222825	0.873681068773459	25.9152166302628	1.2874331520166
SLC45A1|ENSG00000162426.16|chr1	0	0	0	0	0	0	0.151672086707883	1	4610	5.05186478919548	3.52377762626823	2.76884398494935	1.43365028245143
RERE|ENSG00000142599.19|chr1	433	429	376	420	293	124	0.096866373469167	0.306337197305036	3774	0.468272592005169	0.282051307275482	275.828571379089	1.66023904135925
ENO1|ENSG00000074800.16|chr1	4684	5673	4365	5096	4391	3422	0.00838853168386915	0.062207150696968	1526	-0.0969770314410073	0.0367892164198632	43150.9176959004	-2.63601785735908
CA6|ENSG00000131686.15|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
SLC2A7|ENSG00000197241.4|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
SLC2A5|ENSG00000142583.18|chr1	0	0	0	0	0	0	0.53550698440455	1	9016	2.48298979364722	4.00726838471053	0.461473997491559	0.619621536486276
GPR157|ENSG00000180758.12|chr1	61	106	43	7	15	7	0.360181497623171	0.639349012183399	7191	-0.789566991867928	0.862896543203645	29.5851612640264	-0.915019301081601
H6PD|ENSG00000049239.13|chr1	9	49	34	70	31	67	0.55877736000074	0.787507652805653	9267	-0.36875417466838	0.630717198268317	58.2343751955424	-0.584658505715118
SPSB1|ENSG00000171621.14|chr1	22	70	51	33	16	0	0.0453147724526632	0.192014870040889	2754	2.85597384951345	1.42675937010181	11.7051707937745	2.00172075919828
SLC25A33|ENSG00000171612.7|chr1	330	465	433	248	202	216	0.184813706308001	0.444031910906561	5056	-0.398393003978784	0.300429433524615	178.094156675675	-1.32607847142295
TMEM201|ENSG00000188807.13|chr1	73	113	75	88	73	14	0.452632980022283	0.710750676349903	8248	0.398389801136558	0.530456003202137	82.9771531515239	0.751032694006002
PIK3CD|ENSG00000171608.18|chr1	0	11	7	0	15	0	0.828424846356196	0.931185427635645	11762	0.261447507189739	1.20637160223601	17.45044629637	0.216722199615066
CLSTN1|ENSG00000171603.18|chr1	269	274	172	122	112	168	0.89072129539005	0.956252812755465	12434	0.0336328347201685	0.244795478663877	486.446226809055	0.137391568274629
CTNNBIP1|ENSG00000178585.15|chr1	42	85	39	128	17	55	0.360079710841419	0.639349012183399	7188	-0.305294582884028	0.333577552665915	200.408002087221	-0.915213210373863
LZIC|ENSG00000162441.12|chr1	120	235	150	99	124	85	0.310965785004098	0.591044044136361	6634	-0.251586517470412	0.248309428119556	271.769683062212	-1.01319760339216
NMNAT1|ENSG00000173614.14|chr1	35	34	34	55	93	19	0.059038236094538	0.225867189442872	3075	1.13980974612269	0.603742051042887	68.1807124425003	1.8879084936254
RBP7|ENSG00000162444.12|chr1	42	11	24	5	11	0	0.106901720505551	0.324931140163578	3935	-0.993621339991194	0.616284587686413	56.1159922522838	-1.61227679524055
UBE4B|ENSG00000130939.20|chr1	45	72	38	61	103	38	0.0781504252619784	0.270110990002357	3431	-0.530520777709206	0.301172151079713	227.08830581153	-1.76152003366603
KIF1B|ENSG00000054523.20|chr1	32	52	42	30	10	1	0.369010745254008	0.647733057387979	7290	0.396886168471507	0.441805441203499	98.50123183464	0.898327932291575
PGD|ENSG00000142657.21|chr1	269	381	289	307	300	228	0.351125206095275	0.630401084296792	7100	0.130470338858946	0.139928230813048	1291.8446610191	0.932408979237805
CENPS-CORT|ENSG00000251503.8|chr1	0	5	31	0	0	0	0.460288098574629	0.717688971016198	8302.5	0.612531039844118	0.829569098705499	29.659070431641	0.738372536778361
CENPS|ENSG00000175279.22|chr1	243	334	236	252	213	279	0.00598658299576868	0.0499647727668989	1355	-0.557050228604698	0.202673136483912	485.026949962839	-2.74851535960177
CORT|ENSG00000241563.4|chr1	0	5	31	0	0	0	0.460288098574629	0.717688971016198	8302.5	0.612531039844118	0.829569098705499	29.659070431641	0.738372536778361
DFFA|ENSG00000160049.12|chr1	626	764	526	441	572	308	0.567058078092495	0.793555602783946	9350	0.0695860713666913	0.121571172177517	1288.70111140436	0.572389573287018
PEX14|ENSG00000142655.13|chr1	172	138	160	177	198	134	0.302801144768332	0.583369360508529	6523	0.521406017015675	0.506000807933404	99.4403371855965	1.03044502862592
CASZ1|ENSG00000130940.15|chr1	15	8	5	37	23	9	0.597437327737635	0.813644787060958	9608	0.805359940536871	1.52504486686848	8.74054802919754	0.528089342178237
TARDBP|ENSG00000120948.19|chr1	360	550	277	293	259	224	0.150339168916	0.395760163238138	4594	0.266168533492173	0.185053292137331	797.281257358348	1.43833449498777
MASP2|ENSG00000009724.18|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
SRM|ENSG00000116649.10|chr1	1030	1286	1013	787	844	481	4.35517664704849e-24	2.46263463507357e-21	20	-0.742926129162377	0.0733878030615823	4974.80691431676	-10.1232915848286
EXOSC10|ENSG00000171824.14|chr1	204	45	104	73	48	70	0.0413145490168974	0.180605425138033	2651	0.357285865388708	0.175109285534777	640.769109047812	2.04035933501511
MTOR|ENSG00000198793.14|chr1	24	27	35	41	26	15	0.783122070846592	0.910139392165698	11387	0.0922375324532472	0.335101233130426	169.657215034376	0.275252739572424
ANGPTL7|ENSG00000171819.5|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
UBIAD1|ENSG00000120942.14|chr1	572	467	371	416	438	228	0.514285612447751	0.756707779231279	8841	-0.178113175999663	0.273104679254328	247.344092126345	-0.652179144224022
DISP3|ENSG00000204624.8|chr1	0	0	0	0	0	0	0.118067433443766	1	4105	4.56457257100283	2.92050979341013	3.97584411856214	1.56293691645972
FBXO2|ENSG00000116661.11|chr1	0	0	0	0	0	0	0.649406419174704	1	10108	-0.97504829725044	2.144910406912	5.05743158493777	-0.454586958088475
FBXO44|ENSG00000132879.14|chr1	31	71	30	21	22	4	0.406964331210231	0.676332034886478	7754	-0.465844645732259	0.561767874516932	80.5777035736989	-0.829247571575434
MAD2L2|ENSG00000116670.16|chr1	225	265	211	206	141	38	0.0268676249246019	0.135283156844311	2278	-0.301113825006849	0.136039113949978	1194.36987422628	-2.21343565290765
FBXO6|ENSG00000116663.11|chr1	17	5	17	17	5	0	0.76517606481236	0.901205594351487	11216	0.243435630492464	0.815009112869784	34.7962580106428	0.298690685353549
DRAXIN|ENSG00000162490.7|chr1	0	13	0	1	0	0	0.400180448327177	0.671360434673201	7670	-1.08112916584611	1.2850712533183	13.2545454047546	-0.841299004280446
AGTRAP|ENSG00000177674.16|chr1	130	139	87	102	70	103	0.845080918875897	0.938895776752876	11901	-0.0435711516450566	0.22298600631623	346.452067057652	-0.195398591888612
C1orf167|ENSG00000215910.8|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
MTHFR|ENSG00000177000.13|chr1	115	168	161	91	36	51	0.902205029946198	0.96148086350785	12515	-0.0468651983936647	0.381401353815316	135.627798493551	-0.122876329422674
CLCN6|ENSG00000011021.23|chr1	0	1	5	12	0	16	0.149072814884916	0.394289337775197	4572	1.81468391880326	1.25773914976702	14.6826199591405	1.44281421083172
NPPA|ENSG00000175206.11|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
NPPB|ENSG00000120937.9|chr1	0	3	0	0	0	0	0.856283232664377	1	11995	0.531629695843845	2.9354379373492	3.65887025142603	0.181107455579158
KIAA2013|ENSG00000116685.16|chr1	405	661	411	397	303	134	0.0915198769251915	0.296561114082232	3677	-0.556152458946092	0.329584663236858	254.883624733863	-1.68743428011518
PLOD1|ENSG00000083444.17|chr1	110	59	68	33	54	64	0.650847258145905	0.844045655735627	10122	-0.109310912916335	0.241525454057172	368.734303770978	-0.452585477348736
MFN2|ENSG00000116688.18|chr1	222	313	311	198	175	175	0.218157791043313	0.488685957773317	5452	-0.329441983170122	0.267525488222329	577.925134089478	-1.23144148005941
MIIP|ENSG00000116691.11|chr1	56	64	16	69	25	17	0.0308382169556765	0.147712577531446	2395	0.997354429350784	0.461919067684389	145.638596228353	2.15915405776718
TNFRSF8|ENSG00000120949.15|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
TNFRSF1B|ENSG00000028137.19|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
VPS13D|ENSG00000048707.15|chr1	30	26	15	2	10	83	0.350836967640213	0.630380563559448	7096	0.562630461372259	0.603055001242075	54.9784433579094	0.932967076325449
DHRS3|ENSG00000162496.9|chr1	80	106	70	171	61	43	0.140479746000942	0.381599713209095	4446	0.465466583473602	0.315783188178489	224.550828710325	1.47400685311502
AADACL4|ENSG00000204518.3|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
AADACL3|ENSG00000188984.12|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
CFAP107|ENSG00000157330.10|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
PRAMEF12|ENSG00000116726.5|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
PRAMEF1|ENSG00000116721.9|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
PRAMEF11|ENSG00000239810.3|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
HNRNPCL1|ENSG00000179172.10|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
PRAMEF2|ENSG00000120952.4|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
PRAMEF4|ENSG00000243073.4|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
PRAMEF10|ENSG00000187545.5|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
PRAMEF7|ENSG00000204510.6|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
PRAMEF6|ENSG00000232423.6|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
PRAMEF27|ENSG00000274764.6|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
HNRNPCL3|ENSG00000277058.3|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
PRAMEF25|ENSG00000229571.7|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
HNRNPCL2|ENSG00000275774.3|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
PRAMEF26|ENSG00000280267.6|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
HNRNPCL4|ENSG00000179412.11|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
PRAMEF9|ENSG00000204505.5|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
PRAMEF13|ENSG00000279169.3|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
PRAMEF18|ENSG00000279804.3|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
PRAMEF5|ENSG00000270601.5|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
PRAMEF8|ENSG00000182330.11|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
PRAMEF33|ENSG00000237700.2|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
PRAMEF15|ENSG00000204501.7|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
PRAMEF14|ENSG00000204481.8|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
PRAMEF19|ENSG00000204480.9|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
PRAMEF17|ENSG00000204479.4|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
PRAMEF20|ENSG00000204478.11|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
LRRC38|ENSG00000162494.6|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
PDPN|ENSG00000162493.17|chr1	152	145	80	52	63	22	0.0787775435730869	0.271614402520744	3440	-0.508964316470916	0.289542330724535	289.415357006397	-1.75782351132324
