rownames(tcReadCount)	DMSO.P0.1	DMSO.P0.2	DMSO.P0.3	TPG.P0.1	TPG.P0.2	TPG.P0.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
SLC25A33|ENSG00000171612.7|chr1	330	465	433	248	202	216	0.00159823566683434	0.0252016480613481	726	-0.64983893742523	0.205890962735274	304.629546585998	-3.1562285628863
TMEM201|ENSG00000188807.13|chr1	73	113	75	88	73	14	0.437529842078103	0.732947028059273	7250	-0.414709295407056	0.534163674965286	68.069646400497	-0.776371203889908
PIK3CD|ENSG00000171608.18|chr1	0	11	7	0	15	0	0.997056167885997	0.999021767978752	12626	-0.0081591917421979	2.21142989733648	5.19130739588945	-0.00368955477721681
CLSTN1|ENSG00000171603.18|chr1	269	274	172	122	112	168	0.0686531261682624	0.290476977534375	2709	-0.554344748202656	0.304468642481763	181.24901922664	-1.8206957001684
CTNNBIP1|ENSG00000178585.15|chr1	42	85	39	128	17	55	0.426737366856734	0.725835549350265	7130	0.492687313982226	0.619898492820547	58.5885840937476	0.794787081576037
LZIC|ENSG00000162441.12|chr1	120	235	150	99	124	85	0.146603136243765	0.436571875195124	3849	-0.459909081961257	0.316821445302266	129.553037357354	-1.45163494700454
NMNAT1|ENSG00000173614.14|chr1	35	34	34	55	93	19	0.170755073854275	0.469463817826265	4171	0.86375179738301	0.630576268448632	44.256659021369	1.36978164355605
RBP7|ENSG00000162444.12|chr1	42	11	24	5	11	0	0.0787157402384884	0.316131679962703	2854	-2.17396756037664	1.23648273971098	14.8550705524467	-1.75818674257014
UBE4B|ENSG00000130939.20|chr1	45	72	38	61	103	38	0.227562886541509	0.535041194006187	4907	0.615584047973854	0.51015509970163	58.1460932690803	1.20666057897664
KIF1B|ENSG00000054523.20|chr1	32	52	42	30	10	1	0.103807580828071	0.368829042607361	3226	-1.51265737673963	0.929911431110334	25.4845337017882	-1.62666822466467
PGD|ENSG00000142657.21|chr1	269	381	289	307	300	228	0.751109076862541	0.906137484369902	10419	0.0601709032372305	0.189707473143499	288.33601738151	0.317177295338893
CENPS-CORT|ENSG00000251503.8|chr1	0	5	31	0	0	0	0.0135767795072805	0.108197380684091	1437.5	-5.89257072492307	2.38732806898842	5.83614545552477	-2.46827019774452
CENPS|ENSG00000175279.22|chr1	243	334	236	252	213	279	0.559176056186509	0.813073494353306	8537	0.136556122557006	0.233802641884004	256.492857223788	0.58406578067991
CORT|ENSG00000241563.4|chr1	0	5	31	0	0	0	0.0135767795072805	0.108197380684091	1437.5	-5.89257072492307	2.38732806898842	5.83614545552477	-2.46827019774452
DFFA|ENSG00000160049.12|chr1	626	764	526	441	572	308	0.0753063544083907	0.307284241448549	2809	-0.313144412773727	0.176062900872065	519.616139798004	-1.77859396399058
PEX14|ENSG00000142655.13|chr1	172	138	160	177	198	134	0.264244733443457	0.575812383028308	5345	0.31384147369939	0.281115538231007	162.069011291481	1.11641453785984
CASZ1|ENSG00000130940.15|chr1	15	8	5	37	23	9	0.159897523086007	0.456360908767882	4016	1.43919959236649	1.02403792690991	15.8489684779089	1.40541629811442
TARDBP|ENSG00000120948.19|chr1	360	550	277	293	259	224	0.0807581565726023	0.320515924735169	2888	-0.360662223243414	0.206528898485912	312.870305675885	-1.74630391140161
MASP2|ENSG00000009724.18|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
SRM|ENSG00000116649.10|chr1	1030	1286	1013	787	844	481	0.000889953805971315	0.0163845492775423	622	-0.445164476572558	0.133957113552319	870.636164696525	-3.32318653909106
EXOSC10|ENSG00000171824.14|chr1	204	45	104	73	48	70	0.174681987584467	0.474048539871667	4225	-0.706265536473461	0.520341202914261	90.3143263183302	-1.35731234143654
MTOR|ENSG00000198793.14|chr1	24	27	35	41	26	15	0.907823108573816	0.971112316423059	11874	0.0860335319494502	0.743046949961131	27.1874842027078	0.11578478581192
ANGPTL7|ENSG00000171819.5|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
UBIAD1|ENSG00000120942.14|chr1	572	467	371	416	438	228	0.373010098841101	0.677029572908424	6621	-0.190237076392644	0.21354577781782	402.461470173593	-0.890849158136667
DISP3|ENSG00000204624.8|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
FBXO2|ENSG00000116661.11|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
FBXO44|ENSG00000132879.14|chr1	31	71	30	21	22	4	0.115776940244861	0.389795879007425	3404	-1.28073229550939	0.814327184389304	27.111704416465	-1.57274903756266
MAD2L2|ENSG00000116670.16|chr1	225	265	211	206	141	38	0.05293680687492	0.252817366833472	2400	-0.718187197529287	0.371072550214875	169.968153255513	-1.93543606799643
FBXO6|ENSG00000116663.11|chr1	17	5	17	17	5	0	0.572712073062133	0.819119763094356	8701	-0.819566310591833	1.45297254310273	9.70086799107039	-0.564061801774797
DRAXIN|ENSG00000162490.7|chr1	0	13	0	1	0	0	0.317054542389991	0.623825544392075	6020	-3.15681056743508	3.15514131399064	1.84678181221946	-1.00052905821905
AGTRAP|ENSG00000177674.16|chr1	130	139	87	102	70	103	0.749687671365715	0.904960201415172	10412	-0.115637581964803	0.362442059544523	103.070594210586	-0.319051221897711
C1orf167|ENSG00000215910.8|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
MTHFR|ENSG00000177000.13|chr1	115	168	161	91	36	51	0.00452973487179479	0.0541960554285092	958	-1.1153371777501	0.392903844593363	98.2607824983347	-2.83870263194911
CLCN6|ENSG00000011021.23|chr1	0	1	5	12	0	16	0.203141037670468	0.50713939889757	4598	2.44725721471603	1.92295647103375	6.19631996533041	1.27265346438156
NPPA|ENSG00000175206.11|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
NPPB|ENSG00000120937.9|chr1	0	3	0	0	0	0	0.614946421495403	1	9082	-2.0160504359983	4.00785025437837	0.390682418397447	-0.503025389682628
KIAA2013|ENSG00000116685.16|chr1	405	661	411	397	303	134	0.00951733782818032	0.0871346285034238	1251	-0.629692569120045	0.242853619207104	361.515836729131	-2.59288937581386
PLOD1|ENSG00000083444.17|chr1	110	59	68	33	54	64	0.442935586679246	0.73685452750617	7300	-0.399151954162077	0.520240226937719	64.6416067471117	-0.76724546371894
MFN2|ENSG00000116688.18|chr1	222	313	311	198	175	175	0.0938338036298339	0.346495830285166	3104	-0.396397408072352	0.236582841522648	226.073591811323	-1.6755120765358
MIIP|ENSG00000116691.11|chr1	56	64	16	69	25	17	0.880662919521864	0.960089288270064	11659	-0.106700998794101	0.710729238937538	38.5218282726686	-0.150128899936082
TNFRSF8|ENSG00000120949.15|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
TNFRSF1B|ENSG00000028137.19|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
VPS13D|ENSG00000048707.15|chr1	30	26	15	2	10	83	0.407659905411445	0.70757341987864	6979	0.862866944460553	1.04208629182492	30.2970483266757	0.828018707500206
DHRS3|ENSG00000162496.9|chr1	80	106	70	171	61	43	0.56328438253613	0.81519767583701	8578	0.265161372304466	0.458780522078616	84.2757032472268	0.577969986831804
AADACL4|ENSG00000204518.3|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
AADACL3|ENSG00000188984.12|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
CFAP107|ENSG00000157330.10|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
PRAMEF12|ENSG00000116726.5|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
PRAMEF1|ENSG00000116721.9|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
PRAMEF11|ENSG00000239810.3|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
HNRNPCL1|ENSG00000179172.10|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
PRAMEF2|ENSG00000120952.4|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
PRAMEF4|ENSG00000243073.4|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
PRAMEF10|ENSG00000187545.5|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
PRAMEF7|ENSG00000204510.6|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
PRAMEF6|ENSG00000232423.6|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
PRAMEF27|ENSG00000274764.6|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
HNRNPCL3|ENSG00000277058.3|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
PRAMEF25|ENSG00000229571.7|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
HNRNPCL2|ENSG00000275774.3|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
PRAMEF26|ENSG00000280267.6|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
HNRNPCL4|ENSG00000179412.11|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
PRAMEF9|ENSG00000204505.5|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
PRAMEF13|ENSG00000279169.3|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
PRAMEF18|ENSG00000279804.3|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
PRAMEF5|ENSG00000270601.5|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
PRAMEF8|ENSG00000182330.11|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
PRAMEF33|ENSG00000237700.2|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
PRAMEF15|ENSG00000204501.7|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
PRAMEF14|ENSG00000204481.8|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
PRAMEF19|ENSG00000204480.9|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
PRAMEF17|ENSG00000204479.4|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
PRAMEF20|ENSG00000204478.11|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
LRRC38|ENSG00000162494.6|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
PDPN|ENSG00000162493.17|chr1	152	145	80	52	63	22	0.00464456536670945	0.0551668479100764	965	-1.26232424505252	0.445940005749677	80.182366622598	-2.83070419513138
KAZN|ENSG00000189337.17|chr1	0	0	0	1	0	0	0.770674972968826	1	10600	1.18942566609678	4.0804728567969	0.15382466583052	0.291492115703094
TMEM51|ENSG00000171729.14|chr1	228	218	165	277	339	184	0.0137676068289048	0.109430745359842	1442	0.598531683327557	0.242982540629421	232.596348813197	2.4632703311815
FHAD1|ENSG00000142621.21|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
EFHD2|ENSG00000142634.13|chr1	78	77	40	35	30	3	0.0587936235242664	0.2652854689545	2538	-1.37253617361234	0.726312064477148	40.4318949358252	-1.88973340901392
CTRC|ENSG00000162438.12|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
CELA2A|ENSG00000142615.8|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
