rownames(readCount)	DMSO.P0.1	DMSO.P0.2	DMSO.P0.3	TPG.P0.1	TPG.P0.2	TPG.P0.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
B3GALT6|ENSG00000176022.7|chr1	1275	1551	931	1234	931	812	0.47023380866186	0.709679898293327	8360	-0.107099222279145	0.148316601308012	1084.53052349405	-0.722098681702733
C1QTNF12|ENSG00000184163.3|chr1	2	0	2	0	0	0	0.490921822798753	1	8628	-2.73372013948021	3.96856549989387	0.655534784607882	-0.688843396827725
UBE2J2|ENSG00000160087.21|chr1	1703	2178	1669	2473	2133	1639	5.34293689218813e-05	0.000964644863458996	520	0.389605192396848	0.09643464168602	1931.19683751069	4.04009581603836
SCNN1D|ENSG00000162572.21|chr1	0	5	1	10	12	13	0.0733346369940608	1	3299	2.91943583044731	1.63029354567561	7.17646259178277	1.79074243297544
ACAP3|ENSG00000131584.19|chr1	71	82	63	103	76	51	0.53667992597058	0.756351903092201	9113	0.287897243769885	0.465972770722275	72.3547260977188	0.617841345801459
PUSL1|ENSG00000169972.12|chr1	649	637	491	646	412	500	0.861096917383524	0.942839537629294	12401	0.0363707189550916	0.207858806098193	545.450532447381	0.174978003760447
INTS11|ENSG00000127054.22|chr1	172	299	163	276	242	134	0.397291862140252	0.649552908586587	7524	0.263115595244835	0.310839483093975	206.357508927306	0.846467741568365
CPTP|ENSG00000224051.7|chr1	167	248	180	185	164	130	0.782198278486128	0.902909045669417	11586	-0.0829059163900554	0.299888892533018	173.455149240353	-0.276455442179898
TAS1R3|ENSG00000169962.5|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
DVL1|ENSG00000107404.21|chr1	490	607	406	470	523	224	0.676101804165959	0.847602970339144	10506	-0.102305199845536	0.244873218713534	435.511485879467	-0.417788439189092
MXRA8|ENSG00000162576.17|chr1	9	30	11	29	0	0	0.673545496497881	1	10485	-0.678279300347372	1.61001702958806	11.6521626748614	-0.421287034784296
AURKAIP1|ENSG00000175756.14|chr1	4349	5245	3778	3291	3304	2675	0.000324011013366134	0.00433687462113955	700	-0.294492808055426	0.0819103690964134	3655.032005714	-3.59530559200375
CCNL2|ENSG00000221978.13|chr1	205	258	219	197	263	205	0.471582352035184	0.710210690170711	8378	0.205502402644425	0.285456935863853	222.168572940501	0.719906846973367
MRPL20|ENSG00000242485.6|chr1	8153	10011	7416	6746	6504	5397	0.000285653264421806	0.00397852712041319	674	-0.223344484596212	0.061561753914731	7154.01546547191	-3.62797468222829
ANKRD65|ENSG00000235098.9|chr1	0	5	1	0	9	0	0.765319613287319	1	11396	0.915376476468093	3.06656143690803	2.37119383934881	0.298502572115775
TMEM88B|ENSG00000205116.4|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
VWA1|ENSG00000179403.12|chr1	60	67	59	112	65	42	0.423445121770942	0.671876947008019	7824	0.407731289945952	0.509372093939092	65.5497920641291	0.80045863288833
ATAD3C|ENSG00000215915.10|chr1	0	0	5	0	0	0	0.435430183029355	1	7959.5	-3.08487212052726	3.95530288716399	0.836291627665972	-0.779933220926895
ATAD3B|ENSG00000160072.20|chr1	114	234	123	214	176	262	0.0293445335287465	0.12736394702601	2323	0.770494995392123	0.353628373623702	188.039787587018	2.17882685005364
ATAD3A|ENSG00000197785.14|chr1	798	1148	1021	1107	955	793	0.263279730243084	0.512504594685045	5918	0.165483818420861	0.147928697699788	951.125951871104	1.11867285384139
TMEM240|ENSG00000205090.9|chr1	0	6	0	0	14	2	0.483347262385533	1	8495	1.83756059121141	2.62160693428256	3.61981673476596	0.700929100843368
SSU72|ENSG00000160075.12|chr1	999	1300	1129	923	881	717	0.110209200359826	0.302473220934422	3928	-0.21859155719448	0.136854638523412	964.102011192419	-1.59725354984651
FNDC10|ENSG00000228594.4|chr1	97	114	92	35	12	122	0.497713121583061	0.729204427145393	8708	-0.469387317855384	0.692217360644753	79.0596128331859	-0.678092380431172
MIB2|ENSG00000197530.13|chr1	118	94	167	48	39	34	0.00261939052998043	0.0222576101730998	1119	-1.47017055176304	0.488559061733343	80.4167664876898	-3.00919718190688
MMP23B|ENSG00000189409.14|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
CDK11B|ENSG00000248333.9|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
SLC35E2B|ENSG00000189339.12|chr1	176	190	134	114	154	151	0.980300994410019	0.992788530164663	13478	0.00876061391235254	0.35480209152553	151.447147041172	0.0246915509282508
CDK11A|ENSG00000008128.23|chr1	0	0	0	1	0	0	0.770674972968826	1	11460.5	1.18942566609678	4.0804728567969	0.15382466583052	0.291492115703094
NADK|ENSG00000008130.15|chr1	416	438	408	228	328	380	0.568768045770667	0.777554190395265	9465	-0.16164346477385	0.28365131187555	364.083432172959	-0.569866797742044
CALML6|ENSG00000169885.10|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
TMEM52|ENSG00000178821.13|chr1	29	16	3	0	21	0	0.554822127605054	1	9303	-0.995144680739078	1.68511568008073	10.8633731606506	-0.590549772043781
CFAP74|ENSG00000142609.20|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
GABRD|ENSG00000187730.9|chr1	13	17	10	27	41	2	0.368707922804751	1	7202	0.967897141604875	1.07676179085513	17.6231804857919	0.898896255258283
PRKCZ|ENSG00000067606.17|chr1	259	322	238	401	340	312	0.00827971024464116	0.0528509140495289	1527	0.594744325706419	0.225243929567699	309.643675508059	2.64044552431618
FAAP20|ENSG00000162585.17|chr1	305	366	266	144	48	230	0.0597451301734367	0.20494183419274	3040	-0.840063908456585	0.446208839751965	220.185209590037	-1.88266980305355
SKI|ENSG00000157933.10|chr1	1115	1387	969	976	619	308	0.00219050602319149	0.0194333973053635	1069	-0.693148963404911	0.226289391118828	843.737480437917	-3.06310852655451
MORN1|ENSG00000116151.14|chr1	0	0	0	10	0	0	0.285457866671059	1	6177	4.20581560585347	3.93751754153688	1.5382466583052	1.06813888737925
RER1|ENSG00000157916.20|chr1	2275	2947	2243	2065	1882	1370	0.00501267303816083	0.0365857980137475	1324	-0.269658397753281	0.096093167102531	2056.20104970686	-2.80621823470088
PEX10|ENSG00000157911.11|chr1	690	784	747	360	597	397	0.0320695677260374	0.135382104046745	2397	-0.47987747485601	0.223871227253138	580.133860598449	-2.14354243170962
PLCH2|ENSG00000149527.18|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
PANK4|ENSG00000157881.16|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
HES5|ENSG00000197921.6|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
TNFRSF14|ENSG00000157873.18|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
PRXL2B|ENSG00000157870.17|chr1	3	0	0	0	0	0	0.566215579148968	1	9435	-2.28915184982342	3.99061478678521	0.48152720031224	-0.573633881527196
MMEL1|ENSG00000142606.16|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
TTC34|ENSG00000215912.13|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
ACTRT2|ENSG00000169717.7|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
PRDM16|ENSG00000142611.17|chr1	81	99	102	67	49	21	0.0938308666462591	0.275280800404704	3648	-0.880997424083992	0.525803161180872	66.1558544390123	-1.6755270586533
ARHGEF16|ENSG00000130762.15|chr1	0	50	47	21	1	11	0.313665333567725	1	6538	-1.32649924027944	1.31654504596839	20.1018006517094	-1.00756084597449
MEGF6|ENSG00000162591.17|chr1	33	13	15	7	31	0	0.662935401727311	1	10367	-0.556824175215333	1.27751814293872	15.9239308541258	-0.435864005762338
TPRG1L|ENSG00000158109.15|chr1	440	454	319	203	252	202	0.0115236337038642	0.0670883382656754	1679	-0.642775136601673	0.254422775191281	300.529222279184	-2.52640564948802
WRAP73|ENSG00000116213.16|chr1	720	853	530	753	659	533	0.487861622124853	0.722167194032979	8564	0.117899294607878	0.169953763090613	657.553110613027	0.693713939979186
TP73|ENSG00000078900.15|chr1	147	195	161	189	199	125	0.434092852270902	0.680430356620305	7939	0.243972733709854	0.31190297676653	165.76149152289	0.782207134536185
CCDC27|ENSG00000162592.10|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
SMIM1|ENSG00000235169.11|chr1	22	14	27	8	1	1	0.0465535430925231	1	2752	-2.57895548521136	1.29573643547857	11.4849833866239	-1.99033955872271
LRRC47|ENSG00000130764.10|chr1	1875	2310	1762	2314	1937	1610	0.0332428805660426	0.138699003540334	2433	0.201348639651917	0.0945681683041828	1927.141505186	2.12913756565814
CEP104|ENSG00000116198.14|chr1	173	234	204	187	199	128	0.910698917860749	0.963657417711214	12841	-0.0336580425995685	0.300097547633785	182.532539528406	-0.112157006496575
DFFB|ENSG00000169598.17|chr1	210	214	175	263	355	245	0.0062224149117647	0.0427126919834218	1414	0.756805720383508	0.276627993898292	244.366981033508	2.73582477940307
C1orf174|ENSG00000198912.12|chr1	401	563	455	491	250	551	0.6386972128568	0.823099149224945	10150	0.135654085218242	0.288920109868118	448.979158070156	0.46952109107311
NPHP4|ENSG00000131697.18|chr1	47	104	75	77	115	87	0.225045421851516	0.467347689952632	5454	0.571372978769998	0.470955483745043	83.7177494426826	1.2132207788015
KCNAB2|ENSG00000069424.16|chr1	43	35	43	49	13	1	0.357170318748131	1	7039	-0.886889320180879	0.963203565923769	28.6437927582673	-0.920770387026443
RPL22|ENSG00000116251.11|chr1	3421	4153	3294	4058	3059	3616	0.0425083792518223	0.16296051681721	2674	0.223541401359786	0.11019988535733	3557.64696974237	2.02850847471336
RNF207|ENSG00000158286.13|chr1	0	5	12	0	1	0	0.189992552725898	1	5009.5	-3.79694841559285	2.89710445821923	2.83077039815184	-1.31060114343503
ICMT|ENSG00000116237.16|chr1	1588	1689	1320	1129	1214	1168	0.318871742005638	0.572695379960484	6599	-0.143969662642646	0.144434871994238	1325.77190998174	-0.996779106422365
HES3|ENSG00000173673.8|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
GPR153|ENSG00000158292.7|chr1	72	181	134	52	21	27	0.00109077233421875	0.0113769519814573	905	-1.72882718246706	0.52934041220668	74.87285878808	-3.26600263762224
ACOT7|ENSG00000097021.20|chr1	1792	2099	1804	1915	1503	1672	0.561668033755604	0.773240935096782	9379	0.0723090650354452	0.124592245249751	1770.22331783279	0.580365695236475
HES2|ENSG00000069812.11|chr1	0	0	7	0	0	12	0.700496084127677	1	10748	1.11574391485768	2.90066639941508	3.70873693490665	0.384650890941016
ESPN|ENSG00000187017.18|chr1	0	3	0	0	20	8	0.10603558993044	1	3854	3.66004004754471	2.26449558179316	5.53329741100224	1.61627166640196
TNFRSF25|ENSG00000215788.11|chr1	16	26	10	0	0	1	0.00444384695499478	1	1274	-5.32080447883325	1.8703575389367	7.83813667112296	-2.84480606946313
PLEKHG5|ENSG00000171680.23|chr1	28	15	13	45	23	0	0.769150022013498	1	11426	0.345668051462708	1.17779726515768	19.5123960943016	0.293486885806642
NOL9|ENSG00000162408.11|chr1	1220	1493	1292	1334	1050	705	0.219634429283826	0.45961456936891	5398	-0.177469073014004	0.144577564496146	1141.81363185213	-1.22750077878601
TAS1R1|ENSG00000173662.21|chr1	0	0	0	0	0	15	0.116142441438059	1	4023	5.23702201850645	3.3331922144645	3.17241082021786	1.57117312220406
ZBTB48|ENSG00000204859.13|chr1	30	45	74	129	133	125	0.000930802615503096	0.0100334399104416	873	1.58945735752997	0.480104627286303	92.2796690876089	3.31064786130903
KLHL21|ENSG00000162413.17|chr1	474	544	484	373	510	337	0.736107233281439	0.87960588242197	11121	-0.0731422254076955	0.217030986100775	444.520064348942	-0.337012823476427
PHF13|ENSG00000116273.6|chr1	300	358	281	290	165	154	0.124594853421069	0.326449089783858	4158	-0.422306799801945	0.274980537279313	247.420948359932	-1.53576978203728
THAP3|ENSG00000041988.16|chr1	204	388	249	496	447	450	3.18218746714601e-05	0.000628431136902054	475	0.989922567619576	0.237960971368773	373.511099091261	4.16002070392238
DNAJC11|ENSG00000007923.17|chr1	573	637	730	880	612	444	0.393184020558267	0.646603408808712	7463	0.175443738039964	0.20547194827729	631.884513468985	0.853857373285808
CAMTA1|ENSG00000171735.20|chr1	31	120	75	102	103	69	0.297470619716878	0.55026420607504	6334	0.533575189839844	0.512130798914767	81.2015700675454	1.04187287890226
VAMP3|ENSG00000049245.13|chr1	1027	1301	879	628	668	384	2.6290404556982e-05	0.000529351580449493	465	-0.714550453084442	0.169992357373203	774.356558310257	-4.20342693122203
PER3|ENSG00000049246.15|chr1	4	21	7	39	12	1	0.501839642004116	1	8745	0.866416138219827	1.29008144491057	12.8286750297621	0.671598015487996
UTS2|ENSG00000049247.14|chr1	0	5	0	0	0	0	0.489104528236632	1	8594	-2.74486462393061	3.96809393640492	0.651137363995746	-0.691733781488412
TNFRSF9|ENSG00000049249.10|chr1	1	16	0	0	0	0	0.187466413877123	1	4980	-4.52131076527196	3.43014355949293	2.24414863155713	-1.31811123553684
PARK7|ENSG00000116288.13|chr1	9866	11824	9891	8576	7830	6428	5.64543445281102e-06	0.00014605590475401	360	-0.245638822416758	0.0541143925916481	8807.36269698267	-4.53925121677646
ERRFI1|ENSG00000116285.13|chr1	145	282	162	181	224	143	0.643297396108336	0.826580422256248	10190	0.149525280084143	0.322883610631858	183.827145699969	0.463093434168224
SLC45A1|ENSG00000162426.16|chr1	0	0	0	18	0	0	0.146889941084932	1	4461.5	5.05199632161771	3.48268278227468	2.76884398494935	1.45060478873647
RERE|ENSG00000142599.19|chr1	693	711	599	851	508	392	0.961958365561529	0.985604990825815	13314	-0.00984821594333069	0.206478015140451	605.469542384449	-0.0476961963075426
ENO1|ENSG00000074800.16|chr1	51849	61990	48586	49977	45554	35784	0.0170012984665228	0.0879698471491254	1925	-0.0851259754331611	0.0356671140779971	47636.8213249722	-2.38667965249465
CA6|ENSG00000131686.15|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
SLC2A7|ENSG00000197241.4|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
SLC2A5|ENSG00000142583.18|chr1	0	0	0	3	0	0	0.53550698440455	1	9099	2.48298979364722	4.00726838471053	0.461473997491559	0.619621536486276
GPR157|ENSG00000180758.12|chr1	91	135	104	38	45	11	0.00343513974697089	0.0273570630579917	1198	-1.6288574262595	0.556712114720376	65.5176624116275	-2.92585230892206
H6PD|ENSG00000049239.13|chr1	55	99	147	112	65	129	0.596735941292544	0.793283253571571	9733	0.265855419208261	0.502467052885477	102.033241264033	0.529100202056143
SPSB1|ENSG00000171621.14|chr1	24	77	52	59	17	29	0.653613576664666	1	10287	-0.315202697849943	0.702404951267438	40.7192119773957	-0.448747830266832
SLC25A33|ENSG00000171612.7|chr1	561	714	623	414	357	332	0.00298593118024345	0.0245610076300309	1159	-0.555758851120765	0.187175707456623	482.723703261673	-2.96918258609793
TMEM201|ENSG00000188807.13|chr1	121	179	192	234	146	71	0.93889234803401	0.97499628764986	13117	0.0304605992736801	0.39733578258797	151.046799552021	0.0766621095016433
PIK3CD|ENSG00000171608.18|chr1	21	27	22	37	37	0	0.856251857015812	1	12246	0.198953859812933	1.09829800165401	22.6417536922594	0.181147429489368
CLSTN1|ENSG00000171603.18|chr1	789	850	663	718	704	414	0.490054610687144	0.722788428280871	8617	-0.12266836585746	0.177723068223892	667.695246035695	-0.690221967712848
CTNNBIP1|ENSG00000178585.15|chr1	254	387	262	318	130	249	0.702443491911342	0.861113354475704	10766	-0.124039848742167	0.324691165128986	258.996586180968	-0.382024095706118
LZIC|ENSG00000162441.12|chr1	450	566	459	378	355	280	0.106518218274702	0.29555774046144	3871	-0.318285991464188	0.197198029625783	401.322720419566	-1.61404245300113
NMNAT1|ENSG00000173614.14|chr1	72	114	63	94	203	123	0.0185727176432013	0.0931855421513168	1988	1.02791024142027	0.436665748804984	112.437371463869	2.35399786732376
RBP7|ENSG00000162444.12|chr1	138	136	58	48	58	19	0.0279214875303576	0.12285024687252	2293	-1.20652912742521	0.548824537412136	70.9710628047304	-2.19838772718569
UBE4B|ENSG00000130939.20|chr1	336	400	306	235	345	153	0.296199663013954	0.5492294852523	6319	-0.294883558242378	0.282288475760577	285.234399080611	-1.04461777069668
KIF1B|ENSG00000054523.20|chr1	154	160	95	149	123	87	0.942977104051922	0.976831891033319	13150	0.0265304741459949	0.370907484841287	123.985765536428	0.0715285488437836
PGD|ENSG00000142657.21|chr1	1571	1756	1657	1854	1438	1366	0.326151344430756	0.580033362541794	6696	0.117736674387124	0.119907543303829	1580.18067840061	0.981895476657344
CENPS-CORT|ENSG00000251503.8|chr1	30	16	64	34	55	15	0.969030638269473	1	13374.5	0.0308025117095303	0.793386572887921	35.4952158871657	0.0388240899986616
CENPS|ENSG00000175279.22|chr1	780	1086	862	653	658	552	0.0442658172386386	0.167959852218055	2709	-0.313934463996721	0.15606479122581	741.519807186627	-2.0115649502423
CORT|ENSG00000241563.4|chr1	30	16	64	34	55	15	0.969030638269473	1	13374.5	0.0308025117095303	0.793386572887921	35.4952158871657	0.0388240899986616
DFFA|ENSG00000160049.12|chr1	1814	2475	1813	1910	1821	1341	0.696217226973857	0.857495206945727	10710	-0.040107530767033	0.102726068463332	1808.31725120237	-0.390431867655378
PEX14|ENSG00000142655.13|chr1	268	217	251	326	359	171	0.18647753126995	0.417489701383195	4972	0.391765052890182	0.296550988043004	261.509348477077	1.32107148074439
CASZ1|ENSG00000130940.15|chr1	24	15	10	54	40	9	0.173228369854011	1	4792	1.20095676132554	0.881822273429671	24.5895165071064	1.36190341014484
TARDBP|ENSG00000120948.19|chr1	1077	1468	1037	1145	945	1104	0.559947616262095	0.77203589287657	9364	0.0896029285351957	0.153714117840155	1110.15156303423	0.582919316678334
MASP2|ENSG00000009724.18|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
SRM|ENSG00000116649.10|chr1	7125	9546	7350	4624	4654	3381	9.0529162052881e-23	2.26616513225347e-20	37	-0.697822440533783	0.0710468769157442	5845.44307901329	-9.82200021770618
EXOSC10|ENSG00000171824.14|chr1	744	695	760	857	761	619	0.185250536768572	0.41584839349261	4955	0.226823883482475	0.17121876065861	731.083435366142	1.32476068983314
MTOR|ENSG00000198793.14|chr1	199	256	180	239	234	115	0.767187065509973	0.89470989873545	11409	0.0912121606891212	0.308090563569541	196.844699237083	0.296056327179697
ANGPTL7|ENSG00000171819.5|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
UBIAD1|ENSG00000120942.14|chr1	909	762	603	654	674	411	0.353857459235072	0.60896094155244	7004	-0.186201412986849	0.200835698132649	649.805562299938	-0.927133048148972
DISP3|ENSG00000204624.8|chr1	0	1	0	25	0	0	0.114353682610078	1	3993	4.56470519476407	2.8910242784826	3.97584411856214	1.57892316184903
FBXO2|ENSG00000116661.11|chr1	11	11	1	11	0	0	0.646031131287006	1	10214	-0.974703732363057	2.12223020735728	5.05743158493777	-0.459282753107549
FBXO44|ENSG00000132879.14|chr1	133	212	102	84	136	25	0.193889780767558	0.427225106877266	5064	-0.660694126300589	0.508555717206658	107.689407990164	-1.29915779912884
MAD2L2|ENSG00000116670.16|chr1	1577	2020	1488	1439	1021	954	0.00449167523617698	0.0338112611772222	1278	-0.352195313119092	0.12395158423283	1364.33802748179	-2.84139420483349
FBXO6|ENSG00000116663.11|chr1	34	23	82	58	25	43	0.984418997327176	1	13518	0.0139168947953107	0.712622283688035	44.4971260017132	0.0195291322119294
DRAXIN|ENSG00000162490.7|chr1	28	26	17	15	12	0	0.284199231035907	1	6155	-1.27742075739641	1.19281028233019	15.101327216974	-1.07093372376111
AGTRAP|ENSG00000177674.16|chr1	456	636	438	468	380	391	0.762726912813222	0.892826081151103	11363	-0.0598027254836876	0.198086671540891	449.522661268237	-0.301901814082138
C1orf167|ENSG00000215910.8|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
MTHFR|ENSG00000177000.13|chr1	270	362	273	258	122	175	0.114852222361332	0.310613088798993	4003	-0.478401273378867	0.303409017615037	233.888580991885	-1.57675364146843
CLCN6|ENSG00000011021.23|chr1	0	8	19	27	21	42	0.0776516194264987	1	3369	1.98421580110985	1.12453448442364	20.878939924471	1.76447750477553
NPPA|ENSG00000175206.11|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
NPPB|ENSG00000120937.9|chr1	0	3	9	14	0	0	0.937478207696265	1	13109	0.198210155373247	2.52690765999936	4.04955266982347	0.0784398094599536
KIAA2013|ENSG00000116685.16|chr1	674	1047	759	656	413	344	0.0021164452357962	0.0189657639323529	1058	-0.599572219403714	0.195085230587548	616.399461462994	-3.07338601491232
PLOD1|ENSG00000083444.17|chr1	529	601	387	332	434	376	0.510375410463862	0.738839801768723	8841	-0.151824389273629	0.230647381405275	433.375910518089	-0.658253253726975
MFN2|ENSG00000116688.18|chr1	945	1155	887	867	803	386	0.0708174159971613	0.229701903718788	3252	-0.347312738464316	0.192241670145127	803.9987259008	-1.80664648929716
MIIP|ENSG00000116691.11|chr1	203	208	53	263	166	220	0.0751225331365277	0.238691218494175	3328	0.75226219602152	0.422686770826538	184.160424501021	1.77971549606466
TNFRSF8|ENSG00000120949.15|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
TNFRSF1B|ENSG00000028137.19|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
VPS13D|ENSG00000048707.15|chr1	64	89	66	99	40	143	0.219236338569862	0.459404291365173	5388	0.666278885746724	0.542324501065029	85.2754916845851	1.22856128468891
DHRS3|ENSG00000162496.9|chr1	244	312	316	424	268	306	0.109628012313736	0.301477033862773	3918	0.409964330793221	0.256248950298452	308.826531957551	1.59986735678619
AADACL4|ENSG00000204518.3|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
AADACL3|ENSG00000188984.12|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
CFAP107|ENSG00000157330.10|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
PRAMEF12|ENSG00000116726.5|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
PRAMEF1|ENSG00000116721.9|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
PRAMEF11|ENSG00000239810.3|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
HNRNPCL1|ENSG00000179172.10|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
PRAMEF2|ENSG00000120952.4|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
PRAMEF4|ENSG00000243073.4|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
PRAMEF10|ENSG00000187545.5|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
PRAMEF7|ENSG00000204510.6|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
PRAMEF6|ENSG00000232423.6|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
PRAMEF27|ENSG00000274764.6|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
HNRNPCL3|ENSG00000277058.3|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
PRAMEF25|ENSG00000229571.7|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
HNRNPCL2|ENSG00000275774.3|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
PRAMEF26|ENSG00000280267.6|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
HNRNPCL4|ENSG00000179412.11|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
PRAMEF9|ENSG00000204505.5|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
PRAMEF13|ENSG00000279169.3|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
PRAMEF18|ENSG00000279804.3|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
PRAMEF5|ENSG00000270601.5|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
PRAMEF8|ENSG00000182330.11|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
PRAMEF33|ENSG00000237700.2|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
PRAMEF15|ENSG00000204501.7|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
PRAMEF14|ENSG00000204481.8|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
PRAMEF19|ENSG00000204480.9|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
PRAMEF17|ENSG00000204479.4|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
PRAMEF20|ENSG00000204478.11|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
LRRC38|ENSG00000162494.6|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
