rownames(tcReadCount)	DMSO.Total.1	DMSO.Total.2	DMSO.Total.3	TPG.Total.1	TPG.Total.2	TPG.Total.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
GABRD|ENSG00000187730.9|chr1	0	1	1	0	0	16	0.168139189208853	1	3705	2.94687424986628	2.13819323378869	3.06608478073122	1.37820763965504
PRKCZ|ENSG00000067606.17|chr1	80	41	56	129	175	92	0.000928585223943437	0.016776055205239	499	1.07680719184294	0.325190173628398	93.1087271377849	3.31131528307934
FAAP20|ENSG00000162585.17|chr1	2	14	6	21	15	20	0.137558383724788	1	3252	1.22646531634772	0.825933138081457	12.8824527596291	1.48494503949394
SKI|ENSG00000157933.10|chr1	1288	889	888	990	865	908	0.0469145960023678	0.25522242189318	1809	-0.230369264742028	0.115934123355349	963.645760937841	-1.98707039890166
MORN1|ENSG00000116151.14|chr1	1	0	2	0	0	4	0.885790073107	1	12392.5	0.393212763729681	2.73761631646951	1.18985681742129	0.143633262763709
RER1|ENSG00000157916.20|chr1	341	361	279	405	376	304	0.762424859737668	0.922998184945825	10893	0.0491378720244821	0.162547760269426	341.41437423337	0.302298056540644
PEX10|ENSG00000157911.11|chr1	135	134	122	210	186	204	0.0125917941283242	0.112347643725723	1049	0.527508267457401	0.211416803119988	163.332947670703	2.49511041541016
PLCH2|ENSG00000149527.18|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
PANK4|ENSG00000157881.16|chr1	0	0	0	2	0	0	0.670777760413804	1	9917.5	1.71825635217439	4.04218745608396	0.309023373413671	0.425080818453437
HES5|ENSG00000197921.6|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
TNFRSF14|ENSG00000157873.18|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
PRXL2B|ENSG00000157870.17|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
MMEL1|ENSG00000142606.16|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
TTC34|ENSG00000215912.13|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
ACTRT2|ENSG00000169717.7|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
PRDM16|ENSG00000142611.17|chr1	146	97	143	97	124	55	0.0583024805756764	0.290879042597686	2005	-0.580826971180105	0.306761306718747	109.674567665678	-1.89341666780887
ARHGEF16|ENSG00000130762.15|chr1	3	5	10	2	0	7	0.435754243245415	1	6988	-1.07651276789532	1.38123749411786	4.63081818905237	-0.779382816119427
MEGF6|ENSG00000162591.17|chr1	2	0	0	1	0	0	0.825199729956698	1	11656.5	-0.893720772210547	4.0465084959358	0.471932266574052	-0.220862200859871
TPRG1L|ENSG00000158109.15|chr1	254	189	238	177	198	183	0.0541353197803059	0.277383910982354	1942	-0.373653446144111	0.194029866271247	205.777019231858	-1.9257522221953
WRAP73|ENSG00000116213.16|chr1	406	300	280	352	313	383	0.955965977033457	0.98462690221836	13147	0.00933051876397985	0.168980600176551	336.25040690864	0.0552165086064988
TP73|ENSG00000078900.15|chr1	170	87	127	111	226	109	0.664273257041853	0.878281265324003	9824	0.134630606899422	0.310193826764331	136.31569222395	0.434020909776864
CCDC27|ENSG00000162592.10|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
SMIM1|ENSG00000235169.11|chr1	1	0	0	10	0	0	0.254603672900735	1	4848	3.07488225883654	2.69906796317928	1.70382715700196	1.13923854485479
LRRC47|ENSG00000130764.10|chr1	794	561	585	639	586	578	0.128654022758129	0.435467417605676	3128	-0.188793204864388	0.12425256194443	618.878003989429	-1.5194310838341
CEP104|ENSG00000116198.14|chr1	47	44	29	52	25	26	0.502438813881736	0.79138647832708	7796	-0.31666411490106	0.472169724910346	36.8319495705614	-0.670657389058961
DFFB|ENSG00000169598.17|chr1	193	135	167	88	62	85	9.68231480080216e-06	0.000361059311759827	235	-1.15760709640219	0.261656439905923	122.044620400056	-4.42414907432968
C1orf174|ENSG00000198912.12|chr1	254	203	238	241	166	193	0.128627206435221	0.435467417605676	3124	-0.302225389241098	0.198892985408415	214.798010471774	-1.5195376982275
NPHP4|ENSG00000131697.18|chr1	42	45	103	95	68	82	0.508466812685622	0.795446669792596	7852	0.259916265515272	0.393081808304463	72.2266623217218	0.661226899907698
KCNAB2|ENSG00000069424.16|chr1	0	1	0	1	0	10	0.163753665591889	1	3640	3.32441750275976	2.3872749854444	2.02730627470446	1.39255742343436
RPL22|ENSG00000116251.11|chr1	585	450	523	500	456	462	0.0820461608438156	0.346364199091986	2433	-0.223020714333529	0.128251307855312	493.245928430533	-1.7389352051297
RNF207|ENSG00000158286.13|chr1	7	6	5	13	3	4	0.964875615824789	1	13243	0.0473583452378195	1.07544329854924	6.22640479532819	0.0440361154341705
ICMT|ENSG00000116237.16|chr1	827	746	803	668	537	567	6.75965959125633e-06	0.000259844888076223	228	-0.515350473849416	0.114493852744925	690.529526377995	-4.50111915613095
HES3|ENSG00000173673.8|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
GPR153|ENSG00000158292.7|chr1	53	55	29	28	25	13	0.0206853286325289	1	1273	-1.15240289895723	0.498082416005981	33.8368757307379	-2.3136791461102
ACOT7|ENSG00000097021.20|chr1	73	142	98	164	123	132	0.293125110515238	0.631402052420629	5317	0.311074915811484	0.295898103602919	121.409327601868	1.05129067075378
HES2|ENSG00000069812.11|chr1	4	2	0	1	0	0	0.36441951414999	1	6175.5	-2.52768842903476	2.78694095753809	1.14635737748774	-0.906975952324318
ESPN|ENSG00000187017.18|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
TNFRSF25|ENSG00000215788.11|chr1	4	3	6	10	0	0	0.749479619165739	1	10746	-0.52019758959248	1.62905067235838	3.77575361886627	-0.319325603812795
PLEKHG5|ENSG00000171680.23|chr1	0	4	0	2	7	0	0.648178016074935	1	9619	1.00307817489743	2.19831173983166	2.13014384937682	0.456294781455444
NOL9|ENSG00000162408.11|chr1	896	597	799	767	773	684	0.295662935343328	0.633550617299038	5356	-0.129388229498466	0.123724219965068	746.622187305151	-1.04577931091421
TAS1R1|ENSG00000173662.21|chr1	5	0	0	0	0	0	0.401452760356579	1	6591.5	-3.16986498488858	3.77801378461031	0.793551449668042	-0.839029491581259
ZBTB48|ENSG00000204859.13|chr1	30	34	30	65	25	58	0.232322873210307	0.568178914098015	4556	0.563093861757392	0.471446310397304	39.9559541448136	1.19439658204739
KLHL21|ENSG00000162413.17|chr1	908	694	711	740	849	771	0.62695010467985	0.860985711627451	9349	-0.0547745118695206	0.112699176763376	772.879122649804	-0.486024063729635
PHF13|ENSG00000116273.6|chr1	341	336	216	321	301	275	0.654785671999641	0.875955729590871	9703	-0.0827301083207368	0.185027295285389	296.064447818302	-0.447123805129035
THAP3|ENSG00000041988.16|chr1	241	102	124	197	243	211	0.114216592843211	0.412693163209052	2910	0.413343515905454	0.261689147300985	182.989998288335	1.57952104689325
DNAJC11|ENSG00000007923.17|chr1	148	120	243	111	185	127	0.204633589569	0.535721329972336	4214	-0.370335988279907	0.291957078844693	155.778773791199	-1.26846038378438
CAMTA1|ENSG00000171735.20|chr1	206	148	110	182	226	99	0.894351327900962	0.969030452892111	12483	0.0377830794114814	0.284510526696936	159.189786704955	0.132800286337835
VAMP3|ENSG00000049245.13|chr1	279	250	160	287	285	238	0.469491961466616	0.770641246578523	7358	0.14637367973968	0.202367597608569	246.92436693373	0.723305911961283
PER3|ENSG00000049246.15|chr1	15	8	21	11	7	5	0.206344398027961	1	4242	-1.03748066269133	0.820998591552361	11.1735693863008	-1.26368141598105
UTS2|ENSG00000049247.14|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
TNFRSF9|ENSG00000049249.10|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
PARK7|ENSG00000116288.13|chr1	1084	995	926	897	1004	938	0.0824932841549508	0.347411388772249	2438	-0.17013999172879	0.0979843791491955	969.60262391599	-1.7363991404153
ERRFI1|ENSG00000116285.13|chr1	187	185	158	220	220	221	0.234681614593398	0.570744640173353	4582	0.229136913610337	0.192813642703968	196.854043173114	1.18838537769932
SLC45A1|ENSG00000162426.16|chr1	0	2	0	0	0	0	0.619503544925188	1	9214.5	-2.00268770568795	4.0331714166679	0.357004531046467	-0.496554075884659
RERE|ENSG00000142599.19|chr1	602	433	548	371	431	376	0.000343414775295619	0.00768368545956301	400	-0.512082701588893	0.143034407348179	458.870443933021	-3.58013649360861
ENO1|ENSG00000074800.16|chr1	4494	3149	3557	4040	4063	3884	0.840387326890801	0.950925458512274	11933	0.01528710845375	0.0759049414616512	3828.81166673249	0.201398066573484
CA6|ENSG00000131686.15|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
SLC2A7|ENSG00000197241.4|chr1	0	0	0	0	5	0	0.417925908444821	1	6785	3.06781755584656	3.78731301061047	0.790793867050157	0.810024824262428
SLC2A5|ENSG00000142583.18|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
GPR157|ENSG00000180758.12|chr1	159	127	151	113	73	59	0.000851597341678126	0.0157437254311087	487	-0.933170055881568	0.279772886158913	113.590394266891	-3.33545565724164
H6PD|ENSG00000049239.13|chr1	95	66	58	61	123	75	0.639778034580166	0.867560688976562	9483	0.162477374676346	0.34716707772989	78.6940198617748	0.468009166476206
SPSB1|ENSG00000171621.14|chr1	48	60	45	53	60	56	0.893998580878056	0.969030452892111	12480	0.0489095961984896	0.367061521134079	53.4470786203313	0.133246318075994
SLC25A33|ENSG00000171612.7|chr1	434	483	423	456	411	406	0.225877309094103	0.561340541363289	4470	-0.169423284962469	0.139898166325392	434.096073463519	-1.21104721679056
TMEM201|ENSG00000188807.13|chr1	100	108	65	82	50	70	0.116015181524971	0.415682823489606	2939	-0.523980093858415	0.333379758290543	79.0736788588355	-1.57172138028177
PIK3CD|ENSG00000171608.18|chr1	2	6	7	7	14	10	0.344709111884093	1	5909	0.934654895491847	0.989155791672862	7.61553472491204	0.944901605348897
CLSTN1|ENSG00000171603.18|chr1	257	171	245	241	256	158	0.539863601846803	0.81643518638727	8253	-0.13268639292199	0.216447346137489	219.103338917817	-0.613019264452921
CTNNBIP1|ENSG00000178585.15|chr1	95	40	50	49	66	44	0.466261235783404	0.767563893387008	7329	-0.289415062401613	0.397234021008274	56.5177460396546	-0.728575718834478
LZIC|ENSG00000162441.12|chr1	224	213	248	192	173	197	0.0526860931186879	0.272680218596483	1918	-0.376908248261553	0.194534801997567	207.802628115713	-1.93748493529846
NMNAT1|ENSG00000173614.14|chr1	89	38	45	54	51	87	0.79799718717467	0.936936180414018	11366	0.104305668357397	0.407539574748136	60.0105395917853	0.255939974472072
RBP7|ENSG00000162444.12|chr1	7	16	12	2	0	1	0.00525962767587407	1	781	-3.66169125189782	1.31211096121011	6.56603847455566	-2.79068719044979
UBE4B|ENSG00000130939.20|chr1	141	159	144	96	49	107	0.00294888227335077	0.0407796302967651	656	-0.9055267112717	0.304581758494947	116.918771862107	-2.97301688632388
KIF1B|ENSG00000054523.20|chr1	107	73	78	100	98	95	0.718560921386007	0.905046564667191	10423	0.101286136950228	0.281051564472834	90.8429262758846	0.360382754460767
PGD|ENSG00000142657.21|chr1	230	165	212	212	287	260	0.233979839328344	0.56983200613428	4576	0.239432701757783	0.201175322500639	225.619423871706	1.19016934473671
CENPS-CORT|ENSG00000251503.8|chr1	10	12	10	15	12	7	0.979247875496541	1	13414.5	-0.0206109837522925	0.792368578398199	10.8978632853595	-0.0260118640670461
CENPS|ENSG00000175279.22|chr1	218	178	186	197	151	211	0.504722330912989	0.793508291581002	7815	-0.141323645045321	0.211854762636571	189.31154419934	-0.66707797024019
CORT|ENSG00000241563.4|chr1	10	12	10	15	12	7	0.979247875496541	1	13414.5	-0.0206109837522925	0.792368578398199	10.8978632853595	-0.0260118640670461
DFFA|ENSG00000160049.12|chr1	925	767	912	719	704	639	5.42048532657913e-05	0.00165961947227121	287	-0.42774747252187	0.105964249073358	775.585111388953	-4.03671498889915
PEX14|ENSG00000142655.13|chr1	172	91	127	179	172	164	0.184074479850872	0.512132111187873	3915	0.322374159122111	0.242694287851438	148.631950571442	1.32831374803287
CASZ1|ENSG00000130940.15|chr1	47	39	48	57	29	22	0.364298637088249	0.693457080472305	6172	-0.416465531874865	0.45906464095708	40.0244960268601	-0.907204551861362
TARDBP|ENSG00000120948.19|chr1	553	413	514	422	483	386	0.04248355041657	0.242453538871805	1713	-0.285883436362727	0.140915906871873	459.313935803189	-2.02875206006845
MASP2|ENSG00000009724.18|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
SRM|ENSG00000116649.10|chr1	627	503	394	706	590	591	0.117910945317852	0.418676086403543	2964	0.223678437169041	0.1430532605911	561.455225635831	1.56360250891727
EXOSC10|ENSG00000171824.14|chr1	132	141	106	133	159	155	0.533929527856069	0.812821045553517	8180	0.149728863664617	0.240714382938933	136.809176732959	0.622018766957528
MTOR|ENSG00000198793.14|chr1	150	130	144	131	121	110	0.165839182747303	0.488064994486666	3684	-0.320255183809628	0.231114728306829	130.47422718834	-1.38569785731897
ANGPTL7|ENSG00000171819.5|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
UBIAD1|ENSG00000120942.14|chr1	420	395	399	481	494	432	0.356687240135957	0.687581223872116	6059	0.12024472473688	0.130460306731478	433.319905255566	0.921695860982263
DISP3|ENSG00000204624.8|chr1	4	0	0	0	0	0	0.473871453378342	1	7425	-2.84872793425341	3.97759154592329	0.634841159734434	-0.716194184687747
FBXO2|ENSG00000116661.11|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
FBXO44|ENSG00000132879.14|chr1	48	49	31	34	57	48	0.933751632490898	0.979081560335926	12914	0.0351012289151885	0.422267132716428	44.2439142844508	0.0831256477135307
MAD2L2|ENSG00000116670.16|chr1	80	103	98	126	109	117	0.404755290061752	0.724487177247348	6630	0.226062289054952	0.271331640930732	104.931605869685	0.833158596172216
FBXO6|ENSG00000116663.11|chr1	8	7	0	11	17	1	0.487725248620112	1	7609	0.854298448843147	1.2310993334185	7.07695511212466	0.693931371460451
DRAXIN|ENSG00000162490.7|chr1	3	8	0	8	9	0	0.748342560007655	1	10734	0.489193700210538	1.52479635065957	4.56367144833166	0.320825597463512
AGTRAP|ENSG00000177674.16|chr1	89	66	78	40	116	67	0.699355188353377	0.89610556702301	10225	-0.146616892563584	0.379648611744356	75.5687634144592	-0.386191040946863
C1orf167|ENSG00000215910.8|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
MTHFR|ENSG00000177000.13|chr1	208	128	162	135	99	148	0.0705782211631376	0.320096443799136	2246	-0.458489542685803	0.253563862020554	146.080150417133	-1.80818172996844
CLCN6|ENSG00000011021.23|chr1	33	23	37	35	21	26	0.586564381046359	1	8863	-0.27361787769085	0.503139224892479	29.0158425618384	-0.543821400029629
NPPA|ENSG00000175206.11|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
NPPB|ENSG00000120937.9|chr1	6	4	0	9	0	3	0.910595901947046	1	12655	0.185751176359618	1.65425460290314	3.56516367879842	0.112286933361789
KIAA2013|ENSG00000116685.16|chr1	478	348	348	254	344	214	0.00069925379325972	0.0134695112582435	467	-0.618873676578838	0.182565524151259	329.389499306528	-3.38987155135648
PLOD1|ENSG00000083444.17|chr1	117	88	82	87	85	86	0.401581830051884	0.721771997741039	6600	-0.236126457697531	0.281505242965292	90.2248432833188	-0.838799502312091
MFN2|ENSG00000116688.18|chr1	534	334	399	542	457	455	0.445174970407065	0.752795182731145	7091	0.116206241480915	0.152205265299217	447.994450725717	0.763483715576249
MIIP|ENSG00000116691.11|chr1	55	27	33	59	30	41	0.826467571661294	0.945941793506576	11668	0.0997021425695776	0.454774468885322	40.1877667308408	0.219234256518299
TNFRSF8|ENSG00000120949.15|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
TNFRSF1B|ENSG00000028137.19|chr1	5	0	0	0	0	0	0.401452760356579	1	6591.5	-3.16986498488858	3.77801378461031	0.793551449668042	-0.839029491581259
VPS13D|ENSG00000048707.15|chr1	55	74	94	56	49	47	0.0682343666925279	0.316132365163081	2186	-0.659166890329424	0.361493185136599	62.9150329927743	-1.82345592512441
DHRS3|ENSG00000162496.9|chr1	54	64	51	67	84	58	0.545730833709331	0.819594441887866	8369	0.208143131537863	0.344511048488328	62.471470857751	0.6041696846913
AADACL4|ENSG00000204518.3|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
AADACL3|ENSG00000188984.12|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
CFAP107|ENSG00000157330.10|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
PRAMEF12|ENSG00000116726.5|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
PRAMEF1|ENSG00000116721.9|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
PRAMEF11|ENSG00000239810.3|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
HNRNPCL1|ENSG00000179172.10|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
PRAMEF2|ENSG00000120952.4|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
PRAMEF4|ENSG00000243073.4|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
PRAMEF10|ENSG00000187545.5|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
PRAMEF7|ENSG00000204510.6|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
PRAMEF6|ENSG00000232423.6|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
PRAMEF27|ENSG00000274764.6|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
HNRNPCL3|ENSG00000277058.3|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
PRAMEF25|ENSG00000229571.7|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
HNRNPCL2|ENSG00000275774.3|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
PRAMEF26|ENSG00000280267.6|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
HNRNPCL4|ENSG00000179412.11|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
PRAMEF9|ENSG00000204505.5|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
PRAMEF13|ENSG00000279169.3|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
PRAMEF18|ENSG00000279804.3|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
PRAMEF5|ENSG00000270601.5|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
PRAMEF8|ENSG00000182330.11|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
PRAMEF33|ENSG00000237700.2|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
PRAMEF15|ENSG00000204501.7|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
PRAMEF14|ENSG00000204481.8|chr1	0	0	0	0	3	0	0.559565301256222	1	8523.5	2.33150829867172	3.99581667367999	0.474476320230094	0.583487304117107
PRAMEF19|ENSG00000204480.9|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
PRAMEF17|ENSG00000204479.4|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
PRAMEF20|ENSG00000204478.11|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
LRRC38|ENSG00000162494.6|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
PDPN|ENSG00000162493.17|chr1	108	65	116	82	71	102	0.412895279308103	0.728242341391862	6724	-0.259978782472045	0.317508378572895	90.4232881960312	-0.818809203210863
KAZN|ENSG00000189337.17|chr1	0	0	1	2	0	8	0.188162453152267	1	3973	3.17365209277751	2.41152646015056	1.84117203064215	1.31603453050205
TMEM51|ENSG00000171729.14|chr1	207	170	150	216	191	177	0.765287085859338	0.923892516769312	10924	0.0602849147823636	0.201928938836316	183.27745920034	0.298545196789405
FHAD1|ENSG00000142621.21|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
EFHD2|ENSG00000142634.13|chr1	32	38	32	39	33	54	0.624549769989059	0.860115266959265	9321	0.218774349848492	0.447014331481837	37.9110627891845	0.489412384438016
CTRC|ENSG00000162438.12|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
