rownames(tcReadCount)	DMSO.L10a.1	DMSO.L10a.2	DMSO.L10a.3	TPG.L10a.1	TPG.L10a.2	TPG.L10a.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
DVL1|ENSG00000107404.21|chr1	278	242	210	122	128	148	0.00272270855018517	0.0388546883190078	596	-0.84687840467042	0.282535312169175	187.054920076128	-2.99742498793684
MXRA8|ENSG00000162576.17|chr1	4	0	4	5	0	0	0.897763553294184	1	12176	-0.333556797914907	2.59603455936827	2.12654512083986	-0.128487040633263
AURKAIP1|ENSG00000175756.14|chr1	459	231	440	152	249	274	0.00692540017114456	0.0712424630551742	848	-0.681012512165404	0.252188529672045	289.665706827297	-2.70041033607284
CCNL2|ENSG00000221978.13|chr1	264	206	225	105	209	217	0.18213991059867	0.482489442045096	3859	-0.377889682216841	0.283234190990502	200.046030386427	-1.33419514393837
MRPL20|ENSG00000242485.6|chr1	1783	1894	1898	1386	1689	1515	0.0803742896747394	0.311856780586513	2476	-0.270486363791934	0.154694598866062	1684.85983195564	-1.7485184730084
ANKRD65|ENSG00000235098.9|chr1	5	7	10	1	0	1	0.0649199166031294	1	2223	-3.37146747232398	1.82655255011591	3.9805006117425	-1.84580918414311
TMEM88B|ENSG00000205116.4|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
VWA1|ENSG00000179403.12|chr1	10	0	20	10	5	5	0.782924801335561	1	10831	-0.36629879063676	1.32953217277905	7.8861157560981	-0.275509534960035
ATAD3C|ENSG00000215915.10|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
ATAD3B|ENSG00000160072.20|chr1	49	44	40	25	32	31	0.277821502149309	1	4971	-0.58019732069824	0.534632636047562	36.5229301072139	-1.08522615638942
ATAD3A|ENSG00000197785.14|chr1	89	55	87	84	68	114	0.465502740698658	0.748515778066016	7297	0.291140641071222	0.398923415964496	82.1865072106962	0.729815872972304
TMEM240|ENSG00000205090.9|chr1	1	0	5	0	0	0	0.40776678278804	1	6548.5	-3.27468291887472	3.95574323517268	0.885163798426764	-0.827829999115647
SSU72|ENSG00000160075.12|chr1	277	157	343	197	105	152	0.0508142658885507	0.239935248605984	1986	-0.648033599861489	0.33180679777435	201.245632176027	-1.95304497740337
FNDC10|ENSG00000228594.4|chr1	19	1	10	17	6	2	0.982338251501023	1	13075	-0.027683427820314	1.25052033527319	8.86976170292568	-0.0221375271072791
MIB2|ENSG00000197530.13|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
MMP23B|ENSG00000189409.14|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
CDK11B|ENSG00000248333.9|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
SLC35E2B|ENSG00000189339.12|chr1	99	65	101	33	103	78	0.467290290499963	0.749499826236476	7314	-0.304984619064756	0.419571775835653	76.654915070883	-0.726894983480059
CDK11A|ENSG00000008128.23|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
NADK|ENSG00000008130.15|chr1	67	36	57	93	31	75	0.382628455457867	0.685297767397057	6248	0.45608995182267	0.522401796115759	60.4998340887985	0.873063521630015
CALML6|ENSG00000169885.10|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
TMEM52|ENSG00000178821.13|chr1	1	0	5	11	9	0	0.315997263390031	1	5421	1.89250094465968	1.88737232131118	4.24294612196312	1.00271733525526
CFAP74|ENSG00000142609.20|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
GABRD|ENSG00000187730.9|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
PRKCZ|ENSG00000067606.17|chr1	97	71	159	109	81	136	0.804417617191131	0.930811871765028	11049	0.0955887681869364	0.38600828607942	107.629430355628	0.247633979979563
FAAP20|ENSG00000162585.17|chr1	9	0	14	14	8	7	0.668136962307169	1	9609	0.542000940696349	1.26427094289169	8.38256532004405	0.428706317853562
SKI|ENSG00000157933.10|chr1	1160	810	1057	552	719	702	0.000112432953043108	0.00352646170970571	264	-0.575595132718005	0.149038204604557	815.721366548689	-3.8620643226697
MORN1|ENSG00000116151.14|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
RER1|ENSG00000157916.20|chr1	561	412	484	336	494	388	0.187791099395652	0.490695608331402	3922	-0.234502444630006	0.178038875815469	436.610768910977	-1.31714179589102
PEX10|ENSG00000157911.11|chr1	161	113	138	145	118	157	0.755823755634953	0.910321238170934	10569	0.0974903524037859	0.313504477659898	137.964732228599	0.310969569339125
PLCH2|ENSG00000149527.18|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
PANK4|ENSG00000157881.16|chr1	5	0	0	0	0	0	0.45065002828064	1	7090	-2.99187230659608	3.96625518599612	0.726141954939238	-0.754331772993238
HES5|ENSG00000197921.6|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
TNFRSF14|ENSG00000157873.18|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
PRXL2B|ENSG00000157870.17|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
MMEL1|ENSG00000142606.16|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
TTC34|ENSG00000215912.13|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
ACTRT2|ENSG00000169717.7|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
PRDM16|ENSG00000142611.17|chr1	160	42	126	70	61	64	0.155599576042358	0.44335503878636	3554	-0.619337092325782	0.43614433086453	83.3308758581272	-1.42002784055023
ARHGEF16|ENSG00000130762.15|chr1	0	7	19	9	18	24	0.377947497933522	1	6171	0.993625839988252	1.12696315935391	12.6192430444292	0.881684402671952
MEGF6|ENSG00000162591.17|chr1	0	0	3	0	0	0	0.568029290933681	1	8461.5	-2.2856996142383	4.00328319842482	0.44396124446335	-0.57095626288384
TPRG1L|ENSG00000158109.15|chr1	448	279	404	206	229	221	0.000663896211835569	0.0130082656803601	429	-0.726534998528663	0.21343124447469	290.723104549928	-3.40407047860709
WRAP73|ENSG00000116213.16|chr1	384	328	406	200	403	289	0.135821370772894	0.412818897385999	3309	-0.326969366515001	0.219216848275825	326.596302360776	-1.49153392673358
TP73|ENSG00000078900.15|chr1	163	104	153	130	99	91	0.34927547465524	0.661730222882654	5813	-0.31122375223764	0.332505586699633	121.698182883014	-0.93599555823037
CCDC27|ENSG00000162592.10|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
SMIM1|ENSG00000235169.11|chr1	1	3	5	0	2	0	0.368870077703891	1	6056	-2.33467953777184	2.59815334656633	1.76953714244588	-0.898591894453538
LRRC47|ENSG00000130764.10|chr1	905	792	796	681	707	705	0.20901649144579	0.521252513314161	4156	-0.219442695987583	0.174677356938622	759.882427053474	-1.25627442407828
CEP104|ENSG00000116198.14|chr1	63	21	42	40	40	39	0.971724786086647	0.990338864685212	12954	0.0191137479333121	0.539248674161794	39.5858339515763	0.0354451459023472
DFFB|ENSG00000169598.17|chr1	91	94	91	93	101	117	0.579277793594723	0.82323508470383	8649	0.195829014676527	0.353201488575066	97.7822872884119	0.554439947200016
C1orf174|ENSG00000198912.12|chr1	521	360	492	352	418	435	0.458621926988614	0.744625166656526	7204	-0.137906164322917	0.186078564625459	422.071863366555	-0.741117949832081
NPHP4|ENSG00000131697.18|chr1	36	21	40	8	71	27	0.91009454283922	1	12303	0.078092202167682	0.691575390569851	31.5234509057368	0.112919290120105
KCNAB2|ENSG00000069424.16|chr1	21	1	1	0	0	5	0.31743722368255	1	5436	-1.98857409153294	1.98909485038698	4.26616680360373	-0.999738193051002
RPL22|ENSG00000116251.11|chr1	1052	860	961	728	1259	873	0.982046501295764	0.993699650226524	13069	-0.00347734242140873	0.154526074616697	934.702467627386	-0.0225032728620998
RNF207|ENSG00000158286.13|chr1	6	6	6	0	0	0	0.0261656801387776	1	1439	-5.01019671809896	2.25304574418195	2.96818209379237	-2.22374389469757
ICMT|ENSG00000116237.16|chr1	811	709	1019	546	706	692	0.0343756779497948	0.19237786119936	1637	-0.34942501736733	0.165163016708245	734.365752680467	-2.11563717066622
HES3|ENSG00000173673.8|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
GPR153|ENSG00000158292.7|chr1	30	17	44	15	32	5	0.297016508104963	1	5204	-0.795662139058276	0.762966927900138	22.5002806425811	-1.04285272396816
ACOT7|ENSG00000097021.20|chr1	255	166	206	152	141	184	0.239760876789655	0.557530625036702	4524	-0.327910587753247	0.278934040899002	181.593451678911	-1.17558468911286
HES2|ENSG00000069812.11|chr1	0	0	0	0	0	1	0.807578028220576	1	11123	0.99380616155426	4.0804728567969	0.173380393642944	0.243551714821203
ESPN|ENSG00000187017.18|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
TNFRSF25|ENSG00000215788.11|chr1	7	6	6	0	0	4	0.244966124991542	1	4587	-2.1781208529199	1.87338913690872	3.80693205935199	-1.1626633303287
PLEKHG5|ENSG00000171680.23|chr1	3	0	0	0	1	9	0.468621834300636	1	7332	1.92939256988526	2.66224740857384	2.13607307302495	0.724723240849668
NOL9|ENSG00000162408.11|chr1	669	428	526	418	571	615	0.886077845127122	0.964344691117733	12048	0.0270670843460343	0.188925099342347	527.509607105143	0.143268863905619
TAS1R1|ENSG00000173662.21|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
ZBTB48|ENSG00000204859.13|chr1	70	6	39	62	12	39	0.768371224849496	0.915403314734226	10678	0.226166772560752	0.767952835781345	37.4134525091082	0.294506071236317
KLHL21|ENSG00000162413.17|chr1	783	517	692	567	599	459	0.174838411312899	0.472092325669428	3780	-0.239716686937457	0.176675378522616	591.854777422983	-1.35681999915325
PHF13|ENSG00000116273.6|chr1	388	316	374	220	278	259	0.0203605155805202	0.140782810581485	1293	-0.479060580413472	0.206523931938957	301.141627254339	-2.31963712832598
THAP3|ENSG00000041988.16|chr1	317	109	281	302	158	225	0.7533584312271	0.908880288156124	10540	0.109137116279963	0.347333601013074	228.310682212979	0.314214104139769
DNAJC11|ENSG00000007923.17|chr1	164	95	75	133	77	72	0.710813454619776	0.892241741259603	10091	-0.157003680551053	0.42346009522222	102.685851628845	-0.37076381534525
CAMTA1|ENSG00000171735.20|chr1	89	127	97	147	183	156	0.0648676019268198	0.27610570087427	2222	0.617850935887268	0.334666424108395	133.567335462266	1.84616947318011
VAMP3|ENSG00000049245.13|chr1	310	182	366	244	142	152	0.0743694996566758	0.30013405218587	2373	-0.556453057569795	0.311854861482892	228.622214121739	-1.78433343935644
PER3|ENSG00000049246.15|chr1	0	0	3	1	0	0	0.740864936302019	1	10381	-1.32391826952017	4.00328271421312	0.634697890650818	-0.330708162283861
UTS2|ENSG00000049247.14|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
TNFRSF9|ENSG00000049249.10|chr1	3	0	0	0	0	0	0.572335590602018	1	8538.5	-2.26123279414195	4.00491021918837	0.435685172963543	-0.564615102557831
PARK7|ENSG00000116288.13|chr1	2067	1880	1995	1280	1896	1494	0.0119624947753795	0.101001657525185	1041	-0.340792150439104	0.135598256267895	1742.75224948985	-2.51324876749017
ERRFI1|ENSG00000116285.13|chr1	182	177	233	244	388	243	0.0185643545159044	0.133591685236149	1230	0.569471394695011	0.241899495778702	239.552138232773	2.35416528199787
SLC45A1|ENSG00000162426.16|chr1	0	0	6	0	0	3	0.814559065893105	1	11229	-0.787388268260538	3.35703596911911	1.40806366985553	-0.234548654081639
RERE|ENSG00000142599.19|chr1	512	345	504	353	393	321	0.114535461137051	0.37978936506719	2988	-0.297655391033425	0.188612570522508	396.444692517191	-1.57813124654862
ENO1|ENSG00000074800.16|chr1	5956	2457	5315	3564	2540	3358	0.233018713042584	0.550083379773574	4440	-0.408565711197125	0.342578636970081	3764.07802270996	-1.19261876575452
CA6|ENSG00000131686.15|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
SLC2A7|ENSG00000197241.4|chr1	0	0	1	0	0	0	0.819760673018696	1	11360	-0.929747190088228	4.0804728567969	0.147987081487783	-0.227852805965744
SLC2A5|ENSG00000142583.18|chr1	0	0	0	0	2	0	0.680082259665388	1	9776	1.6738811030643	4.05936104176412	0.279928714549823	0.412350881294575
GPR157|ENSG00000180758.12|chr1	143	122	125	37	89	121	0.105685032540398	0.364310837202567	2862	-0.653671513049872	0.40402569180558	104.339904699519	-1.61789590688808
H6PD|ENSG00000049239.13|chr1	44	31	37	145	85	79	0.000590952504205765	0.0119666856415517	415	1.55266693382894	0.451917194492806	71.3623342197055	3.43573325545074
SPSB1|ENSG00000171621.14|chr1	71	49	53	28	74	29	0.39421079106204	0.695410217722787	6376	-0.426783156070167	0.500915700563092	48.7531466408927	-0.852005947488588
SLC25A33|ENSG00000171612.7|chr1	550	450	679	214	264	303	3.39086911737429e-07	2.6895460912712e-05	104	-1.05787282917716	0.207413194167807	401.328029672422	-5.10031598241187
TMEM201|ENSG00000188807.13|chr1	104	36	110	135	82	111	0.206437684687897	0.517454614913054	4129	0.537085396162737	0.425103838208589	95.1074154062415	1.2634216581672
PIK3CD|ENSG00000171608.18|chr1	10	11	6	0	1	2	0.0480776266585176	1	1950	-3.20740128874254	1.6226190464893	5.04322851808671	-1.97668164667615
CLSTN1|ENSG00000171603.18|chr1	272	164	202	192	146	173	0.405434829451666	0.702907084520132	6511	-0.239344958249264	0.287690085444536	189.489526217242	-0.831954142178488
CTNNBIP1|ENSG00000178585.15|chr1	75	35	74	46	30	49	0.379020144089171	0.683006619214952	6193	-0.439309639605654	0.499383958182678	50.3634830960347	-0.879703147062149
LZIC|ENSG00000162441.12|chr1	334	241	244	91	273	186	0.0471101313205984	0.227391148779178	1931	-0.595641767024255	0.300024753097181	220.988239930358	-1.98530874827958
NMNAT1|ENSG00000173614.14|chr1	90	81	68	64	119	79	0.760134262573745	0.912581506617787	10602	0.116456405026131	0.38144348298472	82.0136366952514	0.305304482108025
RBP7|ENSG00000162444.12|chr1	7	18	22	0	9	0	0.0619630739176298	1	2166	-2.5855624971951	1.38520200594107	9.15866152193612	-1.86655988520501
UBE4B|ENSG00000130939.20|chr1	112	60	118	143	80	84	0.613804525355783	0.844665148561144	9018	0.202989991510004	0.402238977693945	98.8533900483913	0.504650227269758
KIF1B|ENSG00000054523.20|chr1	71	25	53	78	67	46	0.337637308181541	0.65339319001052	5649	0.464977567892486	0.484935545071181	55.4221381055175	0.958844062099498
PGD|ENSG00000142657.21|chr1	375	182	325	310	214	212	0.590967961151939	0.831175929564013	8753	-0.151324581774416	0.281568754061732	265.063465185693	-0.537433857952999
CENPS-CORT|ENSG00000251503.8|chr1	7	9	12	45	13	10	0.124233261413118	1	3147.5	1.39501108587707	0.907474639615823	16.7422672626156	1.53724525730839
CENPS|ENSG00000175279.22|chr1	324	332	338	196	317	209	0.0425683147267413	0.215294928375775	1835	-0.470289723050995	0.231907323030946	281.955090731134	-2.02792096818883
CORT|ENSG00000241563.4|chr1	7	9	12	45	13	10	0.124233261413118	1	3147.5	1.39501108587707	0.907474639615823	16.7422672626156	1.53724525730839
DFFA|ENSG00000160049.12|chr1	914	789	815	425	713	645	0.00583793384150358	0.0642952152984821	786	-0.492314322416625	0.178585179733051	705.005173592245	-2.75674791801053
PEX14|ENSG00000142655.13|chr1	168	92	119	233	218	127	0.036518806133673	0.198186599866229	1693	0.676382642942809	0.323457309428621	157.518312793661	2.09110328697664
CASZ1|ENSG00000130940.15|chr1	20	12	25	3	19	22	0.685934807890435	1	9836	-0.353367400773715	0.873854263243684	16.0679247617592	-0.404377955955769
TARDBP|ENSG00000120948.19|chr1	644	402	729	284	540	444	0.025515462851775	0.162154894502536	1426	-0.449685622094465	0.201336024112643	489.136101772813	-2.23350800770197
MASP2|ENSG00000009724.18|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
SRM|ENSG00000116649.10|chr1	1103	298	966	910	493	497	0.800077567651585	0.930143233665157	10998	-0.144630014402143	0.571103214942421	691.926767645081	-0.253246717262351
EXOSC10|ENSG00000171824.14|chr1	99	100	133	104	108	135	0.752445297544402	0.908548014370551	10532	0.106215014045595	0.336745067569395	112.5671617923	0.315416688393533
MTOR|ENSG00000198793.14|chr1	88	79	56	1	73	79	0.621370183438799	0.84871763535515	9099	-0.615645437422334	1.24647449264484	61.089602704653	-0.493909374844906
ANGPTL7|ENSG00000171819.5|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
UBIAD1|ENSG00000120942.14|chr1	590	469	604	425	589	556	0.758533075052183	0.911587898616762	10590	-0.0520619540225017	0.169358007590953	529.465371571891	-0.307407690743775
DISP3|ENSG00000204624.8|chr1	8	0	0	0	0	0	0.352633052844841	1	5842	-3.66608418649254	3.94417131720153	1.16182712790278	-0.929494155211723
FBXO2|ENSG00000116661.11|chr1	0	0	0	1	0	0	0.807578028220576	1	11123	0.99380616155426	4.0804728567969	0.190736646187468	0.243551714821203
FBXO44|ENSG00000132879.14|chr1	64	36	57	51	35	28	0.477186751142759	0.755142932977926	7436	-0.367465921122989	0.516949981026369	44.4641887038426	-0.710834577057939
MAD2L2|ENSG00000116670.16|chr1	212	46	210	145	94	77	0.366951464111781	0.673661475591122	6036	-0.401345915276809	0.44485325854469	125.297610578585	-0.902198438626227
FBXO6|ENSG00000116663.11|chr1	12	2	17	3	31	7	0.724246098624154	1	10229	0.393845083033205	1.11637349913458	10.7862519330446	0.352789710019554
DRAXIN|ENSG00000162490.7|chr1	16	0	5	0	0	0	0.0432513235351168	1	1847	-5.06534046356486	2.50601273834414	3.06358966324448	-2.02127482676397
AGTRAP|ENSG00000177674.16|chr1	176	73	106	48	61	78	0.0330040995915543	0.187923452296516	1607	-0.846411089922931	0.396997103119243	87.1718356169033	-2.1320334160441
C1orf167|ENSG00000215910.8|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
MTHFR|ENSG00000177000.13|chr1	108	138	161	136	92	168	0.972451251446607	0.990461831483277	12967	0.0126886234620473	0.367423034362786	135.25985018461	0.034534099050303
CLCN6|ENSG00000011021.23|chr1	27	29	20	14	43	73	0.255418579928882	1	4720	0.7546685082245	0.663569449992043	34.0694220833447	1.13728639592065
NPPA|ENSG00000175206.11|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
NPPB|ENSG00000120937.9|chr1	2	9	10	0	1	0	0.0365438689463943	1	1694	-4.31681505611076	2.0646480208422	3.72362584253632	-2.09082372033072
KIAA2013|ENSG00000116685.16|chr1	716	467	718	265	304	292	2.39683934067607e-09	2.70842845496396e-07	73	-1.0850976166742	0.181809039566911	448.051583904572	-5.96833699390869
PLOD1|ENSG00000083444.17|chr1	88	40	119	40	93	77	0.683835266549118	0.880234509652527	9817	-0.179674816781049	0.441206522036416	72.4462642148062	-0.407235178554816
MFN2|ENSG00000116688.18|chr1	448	386	424	388	384	401	0.768988210326516	0.915403314734226	10686	-0.0597933782150592	0.203587536747589	402.858387136882	-0.293698618148673
MIIP|ENSG00000116691.11|chr1	34	44	50	50	40	41	0.892506821545502	0.966689498557478	12116	0.0697856202988268	0.516422244164105	43.4463100065895	0.135132870606268
TNFRSF8|ENSG00000120949.15|chr1	0	0	6	0	0	0	0.407140954341535	1	6532.5	-3.27893699910346	3.95560008787054	0.8879224889267	-0.82893541466894
TNFRSF1B|ENSG00000028137.19|chr1	0	2	0	0	0	0	0.601839648621496	1	8891	-2.09571444137125	4.01664972853586	0.402963086312862	-0.521756832935285
VPS13D|ENSG00000048707.15|chr1	31	62	45	57	45	46	0.859295396895566	0.953295189733509	11799	0.0941485884227189	0.531099273569071	48.7992374809044	0.177271167761209
DHRS3|ENSG00000162496.9|chr1	169	71	175	74	59	58	0.00899101275952445	0.0847210873622053	930	-1.00679928096632	0.385393104602076	97.1749986297981	-2.61239567844852
AADACL4|ENSG00000204518.3|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
AADACL3|ENSG00000188984.12|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
CFAP107|ENSG00000157330.10|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
PRAMEF12|ENSG00000116726.5|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
PRAMEF1|ENSG00000116721.9|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
PRAMEF11|ENSG00000239810.3|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
HNRNPCL1|ENSG00000179172.10|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
PRAMEF2|ENSG00000120952.4|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
PRAMEF4|ENSG00000243073.4|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
PRAMEF10|ENSG00000187545.5|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
PRAMEF7|ENSG00000204510.6|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
PRAMEF6|ENSG00000232423.6|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
PRAMEF27|ENSG00000274764.6|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
HNRNPCL3|ENSG00000277058.3|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
PRAMEF25|ENSG00000229571.7|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
HNRNPCL2|ENSG00000275774.3|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
PRAMEF26|ENSG00000280267.6|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
HNRNPCL4|ENSG00000179412.11|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
PRAMEF9|ENSG00000204505.5|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
PRAMEF13|ENSG00000279169.3|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
PRAMEF18|ENSG00000279804.3|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
PRAMEF5|ENSG00000270601.5|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
PRAMEF8|ENSG00000182330.11|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
PRAMEF33|ENSG00000237700.2|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
PRAMEF15|ENSG00000204501.7|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
PRAMEF14|ENSG00000204481.8|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
PRAMEF19|ENSG00000204480.9|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
PRAMEF17|ENSG00000204479.4|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
PRAMEF20|ENSG00000204478.11|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
LRRC38|ENSG00000162494.6|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
PDPN|ENSG00000162493.17|chr1	177	129	136	156	150	66	0.563570180014825	0.812743079535365	8412	-0.208487453947741	0.360988025405487	134.015463731283	-0.577546730846692
KAZN|ENSG00000189337.17|chr1	0	0	1	0	0	0	0.819760673018696	1	11360	-0.929747190088228	4.0804728567969	0.147987081487783	-0.227852805965744
TMEM51|ENSG00000171729.14|chr1	163	157	259	246	309	290	0.0207585652928291	0.142341982627221	1304	0.584830728117615	0.252916501328684	234.083999628433	2.31234705938614
FHAD1|ENSG00000142621.21|chr1	0	0	0	0	8	0	0.35523603072372	1	5888	3.64820536050314	3.94622069413697	1.11971485819929	0.924480824380502
EFHD2|ENSG00000142634.13|chr1	66	86	50	46	61	27	0.205058339004238	0.515394953822657	4116	-0.634204573617189	0.5004489801699	56.3048227377928	-1.26727118796781
