rownames(readCount)	DMSO.L10a.1	DMSO.L10a.2	DMSO.L10a.3	TPG.L10a.1	TPG.L10a.2	TPG.L10a.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
LRRC47|ENSG00000130764.10|chr1	2542	2005	2230	2326	2842	2678	0.0873109203212424	0.291522552463538	3393	0.243465595329647	0.142397822881741	2408.89709222066	1.70975644432317
CEP104|ENSG00000116198.14|chr1	197	92	179	140	188	133	0.88557748194644	0.953854129259201	13062	0.0430978546994198	0.299493493479423	149.712004569751	0.143902474136324
DFFB|ENSG00000169598.17|chr1	224	197	304	257	392	345	0.0399754389602721	0.185162527875699	2392	0.4827918690876	0.235049296627794	280.912678284141	2.05400261142714
C1orf174|ENSG00000198912.12|chr1	587	434	652	542	724	650	0.172501782970228	0.432044224624711	4698	0.237270020338392	0.173924972568173	586.590345138349	1.36420904275486
NPHP4|ENSG00000131697.18|chr1	108	35	89	47	134	100	0.464584784078621	0.72267199127704	8393	0.324674382187442	0.443957717405423	80.9652560995188	0.731318252749166
KCNAB2|ENSG00000069424.16|chr1	42	11	40	24	20	16	0.471818348012578	1	8476	-0.501102327479243	0.696436234377621	24.3864256080062	-0.719523630080877
RPL22|ENSG00000116251.11|chr1	5081	4604	5130	4476	6603	5059	0.333850376165475	0.614516013170423	6747	0.131383008078499	0.135952735603474	5079.75349819479	0.966387380844592
RNF207|ENSG00000158286.13|chr1	23	21	15	2	17	22	0.530162433476787	1	9210	-0.564169815719652	0.898705786031571	16.3664076475155	-0.62775807665695
ICMT|ENSG00000116237.16|chr1	2068	1840	2227	1485	1869	1633	0.0578507556700592	0.23028407550738	2812	-0.272909313722373	0.143876744219823	1828.59306859812	-1.89682714327624
HES3|ENSG00000173673.8|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
GPR153|ENSG00000158292.7|chr1	190	91	214	151	135	117	0.547080657330159	0.776413038421907	9393	-0.197412452215161	0.327851177135039	145.579378015957	-0.602140440489705
ACOT7|ENSG00000097021.20|chr1	1886	1470	2088	1582	1618	1497	0.304759347412289	0.584528184351213	6421	-0.15892362881835	0.154853976180658	1666.83379361239	-1.02628058212044
HES2|ENSG00000069812.11|chr1	0	1	10	0	10	1	0.968398117189895	1	13825	-0.0839249186299511	2.11838277641654	3.25437632442632	-0.0396174475945838
ESPN|ENSG00000187017.18|chr1	0	0	2	0	0	0	0.673045733692925	1	10755	-1.70876010319023	4.04946690533351	0.295974162975567	-0.421971618273912
TNFRSF25|ENSG00000215788.11|chr1	14	15	7	0	14	30	0.831598382995915	1	12487	0.242332366960942	1.13957230244261	13.2522430027279	0.212652033084268
PLEKHG5|ENSG00000171680.23|chr1	3	0	2	0	13	9	0.242254755928376	1	5585	2.17754651257277	1.86215421429109	4.11161952329945	1.16936959133739
NOL9|ENSG00000162408.11|chr1	1906	1360	1854	1401	2209	1902	0.344419440128368	0.624001335313623	6888	0.135337149368741	0.143142858592379	1731.36107623173	0.945469097792257
TAS1R1|ENSG00000173662.21|chr1	0	0	4	0	10	0	0.673330260576528	1	10769	1.23738177145762	2.93509264704211	1.99159189870025	0.42158184434301
ZBTB48|ENSG00000204859.13|chr1	95	21	69	101	54	71	0.373905408502988	0.649352183121146	7278	0.458344470942739	0.515467698437421	67.3714026792161	0.889181751508689
KLHL21|ENSG00000162413.17|chr1	864	599	790	641	673	563	0.236624087065256	0.517347656911291	5506	-0.210473764602497	0.177845052635283	677.145932812711	-1.18346707700735
PHF13|ENSG00000116273.6|chr1	463	360	450	294	361	345	0.121049434247865	0.354918990006294	3930	-0.310623994967487	0.200352972674051	372.788229995365	-1.55038375933076
THAP3|ENSG00000041988.16|chr1	399	154	382	467	342	342	0.142538794954318	0.391322830099097	4245	0.426507113867171	0.290852785627852	341.743269362029	1.46640202515677
DNAJC11|ENSG00000007923.17|chr1	751	304	624	606	524	325	0.709743865995149	0.870081186533536	11171	-0.101655843020077	0.273121476720189	507.937208335421	-0.37220010758884
CAMTA1|ENSG00000171735.20|chr1	127	146	146	178	235	182	0.0784064098707849	0.275602375447054	3214	0.507274956976177	0.288223058351339	167.864403477501	1.76000823764009
VAMP3|ENSG00000049245.13|chr1	1273	730	1336	833	565	653	0.00950789543965263	0.0743045603005635	1371	-0.595361730563189	0.229583013566299	880.848894282731	-2.59323075045907
PER3|ENSG00000049246.15|chr1	7	20	17	21	27	3	0.87636435892301	1	12980	0.146454677624898	0.941348489497062	15.8666583826241	0.155579659667956
UTS2|ENSG00000049247.14|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
TNFRSF9|ENSG00000049249.10|chr1	7	0	0	0	0	0	0.379015535493884	1	7337	-3.47437967123762	3.94945282695736	1.01659873691493	-0.879711652085806
PARK7|ENSG00000116288.13|chr1	11455	11089	11838	7153	9863	8227	0.00181707521999161	0.0240671146957902	796	-0.43751903806566	0.140293052309324	9820.89930596174	-3.11860801988255
ERRFI1|ENSG00000116285.13|chr1	201	191	262	280	446	290	0.00683331579218503	0.0596852809613203	1228	0.644691897653192	0.238345744275909	272.55717511479	2.70486011659976
SLC45A1|ENSG00000162426.16|chr1	4	0	8	0	1	3	0.528023484863601	1	9187	-1.42871551918069	2.26411492130598	2.4249157540574	-0.631026060442457
RERE|ENSG00000142599.19|chr1	901	667	808	701	807	608	0.456302515743619	0.717086233540849	8270	-0.128543488598076	0.172553394113325	736.885436040697	-0.744949059151248
ENO1|ENSG00000074800.16|chr1	58947	27691	55804	39288	30088	34843	0.0894828381980922	0.297056729553169	3415	-0.33596612272082	0.197844519232409	40144.2764632515	-1.69813206867843
CA6|ENSG00000131686.15|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
SLC2A7|ENSG00000197241.4|chr1	11	0	2	0	0	0	0.139842164071359	1	4204	-4.3717672627546	2.96114149561575	1.89348646384189	-1.47637904815674
SLC2A5|ENSG00000142583.18|chr1	19	0	0	0	2	0	0.217470378056866	1	5288	-3.23664479134882	2.62441471852881	3.03926814331893	-1.233282517621
GPR157|ENSG00000180758.12|chr1	173	196	158	78	162	169	0.252666467109964	0.53530682004504	5726	-0.391164649694769	0.341958010063598	154.849823781443	-1.14389673054308
H6PD|ENSG00000049239.13|chr1	103	87	152	194	158	136	0.0795156274657185	0.2783716510201	3227	0.585539535234273	0.333925510375376	137.678466257746	1.75350345224014
SPSB1|ENSG00000171621.14|chr1	84	51	72	40	83	45	0.504422474860402	0.748990568489305	8893	-0.289053532884881	0.433008182583198	60.1784386263264	-0.667547507209847
SLC25A33|ENSG00000171612.7|chr1	810	597	914	420	550	541	0.00128295016182343	0.0186667710693448	723	-0.573586048647654	0.178145227396623	624.06825130515	-3.21976657488904
TMEM201|ENSG00000188807.13|chr1	185	92	221	252	189	207	0.119715225383889	0.352698427619087	3909	0.492736407390445	0.316674747059604	188.517339160233	1.555970003815
PIK3CD|ENSG00000171608.18|chr1	46	25	22	8	18	19	0.149593274960909	1	4359	-1.02500094168717	0.711327255442944	22.3127394367471	-1.4409695872667
CLSTN1|ENSG00000171603.18|chr1	936	436	794	606	574	503	0.208074440026758	0.481377404635982	5153	-0.272392286998058	0.216377051789083	624.417756149935	-1.2588778927609
CTNNBIP1|ENSG00000178585.15|chr1	453	393	437	252	300	275	0.00411430771027684	0.0422570299808473	1033	-0.605631949226479	0.211075857957617	347.375612461659	-2.86926205150419
LZIC|ENSG00000162441.12|chr1	883	695	698	411	829	587	0.109639506432042	0.33468224077963	3750	-0.324599813230102	0.202898272663074	667.758829446821	-1.59981555766678
NMNAT1|ENSG00000173614.14|chr1	162	135	149	155	222	159	0.307701947016016	0.587435279081551	6458	0.280253426178487	0.274743202174906	160.980832871145	1.02005590660647
RBP7|ENSG00000162444.12|chr1	96	78	141	41	68	63	0.0322470478877052	0.160141335759583	2216	-0.837540672589614	0.391130181367918	78.784407978698	-2.14133480996134
UBE4B|ENSG00000130939.20|chr1	534	381	524	419	354	325	0.149124049439082	0.400619118601659	4353	-0.321986518353921	0.223193737292529	417.676324591534	-1.44263240653527
KIF1B|ENSG00000054523.20|chr1	245	112	204	230	263	170	0.270952949631372	0.555224498757259	5950	0.31416398070344	0.28537773762868	198.490974754771	1.10087066816759
PGD|ENSG00000142657.21|chr1	1959	797	1811	1492	1045	1133	0.439271014030723	0.703069470049006	8073	-0.186719475982363	0.241419042342616	1340.36962787668	-0.773424805974397
CENPS-CORT|ENSG00000251503.8|chr1	58	38	49	80	32	41	0.71804173871526	0.875771630157992	11241.5	0.194649674106758	0.539080494217706	50.1772995772962	0.36107719755141
CENPS|ENSG00000175279.22|chr1	1113	1132	1242	644	991	780	0.00247563466743475	0.0296448695084295	881	-0.529810616496732	0.175068552211862	970.292046476044	-3.02630375246135
CORT|ENSG00000241563.4|chr1	58	38	49	80	32	41	0.71804173871526	0.875771630157992	11241.5	0.194649674106758	0.539080494217706	50.1772995772962	0.36107719755141
DFFA|ENSG00000160049.12|chr1	2794	2513	2764	1974	3174	2588	0.703749732668402	0.867188168544756	11110	-0.0567313999929917	0.149189656809114	2590.59700391696	-0.3802636268919
PEX14|ENSG00000142655.13|chr1	244	116	197	354	361	223	0.00318964579303836	0.0353068992256024	956	0.828982551481303	0.281121162710545	244.672774969257	2.94884434700087
CASZ1|ENSG00000130940.15|chr1	36	29	30	27	48	38	0.641436437578954	0.830790072547744	10442	0.255889737112858	0.549483540014377	33.9674328264218	0.465691360120018
TARDBP|ENSG00000120948.19|chr1	1748	1419	1993	1015	1656	1610	0.143926678390641	0.393127193836255	4270	-0.24420387638653	0.167111439167699	1539.22089588356	-1.46132351922041
MASP2|ENSG00000009724.18|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
SRM|ENSG00000116649.10|chr1	8070	2815	6547	4186	2715	2927	0.108462413701031	0.332734152347249	3728	-0.683919422712291	0.426080149327639	4393.94632489282	-1.60514265635591
EXOSC10|ENSG00000171824.14|chr1	811	711	787	703	1033	994	0.144250762057472	0.393631509799254	4276	0.258045765267758	0.176726358801123	828.510590022112	1.46014305403162
MTOR|ENSG00000198793.14|chr1	262	251	319	153	318	289	0.624398986247771	0.821291576429969	10243	-0.130692387938901	0.266923209016438	259.627891008598	-0.489625418563181
ANGPTL7|ENSG00000171819.5|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
UBIAD1|ENSG00000120942.14|chr1	1001	719	990	816	1009	884	0.778333988728906	0.909806958934801	11776	0.0430075823959185	0.152785041083821	886.879467340937	0.28149079314855
DISP3|ENSG00000204624.8|chr1	10	6	0	0	19	7	0.727680808397027	1	11318	0.55716876689591	1.60008388277526	6.53415871254098	0.34821222368013
FBXO2|ENSG00000116661.11|chr1	6	12	0	12	0	1	0.812553671902088	1	12189	-0.421654016739064	1.77813359545303	5.75136901169682	-0.23713292286772
FBXO44|ENSG00000132879.14|chr1	217	92	163	142	76	88	0.20276500978044	0.474990417249816	5090	-0.493647136996414	0.387565319975917	127.152126649356	-1.27371338856399
MAD2L2|ENSG00000116670.16|chr1	1436	497	1477	1293	632	607	0.646874983441053	0.833023360999615	10498	-0.260586136504688	0.568831456396203	967.583072024158	-0.458107816602857
FBXO6|ENSG00000116663.11|chr1	62	14	26	54	41	10	0.810510015144425	0.924383831753917	12169	0.171855741903841	0.716758069968803	33.444687442943	0.239768129727958
DRAXIN|ENSG00000162490.7|chr1	22	12	15	25	9	1	0.734528750857242	1	11373	-0.348813839837147	1.02862320307659	14.0340851057304	-0.339107497083336
AGTRAP|ENSG00000177674.16|chr1	636	285	445	328	339	277	0.0606418719546591	0.236071766702894	2876	-0.451661755822576	0.240745333887279	373.677653834697	-1.8760976527755
C1orf167|ENSG00000215910.8|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
MTHFR|ENSG00000177000.13|chr1	262	226	361	266	281	258	0.917580778151787	0.968060760059853	13362	-0.0250146122017692	0.241730125143906	271.806077449255	-0.103481567251403
CLCN6|ENSG00000011021.23|chr1	30	31	23	31	69	95	0.029289580683055	0.150860208929472	2134	1.20291243025124	0.551904339728219	46.0479965215639	2.17956689893687
NPPA|ENSG00000175206.11|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
NPPB|ENSG00000120937.9|chr1	2	9	10	0	1	0	0.0358459009428382	1	2287	-4.31675442739715	2.05689893811969	3.72362584253632	-2.09867113419938
KIAA2013|ENSG00000116685.16|chr1	1124	787	1020	428	575	538	7.99016547864126e-08	8.83508297712737e-06	94	-0.888638814143414	0.165563773289821	728.142950833205	-5.36735057727782
PLOD1|ENSG00000083444.17|chr1	514	443	704	360	517	483	0.209958064669191	0.483452397911293	5189	-0.25412030099055	0.202699370952064	492.856117421612	-1.25368075784826
MFN2|ENSG00000116688.18|chr1	1550	1334	1399	1089	1466	1284	0.36770782946282	0.644173722360394	7200	-0.140436637436608	0.155906412215914	1336.43469250396	-0.900775249975719
MIIP|ENSG00000116691.11|chr1	137	141	214	206	243	228	0.0736118475610281	0.264656362348435	3134	0.496992946888156	0.277802027459737	192.808240271791	1.78901842953679
TNFRSF8|ENSG00000120949.15|chr1	0	0	6	0	0	0	0.407140954341535	1	7689	-3.27893699910346	3.95560008787054	0.8879224889267	-0.82893541466894
TNFRSF1B|ENSG00000028137.19|chr1	10	2	0	0	0	0	0.146247595524858	1	4303	-4.33747381140311	2.98536142175927	1.85524699619134	-1.45291413622108
VPS13D|ENSG00000048707.15|chr1	94	114	88	116	178	118	0.19296101950301	0.461670068038487	4959	0.45121493225393	0.346590001264724	117.141220846164	1.30186944403308
DHRS3|ENSG00000162496.9|chr1	401	215	414	227	163	172	0.00645566327752486	0.057252699749653	1209	-0.768973033218375	0.282327431157651	258.754604927654	-2.72369223941609
AADACL4|ENSG00000204518.3|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
AADACL3|ENSG00000188984.12|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
CFAP107|ENSG00000157330.10|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
PRAMEF12|ENSG00000116726.5|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
PRAMEF1|ENSG00000116721.9|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
PRAMEF11|ENSG00000239810.3|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
HNRNPCL1|ENSG00000179172.10|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
PRAMEF2|ENSG00000120952.4|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
PRAMEF4|ENSG00000243073.4|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
PRAMEF10|ENSG00000187545.5|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
PRAMEF7|ENSG00000204510.6|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
PRAMEF6|ENSG00000232423.6|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
PRAMEF27|ENSG00000274764.6|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
HNRNPCL3|ENSG00000277058.3|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
PRAMEF25|ENSG00000229571.7|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
HNRNPCL2|ENSG00000275774.3|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
PRAMEF26|ENSG00000280267.6|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
HNRNPCL4|ENSG00000179412.11|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
PRAMEF9|ENSG00000204505.5|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
PRAMEF13|ENSG00000279169.3|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
PRAMEF18|ENSG00000279804.3|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
PRAMEF5|ENSG00000270601.5|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
PRAMEF8|ENSG00000182330.11|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
PRAMEF33|ENSG00000237700.2|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
PRAMEF15|ENSG00000204501.7|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
PRAMEF14|ENSG00000204481.8|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
PRAMEF19|ENSG00000204480.9|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
PRAMEF17|ENSG00000204479.4|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
PRAMEF20|ENSG00000204478.11|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
LRRC38|ENSG00000162494.6|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
