rownames(readCount)	DMSO.P0.1	DMSO.P0.2	DMSO.P0.3	DMSO.L10a.1	DMSO.L10a.2	DMSO.L10a.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
GPR157|ENSG00000180758.12|chr1	91	135	104	173	196	158	0.096898286350122	1	2636	0.505037061993084	0.304224465645585	140.044078409955	1.66008036507308
H6PD|ENSG00000049239.13|chr1	55	99	147	103	87	152	0.877623727279533	1	12677	-0.0613708085111762	0.398557668664272	105.571581747029	-0.153982254856253
SPSB1|ENSG00000171621.14|chr1	24	77	52	84	51	72	0.609066321840176	1	9460	0.238384427235958	0.466134759017725	57.4091396484245	0.511406675053155
SLC25A33|ENSG00000171612.7|chr1	561	714	623	810	597	914	0.664722142827985	0.873466040319849	10120	0.0662540226687138	0.15286938072117	684.882383089103	0.433402832903207
TMEM201|ENSG00000188807.13|chr1	121	179	192	185	92	221	0.43617223817743	1	7283	-0.242381399753856	0.311274864835993	160.695980746304	-0.778673215010675
PIK3CD|ENSG00000171608.18|chr1	21	27	22	46	25	22	0.7581189593568	1	11212	0.189885643682436	0.616608194469491	26.3500488464449	0.307951865358856
CLSTN1|ENSG00000171603.18|chr1	789	850	663	936	436	794	0.0623608496332797	0.282779372702752	2005	-0.336584424739757	0.180598043769797	726.534005615771	-1.86372132119433
CTNNBIP1|ENSG00000178585.15|chr1	254	387	262	453	393	437	0.102874371339332	0.365405046892895	2720	0.317261732390778	0.194510748010478	353.699771375634	1.63107558649504
LZIC|ENSG00000162441.12|chr1	450	566	459	883	695	698	0.0103415682802373	0.110091836288295	762	0.422587788949868	0.164803352048551	607.557347847556	2.56419413620527
NMNAT1|ENSG00000173614.14|chr1	72	114	63	162	135	149	0.0366690361246475	1	1473	0.658267209778015	0.315046314325505	111.23190543638	2.08942996583637
RBP7|ENSG00000162444.12|chr1	138	136	58	96	78	141	0.446936035593571	1	7434	-0.284271620998316	0.373779456110553	105.181891648407	-0.760533026497413
UBE4B|ENSG00000130939.20|chr1	336	400	306	534	381	524	0.15099427536638	0.450804712714288	3449	0.248161401091619	0.172810934889199	400.678918650025	1.43602834653219
KIF1B|ENSG00000054523.20|chr1	154	160	95	245	112	204	0.46984784451723	1	7704	0.21636840530277	0.299377929264078	154.627754272076	0.722726641321358
PGD|ENSG00000142657.21|chr1	1571	1756	1657	1959	797	1811	0.0326997039909218	0.202719707714181	1382	-0.394944594438024	0.184920699770618	1554.12207176316	-2.13575113509697
CENPS-CORT|ENSG00000251503.8|chr1	30	16	64	58	38	49	0.862565420783989	1	12521.5	0.102425566928989	0.59168107102334	42.3936464662558	0.17310941982957
CENPS|ENSG00000175279.22|chr1	780	1086	862	1113	1132	1242	0.281250014732183	0.601251279213156	5249	0.164381321662485	0.152555871788968	1015.71336993368	1.07751553404562
CORT|ENSG00000241563.4|chr1	30	16	64	58	38	49	0.862565420783989	1	12521.5	0.102425566928989	0.59168107102334	42.3936464662558	0.17310941982957
DFFA|ENSG00000160049.12|chr1	1814	2475	1813	2794	2513	2764	0.079298253458466	0.317916914088618	2343	0.211228432904367	0.120373695136924	2305.69501619945	1.75477235839688
PEX14|ENSG00000142655.13|chr1	268	217	251	244	116	197	0.0126478029776183	0.123846986066129	841	-0.669296925228346	0.268412860281169	214.608809178315	-2.49353523719855
CASZ1|ENSG00000130940.15|chr1	24	15	10	36	29	30	0.268757088912597	1	5055	0.738937748018728	0.668159978618281	23.2413375002533	1.10592937569654
TARDBP|ENSG00000120948.19|chr1	1077	1468	1037	1748	1419	1993	0.0103012160146323	0.109846300220756	760	0.321143209284769	0.125175155173066	1409.15263966233	2.56555071843738
MASP2|ENSG00000009724.18|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
SRM|ENSG00000116649.10|chr1	7125	9546	7350	8070	2815	6547	0.0141130906422499	0.130993334271024	894	-0.725137749541119	0.295447371196906	6762.55355615954	-2.45437198037494
EXOSC10|ENSG00000171824.14|chr1	744	695	760	811	711	787	0.372680181529447	0.687188358685284	6429	-0.150866902479459	0.169234950843188	746.32382196389	-0.891464214264176
MTOR|ENSG00000198793.14|chr1	199	256	180	262	251	319	0.389729593725312	0.699173708650821	6665	0.193274173913995	0.224709231100472	238.433623170006	0.860107851232774
ANGPTL7|ENSG00000171819.5|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
UBIAD1|ENSG00000120942.14|chr1	909	762	603	1001	719	990	0.887237603379262	0.966809668164239	12805	0.0242210812083495	0.170810993559763	812.799679587981	0.141800481945415
DISP3|ENSG00000204624.8|chr1	0	1	0	10	6	0	0.127321010130503	1	3109	3.70615136866686	2.43065875323925	2.63675910901695	1.52475182447055
FBXO2|ENSG00000116661.11|chr1	11	11	1	6	12	0	0.787928504491586	1	11575	-0.384854183043808	1.43067655256358	6.96930037944237	-0.269001531026842
FBXO44|ENSG00000132879.14|chr1	133	212	102	217	92	163	0.653895028852409	1	10006	-0.14102023926311	0.314526155535801	146.660214557581	-0.448357749526042
MAD2L2|ENSG00000116670.16|chr1	1577	2020	1488	1436	497	1477	0.0173532731393395	0.14476981443884	996	-0.843432188562331	0.354511972156594	1388.11706587722	-2.37913598074418
FBXO6|ENSG00000116663.11|chr1	34	23	82	62	14	26	0.223896115946103	1	4478	-0.795194672309321	0.653817622979061	40.5824571536025	-1.21623315793491
DRAXIN|ENSG00000162490.7|chr1	28	26	17	22	12	15	0.273227495276984	1	5116	-0.762661457472506	0.696074786814549	19.8446041493293	-1.09566022490583
AGTRAP|ENSG00000177674.16|chr1	456	636	438	636	285	445	0.0530465824010466	0.259330102390873	1821	-0.397166569003547	0.205302685470681	469.785715095283	-1.93454151899181
C1orf167|ENSG00000215910.8|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
MTHFR|ENSG00000177000.13|chr1	270	362	273	262	226	361	0.157924837422286	0.460171583083329	3556	-0.303688332209419	0.215063725644678	287.18870153271	-1.41208533098308
CLCN6|ENSG00000011021.23|chr1	0	8	19	30	31	23	0.139292124410178	1	3272	1.41828546535955	0.959317199698955	18.0121064185864	1.47843222846899
NPPA|ENSG00000175206.11|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
NPPB|ENSG00000120937.9|chr1	0	3	9	2	9	10	0.688708142967358	1	10398	0.601920177382584	1.50251350205776	5.55678002742201	0.400608830841271
KIAA2013|ENSG00000116685.16|chr1	674	1047	759	1124	787	1020	0.814675416145565	0.939735864239326	11876	0.0339749052925157	0.144944897943912	876.291321791892	0.234398766527558
PLOD1|ENSG00000083444.17|chr1	529	601	387	514	443	704	0.676097894896874	0.876554644738179	10262	-0.0787036584889435	0.188379198567964	517.082248360666	-0.417793785551904
MFN2|ENSG00000116688.18|chr1	945	1155	887	1550	1334	1399	0.0166299261113067	0.142892184580903	966	0.321721870657156	0.13434246305817	1181.36815051533	2.39478913318607
MIIP|ENSG00000116691.11|chr1	203	208	53	137	141	214	0.812207641691722	1	11857	-0.093009759658664	0.391489822840603	154.846784392612	-0.237578997542762
TNFRSF8|ENSG00000120949.15|chr1	0	0	0	0	0	6	0.430705396938737	1	7195	3.11647005823843	3.95498581497923	0.842489677340203	0.787985141801272
TNFRSF1B|ENSG00000028137.19|chr1	0	0	0	10	2	0	0.162787831241598	1	3637.5	4.16194782037185	2.98185807854107	1.74330251139709	1.39575650844126
VPS13D|ENSG00000048707.15|chr1	64	89	66	94	114	88	0.468627034146224	1	7691	0.268872259945368	0.371004252055338	84.7323156031971	0.724714766625542
DHRS3|ENSG00000162496.9|chr1	244	312	316	401	215	414	0.96205225766217	0.988960138987054	13645	-0.0108110622252403	0.227226331963246	307.595870933455	-0.0475783864124913
AADACL4|ENSG00000204518.3|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
AADACL3|ENSG00000188984.12|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
CFAP107|ENSG00000157330.10|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
PRAMEF12|ENSG00000116726.5|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
PRAMEF1|ENSG00000116721.9|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
PRAMEF11|ENSG00000239810.3|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
HNRNPCL1|ENSG00000179172.10|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
PRAMEF2|ENSG00000120952.4|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
PRAMEF4|ENSG00000243073.4|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
PRAMEF10|ENSG00000187545.5|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
PRAMEF7|ENSG00000204510.6|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
PRAMEF6|ENSG00000232423.6|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
PRAMEF27|ENSG00000274764.6|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
HNRNPCL3|ENSG00000277058.3|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
PRAMEF25|ENSG00000229571.7|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
HNRNPCL2|ENSG00000275774.3|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
PRAMEF26|ENSG00000280267.6|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
HNRNPCL4|ENSG00000179412.11|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
PRAMEF9|ENSG00000204505.5|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
PRAMEF13|ENSG00000279169.3|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
PRAMEF18|ENSG00000279804.3|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
PRAMEF5|ENSG00000270601.5|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
PRAMEF8|ENSG00000182330.11|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
PRAMEF33|ENSG00000237700.2|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
PRAMEF15|ENSG00000204501.7|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
PRAMEF14|ENSG00000204481.8|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
PRAMEF19|ENSG00000204480.9|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
PRAMEF17|ENSG00000204479.4|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
PRAMEF20|ENSG00000204478.11|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
LRRC38|ENSG00000162494.6|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
PDPN|ENSG00000162493.17|chr1	541	628	346	746	591	605	0.381683939878671	0.693301313065171	6555	0.168108493243377	0.192168401829749	560.814655180315	0.874797790077436
