rownames(readCount)	DMSO.Total.1	DMSO.Total.2	DMSO.Total.3	TPG.Total.1	TPG.Total.2	TPG.Total.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
SLC25A33|ENSG00000171612.7|chr1	692	812	734	836	761	647	0.428191024832255	0.663241899034248	8219	-0.0968727114549954	0.12226910672954	743.631332803703	-0.792290988673685
TMEM201|ENSG00000188807.13|chr1	196	207	134	143	180	192	0.541594499698069	0.750104747186839	9494	-0.143902259145076	0.235749370967187	174.831131894049	-0.610403576284007
PIK3CD|ENSG00000171608.18|chr1	32	18	31	24	32	20	0.733360730118653	1	11714	-0.180017858712896	0.52844091974927	25.9278747090454	-0.340658438786893
CLSTN1|ENSG00000171603.18|chr1	768	710	741	687	843	617	0.234505128569186	0.471370001169921	5991	-0.141356561475386	0.11890356565672	723.586988482911	-1.18883366276406
CTNNBIP1|ENSG00000178585.15|chr1	309	317	274	242	326	281	0.320484684979642	0.564280011352835	7004	-0.173952780009362	0.175097504533874	290.607755330821	-0.993462359571835
LZIC|ENSG00000162441.12|chr1	550	580	555	541	516	525	0.133602715395324	0.333361288684963	4651	-0.184348583012785	0.122895358690568	543.049783568014	-1.50004511949835
NMNAT1|ENSG00000173614.14|chr1	131	100	108	128	121	123	0.841471433969194	0.931108136590413	12904	0.0485783538194969	0.242877565784203	117.480975900038	0.200011695862676
RBP7|ENSG00000162444.12|chr1	62	75	64	56	27	30	0.019229973745216	0.0870033042908555	2419	-0.9363787431401	0.399983644273542	52.5432733471367	-2.34104258148047
UBE4B|ENSG00000130939.20|chr1	562	529	529	464	391	381	0.000152507868873239	0.00207265828980871	784	-0.483662489016942	0.127718218842865	475.191050728748	-3.78694984473597
KIF1B|ENSG00000054523.20|chr1	282	231	250	279	293	264	0.790946904734884	0.901539117595862	12228	0.0433167777496897	0.163409463606784	264.347623423056	0.265081206397714
PGD|ENSG00000142657.21|chr1	1244	1073	1286	1274	1265	1074	0.336065706554074	0.579655854559788	7197	-0.0896740208609531	0.0932193441649639	1195.10949607995	-0.961967944145404
CENPS-CORT|ENSG00000251503.8|chr1	38	65	47	46	60	40	0.71638064981108	0.860060886708773	11534.5	-0.146724386782267	0.403865425749246	49.3134671242024	-0.363300192161946
CENPS|ENSG00000175279.22|chr1	803	719	585	704	641	700	0.289903889920771	0.534726631435716	6639	-0.12841656250405	0.121338582032896	687.922113059186	-1.05833248050677
CORT|ENSG00000241563.4|chr1	38	65	47	46	60	40	0.71638064981108	0.860060886708773	11534.5	-0.146724386782267	0.403865425749246	49.3134671242024	-0.363300192161946
DFFA|ENSG00000160049.12|chr1	2513	2381	2306	2440	2334	2177	0.0234026372955739	0.0998123342456421	2578	-0.142909405903293	0.0630446457975695	2346.35571118845	-2.26679687220643
PEX14|ENSG00000142655.13|chr1	260	188	227	290	264	296	0.160899713207332	0.374301310421011	5054	0.248867688490184	0.17750246420414	251.650718801093	1.40205201998756
CASZ1|ENSG00000130940.15|chr1	71	66	76	107	65	59	0.963291485806964	0.984968800486607	14063	0.015269032405057	0.331765693538029	73.2893003046232	0.0460235422241051
TARDBP|ENSG00000120948.19|chr1	1410	1210	1272	1171	1249	951	0.00120062268723408	0.010627920058317	1203	-0.300058841373425	0.0926470074326578	1204.15116772433	-3.23873214784113
MASP2|ENSG00000009724.18|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
SRM|ENSG00000116649.10|chr1	4557	3723	3114	3608	3655	3232	0.0113603443118825	0.0594522813790906	2073	-0.20377325865876	0.0804977778154145	3621.24037170737	-2.53141470719879
EXOSC10|ENSG00000171824.14|chr1	848	782	740	961	1159	962	0.00558561769014058	0.0347852555797167	1726	0.289034147976144	0.104300604907737	899.726719676633	2.77116463736544
MTOR|ENSG00000198793.14|chr1	514	571	567	489	603	408	0.105133655994233	0.282919862279686	4261	-0.239655661621877	0.14789366538509	523.75225573665	-1.6204592738834
ANGPTL7|ENSG00000171819.5|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
UBIAD1|ENSG00000120942.14|chr1	717	700	666	839	809	862	0.090704450792185	0.256418697072594	4022	0.179324344514382	0.106002864553596	760.072671081513	1.69169338271715
DISP3|ENSG00000204624.8|chr1	12	16	0	7	0	4	0.291596806454593	1	6665	-1.43586493296886	1.36149319210847	6.51985846351264	-1.0546251287127
FBXO2|ENSG00000116661.11|chr1	4	1	0	2	0	5	0.813742269640634	1	12544	0.487794388630209	2.07042548432945	1.96951295990853	0.235601035788154
FBXO44|ENSG00000132879.14|chr1	114	87	103	114	124	135	0.407237926502865	0.645459541418748	7971	0.21205603156285	0.255870205688371	111.923261016423	0.828764064156485
MAD2L2|ENSG00000116670.16|chr1	849	893	704	849	879	876	0.998547670530202	0.999292747629953	14422	0.00020573860220198	0.113029148705231	837.176769227429	0.00182022606167304
FBXO6|ENSG00000116663.11|chr1	17	22	14	32	53	52	0.0110193427285991	0.0580406872973524	2059	1.28333485863895	0.504835576710036	31.2362410020852	2.54208482492918
DRAXIN|ENSG00000162490.7|chr1	20	19	14	17	20	10	0.676796535682716	1	11145	-0.270471826174332	0.64886478231909	16.5239224977903	-0.416838505562971
AGTRAP|ENSG00000177674.16|chr1	320	286	303	254	399	265	0.679146244692433	0.839532834287533	11165	-0.0773593431916812	0.187026172444716	302.633590450545	-0.413628435958867
C1orf167|ENSG00000215910.8|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
MTHFR|ENSG00000177000.13|chr1	378	259	316	288	217	290	0.0619978191217831	0.196990069340432	3537	-0.342502583749019	0.183518460380926	290.020749881397	-1.86631134022208
CLCN6|ENSG00000011021.23|chr1	46	52	53	53	43	45	0.602901489754503	0.790784710070531	10215	-0.196699061278066	0.378098323840068	48.5629376075776	-0.520232566175744
NPPA|ENSG00000175206.11|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
NPPB|ENSG00000120937.9|chr1	6	13	0	9	0	4	0.65046420231223	1	10819	-0.659029299646608	1.45443386403723	5.34111330075496	-0.453117405983155
KIAA2013|ENSG00000116685.16|chr1	796	583	597	480	583	435	0.000313773336084552	0.00374511647026736	893	-0.485089408544554	0.134610386344433	575.972837283794	-3.60365512437754
PLOD1|ENSG00000083444.17|chr1	560	334	449	453	558	514	0.511780972861915	0.728839248621957	9139	0.105128073499172	0.160239827227455	473.175478926543	0.656067067208866
MFN2|ENSG00000116688.18|chr1	1625	1319	1380	1597	1318	1405	0.306048792725409	0.549710284519174	6837	-0.0890780011858138	0.0870286461454503	1430.47163066372	-1.02354805148799
MIIP|ENSG00000116691.11|chr1	146	125	135	235	147	210	0.0498989698712116	0.170633202204947	3272	0.455949484310829	0.232528933571134	164.480708258664	1.96082903451388
TNFRSF8|ENSG00000120949.15|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
TNFRSF1B|ENSG00000028137.19|chr1	5	0	3	0	0	3	0.539995873923843	1	9472	-1.40436676561905	2.29164930835897	1.83198354415725	-0.612819230454026
VPS13D|ENSG00000048707.15|chr1	179	191	199	202	189	187	0.710851447227727	0.857150828223228	11479	-0.0728509814337477	0.196515953125474	190.455954983145	-0.370712811225218
DHRS3|ENSG00000162496.9|chr1	251	177	195	259	227	239	0.466644227667204	0.695227936142972	8629	0.135143742030251	0.185649772902931	222.304724552781	0.727949945303261
AADACL4|ENSG00000204518.3|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
AADACL3|ENSG00000188984.12|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
CFAP107|ENSG00000157330.10|chr1	0	0	0	4	0	0	0.494650202166298	1	8965.5	2.71480161302353	3.97521871281218	0.618046746827341	0.682931382938426
PRAMEF12|ENSG00000116726.5|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
PRAMEF1|ENSG00000116721.9|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
PRAMEF11|ENSG00000239810.3|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
HNRNPCL1|ENSG00000179172.10|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
PRAMEF2|ENSG00000120952.4|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
PRAMEF4|ENSG00000243073.4|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
PRAMEF10|ENSG00000187545.5|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
PRAMEF7|ENSG00000204510.6|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
PRAMEF6|ENSG00000232423.6|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
PRAMEF27|ENSG00000274764.6|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
HNRNPCL3|ENSG00000277058.3|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
PRAMEF25|ENSG00000229571.7|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
HNRNPCL2|ENSG00000275774.3|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
PRAMEF26|ENSG00000280267.6|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
HNRNPCL4|ENSG00000179412.11|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
PRAMEF9|ENSG00000204505.5|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
PRAMEF13|ENSG00000279169.3|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
PRAMEF18|ENSG00000279804.3|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
PRAMEF5|ENSG00000270601.5|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
PRAMEF8|ENSG00000182330.11|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
PRAMEF33|ENSG00000237700.2|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
PRAMEF15|ENSG00000204501.7|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
PRAMEF14|ENSG00000204481.8|chr1	0	0	0	0	3	0	0.559565301256222	1	9719.5	2.33150829867172	3.99581667367999	0.474476320230094	0.583487304117107
PRAMEF19|ENSG00000204480.9|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
PRAMEF17|ENSG00000204479.4|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
