rownames(tcReadCount)	DMSO.P0.1	DMSO.P0.2	DMSO.P0.3	DMSO.L10a.1	DMSO.L10a.2	DMSO.L10a.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
CPTP|ENSG00000224051.7|chr1	112	154	107	225	103	165	0.560539728584568	1	7725	0.168854384531967	0.290107862733183	138.317966466744	0.582040014155925
TAS1R3|ENSG00000169962.5|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
DVL1|ENSG00000107404.21|chr1	192	200	102	278	242	210	0.168801629540613	0.559355079792998	2864	0.381986212982277	0.277593224106749	198.640243468019	1.37606461473059
MXRA8|ENSG00000162576.17|chr1	0	11	0	4	0	4	0.795408315599956	1	10673	-0.591800232140819	2.28235114369044	2.78175727422092	-0.259294120353413
AURKAIP1|ENSG00000175756.14|chr1	440	468	397	459	231	440	0.01847938709257	0.22480727327674	610	-0.456750800795839	0.193877766928176	398.277599141596	-2.35586992790693
CCNL2|ENSG00000221978.13|chr1	116	206	124	264	206	225	0.0723039093169927	0.400094299781677	1535	0.454609915713579	0.252954579973407	183.150347141053	1.79719978093052
MRPL20|ENSG00000242485.6|chr1	1666	1991	1466	1783	1894	1898	0.637668051753378	0.891803442687969	8722	-0.0622093859803214	0.132090103492931	1761.7769259759	-0.470961747589597
ANKRD65|ENSG00000235098.9|chr1	0	0	1	5	7	10	0.0362936155886163	1	953	4.15401057404788	1.9841258105919	3.58298925367049	2.09362256761766
TMEM88B|ENSG00000205116.4|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
VWA1|ENSG00000179403.12|chr1	20	12	18	10	0	20	0.292265822285514	1	4396	-1.09507565376784	1.03979591553213	13.2483747918597	-1.05316402710374
ATAD3C|ENSG00000215915.10|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
ATAD3B|ENSG00000160072.20|chr1	19	44	18	49	44	40	0.307267176917655	1	4561	0.565861158845244	0.554237081328064	34.240989360265	1.02097311404954
ATAD3A|ENSG00000197785.14|chr1	67	93	107	89	55	87	0.21607053767978	1	3471	-0.451632367679647	0.365089811540952	82.1261279769312	-1.2370445665778
TMEM240|ENSG00000205090.9|chr1	0	5	0	1	0	5	0.962580874505574	1	12781	0.131721247683136	2.80765002149409	1.59891183198962	0.0469151235640973
SSU72|ENSG00000160075.12|chr1	281	368	222	277	157	343	0.0938720459997291	0.448564959518171	1847	-0.393520139162163	0.234892938057492	266.95634966424	-1.67531702918138
FNDC10|ENSG00000228594.4|chr1	33	11	35	19	1	10	0.0465763387060372	1	1147	-1.77666198811205	0.892735516523692	18.8547827852834	-1.99013252551032
MIB2|ENSG00000197530.13|chr1	4	0	2	0	0	0	0.279382471499831	1	4250	-3.74689493598881	3.46387037332564	1.13710234368947	-1.08170760801058
MMP23B|ENSG00000189409.14|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
CDK11B|ENSG00000248333.9|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
SLC35E2B|ENSG00000189339.12|chr1	9	55	7	99	65	101	0.00307178334549715	1	211	1.78383920979103	0.602554399823761	51.2211040090756	2.96046167833605
CDK11A|ENSG00000008128.23|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
NADK|ENSG00000008130.15|chr1	32	49	50	67	36	57	0.917846175741751	1	12253	0.0477208265419879	0.462647989490517	47.0400981071314	0.103147160748585
CALML6|ENSG00000169885.10|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
TMEM52|ENSG00000178821.13|chr1	0	9	3	1	0	5	0.565536663386766	1	7781	-1.2055063055553	2.09785622959658	2.79121527995855	-0.574637236121334
CFAP74|ENSG00000142609.20|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
GABRD|ENSG00000187730.9|chr1	0	3	0	0	0	0	0.540106360104161	1	7501.5	-2.4553532029839	4.00774428907155	0.45575030472123	-0.612652161885487
PRKCZ|ENSG00000067606.17|chr1	127	80	74	97	71	159	0.91773392375718	1	12252	-0.0390264615798586	0.377839005357843	99.1044427929609	-0.103288599182335
FAAP20|ENSG00000162585.17|chr1	9	25	16	9	0	14	0.186906112679925	1	3085	-1.40472738857875	1.06435909084127	11.7985941676699	-1.31978709127993
SKI|ENSG00000157933.10|chr1	883	1099	782	1160	810	1057	0.498253164050246	0.828650898031432	6955	-0.0814959798658341	0.1203353015513	942.12229405448	-0.67724083303262
MORN1|ENSG00000116151.14|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
RER1|ENSG00000157916.20|chr1	497	564	342	561	412	484	0.397762571565754	0.770002905235428	5646	-0.148878189786165	0.176057209936894	466.525705585544	-0.845623930082322
PEX10|ENSG00000157911.11|chr1	184	172	134	161	113	138	0.0785737833851386	0.411023853210955	1629	-0.471828031059416	0.268233171152602	149.044838762951	-1.75902193241784
PLCH2|ENSG00000149527.18|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
PANK4|ENSG00000157881.16|chr1	0	0	0	5	0	0	0.476426434446074	1	6685	2.8238500414539	3.96573664142201	0.686266298353683	0.712061918574942
HES5|ENSG00000197921.6|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
TNFRSF14|ENSG00000157873.18|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
PRXL2B|ENSG00000157870.17|chr1	3	0	0	0	0	0	0.494609402816076	1	6900.5	-2.72562448861986	3.99068910383695	0.560508570263454	-0.682995948243435
MMEL1|ENSG00000142606.16|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
TTC34|ENSG00000215912.13|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
ACTRT2|ENSG00000169717.7|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
PRDM16|ENSG00000142611.17|chr1	61	84	77	160	42	126	0.489310216000702	1	6844	0.2832128135317	0.409618474563883	86.6026560660181	0.691406347902726
ARHGEF16|ENSG00000130762.15|chr1	0	13	18	0	7	19	0.741755662140937	1	9970	-0.467137505434411	1.41759025918284	9.44831491682709	-0.329529285636943
MEGF6|ENSG00000162591.17|chr1	0	0	0	0	0	3	0.59589929695711	1	8149	2.1223710053548	4.0021575735204	0.421244838670102	0.530306707411298
TPRG1L|ENSG00000158109.15|chr1	253	328	224	448	279	404	0.151398310697063	0.541793083806829	2620	0.272194506350832	0.189734170145419	310.690607114897	1.43460983407581
WRAP73|ENSG00000116213.16|chr1	458	427	285	384	328	406	0.171326883769312	0.560005271282354	2900	-0.273438094069622	0.199888559791955	376.499876613933	-1.36795269501274
TP73|ENSG00000078900.15|chr1	77	121	115	163	104	153	0.518208921986001	1	7160	0.196372782325414	0.303931465090239	118.315180298169	0.646108760957376
CCDC27|ENSG00000162592.10|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
SMIM1|ENSG00000235169.11|chr1	1	0	0	1	3	5	0.275388921506633	1	4190	2.87332643717004	2.63429975585011	1.58231905290998	1.09073632595877
LRRC47|ENSG00000130764.10|chr1	750	769	643	905	792	796	0.994003723317341	0.997307398499579	13117	0.00111835299484272	0.148810376138054	765.067583798916	0.00751528908041466
CEP104|ENSG00000116198.14|chr1	47	22	52	63	21	42	0.648420354306809	1	8861	-0.259542275418892	0.56922438677322	40.6946342070894	-0.455957758398524
DFFB|ENSG00000169598.17|chr1	100	136	76	91	94	91	0.295783443100278	1	4426	-0.349559045994989	0.334340407109668	96.8490803831094	-1.04551839550859
C1orf174|ENSG00000198912.12|chr1	308	430	336	521	360	492	0.410265526447595	0.77611326678833	5824	0.138693587010446	0.1684346997643	395.680717365742	0.823426450752291
NPHP4|ENSG00000131697.18|chr1	13	5	33	36	21	40	0.427846714965645	1	6056	0.601678442710169	0.758850149717619	24.0702537387472	0.792881760561111
KCNAB2|ENSG00000069424.16|chr1	15	0	17	21	1	1	0.521798669586711	1	7199	-0.911469640808828	1.42289232844915	9.32360066634561	-0.640575272341419
RPL22|ENSG00000116251.11|chr1	808	834	669	1052	860	961	0.442727075882091	0.798673675458518	6259	0.104271677426168	0.135841823061258	846.796393740937	0.767596275405892
RNF207|ENSG00000158286.13|chr1	0	0	12	6	6	6	0.876772116563365	1	11743	0.261584404363357	1.68696207687213	5.11686447946296	0.155062409493148
ICMT|ENSG00000116237.16|chr1	667	782	515	811	709	1019	0.274993421478131	0.669614718186801	4185	0.165594556361799	0.151694024637369	729.614387814246	1.09163532813939
HES3|ENSG00000173673.8|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
GPR153|ENSG00000158292.7|chr1	8	29	50	30	17	44	0.762895728856528	1	10200	-0.211144793295475	0.699895683020791	29.0916150819422	-0.301680376687225
ACOT7|ENSG00000097021.20|chr1	177	259	223	255	166	206	0.209420248952061	0.609854798892654	3397	-0.290458769837331	0.231411527698932	210.573382219317	-1.25516119583818
HES2|ENSG00000069812.11|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
ESPN|ENSG00000187017.18|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
TNFRSF25|ENSG00000215788.11|chr1	0	14	4	7	6	6	0.992899821097494	1	13098	-0.0125340298839529	1.40849647246543	5.82192216114666	-0.00889887204475094
PLEKHG5|ENSG00000171680.23|chr1	14	0	5	3	0	0	0.135822272633453	1	2434	-3.07144678602541	2.05925846558475	4.00186039858714	-1.49153048893901
NOL9|ENSG00000162408.11|chr1	360	457	371	669	428	526	0.163952841925349	0.552766547115807	2801	0.230169770263733	0.165363788820757	454.012477403532	1.39189947149325
TAS1R1|ENSG00000173662.21|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
ZBTB48|ENSG00000204859.13|chr1	11	30	41	70	6	39	0.830358895001754	1	11059	0.159666434233923	0.745264513001414	30.7989524203433	0.214241294800011
KLHL21|ENSG00000162413.17|chr1	404	489	460	783	517	692	0.0344528061206704	0.290956282731821	912	0.329525006813666	0.155823540020732	539.893832688874	2.114731874079
PHF13|ENSG00000116273.6|chr1	283	307	233	388	316	374	0.33846477023283	0.724329563002601	4942	0.180708943694815	0.188788513387414	309.27094926432	0.957203065230891
THAP3|ENSG00000041988.16|chr1	166	235	211	317	109	281	0.837661601015809	0.965069651016966	11138	-0.0589398425163569	0.287672132468763	211.007516688233	-0.204885478515222
DNAJC11|ENSG00000007923.17|chr1	151	132	173	164	95	75	0.0422951970715005	1	1072	-0.692514804046351	0.341038851437913	132.631535570264	-2.03060384799714
CAMTA1|ENSG00000171735.20|chr1	25	107	50	89	127	97	0.142844076951907	1	2531	0.676891271880906	0.461952996103039	80.0496180145338	1.46528170093289
VAMP3|ENSG00000049245.13|chr1	239	393	151	310	182	366	0.799114684214376	0.951972956196839	10708	-0.0683662277027172	0.26863693021108	261.464279943949	-0.254493035075255
PER3|ENSG00000049246.15|chr1	0	9	0	0	0	3	0.568315100226945	1	7808	-1.6916049583534	2.96494671810352	1.78849575283379	-0.570534690564493
UTS2|ENSG00000049247.14|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
TNFRSF9|ENSG00000049249.10|chr1	1	0	0	3	0	0	0.777598423037432	1	10459.5	1.13096102758395	4.0041094968821	0.598595969100027	0.282450074970378
PARK7|ENSG00000116288.13|chr1	1823	2091	1573	2067	1880	1995	0.474716129251058	0.817353785557828	6648	-0.081768513833767	0.11438928181682	1877.15870147965	-0.714826708718297
ERRFI1|ENSG00000116285.13|chr1	139	250	144	182	177	233	0.914579088011412	0.982222019794965	12223	-0.0280568053802067	0.261566370607781	182.521881662818	-0.107264574245586
SLC45A1|ENSG00000162426.16|chr1	0	0	0	0	0	6	0.430705396938737	1	6099	3.11647005823843	3.95498581497923	0.842489677340203	0.787985141801272
RERE|ENSG00000142599.19|chr1	433	429	376	512	345	504	0.574125612087775	0.862882245721862	7883	-0.095369022664315	0.169700021362636	424.347401682713	-0.561985920205151
ENO1|ENSG00000074800.16|chr1	4684	5673	4365	5956	2457	5315	0.131896393580828	0.51002361190897	2375	-0.357514984359397	0.23728887459538	4606.88716020722	-1.50666559892041
CA6|ENSG00000131686.15|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
SLC2A7|ENSG00000197241.4|chr1	0	0	0	0	0	1	0.853865958661269	1	11392	0.751574209360629	4.0804728567969	0.140414946223367	0.184188018334376
SLC2A5|ENSG00000142583.18|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
GPR157|ENSG00000180758.12|chr1	61	106	43	143	122	125	0.0395415636346907	1	1032	0.728964928997997	0.354123255780524	95.6760222775209	2.0585062322193
H6PD|ENSG00000049239.13|chr1	9	49	34	44	31	37	0.866742734218934	1	11600	0.104230687723095	0.621170173125918	32.7327563847875	0.167797315828244
SPSB1|ENSG00000171621.14|chr1	22	70	51	71	49	53	0.858513937356399	1	11525	0.0865513481764381	0.485517487925438	50.9542248302437	0.178266180578299
SLC25A33|ENSG00000171612.7|chr1	330	465	433	550	450	679	0.195160561825158	0.595522554960681	3208	0.231396702097395	0.178620851761911	470.934028863249	1.29546298662728
TMEM201|ENSG00000188807.13|chr1	73	113	75	104	36	110	0.427889696197587	1	6058	-0.31396336742262	0.396014379728546	81.8153876175013	-0.792807997623296
PIK3CD|ENSG00000171608.18|chr1	0	11	7	10	11	6	0.711753463702546	1	9647	0.473407236906299	1.28120289560266	7.28949279716924	0.369502159674416
CLSTN1|ENSG00000171603.18|chr1	269	274	172	272	164	202	0.113668733330804	0.486936964451693	2114	-0.383374022052091	0.242347891198855	221.503120570698	-1.58191606353826
CTNNBIP1|ENSG00000178585.15|chr1	42	85	39	75	35	74	0.890374130528629	1	11919	-0.0619357516249795	0.449360703296686	55.5334921621226	-0.137830814244758
LZIC|ENSG00000162441.12|chr1	120	235	150	334	241	244	0.0436199500058842	0.316568263778972	1100	0.510953116567477	0.253232335734026	212.134212426038	2.01772461280039
NMNAT1|ENSG00000173614.14|chr1	35	34	34	90	81	68	0.0197765248429534	1	638	1.01043197200782	0.433557419010545	55.247506948486	2.33056090774275
RBP7|ENSG00000162444.12|chr1	42	11	24	7	18	22	0.229306892074561	1	3630	-0.944641671587876	0.785796001557336	21.5821263012079	-1.20214619279779
UBE4B|ENSG00000130939.20|chr1	45	72	38	112	60	118	0.0802355795474977	1	1655	0.685758997434593	0.392014426809459	69.8154561288586	1.74932081713388
KIF1B|ENSG00000054523.20|chr1	32	52	42	71	25	53	0.983758182097049	1	13001	-0.0100707290343913	0.494693653602173	43.8849368014959	-0.0203575060263257
PGD|ENSG00000142657.21|chr1	269	381	289	375	182	325	0.127103923026082	0.502643181949846	2308	-0.326817983360769	0.214219440630148	295.304086761474	-1.52562242903539
CENPS-CORT|ENSG00000251503.8|chr1	0	5	31	7	9	12	0.594310607997944	1	8123.5	-0.651768718656801	1.22374935365911	11.1150431714234	-0.532599847107545
CENPS|ENSG00000175279.22|chr1	243	334	236	324	332	338	0.604067475170648	0.877450202809106	8282	0.106957114638975	0.20625785839766	295.610903412855	0.518560191935882
CORT|ENSG00000241563.4|chr1	0	5	31	7	9	12	0.594310607997944	1	8123.5	-0.651768718656801	1.22374935365911	11.1150431714234	-0.532599847107545
DFFA|ENSG00000160049.12|chr1	626	764	526	914	789	815	0.170455705273373	0.559461398991561	2889	0.200684872515007	0.146406119609834	721.686502204786	1.37074101171333
PEX14|ENSG00000142655.13|chr1	172	138	160	168	92	119	0.0575886376983679	1	1312	-0.564023420027213	0.297039492439946	141.104287680329	-1.89881626646411
CASZ1|ENSG00000130940.15|chr1	15	8	5	20	12	25	0.371815471053277	1	5357	0.77075937032358	0.863037135816348	13.4723292927233	0.893077873867522
TARDBP|ENSG00000120948.19|chr1	360	550	277	644	402	729	0.0583772356418978	0.364187465611899	1325	0.372332952987758	0.19670448726345	470.075024133603	1.89285439375405
MASP2|ENSG00000009724.18|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
SRM|ENSG00000116649.10|chr1	1030	1286	1013	1103	298	966	0.0680338468049336	0.387588502449048	1467	-0.773026832936422	0.423626817059563	927.494356465779	-1.82478257231702
EXOSC10|ENSG00000171824.14|chr1	204	45	104	99	100	133	0.432834591836921	1	6131	-0.357822705760502	0.456202675430211	116.019987971916	-0.784350300933823
MTOR|ENSG00000198793.14|chr1	24	27	35	88	79	56	0.0145499492169683	1	521	1.16867146933408	0.478298926920308	49.9935144827946	2.44339136794426
ANGPTL7|ENSG00000171819.5|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
UBIAD1|ENSG00000120942.14|chr1	572	467	371	590	469	604	0.932719387796654	0.986900956598295	12430	0.0156461134818976	0.185327961831947	502.851058927127	0.0844239224736378
DISP3|ENSG00000204624.8|chr1	0	0	0	8	0	0	0.36908613222059	1	5322.5	3.49853525554888	3.8951100648928	1.09802607736589	0.898186494672306
FBXO2|ENSG00000116661.11|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
FBXO44|ENSG00000132879.14|chr1	31	71	30	64	36	57	0.899295406957302	1	12045	0.0612787341868227	0.484219841408865	45.8860952059385	0.126551473001455
MAD2L2|ENSG00000116670.16|chr1	225	265	211	212	46	210	0.0132061939516167	0.194975237138731	494	-0.872034248581381	0.35188780273364	190.528049190614	-2.47815991860753
FBXO6|ENSG00000116663.11|chr1	17	5	17	12	2	17	0.490498550301661	1	6856	-0.696690979900538	1.01040568632254	11.6536016476054	-0.689516091735592
DRAXIN|ENSG00000162490.7|chr1	0	13	0	16	0	5	0.777394392057299	1	10457	0.541836943727317	1.91654009108538	4.87304487297395	0.282716206275895
AGTRAP|ENSG00000177674.16|chr1	130	139	87	176	73	106	0.467698457097006	1	6552	-0.243014472458647	0.334625173950318	114.933250259946	-0.726228901399772
C1orf167|ENSG00000215910.8|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
MTHFR|ENSG00000177000.13|chr1	115	168	161	108	138	161	0.296633047781066	1	4435	-0.317870951057813	0.304567181307666	141.396946883205	-1.04368090380923
CLCN6|ENSG00000011021.23|chr1	0	1	5	27	29	20	0.00169802950240452	1	160	3.43837145088426	1.09553888485993	13.0166114251641	3.13852068457055
NPPA|ENSG00000175206.11|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
NPPB|ENSG00000120937.9|chr1	0	3	0	2	9	10	0.137267560890981	1	2453	2.79451661445103	1.8805076886014	3.80287090240014	1.48604370585127
KIAA2013|ENSG00000116685.16|chr1	405	661	411	716	467	718	0.345363144752012	0.728030896655498	5039	0.156357537196246	0.165699436946489	541.846864561152	0.943621415241988
PLOD1|ENSG00000083444.17|chr1	110	59	68	88	40	119	0.591480194077485	1	8091	-0.232198626434571	0.432647604493609	78.9698918147428	-0.53669227339499
MFN2|ENSG00000116688.18|chr1	222	313	311	448	386	424	0.071760775513488	0.39761134958855	1531	0.363753817112764	0.202014434453331	342.218877934148	1.80063280179515
MIIP|ENSG00000116691.11|chr1	56	64	16	34	44	50	0.665727666357512	1	9080	-0.23935229385301	0.55403197863095	43.1478567421569	-0.432018914223083
TNFRSF8|ENSG00000120949.15|chr1	0	0	0	0	0	6	0.430705396938737	1	6099	3.11647005823843	3.95498581497923	0.842489677340203	0.787985141801272
TNFRSF1B|ENSG00000028137.19|chr1	0	0	0	0	2	0	0.637612825571267	1	8704	1.89280019873528	4.01835063776712	0.370769914689725	0.47103908278822
VPS13D|ENSG00000048707.15|chr1	30	26	15	31	62	45	0.166589383512404	1	2840	0.815009539078232	0.589200628352881	34.5454945371475	1.38324621505684
DHRS3|ENSG00000162496.9|chr1	80	106	70	169	71	175	0.186301155173153	1	3077	0.450500565746223	0.340874948731183	105.622336502275	1.32160068501101
AADACL4|ENSG00000204518.3|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
AADACL3|ENSG00000188984.12|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
CFAP107|ENSG00000157330.10|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
PRAMEF12|ENSG00000116726.5|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
PRAMEF1|ENSG00000116721.9|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
PRAMEF11|ENSG00000239810.3|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
HNRNPCL1|ENSG00000179172.10|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
PRAMEF2|ENSG00000120952.4|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
PRAMEF4|ENSG00000243073.4|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
PRAMEF10|ENSG00000187545.5|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
PRAMEF7|ENSG00000204510.6|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
PRAMEF6|ENSG00000232423.6|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
PRAMEF27|ENSG00000274764.6|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
HNRNPCL3|ENSG00000277058.3|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
PRAMEF25|ENSG00000229571.7|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
HNRNPCL2|ENSG00000275774.3|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
PRAMEF26|ENSG00000280267.6|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
HNRNPCL4|ENSG00000179412.11|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
PRAMEF9|ENSG00000204505.5|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
PRAMEF13|ENSG00000279169.3|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
PRAMEF18|ENSG00000279804.3|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
PRAMEF5|ENSG00000270601.5|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
PRAMEF8|ENSG00000182330.11|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
PRAMEF33|ENSG00000237700.2|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
PRAMEF15|ENSG00000204501.7|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
PRAMEF14|ENSG00000204481.8|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
PRAMEF19|ENSG00000204480.9|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
PRAMEF17|ENSG00000204479.4|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
PRAMEF20|ENSG00000204478.11|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
LRRC38|ENSG00000162494.6|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
PDPN|ENSG00000162493.17|chr1	152	145	80	177	129	136	0.931933961783725	1	12422	0.0262795146956542	0.307679911970634	133.322254767321	0.0854118636713677
KAZN|ENSG00000189337.17|chr1	0	0	0	0	0	1	0.853865958661269	1	11392	0.751574209360629	4.0804728567969	0.140414946223367	0.184188018334376
TMEM51|ENSG00000171729.14|chr1	228	218	165	163	157	259	0.259241599083808	0.660015945430421	3988	-0.295914798352579	0.262292687055701	195.716698143158	-1.12818546972961
FHAD1|ENSG00000142621.21|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
EFHD2|ENSG00000142634.13|chr1	78	77	40	66	86	50	0.827514022359835	1	11028	-0.0973805388416524	0.446923135547699	66.0885344292204	-0.21789102218285
CTRC|ENSG00000162438.12|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
CELA2A|ENSG00000142615.8|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
CELA2B|ENSG00000215704.10|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
CASP9|ENSG00000132906.18|chr1	70	96	54	83	54	80	0.541297687093027	1	7526	-0.227415813635889	0.372292932813637	70.8220017545209	-0.6108518147717
DNAJC16|ENSG00000116138.13|chr1	106	160	104	149	133	117	0.812754221567559	1	10855	-0.0703060694393411	0.296807362668935	125.914197127301	-0.236874411763706
