userId	geneSymbol	geneName	entrezgene	gLink
RGS2	RGS2	regulator of G protein signaling 2	5997	https://www.ncbi.nlm.nih.gov/gene/?term=5997
GPT2	GPT2	glutamic--pyruvic transaminase 2	84706	https://www.ncbi.nlm.nih.gov/gene/?term=84706
ZNF711	ZNF711	zinc finger protein 711	7552	https://www.ncbi.nlm.nih.gov/gene/?term=7552
TMED10	TMED10	transmembrane p24 trafficking protein 10	10972	https://www.ncbi.nlm.nih.gov/gene/?term=10972
ZCCHC8	ZCCHC8	zinc finger CCHC-type containing 8	55596	https://www.ncbi.nlm.nih.gov/gene/?term=55596
RBM39	RBM39	RNA binding motif protein 39	9584	https://www.ncbi.nlm.nih.gov/gene/?term=9584
SMAD7	SMAD7	SMAD family member 7	4092	https://www.ncbi.nlm.nih.gov/gene/?term=4092
PNRC1	PNRC1	proline rich nuclear receptor coactivator 1	10957	https://www.ncbi.nlm.nih.gov/gene/?term=10957
ZNF566	ZNF566	zinc finger protein 566	84924	https://www.ncbi.nlm.nih.gov/gene/?term=84924
DUSP1	DUSP1	dual specificity phosphatase 1	1843	https://www.ncbi.nlm.nih.gov/gene/?term=1843
