rownames(count)	DMSO.P0.1	DMSO.P0.2	DMSO.P0.3	TPG.P0.1	TPG.P0.2	TPG.P0.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
AASS	139	89	100	125	128	84	0.387684460188101	0.708007021860557	6985	0.294580079261389	0.34101854534172	108.668442586982	0.863824220956085
AATF	0	5	0	0	0	0	0.503581626305888	1	8245.5	-2.65476397463695	3.9690582517243	0.6192118238769	-0.66886495643737
AATK	20	0	24	6	0	17	0.710228889300722	0.901712535798562	10387	-0.599803688135371	1.61433396507343	11.7297151017119	-0.371548701267701
ABAT	39	62	39	0	33	2	0.106239656408022	0.381074962009924	3353	-1.71520375749283	1.06182993563927	26.2348874597675	-1.61532812357583
ABCA1	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ABCA10	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ABCA12	0	3	0	0	0	0	0.630810241284191	1	9601.5	-1.92684276158392	4.00935481579014	0.37152709432614	-0.480586740289332
ABCA13	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ABCA2	0	1	0	0	0	0	0.870632598490506	1	12042	-0.664525427963192	4.0804728567969	0.12384236477538	-0.162855005114489
ABCA3	34	25	42	29	20	7	0.380209471554636	0.701561723594293	6904	-0.679371710634142	0.77420359835468	24.7295320438795	-0.877510401757273
ABCA4	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ABCA5	7	25	7	20	8	0	0.86131437507693	0.959366078100954	11873	-0.249462436702229	1.42793722265485	9.78438861354768	-0.17470126329393
ABCA6	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ABCA7	14	12	0	0	0	0	0.0588075480177371	0.276235796721289	2560	-5.18862672195904	2.74584362382292	3.61977875719032	-1.88962935723745
ABCA8	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ABCA9	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ABCB1	43	70	17	2	34	48	0.888859448054687	0.967453382088154	12262	-0.121289894952716	0.867921382064468	34.8054659602688	-0.139747559466978
ABCB10	86	71	58	108	41	43	0.868542833046879	0.960305998538449	11955	0.0767217753072177	0.46354857489362	64.7441482717288	0.165509677868872
ABCB11	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ABCB4	7	12	2	20	0	0	0.958539629186901	0.990062585393461	12892	0.103066902765809	1.98257908966808	5.96681013408062	0.0519862755049357
ABCB5	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ABCB6	19	10	25	32	23	0	0.924222757221419	0.978564688594095	12589	0.110579520272139	1.16257642612573	17.1816132214861	0.0951159147795928
ABCB7	74	163	90	155	91	69	0.514002376967818	0.80420275631481	8347	0.23681467894215	0.362868578009366	101.212709240613	0.65261831223104
ABCB8	1	7	36	1	30	42	0.390554916576419	0.710835953641736	7013	1.05577278000707	1.22962811043096	21.6052482011744	0.858611454187591
ABCB9	33	40	37	18	22	0	0.185558476737667	0.505586767631005	4446	-1.28546167126923	0.971014896192213	22.7040525591526	-1.32383311142816
ABCC1	0	0	0	1	0	0	0.757664228730813	1	10928.5	1.2590279236793	4.0804728567969	0.154014839368569	0.308549515672458
ABCC10	28	8	6	21	11	39	0.245105614159563	0.574135441009374	5265	1.12902790313581	0.971357425560231	19.9956390534207	1.1623197325996
ABCC11	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ABCC12	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ABCC2	0	0	0	3	0	0	0.526748043489128	1	8464.5	2.53732027383837	4.00854450121483	0.462044518105706	0.632977948247652
ABCC3	7	3	1	0	0	0	0.197449336493059	1	4604	-4.01373140861432	3.11418964292009	1.60514717399993	-1.28885259693137
ABCC4	135	161	124	60	106	75	0.167481359964065	0.478881934429729	4216	-0.480179155653221	0.347869691267906	105.20188540323	-1.38034202951995
ABCC5	151	99	103	197	127	28	0.724076648006381	0.907541853441992	10518	0.161810379629309	0.458365919458207	110.785052195412	0.353015729922876
ABCC6	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ABCC8	4	3	0	0	0	0	0.383383544244416	1	6937	-3.30618437390978	3.79289227429699	0.981147202864929	-0.871678954953335
ABCC9	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ABCD1	0	0	0	0	5	0	0.389079403453466	1	6996.5	3.41295438121446	3.96261656423343	0.85856455545787	0.861288072133899
ABCD2	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ABCD3	168	267	93	147	166	123	0.814911147706539	0.943123207608405	11455	0.0728125389898586	0.311038283644739	152.491748551691	0.234095102817065
ABCD4	29	81	27	58	70	17	0.532506668644547	0.814409326818927	8536	0.382564676501611	0.612903562826645	43.6616219854984	0.624184128963558
ABCE1	492	547	473	478	415	254	0.417161112705099	0.733023952328281	7299	-0.13659754165917	0.168357045054897	422.593709575317	-0.811356255478518
ABCF1	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ABCF2	401	513	365	572	351	255	0.453020077688758	0.759998045178256	7691	0.145097723847702	0.193363179620931	390.2100762135	0.75038962501626
ABCF2-H2BE1	0	0	1	0	0	0	0.870632598490506	1	12042	-0.664525427963192	4.0804728567969	0.166784889730906	-0.162855005114489
ABCF3	20	45	42	11	53	42	0.61961490392969	0.858167223390562	9468	0.355594605434881	0.716352389003015	35.6972082653754	0.496396202335251
ABCG1	20	12	0	0	7	3	0.499733535738582	0.792140599186831	8199	-1.28979181432205	1.91106012030751	6.39879132750978	-0.674909073040836
ABCG2	5	4	0	16	0	0	0.69851939391444	0.895829894498717	10287	0.97675721198504	2.52183584770306	3.7216320246721	0.387319901441916
ABCG4	0	2	0	0	0	0	0.739028591954588	1	10700.5	-1.35205769257838	4.05852678736651	0.24768472955076	-0.333140019375282
ABCG5	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ABCG8	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ABHD1	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ABHD10	311	347	214	342	185	188	0.998273148514619	0.999857731853824	13262	-0.000513190452263244	0.237117333141743	252.025627906223	-0.00216428906931267
ABHD11	32	109	42	119	72	28	0.310825819536214	0.645437427618478	6030	0.539835402959582	0.532649568993843	62.2560317597669	1.01349073459181
ABHD12	97	98	75	142	38	2	0.706556907941823	0.899805160082201	10357	-0.447889867999947	1.18966422879889	68.2656319416008	-0.376484269390991
ABHD12B	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ABHD13	156	139	121	46	164	82	0.634975649285028	0.865062353695637	9669	-0.198830209492615	0.418823303720981	114.526693440656	-0.474735306574716
ABHD14A	2	7	10	0	15	1	0.993409729582122	0.998994165708995	13211	-0.0154474063170363	1.87019743937127	5.63611318133648	-0.00825977300141608
ABHD14A-ACY1	24	57	14	46	17	50	0.339064297589481	0.67115311176904	6378.5	0.676643948162756	0.707774925844956	34.0987264970107	0.956015709874101
ABHD14B	21	7	15	36	0	1	0.905895491336769	0.972386581282007	12419	-0.173353205215403	1.46639469245431	12.3345736964451	-0.118217289047372
ABHD15	74	50	90	46	71	34	0.580696965370066	0.838924012313008	9067	-0.272303277262198	0.492975320714033	59.2664059595037	-0.552366955951852
ABHD16A	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ABHD16B	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ABHD17A	7	13	1	1	0	1	0.195668063964126	0.518576422498136	4584	-2.956427605452	2.28473345318892	3.21844967107905	-1.29399234791506
ABHD17B	258	353	222	205	231	160	0.423502101302033	0.737968671741459	7364	-0.173933415332594	0.217318906254572	226.640063412513	-0.800360255489438
ABHD17C	140	268	210	153	222	32	0.371948955747717	0.694445668864614	6800	-0.375883494912023	0.421002962201179	158.303469406486	-0.892828622741151
ABHD18	94	61	53	60	75	19	0.681152556306642	0.885145457962159	10133	-0.214760922648448	0.52267143795231	57.0358308408582	-0.410890871500124
ABHD2	235	284	174	237	165	14	0.526666584236995	0.812496024707329	8460	-0.556124256107235	0.87841082156905	167.933227185894	-0.633102692330071
ABHD3	87	59	38	46	43	0	0.287986823960025	0.623513507068807	5753	-0.883743953034067	0.83172117232271	41.3721004801323	-1.0625483424524
ABHD4	40	27	41	22	26	14	0.417805199108306	0.733590154389501	7304	-0.566633307661434	0.699344508186281	27.2230837071743	-0.810234871409761
ABHD5	165	349	162	265	102	89	0.400070118320224	0.719229194773891	7129	-0.288095894132101	0.342361568056923	173.372513170402	-0.841496011854348
ABHD6	54	17	33	34	0	19	0.467959941070993	0.772380022932667	7868	-0.746373174445416	1.02834217336812	25.2720137552847	-0.725802358178917
ABHD8	41	44	71	76	0	7	0.619307552042542	0.858111973319775	9465	-0.825128829765694	1.66078048136787	36.7905731952421	-0.496831964863948
ABI1	133	222	129	92	68	212	0.888374429768841	0.967453382088154	12256	0.0598762022030555	0.426585863357725	141.947137651303	0.140361430947947
ABI2	244	346	181	245	271	105	0.900837022801394	0.971146689764339	12373	-0.0340170273903155	0.273000979364421	217.682905471017	-0.12460404892873
ABI3	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ABI3BP	9	2	1	8	26	1	0.271743343886615	0.604784825485625	5577	1.73626919156952	1.57978130114282	7.70363327678017	1.09905667975276
ABITRAM	87	147	70	101	60	20	0.287565091215034	0.623379359550693	5746	-0.502454864754725	0.4724636644653	73.4145609047179	-1.06347832128713
ABL1	214	199	99	242	154	86	0.607829090060684	0.853437934760186	9343	0.168574894695502	0.328494136137701	156.480694772062	0.513174745453713
ABL2	224	324	218	198	119	209	0.492791597386361	0.787405944169757	8136	-0.194406996796008	0.283443549424019	207.712110922568	-0.685875537443205
ABLIM1	160	216	108	109	40	132	0.343864146148901	0.675870907947841	6439	-0.397129571660494	0.419551308310327	121.9577064731	-0.94655781973334
ABLIM2	1	8	1	0	2	0	0.508655886831872	1	8290	-1.92273259124321	2.90912291465753	1.65335465725179	-0.660932056722518
ABLIM3	0	0	5	0	0	0	0.43907788926185	1	7546	-3.05935493751909	3.95392553257143	0.833924448654529	-0.773751278904193
ABO	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ABR	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ABRA	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ABRACL	213	398	151	326	362	182	0.053518841771435	0.261178690902201	2464	0.510528849364092	0.264425351448007	259.502211571091	1.93071067720402
ABRAXAS1	44	15	22	24	32	69	0.16765888662519	0.479190453764533	4219	0.993938877519021	0.720368021857779	36.6635102264293	1.3797654079032
ABRAXAS2	194	247	180	225	198	143	0.497024225965405	0.789937680998596	8177	0.153619605601016	0.226184150374388	190.412968193089	0.679179356054524
ABT1	498	595	403	558	495	483	0.0217224704492014	0.151504786896617	1724	0.353483612346227	0.154010882420085	494.413709283088	2.29518594265341
ABTB1	0	0	1	0	0	0	0.870632598490506	1	12042	-0.664525427963192	4.0804728567969	0.166784889730906	-0.162855005114489
ABTB2	98	94	54	130	51	59	0.583300839464904	0.840680859016515	9105	0.234647152055495	0.427743614651806	77.3935231645876	0.54856961978615
ACAA1	52	55	38	30	13	30	0.302656832289964	0.638830067032538	5921	-0.652985287045575	0.633503385104261	34.5528506073747	-1.03075264063207
ACAA2	105	133	123	170	173	233	0.000975466861884923	0.0178840547986128	656	1.01494333753289	0.30779095967461	160.338274432593	3.2975086032607
ACACA	5	3	10	0	1	1	0.200945689222829	0.524359688497063	4664	-2.87606909480214	2.24892858306629	3.19397804835701	-1.27886190626862
ACACB	0	4	1	0	0	21	0.239885427313811	0.569167279737918	5192	2.77893418757449	2.36450057267532	5.30029855792426	1.17527321400911
ACAD10	6	15	6	24	0	1	0.969336957345132	0.990923551720349	13014	0.0642074235404491	1.67033320277577	7.68999512762672	0.0384398893788071
ACAD11	27	50	47	96	65	102	0.00201915624824138	0.0307008750917814	791	1.41506892348136	0.458336748169506	66.6208366046822	3.08740010294358
ACAD8	52	32	41	96	54	14	0.375592625009652	0.697622795713677	6859	0.547573114775938	0.617996111951444	45.8762154805057	0.886046213214624
ACAD9	23	77	31	72	5	86	0.317532444115789	0.651366656213645	6123	0.756655388166783	0.757002471033659	49.153447139736	0.999541503654009
ACADL	0	0	0	19	0	0	0.113247289520033	0.393307869205151	3463	5.18326958324764	3.27275244247723	2.9262819480028	1.58376463675459
ACADM	392	512	341	447	343	315	0.433725720665296	0.745531754705919	7479	0.130654896579034	0.166900282022724	377.338033638572	0.78283208988973
ACADS	1	5	6	11	36	0	0.165379604593361	0.475500957313975	4192	2.16017564906707	1.55721569845465	9.64815422174795	1.38720387368994
ACADSB	69	75	19	47	19	58	0.986197575294395	0.996872060625388	13148	0.0109831790268521	0.63487916583352	46.2843924738892	0.017299636872526
ACADVL	3	17	6	10	25	0	0.634376964865009	0.865062353695637	9661	0.711895063877664	1.49691340357727	9.39621579194602	0.475575315296398
ACAN	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ACAP1	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ACAP2	77	77	58	94	56	79	0.298701792601234	0.635188197175901	5868	0.421923509232974	0.405999645717321	72.4861474898256	1.03922137293376
ACAP3	6	11	6	15	4	1	0.993122603854686	0.998994165708995	13208	-0.013124469572877	1.52262306084937	6.49534375857438	-0.00861964455310151
ACAT1	128	162	130	145	82	74	0.502414104750746	0.79463194688872	8217	-0.211868110976245	0.315892830764215	114.008889386622	-0.670696167632829
ACAT2	471	465	461	768	678	498	6.45998274801632e-07	3.61368430280894e-05	215	0.744291474553594	0.149548234898623	550.952328880553	4.97693252653994
ACBD3	380	675	493	515	542	398	0.207442575005012	0.531624088980455	4753	0.217162566735866	0.172265258824837	484.022373221137	1.2606289173877
ACBD4	21	7	0	0	0	0	0.0453657592533455	0.237636753719506	2296	-5.35531423568686	2.67598840329792	4.0674021232563	-2.00124717621605
ACBD5	337	373	321	361	313	253	0.464511127604777	0.770504942640859	7831	0.130189962907769	0.177991582651085	316.315738512005	0.731438874629136
ACBD6	134	188	182	103	182	96	0.717507550004641	0.905132877245926	10452	-0.115710021154313	0.319824802740761	142.377711374323	-0.361791894070528
ACBD7	56	98	59	101	32	44	0.977613404692535	0.993893188354787	13080	0.0136326753570966	0.485820809139194	61.2798701309067	0.028061118627775
ACCS	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ACCSL	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ACD	67	101	109	81	112	95	0.334096105791754	0.667027533923876	6308	0.363951312431672	0.376801667408628	93.5878976180088	0.965896236432998
ACE	4	8	0	0	7	0	0.878796765387002	0.962857674893821	12189	-0.412899836487399	2.7076339012866	2.80234940438285	-0.152494706278865
ACE2	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ACER1	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ACER2	2	0	1	0	0	0	0.574812998319466	1	9005.5	-2.23811655819937	3.98967387385214	0.4715949440003	-0.560977320193444
ACER3	54	95	61	15	75	2	0.227962403528673	0.556804189122532	5024	-0.942212361580434	0.781514107340137	45.7991933348301	-1.20562425262831
ACHE	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ACIN1	340	524	344	458	451	339	0.0323964633376594	0.1926012182709	2023	0.354381283092957	0.16563864359252	396.939329143972	2.13948433413131
ACKR1	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ACKR2	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ACKR3	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ACKR4	0	1	0	0	0	0	0.870632598490506	1	12042	-0.664525427963192	4.0804728567969	0.12384236477538	-0.162855005114489
ACLY	497	524	510	514	514	436	0.159440114141753	0.468129294016918	4104	0.224741136926028	0.159735601788353	489.419763468664	1.40695708664751
ACMSD	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ACO1	28	21	26	8	8	1	0.0687167738186641	0.302842300739126	2729	-1.96203248163545	1.07787554782087	14.0311235666959	-1.82027738323044
ACO2	215	198	173	271	191	253	0.0190584900334504	0.138372255377217	1656	0.596344719465678	0.254371502630885	216.555436989363	2.34438493816277
ACOD1	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ACOT1	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ACOT11	3	1	2	11	15	0	0.235608257428375	0.56593978671681	5124	2.24104508145637	1.8895260483631	5.18448412506915	1.18603555817492
ACOT12	0	1	0	0	0	0	0.870632598490506	1	12042	-0.664525427963192	4.0804728567969	0.12384236477538	-0.162855005114489
ACOT13	102	133	61	56	86	50	0.464744870385754	0.770719204961263	7833	-0.296558686761466	0.405657890738504	76.6255674128028	-0.731056127668509
ACOT2	305	392	328	403	404	280	0.0342049489951693	0.198448104951713	2073	0.369664751269001	0.174563890301586	343.017103234189	2.11764730168621
ACOT4	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ACOT6	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ACOT7	177	261	223	184	159	158	0.70379465649289	0.89830127641947	10334	-0.094241874369642	0.24787244969334	187.029174299752	-0.380203102386873
ACOT8	64	42	57	50	49	59	0.612036297219151	0.854825787783992	9389	0.251350872602148	0.495595965102809	53.6076909712122	0.507168924488735
ACOT9	63	89	120	93	173	78	0.138933790692548	0.437537758748172	3825	0.596180268453299	0.40288625307093	101.894780398949	1.47977317148207
ACOX1	88	188	87	135	148	62	0.528432190741041	0.813122035106762	8484	0.226547876290992	0.359371003594338	111.103375145842	0.630401100882143
ACOX2	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ACOX3	5	3	4	1	0	32	0.23993158980968	0.569167279737918	5194	1.99719937861737	1.69951591048447	9.02235494690794	1.17515780011029
ACOXL	6	23	16	23	31	13	0.33580786743001	0.66886417047933	6323	0.867943753131159	0.901777217556319	18.1680364670901	0.962481349310594
ACP1	399	531	364	381	159	155	0.010938101076132	0.0978085811469436	1345	-0.635899433704813	0.249894642087292	307.495529590802	-2.5446701393569
ACP2	66	112	66	170	58	143	0.0219414322705172	0.152273286738321	1733	0.949981954846265	0.414589400926208	102.662304327756	2.29138022516728
ACP3	0	0	0	9	0	0	0.295507955865816	1	5839.5	4.10763532575998	3.92656204695716	1.38613355431712	1.04611496689404
ACP4	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ACP5	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ACP6	39	99	122	68	123	119	0.205107141264255	0.530043744732529	4714	0.584262745504608	0.461089701180764	96.4284610443663	1.26713466817502
ACP7	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ACR	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ACRBP	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ACRV1	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ACSBG1	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ACSBG2	0	0	7	0	0	0	0.367986144495016	1	6749.5	-3.54740211311751	3.94045445738329	1.16749422811634	-0.900252027141358
ACSF2	1	1	6	0	13	0	0.734458771426461	0.910548269777429	10630	0.821133610105179	2.4207920193133	3.50922457448597	0.339200395388823
ACSF3	18	33	23	21	20	1	0.54194824269885	0.819303897286989	8634	-0.617238118364709	1.01208224862958	17.5555748483511	-0.609869523154354
ACSL1	43	75	48	40	26	2	0.145086071234971	0.447308428285825	3907	-1.09162935656902	0.749174393054998	34.9141255150661	-1.45710980872898
ACSL3	516	492	447	379	395	266	0.22433966075323	0.551699010374817	4987	-0.20929864800439	0.172252436722085	399.072333831061	-1.21506930170211
ACSL4	56	63	58	95	26	31	0.995061157694528	0.998994165708995	13230	0.00334253255275896	0.539992557358741	51.9530038418388	0.00618996041187726
ACSL5	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ACSL6	8	0	0	0	0	0	0.358716536299887	1	6620	-3.61518934321867	3.93891516762788	1.21924021707758	-0.917813456083095
ACSM1	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ACSM2A	0	0	2	0	0	0	0.668264625957642	1	9980.5	-1.72463973961824	4.02453977637156	0.333569779461811	-0.428530921658114
ACSM2B	0	1	0	0	0	0	0.870632598490506	1	12042	-0.664525427963192	4.0804728567969	0.12384236477538	-0.162855005114489
ACSM3	0	0	2	0	12	0	0.403164621060439	0.721956246718312	7153	2.66268020563273	3.18508998256352	2.3941247125607	0.835982725828575
ACSM4	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ACSM5	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ACSM6	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ACSS1	28	53	116	63	58	47	0.997263111480307	0.999756892704314	13253	-0.00189800910262218	0.553325127634412	60.2209254931503	-0.00343018780068166
ACSS2	28	14	19	41	4	1	0.77785391387974	0.927272179822741	11140	-0.327699449680095	1.16157347735234	16.3923708399484	-0.282116849316364
ACSS3	24	8	1	19	4	13	0.743263211909665	0.913744970385146	10765	0.427193268931913	1.3042672067559	11.2996101809736	0.327535083853307
ACTA1	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ACTA2	137	79	1	75	27	46	0.868471989339763	0.960305998538449	11953	-0.227200901304813	1.37198866702669	57.1769264345653	-0.165599692450224
ACTB	660	984	801	807	783	448	0.951334513706066	0.988559750984837	12818	0.00913371243214291	0.149656914193342	713.731162738093	0.0610310086999593
ACTBL2	0	7	0	8	4	0	0.674410163842907	0.882411993096023	10067	1.13401118504534	2.69936422734042	2.7858669127425	0.420103064847472
ACTC1	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ACTG1	14303	17045	13148	16429	14908	10926	9.19790213546972e-06	0.000386794297144386	286	0.211082452578291	0.0475923476027973	13986.9959882128	4.43521833257674
ACTG2	0	3	0	0	0	0	0.630810241284191	1	9601.5	-1.92684276158392	4.00935481579014	0.37152709432614	-0.480586740289332
ACTL10	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ACTL6A	146	164	105	214	209	16	0.752354375673007	0.917194842442643	10847	0.270594751813084	0.857570485191782	132.454693408894	0.315536456169629
ACTL6B	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ACTL7A	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ACTL7B	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ACTL8	12	14	18	15	0	46	0.440490465505127	0.750181085900617	7568	0.918981358970171	1.19136992106035	19.0347484961672	0.771365251652696
ACTL9	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ACTN1	267	358	321	331	268	109	0.475426876535826	0.777063809175628	7944	-0.188318707856005	0.263871028887993	259.637807526995	-0.713677089332689
ACTN2	13	3	4	0	10	28	0.353811023050193	0.68333965543495	6556	1.3816308370063	1.49007475241139	10.9212533957057	0.927222499925189
ACTN3	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ACTN4	1	1	0	1	0	1	0.90677860700779	1	12436	0.412407696309935	3.52175838480238	0.6511262412354	0.117102779705052
ACTR10	70	107	73	159	101	57	0.108721435739783	0.386212751575958	3385	0.596909957412632	0.372146148464353	90.5153939281369	1.60396650583584
ACTR1A	228	242	229	340	287	285	0.0011065406019782	0.0197746862109833	673	0.677554466711573	0.207715428324288	267.504831917	3.26193616034033
ACTR1B	51	104	37	121	37	37	0.561660015084455	0.828313438339258	8889	0.306831202058797	0.52867513854971	59.9844448829375	0.580377588589683
ACTR2	253	429	226	146	258	161	0.204832456559395	0.529675328970079	4711	-0.342145397037424	0.269851316873738	231.727434645376	-1.2679033810219
ACTR3	411	378	252	308	250	196	0.39309670015404	0.712698048663473	7041	-0.179867681877019	0.210614204900059	285.134816499579	-0.854014960493146
ACTR3B	61	31	25	14	2	2	0.00983468092629179	0.0905192631472992	1305	-2.52599521877355	0.978465524832268	20.2468037997826	-2.58158836940787
ACTR3C	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ACTR5	64	60	45	142	122	77	0.000413481737254943	0.00896801822525226	554	1.28016165935291	0.362515849402842	84.515394771213	3.53132604122459
ACTR6	53	152	135	168	237	133	0.00754200021465187	0.0757241832528196	1197	0.957612918790057	0.358399620114733	145.36283226454	2.67191387782024
ACTR8	93	121	35	68	16	36	0.20336359976961	0.52757851907444	4694	-0.727073607402859	0.571586708214679	56.1675848149005	-1.27202679305443
ACTRT1	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
ACTRT2	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
