rownames(count)	DMSO.P0.1	DMSO.P0.2	DMSO.P0.3	TPG.P0.1	TPG.P0.2	TPG.P0.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
AARS2	306	378	454	448	513	376	0.0666359408220747	0.211357518294131	3434	0.434270344922197	0.23677292554221	411.6394754978	1.83412163332323
AARSD1	567	552	446	783	659	727	0.000202661450097534	0.00261334994431146	772	0.698966803120731	0.188112977548754	626.106789819228	3.71567561275551
AASDH	188	140	144	123	144	205	0.513237908693312	0.727975488295197	9278	0.25380069313397	0.388190626604978	159.878194636691	0.653804280009669
AASDHPPT	1123	1333	1156	1088	1180	941	0.710304200481794	0.860357383791748	11243	0.049284908614691	0.132683352042866	1118.71038419758	0.371447569388874
AASS	1009	1102	678	755	702	626	0.260846928234435	0.500296666837891	6218	-0.189636456107064	0.168656946396554	789.823421378562	-1.12439161362013
AATF	0	5	0	0	0	20	0.310642173652444	1	6856	2.66611478160315	2.62962744306805	4.88691005537979	1.01387547830446
AATK	36	4	52	29	16	39	0.968522524200953	1	13844	0.0364692786888825	0.924175889287074	30.5711824875917	0.0394614046001737
ABAT	174	240	66	70	66	3	0.0166036385084325	0.0817633630052391	2109	-1.62541945153769	0.678567409230615	93.1912681898661	-2.39536916955775
ABCA1	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ABCA10	3	0	0	0	0	0	0.564434972018165	1	9811	-2.29960802109079	3.99052779690967	0.484397629329287	-0.576266633920367
ABCA12	0	3	4	0	3	0	0.76515608573869	1	11823	-1.04658859315403	3.50361397702431	1.57760206020292	-0.298716867787735
ABCA13	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ABCA2	4	15	29	16	0	0	0.344901535110984	1	7287	-1.57804509844043	1.67072913205937	9.95746833534905	-0.944524799477999
ABCA3	190	222	199	51	39	47	3.91292960497776e-07	1.29627321156149e-05	297	-1.93114681229642	0.380660635700691	117.620436602361	-5.07314555586162
ABCA4	0	4	0	0	0	0	0.542124373252009	1	9567.5	-2.4283275735042	3.98345294308916	0.520780871146298	-0.609603680072855
ABCA5	48	40	29	63	55	19	0.55925497307144	1	9752	0.381022311718838	0.652493024810037	40.9985398255779	0.58394848256005
ABCA6	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ABCA7	16	24	17	9	0	0	0.096061983916482	1	3982	-2.58675517201844	1.55430452951518	9.96328091370231	-1.66425248263628
ABCA8	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ABCA9	0	0	0	1	0	0	0.772268088253345	1	11899.5	1.18092727708145	4.0804728567969	0.154399392628385	0.289409418595779
ABCB1	139	220	205	118	135	69	0.0895472274615007	0.256493499561486	3864	-0.612782059059613	0.360929044020291	141.549583458148	-1.69779093484414
ABCB10	291	403	278	316	128	158	0.115739486470471	0.301818395807836	4307	-0.489433215051701	0.311164009944335	250.447640535615	-1.57291074613435
ABCB11	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ABCB4	17	15	4	34	0	0	0.988425200761695	1	14020	-0.0244240998111762	1.68356514861364	10.6216738992445	-0.0145073683850539
ABCB5	0	0	9	0	0	0	0.315419368899991	1	6920.5	-3.9490787321354	3.93367661802798	1.51705436298328	-1.00391544999831
ABCB6	261	213	215	151	147	74	0.0323196721475168	0.128586030836805	2656	-0.722481569173369	0.337539683062096	170.227913360098	-2.14043445979197
ABCB7	1004	1075	758	945	660	882	0.786911244883658	0.901128615281397	12062	0.0502910364195221	0.186040066334653	875.362807830854	0.270323685700355
ABCB8	36	102	129	49	54	157	0.640179435296906	0.814201970755748	10600	0.288841466822332	0.617911528295439	90.8846419303195	0.46744793323265
ABCB9	127	227	134	41	97	30	0.00621270611903472	0.0396927373410277	1604	-1.31038541746025	0.478882771451632	101.911574728662	-2.7363386105708
ABCC1	0	0	0	1	0	0	0.772268088253345	1	11899.5	1.18092727708145	4.0804728567969	0.154399392628385	0.289409418595779
ABCC10	111	144	58	42	26	117	0.528785024553482	0.740048492214504	9424	-0.387960135739026	0.615944881215279	82.1563912705621	-0.629861774276892
ABCC11	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ABCC12	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ABCC2	0	10	0	3	0	0	0.692155853425302	1	11077	-1.47730535596232	3.73121822428612	1.7651503557509	-0.3959311053818
ABCC3	7	3	1	0	0	0	0.226152555224007	1	5784	-4.10802059776691	3.3941346083916	1.68940838434842	-1.21032930974815
ABCC4	809	932	625	367	528	387	0.00170226991134986	0.0145894021409158	1172	-0.644320491743888	0.205342155934772	586.196257894244	-3.13778965069675
ABCC5	309	303	200	400	278	258	0.108631481452934	0.290283852801579	4187	0.414085849256021	0.258097965468184	286.974420031517	1.60437471293072
ABCC6	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ABCC8	4	4	0	0	0	16	0.531015497595624	1	9441	1.52323886424136	2.43151540606728	4.55539155007621	0.626456595932099
ABCC9	0	0	0	0	0	1	0.772268088253346	1	11924.5	1.18092727708145	4.0804728567969	0.211796698322346	0.289409418595779
ABCD1	16	22	4	15	5	0	0.526981442910987	1	9411	-0.935264375713121	1.4783970072109	9.29260279285986	-0.632620582395228
ABCD2	3	5	0	0	0	0	0.369394377999411	1	7585	-3.53880742145897	3.94248489721035	1.13537371826216	-0.897608364704957
ABCD3	457	832	495	469	643	389	0.979015822107172	0.993249811684106	13925	-0.00579880834994454	0.220463543343933	530.256255813354	-0.0263027993743988
ABCD4	115	166	153	210	156	113	0.321035409438506	0.562240547074663	6992	0.333892942742744	0.336472886592126	148.991846687973	0.992332387089157
ABCE1	1668	1908	1457	1276	1346	982	0.0235390310462311	0.103468530427685	2383	-0.265422095429986	0.117206358260926	1398.39260251602	-2.26457079093866
ABCF1	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ABCF2	1369	1705	1201	1629	1218	944	0.80330259194067	0.908448110217448	12225	0.0321554344749906	0.129099288219935	1305.10943110276	0.249075226659733
ABCF2-H2BE1	13	0	9	0	1	0	0.104787664406825	1	4126	-4.24137063356426	2.61478365804147	3.78703409784188	-1.62207325279872
ABCF3	47	77	93	64	86	112	0.294115053772409	0.536140703389226	6637	0.53421761584804	0.509197177190886	81.5923550546637	1.04913703331033
ABCG1	24	16	19	27	8	3	0.603662848800476	1	10195	-0.555487962694082	1.07001493312137	15.3325352657934	-0.519140383465168
ABCG2	20	13	16	44	52	34	0.0271898263858783	1	2498	1.5920273747288	0.720771705392066	30.5015156500031	2.20878173049649
ABCG4	0	2	0	0	0	0	0.722084658631802	1	11388	-1.44299322175463	4.05706601527794	0.260390435573149	-0.355674079820409
ABCG5	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ABCG8	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ABHD1	11	0	7	0	0	0	0.103940556293465	1	4109	-4.91287977157829	3.02137179255833	2.95605581208327	-1.62604277423876
ABHD10	523	604	393	695	377	381	0.535983823459565	0.745227995012551	9494	0.139182171175399	0.224887238965987	481.769491638055	0.618897594258117
ABHD11	178	303	194	353	272	203	0.0557389671206833	0.187300443135384	3215	0.512877807502683	0.268091364428711	244.879890734296	1.91307097338103
ABHD12	720	747	662	515	394	228	0.000596147496258394	0.00626655471761361	950	-0.732716661468445	0.213410891969195	520.24816601668	-3.43336113123134
ABHD12B	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ABHD13	172	166	138	46	186	82	0.438749624580274	0.669632325983769	8408	-0.369500693581142	0.477202173953884	128.907479900827	-0.774306392025889
ABHD14A	164	194	131	145	40	78	0.123557094703449	0.314372447578803	4426	-0.689650496032369	0.447821109822337	119.564833092657	-1.54001336896774
ABHD14A-ACY1	231	300	268	274	322	295	0.125304697128108	0.317505257544027	4446.5	0.393626592040065	0.256788420534051	281.354465910992	1.5328829517368
ABHD14B	84	67	96	155	76	101	0.179054861759674	0.397320880661577	5184	0.603189572248681	0.448911719687272	96.7816727295072	1.34367080607493
ABHD15	123	118	142	110	148	37	0.616380777459423	0.799514097281017	10362	-0.234039807843287	0.467158116504689	109.276150626881	-0.500986281891857
ABHD16A	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ABHD16B	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ABHD17A	77	64	44	38	43	21	0.261426211348956	1	6227	-0.670471292835349	0.597021755694504	45.8466878953657	-1.12302656719001
ABHD17B	295	397	260	221	265	170	0.225963885277195	0.458822454530825	5774	-0.311072381364679	0.256910224088741	258.568339819348	-1.21082133834125
ABHD17C	158	336	229	219	268	51	0.557449695662664	0.760502988855373	9733	-0.25166546029016	0.428999270292914	198.280361126844	-0.586633772403218
ABHD18	170	156	150	252	164	93	0.48153603105382	0.703360007354295	8900	0.250798925677747	0.356332392966557	159.681060179548	0.703834202638113
ABHD2	684	793	530	614	484	350	0.150335995792668	0.356085911726576	4799	-0.266701921268781	0.185422686815386	554.682081590212	-1.43834568385
ABHD3	219	148	144	185	122	76	0.49066439833013	0.709426453368134	9050	-0.263661262875619	0.382532194894175	144.415873303932	-0.689252477032838
ABHD4	73	121	126	73	84	131	0.7882149047191	0.9014890224128	12079	0.125495744870177	0.46717059421712	102.153475208649	0.268629375272392
ABHD5	249	503	272	333	215	185	0.368458504801953	0.608852971107283	7572	-0.251342469135602	0.279466723158369	278.887857133283	-0.899364569402311
ABHD6	75	54	42	50	5	34	0.339545098213237	1	7223	-0.733831219529206	0.76835778851826	41.9957436008333	-0.955064464101241
ABHD8	215	192	168	150	63	12	0.0223480598101742	0.0998558403598112	2343	-1.26275346701619	0.552772594108596	124.500633122631	-2.28439955322408
ABI1	314	479	296	369	293	352	0.525062295279204	0.737380520018853	9389	0.153243688312643	0.241115450959553	344.564379536621	0.635561461129047
ABI2	831	1017	775	824	808	290	0.235874131668857	0.471988119074616	5899	-0.279514246351504	0.235804856580857	723.97411827235	-1.18536255107052
ABI3	1	0	0	0	0	0	0.855586569599313	1	12749	-0.742626074561041	4.0804728567969	0.161465876443096	-0.181995102191168
ABI3BP	108	89	91	50	80	56	0.377580388063145	0.617830274098335	7675	-0.416514598885338	0.472044349409627	77.6192462899185	-0.882363276684196
ABITRAM	225	252	156	216	121	106	0.33980252781848	0.581345343628243	7229	-0.317480549616288	0.332595169302337	171.917069143091	-0.954555504465823
ABL1	229	251	124	320	218	147	0.240330907902659	0.477218123684008	5956	0.380553397082253	0.324106908341227	208.359531913801	1.1741600912795
ABL2	402	488	333	313	231	302	0.246841842190118	0.485056298244173	6033	-0.285060442085936	0.246154623762425	336.348464620108	-1.15805438763994
ABLIM1	526	680	436	406	349	371	0.14235870007945	0.343478777069386	4700	-0.300185124804012	0.204616271269452	447.871629438726	-1.46706380163046
ABLIM2	1	8	1	0	13	0	0.777665663620672	1	11977	0.688925334309734	2.43986239072855	3.59359264890137	0.282362372946787
ABLIM3	2	0	22	0	0	0	0.0539763936910466	1	3190	-5.35989022992873	2.78143124006268	4.03128686240087	-1.92702596876274
ABO	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ABR	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ABRA	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ABRACL	1367	1912	1323	1211	1144	992	0.0599992341216381	0.19684310254178	3306	-0.226401318310202	0.120375058622174	1285.28039228945	-1.88079923616749
ABRAXAS1	102	27	64	61	138	94	0.177270247232202	0.395435614078215	5154	0.784570078695934	0.58150427953339	83.6874060784085	1.34920774671768
ABRAXAS2	223	287	211	289	268	202	0.245357379978348	0.48358799311037	6011	0.29026050722682	0.249858421530889	242.151227628798	1.1616999156898
ABT1	778	892	637	796	772	819	0.0881629648138722	0.25375105392259	3836	0.293074190319532	0.171874014252151	777.444554504519	1.70516870508169
ABTB1	0	0	8	2	1	1	0.748206421460698	1	11657	-0.952639850733709	2.96767696591757	2.04001159177372	-0.321005237994009
ABTB2	98	94	54	141	51	59	0.674381684105537	0.83756236551708	10922	0.212075920046896	0.504771943127043	80.147742498898	0.420142052137632
ACAA1	287	353	301	262	335	212	0.987239108656224	0.995923055410562	14006	-0.00397794140925142	0.24871324679621	285.649518960749	-0.015994087409871
ACAA2	689	677	698	857	694	831	0.0231672449210456	0.102446077653109	2370	0.428983338398707	0.188924070594183	743.992279750607	2.27066533687061
ACACA	12	24	14	1	36	22	0.617699423741385	1	10373	0.557428025769474	1.11683619000854	18.3893051218742	0.499113505414981
ACACB	2	31	6	23	0	21	0.691633083591483	1	11073	0.564377809733996	1.42289750163351	13.3692697748143	0.396639820567596
ACAD10	36	37	43	89	48	58	0.0928389457464092	0.26173134303694	3928	0.939787021252883	0.559194429897243	52.1082180525405	1.6806086953076
ACAD11	225	212	171	400	303	328	0.000139050855273704	0.00191078402938265	725	0.980508349302396	0.257361372128309	275.774087721018	3.80985048841579
ACAD8	145	163	136	260	101	16	0.7998920007128	0.906802326882503	12192	-0.147137968471149	0.580455959676836	128.354596331568	-0.25348687702865
ACAD9	301	380	232	412	373	388	0.0085402462818967	0.0505276507321597	1738	0.608636741637839	0.231426978049922	346.725776755713	2.6299299535707
ACADL	19	37	38	45	8	1	0.486007353845858	1	8972	-0.731944564837337	1.05062832544178	22.8175714496158	-0.696673168914952
ACADM	1398	1766	1322	1557	1183	1256	0.627686989658092	0.807372920777315	10459	0.0617248827011996	0.127271737040192	1387.11129957581	0.48498499460023
ACADS	76	119	79	89	133	98	0.252262823394152	0.490831047109775	6112	0.475407935245228	0.415250417343875	98.3114303469507	1.14487045741253
ACADSB	288	327	199	216	149	178	0.234076889939612	0.469059576398338	5882	-0.347344180970953	0.291904899323317	219.137425146105	-1.18992240889466
ACADVL	475	670	391	606	436	284	0.968338900666241	0.988123464390702	13843	-0.00882569399463962	0.222356031813933	458.073542194536	-0.0396917228763326
ACAN	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ACAP1	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ACAP2	155	171	144	212	190	176	0.0816790338712639	0.241480676575688	3714	0.51782873664563	0.297427355019458	174.047787848555	1.74102592753028
ACAP3	77	90	79	119	93	51	0.543473648094133	0.749881518537435	9603	0.270609444987179	0.44539736908606	82.5378382213502	0.607568575320641
ACAT1	1013	1391	1197	1274	1170	1034	0.190900606189669	0.41426357836351	5332	0.1716947483419	0.131273174712164	1162.1176324137	1.30791952520663
ACAT2	3016	3521	2842	3273	3003	2586	0.0906942607278459	0.2584247991026	3885	0.13674594065188	0.0808312098053698	2990.7887679425	1.69174680152809
ACBD3	505	880	617	760	858	665	0.0168057587356013	0.0821420070539402	2125	0.43035541449202	0.179994990431856	704.95513336257	2.39092995565867
ACBD4	58	30	18	12	20	44	0.840858987580934	1	12548	-0.168537814353583	0.839353258960635	30.8953003529543	-0.200794853125705
ACBD5	542	675	553	603	555	431	0.737202835252963	0.873392036850411	11552	0.0564657405361625	0.168273252179539	547.860504605059	0.335559810039902
ACBD6	813	983	914	720	687	565	0.106961722419606	0.287069390858293	4160	-0.246934697633635	0.153185201402133	761.57598785232	-1.61200099861733
ACBD7	247	318	297	301	164	171	0.391223392545804	0.629931855782336	7841	-0.244796771504453	0.285510298915481	242.069825250419	-0.857400844853305
ACCS	0	12	22	8	23	0	0.989308943275204	1	14028	-0.0222808338148874	1.66279178755166	10.4371297092429	-0.0133996535114564
ACCSL	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ACD	316	392	383	538	404	442	0.0100314823882786	0.0568219661590517	1818	0.560512511000601	0.217696556165416	412.352877249373	2.57474220480868
ACE	9	24	10	13	28	0	0.927027044858587	1	13479	0.120480447583035	1.31549104793274	13.056539728659	0.0915859121750517
ACE2	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ACER1	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ACER2	2	0	1	0	0	0	0.56109720935809	1	9767.5	-2.31871166072426	3.98943838129768	0.491493348773222	-0.581212551519603
ACER3	264	298	173	198	180	77	0.137304037810742	0.33636370295385	4627	-0.50678247637343	0.341059624714108	188.231949278778	-1.485905805468
ACHE	7	9	0	12	0	0	0.901533509210768	1	13246	-0.303664138305094	2.45435979176232	4.15481080672146	-0.123724377870065
ACIN1	1277	1710	1169	1571	1312	1108	0.157209547808447	0.366169495210714	4900	0.164042160075065	0.115970269910329	1327.35786330621	1.41451908495088
ACKR1	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ACKR2	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ACKR3	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ACKR4	0	1	0	0	0	0	0.855586569599313	1	12749	-0.742626074561041	4.0804728567969	0.130195217786575	-0.181995102191168
ACLY	4153	5421	4128	5280	4261	3197	0.215719967196176	0.445428910229417	5665	0.100442287008954	0.0811333939900713	4292.82552234537	1.23798946487121
ACMSD	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ACO1	177	180	105	146	145	145	0.645771029505951	0.818359242569429	10647	0.160241186060739	0.348619422496441	147.750283939896	0.459645033295224
ACO2	1007	1163	1151	1088	1129	991	0.253031744819608	0.491123290693315	6127	0.168003813972971	0.146982843654487	1078.87709204713	1.14301648951559
ACOD1	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ACOT1	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ACOT11	6	28	4	26	24	0	0.649963686642993	1	10680	0.616855952383171	1.35927451290619	13.4050521349294	0.453812637937502
ACOT12	0	1	0	0	0	0	0.855586569599313	1	12749	-0.742626074561041	4.0804728567969	0.130195217786575	-0.181995102191168
ACOT13	1038	1148	946	739	744	706	0.0600318874556617	0.196884580225419	3307	-0.287538404605048	0.152900468937131	867.321545421182	-1.88055933774328
ACOT2	894	869	770	922	778	509	0.937300397048594	0.973515215894401	13571	-0.0133149832911414	0.169265397156836	770.421685453641	-0.0786633506599354
ACOT4	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ACOT6	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ACOT7	1800	2115	1814	1915	1509	1672	0.644849706852395	0.817929130555719	10636	0.0575679397592985	0.124895521766688	1779.49443635099	0.460928774266533
ACOT8	649	671	472	501	480	300	0.156352824958951	0.364610616876065	4888	-0.28396137778521	0.200333241195102	494.649727135775	-1.41744513337486
ACOT9	322	503	452	567	572	315	0.0927575872007018	0.261625339511503	3926	0.381547004649385	0.226972504062443	445.698614802355	1.68102742764127
ACOX1	447	635	533	452	499	202	0.224267363425347	0.456656992703226	5754	-0.304004671579932	0.250156301999148	442.55474640955	-1.21525889673956
ACOX2	0	7	10	0	0	0	0.134452232092826	1	4587	-4.72842861668857	3.15908115638322	2.59698248337633	-1.49677339157126
ACOX3	10	22	49	5	19	47	0.897396477368848	1	13199	0.127406260898288	0.988021270511838	26.7124570193611	0.128950929196378
ACOXL	17	57	21	41	40	35	0.410348650811234	1	8069	0.579390758650483	0.70375885895225	34.2860340099752	0.823280234813776
ACP1	1292	1766	1434	1391	904	1077	0.214631614182144	0.444113659713589	5649	-0.188068895622383	0.151554799786198	1277.64529506974	-1.24092998629998
ACP2	274	299	342	481	325	242	0.155610793993767	0.363695108542114	4875	0.365875534864332	0.257660767554209	321.889080762186	1.41998930740341
ACP3	4	6	9	13	5	0	0.988440329718361	1	14021	-0.0251224588705097	1.7339699416026	5.8058979851359	-0.0144884050569473
ACP4	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ACP5	0	0	1	0	0	0	0.855586569599313	1	12749	-0.742626074561041	4.0804728567969	0.168561595887031	-0.181995102191168
ACP6	409	538	541	486	501	544	0.207639092405341	0.434765062816802	5572	0.278333745371927	0.220885087266522	503.164496604315	1.2600839142938
ACP7	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ACR	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ACRBP	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ACRV1	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ACSBG1	1	0	0	0	0	0	0.855586569599313	1	12749	-0.742626074561041	4.0804728567969	0.161465876443096	-0.181995102191168
ACSBG2	0	0	7	0	0	0	0.362994411841215	1	7498.5	-3.58534978301494	3.94135638046373	1.17993117120922	-0.909674091078539
ACSF2	40	44	35	25	22	1	0.195057464526475	1	5405	-1.19435232027174	0.921737358012598	25.918975514575	-1.29576208438263
ACSF3	88	133	104	83	133	85	0.76080473262689	0.886764374669531	11778	0.125043387933589	0.41075376929773	102.606040376495	0.304424200774534
ACSL1	207	297	124	133	165	138	0.456850383592763	0.682500899509444	8656	-0.257921106119684	0.346648058719883	170.958468865613	-0.744043128561419
ACSL3	1654	1653	1461	1527	1673	1048	0.817833474353284	0.916685298947592	12364	0.0307570409364523	0.133533271788393	1472.23130827195	0.230332414719772
ACSL4	126	148	165	279	180	168	0.0284662969919487	0.117878744151424	2541	0.70106055957644	0.320002138456097	176.851733244781	2.19079960827394
ACSL5	0	0	0	12	23	0	0.0109427111175254	1	1865	6.10641237628366	2.39982598842931	5.78402955680284	2.54452298030172
ACSL6	41	29	24	30	43	0	0.802310823444094	1	12216	-0.262151094643304	1.04710663775419	26.4229259973472	-0.25035759032677
ACSM1	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ACSM2A	0	0	2	0	0	0	0.661031571265129	1	10778.5	-1.76597421682301	4.02740481560571	0.337123191774061	-0.438489374095217
ACSM2B	0	1	0	0	0	0	0.855586569599313	1	12749	-0.742626074561041	4.0804728567969	0.130195217786575	-0.181995102191168
ACSM3	3	7	11	36	12	0	0.394687704861729	1	7900	1.23787039101172	1.45435559805944	10.8593999363948	0.851146990917091
ACSM4	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ACSM5	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ACSM6	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ACSS1	376	460	432	513	415	321	0.391034139226905	0.629931855782336	7836	0.17512246741209	0.204166486402009	411.546394283278	0.85774345485512
ACSS2	65	135	49	115	37	81	0.74169810693712	0.875680564955096	11598	0.178758804369335	0.54234178000717	77.5667809054668	0.329605446157905
ACSS3	62	42	16	54	21	65	0.492020062463229	1	9060	0.495408415491119	0.72101413761259	43.8698117766513	0.687099447358282
ACTA1	0	0	0	4	0	0	0.467771933239791	1	8760	2.89158814514967	3.98230571785145	0.61759757051354	0.726109030802825
ACTA2	319	252	129	216	182	148	0.6690269837627	0.833584913932523	10869	-0.146545966207652	0.342810574289808	201.865483576331	-0.427483797754044
ACTB	3317	4861	3891	4316	3894	3773	0.021885998785784	0.0981876704748784	2330	0.223521664313042	0.0975080525733901	3955.40664701005	2.29234056484522
ACTBL2	0	7	3	8	4	0	0.852580874393405	1	12660	0.440588007940678	2.37096520093775	3.33593981758762	0.185826433794313
ACTC1	0	0	0	13	0	0	0.23924916945907	1	5938	4.58161046332472	3.89306188564978	2.00719210416901	1.17686556183784
ACTG1	45269	58678	49431	52646	47831	35319	0.548761637318395	0.753780225415848	9647	0.0309705069810425	0.0516504976822257	47065.5543367113	0.599616816309986
ACTG2	0	3	0	0	0	0	0.614563529016409	1	10315.5	-2.01846065165468	4.00830146604859	0.390585653359724	-0.503570070452933
ACTL10	5	0	0	0	0	0	0.442483311879342	1	8449.5	-3.03912939199672	3.95716613901342	0.807329382215478	-0.768006519118356
ACTL6A	578	614	542	689	525	342	0.904005078038961	0.958769641352305	13266	0.0239004705351104	0.198173899768524	533.177931699674	0.120603523284485
ACTL6B	0	0	0	1	0	0	0.772268088253345	1	11899.5	1.18092727708145	4.0804728567969	0.154399392628385	0.289409418595779
ACTL7A	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ACTL7B	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ACTL8	117	109	126	158	39	69	0.618376123620278	0.800888677412797	10380	-0.246836253950398	0.495502778296759	99.9966338867073	-0.49815311792776
ACTL9	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ACTN1	1653	1955	1614	1753	1556	986	0.477905330783923	0.700344139050197	8864	-0.0885161435492912	0.124727614165144	1538.94355886729	-0.709675593025394
ACTN2	14	3	4	0	22	28	0.278606430717843	1	6436	1.54287845178991	1.42403531579833	13.0159753643007	1.08345518869731
ACTN3	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
ACTN4	1	1	0	1	0	1	0.937769961655832	1	13575	0.31213445559561	3.99798061787534	0.657857185180401	0.0780730287185555
ACTR10	363	503	339	550	427	505	0.0100741142616414	0.0570306157769218	1819	0.545009699329174	0.211796139689478	446.103953948589	2.57327494319884
ACTR1A	1223	1530	1511	1573	1413	1326	0.0838891007674045	0.245943046022197	3754	0.232354917866603	0.134421621855465	1416.59536904053	1.72855314985292
ACTR1B	424	663	446	327	367	253	0.0291602433249307	0.119994828136342	2557	-0.464067535863355	0.212746840506171	396.76146501812	-2.18131340874082
