rownames(count)	DMSO.Total.1	DMSO.Total.2	DMSO.Total.3	TPG.Total.1	TPG.Total.2	TPG.Total.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
ABHD11	69	35	32	58	33	69	0.667068821612129	0.853625884815043	10865	0.164590486295463	0.382613439556757	48.3532871572557	0.430174346426865
ABHD12	121	88	120	117	115	127	0.904957961763455	0.962817091254179	13479	0.0257943728115104	0.216032132266269	113.35839421335	0.119400630549338
ABHD12B	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ABHD13	194	186	127	262	255	175	0.0899914191657814	0.30294367019604	3654	0.332697767521733	0.196230585312869	196.659545651326	1.69544297588107
ABHD14A	2	11	2	9	6	3	0.957109740165976	0.983815179006295	13966	0.0614774284550513	1.14310930503121	5.58625336325045	0.0537808835817086
ABHD14A-ACY1	36	9	33	29	32	29	0.78228432916059	0.912919999301995	11994	0.135296674549339	0.489596195626673	27.2582872666974	0.276343394327569
ABHD14B	10	6	12	4	15	8	0.85552777470327	0.943089838849284	13017	-0.151278581997798	0.830881331176071	9.05379398530845	-0.182070021700537
ABHD15	62	66	102	56	32	63	0.034974023007436	0.171156186394734	2476	-0.72161799262105	0.342216536613881	64.020815684004	-2.10865903723186
ABHD16A	2	2	0	4	0	4	0.672108385736098	1	10960.5	0.908449287158165	2.14633453874924	1.97051624880383	0.423256147053179
ABHD16B	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ABHD17A	14	1	4	8	35	3	0.208214812114108	0.482573203377475	5434	1.23667507548326	0.982666249386073	10.2084939250218	1.25848941719111
ABHD17B	269	251	244	212	251	304	0.554081979073249	0.78926116804227	9540	-0.0994700810274123	0.16812190749488	254.040828075205	-0.591654487565469
ABHD17C	223	138	143	139	200	174	0.750618512579148	0.895648696282749	11729	-0.0632536955410228	0.199021198500068	166.867218323969	-0.317823910305721
ABHD18	236	161	198	166	252	155	0.415757497251614	0.687991333314191	7886	-0.155582456631173	0.191179376589791	191.996814012989	-0.813803556672341
ABHD2	292	195	207	181	183	215	0.0359142194340624	0.174186153256794	2498	-0.352759885628713	0.168149264143617	210.089312686196	-2.09789729039445
ABHD3	179	180	192	132	172	196	0.207700011673278	0.482035259446285	5427	-0.249920935825244	0.198363324040151	175.043447927527	-1.25991504243323
ABHD4	54	26	34	50	57	111	0.0225108524624347	0.12905357108147	2106	0.870013437454751	0.38131127023484	54.2169667646218	2.28163577992052
ABHD5	295	330	289	349	380	305	0.699101264162963	0.869306457865312	11228	0.0565554385089098	0.146314284985089	322.476634040865	0.386533949946673
ABHD6	43	60	38	68	28	29	0.449365568328667	0.714769112949223	8305	-0.312490406771649	0.413088566718697	44.3618219333547	-0.75647314389228
ABHD8	29	10	23	18	31	30	0.588818435330445	0.809163376638945	9951	0.278812294204083	0.515794612479748	22.9468035826857	0.54054906247209
ABI1	267	216	265	244	169	220	0.039833208018312	0.185234860081703	2604	-0.345664741571224	0.168167866928625	228.8913288377	-2.05547437738467
ABI2	607	476	523	505	508	496	0.0541022429351024	0.224145911722799	2944	-0.193067489248695	0.100241837232555	514.494842074517	-1.92601706611572
ABI3	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ABI3BP	11	6	5	8	0	15	0.992255635233361	0.996681247340351	14328	0.0103405033332673	1.06534217608863	7.42335054843645	0.00970627425193298
ABITRAM	96	81	110	139	135	101	0.231391380070349	0.509573341793301	5737	0.27276824886983	0.227917998233937	108.686745586006	1.19678239973773
ABL1	278	156	170	187	235	216	0.976667263449535	0.99201985819463	14141	-0.00535194386042621	0.182988593914187	203.243535155201	-0.0292474178086532
ABL2	555	423	503	512	370	511	0.156138302202938	0.41507055124594	4687	-0.188056448570746	0.132604102555029	475.04221339303	-1.41817971651899
ABLIM1	317	266	292	353	338	248	0.945987875071884	0.979026086839742	13870	-0.00967358136531021	0.142792036808901	298.658261163333	-0.0677459442521742
ABLIM2	1	0	5	3	0	7	0.728911624339917	1	11510	0.661575224151189	1.90890211266078	2.65750858478624	0.346573676965046
ABLIM3	3	3	0	11	0	0	0.72166943431452	1	11440	0.734665937334857	2.06234451705477	2.73074214428048	0.356228521112481
ABO	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ABR	9	3	0	0	0	0	0.084876878893879	1	3552	-4.46693026243516	2.59243371883595	1.93411078578645	-1.72306440468645
ABRA	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ABRACL	205	165	141	190	187	205	0.620957362809542	0.82757336785336	10302	0.0873334815425607	0.176611822527997	179.992969693883	0.49449397153872
ABRAXAS1	50	20	24	54	62	36	0.12404247793934	0.363735065857325	4214	0.614733533389198	0.399690182973232	39.6208595538507	1.53802509938146
ABRAXAS2	379	179	304	325	446	289	0.245834439240667	0.525106726522576	5931	0.212029046560434	0.182700709023392	312.838674211738	1.16052667608032
ABT1	350	293	305	308	282	394	0.760867348347883	0.902568055455344	11799	-0.0463777485583773	0.152386946763331	319.697134857868	-0.304342002667758
ABTB1	0	0	8	0	0	0	0.232920345865505	1	5757.5	-3.99556021979418	3.34953573935765	1.40134377132192	-1.19286985740908
ABTB2	74	67	112	122	95	105	0.373011099279831	0.6530156176304	7395	0.233848719608587	0.262501464953306	94.8255913129341	0.890847293557709
ACAA1	30	48	42	32	58	51	0.792768287348393	0.919133781232678	12225	0.102073418676859	0.388529117697497	43.5732346033083	0.262717551986236
ACAA2	85	105	49	83	90	115	0.612649249238962	0.822386827862596	10219	0.153009211787268	0.302213279984712	87.5659701705649	0.506295460593289
ACACA	33	18	35	18	24	24	0.315691761956165	0.60053196288876	6731	-0.472346798110189	0.470769468993377	25.0917330671395	-1.00335053401017
ACACB	18	22	17	19	19	18	0.781046449765546	0.912434904251866	11979	-0.147469796359434	0.530551647737294	18.8117393361417	-0.277955590164248
ACAD10	60	48	67	49	59	37	0.234849002512714	0.513398845053435	5788	-0.38293038832959	0.322342715246334	52.9438318392712	-1.18796042292116
ACAD11	145	102	116	137	96	126	0.605385359839292	0.819075000571502	10143	-0.112989765192106	0.218687740811415	118.92863342354	-0.516671692582635
ACAD8	99	38	61	65	117	75	0.345636048074682	0.629080797471698	7058	0.302475985767119	0.320729436610873	73.7333126782711	0.943087697104958
ACAD9	154	120	81	139	177	165	0.127713174198523	0.368921695845493	4282	0.341392461032128	0.224131100233638	137.046632497051	1.52318201568749
ACADL	3	5	2	3	23	11	0.0835555319738027	0.291018041914009	3527	1.7566022786159	1.01513147531074	7.64605777726164	1.73041849389823
ACADM	539	499	426	572	664	422	0.640180240468945	0.838833616490446	10512	0.0636355912608159	0.136134401232921	514.019224615153	0.467446807599629
ACADS	15	9	2	15	2	30	0.365960112196731	0.64511887449124	7335	0.805130132604254	0.89056511324737	11.9707854784062	0.904066553503781
ACADSB	137	66	114	60	93	65	0.023833934065893	0.133246762065807	2161	-0.626096155877358	0.27705874420165	87.9308485306432	-2.2597956894718
ACADVL	13	8	11	16	18	3	0.900634935043589	0.961839631879739	13430	0.0959051751934198	0.768105942784578	11.208336266502	0.124859306316183
ACAN	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ACAP1	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ACAP2	291	217	234	246	253	256	0.602094883671737	0.81731816582426	10111	-0.0748102615400526	0.143482256321987	246.694348191115	-0.521390333953014
ACAP3	39	15	9	6	48	9	0.927113412944661	0.971982933413041	13686	-0.0655577572391277	0.716656708381721	20.2589774170278	-0.0914772114352538
ACAT1	200	87	125	187	156	119	0.720510046051256	0.880426690178931	11431	0.0834283083377506	0.233185082016708	141.890067526575	0.357777211201585
ACAT2	449	281	348	471	496	341	0.194520931615519	0.466038105131039	5237	0.180581106935228	0.139195446375452	389.708914345909	1.29732050607565
ACBD3	762	589	697	953	746	805	0.0617753798196217	0.243357699015214	3099	0.185941088905875	0.0995452852362962	748.001958065645	1.86790452671361
ACBD4	47	18	29	38	15	18	0.332907635586634	0.618072101160688	6918	-0.482985370359625	0.498810728893423	26.8502854080656	-0.968273820876097
ACBD5	521	417	452	489	536	423	0.664473851613065	0.852354636523756	10844	-0.0476778212666388	0.109921395218389	467.507698904897	-0.433744687937353
ACBD6	325	293	256	334	283	261	0.467983035234341	0.729603645318325	8494	-0.104117063906486	0.1434584308078	289.365228662943	-0.725764692393561
ACBD7	111	94	97	134	72	111	0.888674505525564	0.957190265151276	13317	-0.0355438892688625	0.253918243156649	102.223038033759	-0.139981628838439
ACCS	5	0	4	0	15	7	0.381175474425516	0.65871007133965	7496	1.24922569769836	1.42649233845619	4.96314091590679	0.875732497133723
ACCSL	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ACD	66	54	69	65	60	92	0.736066602289671	0.887335608514365	11587	0.100051812344261	0.296830881061062	67.1433263290633	0.337066722931967
ACE	2	9	17	10	6	3	0.450553776249386	0.715610096249191	8316	-0.731584185462618	0.969637942724601	7.98612528338774	-0.754492118374543
ACE2	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ACER1	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ACER2	0	2	0	0	0	13	0.290625034379534	1	6438	2.54319042910883	2.40661171045975	2.54779739366297	1.05675145602237
ACER3	229	173	207	256	273	265	0.0587924813068403	0.23564373971741	3047	0.280825257125118	0.148605082209723	230.347051902859	1.88974194522362
ACHE	16	1	1	3	0	3	0.328321391505144	1	6867	-1.54994516155311	1.58562071025019	3.74908637711345	-0.977500578501238
ACIN1	812	592	734	662	657	649	0.0174272284365998	0.109192335233205	1923	-0.220339378250267	0.092674268978167	677.676244834334	-2.37756802054922
ACKR1	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ACKR2	0	4	2	0	0	0	0.280228078169871	1	6322	-3.66030288080612	3.38977471027883	1.11536306133427	-1.07980712396814
ACKR3	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ACKR4	0	0	0	3	0	0	0.56544852190271	1	9704.5	2.29719455546337	3.99673675363313	0.464597724481755	0.574767540888242
ACLY	672	597	539	563	630	531	0.0918953558199254	0.307416750859482	3679	-0.17776830462174	0.105470223324889	584.114639106479	-1.68548334323846
ACMSD	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ACO1	38	28	20	43	17	31	0.975138572526815	0.991882221913153	14118	-0.0145350491135874	0.466401791787696	29.0777213596048	-0.0311642222854145
ACO2	271	164	234	257	259	265	0.405573151228684	0.680248049133741	7780	0.130317520425256	0.156686414980506	237.673648653525	0.831709120675648
ACOD1	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ACOT1	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ACOT11	8	3	1	9	0	4	0.965296209352344	1	14035	0.0630751085509632	1.44972007088523	4.01816417192035	0.0435084743721925
ACOT12	0	0	0	2	0	0	0.671478339457736	1	10938.5	1.71379489316667	4.04082596907469	0.30973181632117	0.424119946338374
ACOT13	111	63	49	103	86	45	0.943442681520744	0.97734176762989	13855	-0.0232699829170282	0.328007019615587	74.2769414054154	-0.0709435515870965
ACOT2	313	196	165	275	250	272	0.37832591509485	0.656827184684046	7464	0.154656615050685	0.175549648811853	240.604558040682	0.880985043817661
ACOT4	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ACOT6	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ACOT7	81	152	102	171	125	139	0.383067971469126	0.660213738378286	7515	0.232348995408462	0.266376639734781	128.321864510805	0.872257400798364
ACOT8	64	47	29	105	67	84	0.0158218755849492	0.101805879774638	1872	0.775196769448505	0.321258675503587	64.4500404987571	2.41299870963282
ACOT9	114	95	91	166	263	167	4.89680030457007e-05	0.00109865053449903	532	0.882305670342605	0.217289975540706	145.906034986576	4.06049873284338
ACOX1	310	205	258	231	219	304	0.457330965219471	0.721477980552419	8390	-0.125799981709253	0.169256854884498	251.841215032254	-0.743248962029333
ACOX2	4	0	0	0	0	1	0.644661271233965	1	10572	-1.83613013916101	3.98127551448145	0.771156049136301	-0.461191427843235
ACOX3	8	3	2	11	56	8	0.00430441887441231	0.0396431664235998	1300	2.44477366525289	0.856329306823039	13.9083002913964	2.85494569177242
ACOXL	32	18	52	16	14	13	0.00945187064249635	0.0705550519004606	1611	-1.34910028362641	0.519831922288121	24.216009733273	-2.59526247962636
ACP1	509	427	376	510	408	423	0.549593324872133	0.786092980907583	9464	-0.0743531960071723	0.124259641825448	437.571051620893	-0.598369630838135
ACP2	95	69	73	118	109	117	0.0579500541112086	0.233477239329988	3030	0.438866654031192	0.231460530272766	95.1146903912393	1.89607555773768
ACP3	0	0	0	10	0	6	0.0391742128162553	1	2589	4.74876187423995	2.30259496023169	2.54802085133404	2.062352240084
ACP4	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ACP5	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ACP6	170	125	173	190	194	171	0.423801648206823	0.695420689717394	7952	0.14183261728417	0.177325526670653	168.087185110574	0.799843203328508
ACP7	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ACR	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ACRBP	0	0	0	0	0	1	0.834721501955566	1	12723	0.851390521487472	4.0804728567969	0.166560294954698	0.208649965669861
ACRV1	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ACSBG1	0	0	0	2	4	1	0.25501588198609	1	6033	3.53888015165677	3.10905204046899	1.10050605069879	1.13825053604537
ACSBG2	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ACSF2	1	0	6	2	10	5	0.428672832950957	1	8011	1.16882446996312	1.47678649797725	3.9052249066888	0.791464759167324
ACSF3	54	72	59	76	90	86	0.258623342029234	0.540758107889369	6076	0.32202225999282	0.285063511035061	72.4062491513432	1.12965092874764
ACSL1	90	65	110	48	66	65	0.0209844667304404	0.123202456908282	2053	-0.667205282278098	0.289050702420122	73.8630847646907	-2.30826383292557
ACSL3	638	540	592	589	601	561	0.199816194423016	0.472091468058813	5315	-0.122892077783708	0.0958540167959613	581.855612642264	-1.28207540895549
ACSL4	136	100	142	120	96	103	0.110438315005739	0.342921885512098	3977	-0.348419061815284	0.218276755766312	115.276539451488	-1.59622613315869
ACSL5	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ACSL6	2	6	2	9	9	16	0.0967783148616775	0.317224015610486	3752	1.62672468993249	0.979555079808733	7.26341375409897	1.66067710072018
ACSM1	0	1	0	0	0	0	0.792739764768315	1	12120	-1.07216283015502	4.0804728567969	0.191256779625948	-0.262754555117086
ACSM2A	0	1	1	0	0	0	0.611084149948234	1	10194.5	-2.04990418457608	4.03106648182515	0.366424751041189	-0.508526513719997
ACSM2B	0	0	0	0	0	3	0.548820950389167	1	9442	2.39273504697245	3.99103241807594	0.499680884864095	0.599527840499472
ACSM3	0	0	2	0	0	4	0.798109648896741	1	12270.5	0.925593872764126	3.6185081069504	1.01657712264927	0.255794334407115
ACSM4	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ACSM5	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ACSM6	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ACSS1	80	57	51	53	84	50	0.728556311986019	0.884463805926071	11507	-0.10794099624984	0.31102738664649	61.5715186726156	-0.347046597451318
ACSS2	37	46	31	23	70	43	0.756735357939951	0.89964076019634	11772	0.13189392305318	0.425779249798837	41.4682822134924	0.309770668992194
ACSS3	25	17	0	32	7	26	0.693844337950811	0.867378091514545	11173	0.56060871491747	1.4241537437876	17.4087398412271	0.39364339514813
ACTA1	11	13	5	0	0	0	0.000373762908696804	0.00594039158216386	751	-5.83672600297365	1.64047523293395	5.02481631621294	-3.55794826145275
ACTA2	45	27	26	25	21	36	0.443235968448211	0.709642296690184	8226	-0.337096810725501	0.439649296362608	29.664944045594	-0.766740248453565
ACTB	706	618	610	575	654	544	0.0190118824435072	0.115601542967754	1981	-0.234504558058314	0.0999892414317362	613.475979728525	-2.34529790105881
ACTBL2	10	8	2	5	9	26	0.292551009011156	0.577362573339476	6468	0.9337511013376	0.887139147453461	9.90125813861872	1.05254187465173
ACTC1	0	0	0	1	0	0	0.834721501955566	1	12723	0.851390521487472	4.0804728567969	0.154865908160585	0.208649965669861
ACTG1	13737	10555	12530	10842	12271	11151	6.64431237385755e-05	0.00140614383855255	564	-0.206523866625904	0.0517775501045128	11741.2052975646	-3.98867590701058
ACTG2	0	3	0	0	0	0	0.498985036144397	1	8909.5	-2.69536255855085	3.9867061656544	0.573770338877845	-0.676087588739668
ACTL10	0	0	5	0	0	0	0.402058658646809	1	7736	-3.31736513943278	3.95890476154847	0.875839857076201	-0.837950225944622
ACTL6A	205	190	211	243	216	211	0.836152954537457	0.937093015542743	12800	0.0328037202979241	0.158612473478463	210.768953146654	0.206816775367785
ACTL6B	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ACTL7A	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ACTL7B	0	0	0	3	0	0	0.56544852190271	1	9704.5	2.29719455546337	3.99673675363313	0.464597724481755	0.574767540888242
ACTL8	23	6	3	9	3	9	0.498188981886159	0.74938672814029	8890	-0.63150771561828	0.932332124091411	8.51046646115037	-0.677342010749341
ACTL9	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ACTN1	318	172	240	346	316	301	0.0435116142362202	0.195393012612311	2701	0.310414480926708	0.153764518090754	276.032995912095	2.01876534834582
ACTN2	35	13	30	29	81	45	0.0449415389276478	0.19976658918892	2728	0.910024949621843	0.453832232490392	37.658247009616	2.00520122739653
ACTN3	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ACTN4	0	1	1	0	1	0	0.78721075180217	1	12028	-1.08812317917499	4.03106583087513	0.522478235896918	-0.269934360992254
ACTR10	258	151	161	277	198	213	0.323348219314707	0.60855949948602	6811	0.181800951442558	0.184083448318451	205.352032653352	0.98760074902582
ACTR1A	270	206	263	266	192	195	0.0828228236123025	0.289989211685668	3506	-0.28462917801455	0.164095177364929	229.914144671594	-1.73453713012886
