rownames(count)	DMSO.GFP.1	DMSO.GFP.2	DMSO.GFP.3	TPG.GFP.1	TPG.GFP.2	TPG.GFP.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
ABCC2	12	43	16	5	4	2	0.00586488515463934	1	1257	-2.76828876567975	1.00473548178468	14.6079590997982	-2.75524137035801
ABCC3	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
ABCC4	914	808	982	604	944	761	0.188891275508935	0.452939420785349	5222	-0.213815034943613	0.162737312641923	820.860953340231	-1.31386607946561
ABCC5	360	398	382	230	421	332	0.327248018787475	0.605084691971448	7008	-0.231408843308904	0.236210514910163	349.421424096446	-0.979672066660175
ABCC6	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
ABCC8	11	4	6	17	10	5	0.499526826946841	1	9226	0.739156911048344	1.09466707239286	8.86052604572588	0.675234443137675
ABCC9	3	0	0	4	0	0	0.821964806739522	1	12959	0.794353219041064	3.53016696772133	1.2166342979162	0.225018597223407
ABCD1	0	13	9	17	6	17	0.475437836451779	1	8932	0.85480137817753	1.19777223557584	11.0012490601484	0.713659369276141
ABCD2	0	3	0	4	0	5	0.559112372137411	1	9980	1.49115840209909	2.55265213370765	2.23648294175023	0.584160443332019
ABCD3	805	738	806	468	872	669	0.21452194430516	0.486761028681801	5563	-0.230344209280672	0.185577843464485	712.486363422313	-1.24122688883792
ABCD4	260	166	339	154	306	201	0.499483248835824	0.740353623889314	9224	-0.181112585770946	0.268194533895607	228.701936253034	-0.675303046412734
ABCE1	1671	1549	1815	1151	2244	1494	0.754804498002863	0.894092315739157	12076	-0.052137778410697	0.166942080289059	1617.05152157096	-0.312310582930444
ABCF1	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
ABCF2	1584	1137	1552	1341	1413	1276	0.861903618675565	0.944751158850242	13398	-0.0267685727724321	0.153885310894581	1366.45013113761	-0.17395144875634
ABCF2-H2BE1	1	13	26	0	1	0	0.00466385335509798	1	1177.5	-5.20083270831724	1.83815388033774	6.75056401329936	-2.82937830393266
ABCF3	89	17	49	102	46	69	0.227236132749227	0.501173893257677	5726	0.673939525751155	0.558123753580629	61.7845604942987	1.20750912575842
ABCG1	15	14	15	6	17	11	0.650211666224978	1	10965	-0.40018323538789	0.882494674281821	12.6469473866629	-0.453468159129189
ABCG2	41	81	46	34	56	36	0.360770069560048	0.635538963140912	7455	-0.483305897322089	0.528839673376086	49.636992925025	-0.913898713832661
ABCG4	2	0	0	0	3	0	0.896033846964267	1	13726	0.520117654598532	3.98029374578235	0.710629984419522	0.130673183392474
ABCG5	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
ABCG8	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
ABHD1	1	0	0	0	2	0	0.86031955431018	1	13382	0.714188827763298	4.05864285311182	0.425105651212251	0.175967399352648
ABHD10	634	333	720	614	622	570	0.383830850468133	0.656816521056622	7746	0.18904035211859	0.217073297468812	570.265657373937	0.870859540638573
ABHD11	242	162	283	282	341	275	0.0576009924509487	0.22702879680935	3000	0.44412861956384	0.233909197685861	259.449041156607	1.89872234165115
ABHD12	760	340	826	443	380	416	0.0364838675938275	0.171633340688116	2490	-0.52220459807082	0.249680264997283	512.3273375206	-2.09149328673014
ABHD12B	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
ABHD13	180	185	187	189	334	221	0.111080568465398	0.33408390846065	4038	0.418920868980824	0.262917467636642	212.392402772794	1.59335502789713
ABHD14A	177	73	130	101	34	53	0.075820184023545	0.266498349351112	3400	-0.846539255765844	0.476797060978214	93.2568017209719	-1.77547079260315
ABHD14A-ACY1	327	115	257	213	89	107	0.136782506523439	0.378064624988846	4448	-0.600128985877278	0.403344980860573	181.168735739452	-1.48788013823018
ABHD14B	214	59	82	60	66	53	0.0493090637528131	0.20682619754626	2806	-0.886872287466924	0.451125690503258	85.2060464883666	-1.96590951510113
ABHD15	172	133	203	110	157	96	0.125404265129606	0.359356339730273	4272	-0.4532870704584	0.295786798768927	141.675549455933	-1.53247904350361
ABHD16A	0	17	2	0	1	0	0.0583791330643619	1	3022.5	-4.35203966079118	2.29921142935567	3.83843244000401	-1.89284012997917
ABHD16B	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
ABHD17A	78	28	63	35	107	15	0.852296403254204	0.940976883662741	13272	-0.112604015461401	0.604782787339579	50.6704202741232	-0.186189186958748
ABHD17B	317	194	295	223	380	332	0.272914733124505	0.554499195608229	6299	0.250366793053582	0.228358737117698	282.311661911366	1.09637492400626
ABHD17C	367	333	379	184	285	276	0.0222550164001281	0.125046190843956	2059	-0.51975425911491	0.227365356242732	299.448870733734	-2.28598704615328
ABHD18	225	292	343	277	410	270	0.558969146764448	0.777516632825638	9979	0.149838377947957	0.25640863964961	299.69717510372	0.584373358685245
ABHD2	928	700	826	473	894	617	0.0903484159949318	0.29576593086742	3674	-0.301488265536489	0.178020140769204	720.933291933485	-1.69356267349186
ABHD3	259	191	245	174	395	166	0.814147947078653	0.923671220449703	12749	0.067023755976492	0.285112453603037	229.904361421981	0.235078317798806
ABHD4	73	65	84	90	71	53	0.978349002481856	0.991651977602297	14545	0.0114029746853405	0.420171898718129	72.6648194397408	0.0271388322734789
ABHD5	420	315	390	298	450	415	0.70524466366462	0.86670097008618	11600	0.075805647220161	0.200411335037371	374.279074916626	0.378250298098285
ABHD6	83	74	124	105	142	87	0.422439911888473	0.688885664053248	8229	0.283006575727258	0.352790056503644	100.530443056323	0.802195443182325
ABHD8	165	71	212	90	71	110	0.12466514682489	0.35790966742005	4263	-0.600085850352752	0.390812349159664	116.088113729184	-1.53548333782971
ABI1	460	407	426	480	732	528	0.0216578659856571	0.123424277836169	2029	0.436229302280332	0.189969261825853	498.050072262998	2.29631519377186
ABI2	1238	1066	1188	819	1205	935	0.14357182164126	0.388023417067252	4561	-0.224222954928557	0.15330242852423	1058.51305830881	-1.46261841437899
ABI3	1	0	0	0	0	0	0.820182798196616	1	12880.5	-0.927531757915591	4.0804728567969	0.145943015202292	-0.227309870808377
ABI3BP	130	110	105	116	169	112	0.50266564854104	0.741941177188748	9319	0.211932486151066	0.316174892521891	121.967047518481	0.670301441270806
ABITRAM	270	187	237	226	441	283	0.0512421174207313	0.211309572182418	2856	0.461941618792854	0.236960389405683	266.128600046144	1.94944657185719
ABL1	293	95	294	230	240	199	0.787615083523492	0.910116597242553	12399	0.0861813028583649	0.319890403609385	217.865871989857	0.269408840921655
ABL2	741	406	563	588	760	684	0.0984110106335938	0.310879151054416	3824	0.305586527571143	0.184911871348018	610.905705946647	1.65260632182996
ABLIM1	949	601	824	598	745	595	0.146137617208753	0.391876029535882	4604	-0.242735575106235	0.167022537548993	703.6588864264	-1.45331030571268
ABLIM2	15	21	32	0	11	26	0.381822219800036	1	7716	-0.888872121378851	1.01638385522559	17.1404151251294	-0.874543723622574
ABLIM3	0	11	5	0	0	3	0.25608127360114	1	6099	-2.51406722023746	2.21366790170191	3.45852850824715	-1.13570207089537
ABO	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
ABR	1	0	0	0	0	0	0.820182798196616	1	12880.5	-0.927531757915591	4.0804728567969	0.145943015202292	-0.227309870808377
ABRA	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
ABRACL	2108	1984	1914	991	1648	1203	7.5367871009978e-05	0.00223229584882087	378	-0.651023327256634	0.164455009037307	1618.33990675991	-3.95867131726556
ABRAXAS1	104	105	88	75	151	65	0.864784710714244	0.946576129901012	13417	-0.0656524543322646	0.385540820945637	96.0910518256032	-0.170286648690624
ABRAXAS2	403	262	356	176	502	352	0.977494651907212	0.990966876481691	14539	0.00747191533088359	0.26486749832149	328.841863745929	0.0282100120937238
ABT1	1078	916	1124	741	1206	773	0.250919656613094	0.530850404952692	6023	-0.188019522473468	0.163763170700397	952.810351318023	-1.14811847907762
ABTB1	20	9	7	0	5	3	0.0983598545114618	1	3823	-2.21274608676942	1.33873972508032	6.97231732618225	-1.65285756843935
ABTB2	77	83	76	106	154	171	0.0116888933842788	0.0839770626256042	1596	0.874298330418918	0.346751158865851	110.596314245517	2.52139988018659
ACAA1	374	341	476	234	385	509	0.840002979725955	0.935926917842525	13140	-0.0521137354230691	0.258129779557714	380.133662609088	-0.201889667718161
ACAA2	723	879	904	789	1060	646	0.961063849456771	0.985760293580412	14364	-0.0102750247074768	0.210473510849312	828.09254031896	-0.0488186122140244
ACACA	21	30	21	18	37	40	0.57418042996625	0.78615479930683	10170	0.361511163120181	0.643366519046775	27.7166868237503	0.561905465108448
ACACB	32	18	32	12	36	49	0.674828670666786	0.847312010524078	11254	0.275282500692746	0.656168458933455	28.7910950658036	0.419530224205221
ACAD10	116	84	73	74	120	105	0.690600564099093	0.858093798573512	11444	0.144204153424296	0.362285414059082	93.7486265081814	0.39804018552284
ACAD11	235	309	247	218	375	289	0.642987279954289	0.829750170611396	10902	0.125279028194926	0.270273920784476	277.177301396214	0.463526143518771
ACAD8	197	154	208	176	165	191	0.972251018641928	0.990442269472246	14473	-0.00959203531657026	0.275750436776738	180.526508471005	-0.0347852044359099
ACAD9	479	423	387	333	687	534	0.25894606246506	0.539203958717551	6126	0.254079016704109	0.225070634922464	464.355462053836	1.12888567978509
ACADL	13	18	27	10	29	25	0.871683106078928	1	13496	0.120827810145524	0.748062738958464	19.793203177502	0.161520957872803
ACADM	1833	1599	1802	1452	2284	1502	0.960448607566552	0.985712355543679	14357	0.00748077708764149	0.150850592968384	1714.32737979767	0.0495906376000083
ACADS	130	128	147	93	129	131	0.566330746586045	0.781007648662925	10064	-0.179206254948143	0.312497973069803	125.006979114812	-0.573463735421136
ACADSB	305	225	347	244	358	242	0.921693142093091	0.971332570316565	13982	-0.0219161951833296	0.222949464383689	280.075845399277	-0.0983011788968128
ACADVL	432	214	487	267	256	302	0.168100819034119	0.422583507205709	4938	-0.358077249925196	0.259790282415693	317.744064481536	-1.37833196298018
ACAN	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
ACAP1	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
ACAP2	166	148	233	114	292	276	0.30813132162182	0.58753898527958	6773	0.320475811184543	0.314453731928621	198.747834989618	1.01915092315486
ACAP3	88	66	110	150	82	79	0.403474947576383	0.672983367282007	7973	0.347850243330631	0.416372081192138	96.5937444646801	0.835431238172072
ACAT1	1672	1197	1815	1079	1923	1411	0.673618823075639	0.846366998631349	11244	-0.0636905860831679	0.151217025805221	1473.70682344258	-0.421186607420823
ACAT2	3634	3269	3565	2668	4175	3406	0.867988675187697	0.947773320419756	13455	-0.0231075317348639	0.139022917519172	3400.52483352815	-0.166213831123759
ACBD3	935	647	902	861	1391	1153	0.00164410666679112	0.0212338287768011	869	0.484530167194236	0.153918475136201	959.472051684501	3.14796626438431
ACBD4	40	19	27	38	43	36	0.36004074867801	0.635160831570308	7446	0.513819954626438	0.561375508552062	33.2257915908871	0.915287444498101
ACBD5	588	452	694	488	674	690	0.458839703644578	0.714072101496472	8729	0.137439062517308	0.18553821246587	586.803143044798	0.740758794054839
ACBD6	1001	834	862	553	859	764	0.0873764921379951	0.28978521892407	3626	-0.297226860273221	0.173877673487807	799.647884837723	-1.70940210040287
ACBD7	468	543	647	426	699	503	0.881419543063135	0.953626228794296	13593	-0.0313245516045883	0.209992393176808	539.865909898089	-0.149169934828134
ACCS	5	15	17	6	8	6	0.386330632279072	1	7790	-0.910242033570007	1.05073479282782	9.57120724853485	-0.866290942094243
ACCSL	0	0	0	0	1	0	0.807157515949566	1	12631.5	0.996021593726898	4.0804728567969	0.139581318004979	0.244094649978571
ACD	409	256	532	437	342	360	0.905681280357119	0.965107682917273	13818	0.0303564755526233	0.256199491311836	384.527671669112	0.118487649593631
ACE	22	24	49	15	10	18	0.140943609582034	1	4518	-1.05667156811185	0.717707991567212	22.6977442443757	-1.47228619512019
ACE2	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
ACER1	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
ACER2	7	2	3	0	4	10	0.867093343314109	1	13443	0.280511553958582	1.67618009748249	4.14071836952828	0.16735167920195
ACER3	392	303	390	316	486	312	0.776197361836572	0.904847851947016	12272	0.0582574577747546	0.204931308212583	358.658855596635	0.28427797725432
ACHE	1	1	8	14	14	14	0.0684605023108858	1	3238	2.18117547974861	1.19715642379879	8.61554284039824	1.82196364350395
ACIN1	1392	891	1538	1353	1775	1373	0.0566684312463429	0.224791523518975	2980	0.290527495805191	0.152439090745691	1356.62308454653	1.90585954287715
ACKR1	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
ACKR2	0	0	0	0	4	0	0.505553586953698	1	9356	2.65322859252971	3.98516051373083	0.558325272019916	0.665777095649734
ACKR3	0	0	5	0	0	0	0.446301720230115	1	8543.5	-3.01972240256623	3.96499732655141	0.743036177591084	-0.7615950664947
ACKR4	0	0	3	0	0	0	0.567625555256384	1	10082.5	-2.28788319844208	4.00293130671747	0.44582170655465	-0.571551951092115
ACLY	4989	4008	5143	4257	5238	4557	0.811926012400939	0.922784913160601	12727	0.0292181826111527	0.122795353413953	4635.77722804504	0.237942086559707
ACMSD	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
ACO1	153	132	129	144	194	151	0.370406739889739	0.644833058329291	7549	0.257193736525963	0.287138959707189	148.921231431479	0.895711737579036
ACO2	1181	869	1181	1039	941	904	0.594255133232772	0.800047486644411	10384	-0.096015591404525	0.180250050046458	1010.40409983507	-0.532679970850369
ACOD1	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
ACOT1	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
ACOT11	18	15	15	13	28	14	0.817111971459189	1	12784	0.178400801411704	0.771425923104249	16.6976097166616	0.23126109204862
ACOT12	0	0	6	0	0	0	0.406767827146756	1	8016.5	-3.28138647162028	3.95540791447209	0.8916434131093	-0.829594960260434
ACOT13	1098	1134	1211	930	1191	791	0.205565540778473	0.476729386620233	5427	-0.230855445977008	0.182371378642865	1050.07045708271	-1.26585348915461
ACOT2	921	679	832	552	937	742	0.51999763260206	0.754369287268084	9522	-0.1067113586149	0.165868524775731	759.419434619265	-0.643349054675582
ACOT4	0	0	0	0	3	0	0.575773068738151	1	10203.5	2.24414579434843	4.01048579516927	0.418743954014937	0.559569565625082
ACOT6	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
ACOT7	1889	1472	2094	1593	1623	1507	0.338563278632972	0.615957794557973	7134	-0.149506601861598	0.156222958325733	1676.52829748619	-0.957007878124219
ACOT8	672	313	667	429	423	327	0.102568953838962	0.31793932416523	3902	-0.390983291111323	0.239496063469702	458.467858777156	-1.63252491688986
ACOT9	440	469	599	461	771	667	0.0991980164112326	0.311857449272449	3844	0.33758125128275	0.204749298791376	558.825989669045	1.64875412651214
ACOX1	794	502	712	491	731	628	0.647402337766924	0.832545764221051	10940	-0.0777665907571197	0.170028492547414	627.455765188949	-0.45737387653092
ACOX2	12	5	6	0	6	7	0.563582580184	1	10038	-0.827347080074075	1.43256526348874	5.68127328765278	-0.577528368975824
ACOX3	30	32	19	22	44	56	0.349768935606299	0.626594123835349	7308	0.567689980283085	0.607130660537418	33.6326708948357	0.935037574581688
ACOXL	63	27	69	78	81	37	0.423043544710031	0.689572153081057	8233	0.39418188125152	0.492018726944563	57.6883754020122	0.801152191298469
ACP1	2192	1537	2249	1186	1804	1479	0.00421243505407283	0.0417001035165658	1143	-0.385094182525736	0.134563656092359	1698.0088168527	-2.86179934247197
ACP2	407	261	331	242	317	375	0.83681536118946	0.934414761566493	13104	-0.0478999820667463	0.232559520767518	316.48209027332	-0.205968699577044
ACP3	0	12	8	6	3	2	0.564413484397311	1	10046	-0.89487097057754	1.5527909242374	5.5199205471302	-0.576298429240899
ACP4	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
ACP5	0	0	0	0	7	0	0.382354919154489	1	7729.5	3.45235963644308	3.9520329282509	0.977069226034853	0.873565503911688
ACP6	581	521	655	363	650	493	0.253845418862942	0.533951153496466	6060	-0.217165104519826	0.190318928445378	532.32376543772	-1.14105888622714
ACP7	0	0	0	0	0	6	0.373749939337666	1	7598	3.51355718318366	3.9501644485355	1.02886664241936	0.889471116699026
ACR	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
ACRBP	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
ACRV1	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
ACSBG1	6	1	2	9	0	4	0.655132560358701	1	11008	0.799226686044154	1.78940671845651	3.81119174847844	0.446643391801695
ACSBG2	0	0	1	0	0	0	0.820182798196616	1	12880.5	-0.927531757915591	4.0804728567969	0.148607235518217	-0.227309870808377
ACSF2	28	13	51	40	28	42	0.529705886963885	0.759246324429664	9674	0.392786028108526	0.625002585066244	33.1650209178799	0.628455045616963
ACSF3	198	75	181	126	100	87	0.261301738057703	0.5418742353635	6152	-0.41497013830424	0.369414100550575	124.210910721126	-1.12331970459646
ACSL1	195	172	239	165	278	215	0.595604553985976	0.800919224860291	10394	0.134068989124081	0.252611498806578	206.189620726603	0.530731933255091
ACSL3	1660	1489	1692	1595	2508	1777	0.0504445060956839	0.209766802397889	2832	0.287311123495051	0.146873913695346	1756.98674294693	1.95617530891842
ACSL4	303	230	236	276	446	307	0.057406086721117	0.226504229204777	2997	0.430937093243969	0.226784404159317	293.94869089007	1.90020603419111
ACSL5	0	0	0	0	0	4	0.46099053251372	1	8762	2.92799697359373	3.97169064094497	0.685911094946238	0.737216777008866
ACSL6	39	29	23	0	20	27	0.275309162738625	1	6325	-0.996993317837512	0.913903452411597	22.3340621947901	-1.09091755284068
ACSM1	0	7	0	0	0	0	0.286539863426921	1	6476	-3.91325207673856	3.67185364270126	1.40067391510224	-1.06574293463933
ACSM2A	1	0	0	0	2	0	0.86031955431018	1	13382	0.714188827763298	4.05864285311182	0.425105651212251	0.175967399352648
ACSM2B	0	0	0	0	2	0	0.679652816695385	1	11333	1.6759637113969	4.05864323137141	0.279162636009958	0.412936938739155
ACSM3	3	17	24	6	3	35	0.972722500591611	1	14477	0.0368475638740899	1.07760515942419	14.9947132622652	0.0341939378740347
ACSM4	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
ACSM5	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
ACSM6	3	0	0	0	0	0	0.571765264032507	1	10137.5	-2.26435343777397	4.00449014323738	0.437829045606877	-0.565453617509315
ACSS1	492	418	461	341	420	434	0.406746674789466	0.675437203299017	8010	-0.166790186232282	0.201041080617054	423.390796535516	-0.829632360313391
ACSS2	62	68	114	104	77	63	0.862297518783098	0.945089652765331	13401	0.0741194299741605	0.427323823219309	81.3960361872983	0.173450264054483
ACSS3	19	23	78	30	94	68	0.242871930301141	0.520747992190367	5921	0.691099515385807	0.591776634892762	49.5886678506173	1.16783846241419
ACTA1	11	0	0	0	0	9	0.977974612118966	1	14542	-0.069723934443443	2.52547581493277	3.14867313085425	-0.0276082368443901
ACTA2	214	166	262	194	138	109	0.159408538235505	0.410563024773837	4814	-0.454233900646737	0.322824006740389	179.10823633332	-1.40706357384389
ACTB	4307	2028	4507	3650	3300	2816	0.827726715477461	0.929875322920901	13013	-0.0437425664553937	0.201006145294004	3358.3041727802	-0.217618055365487
ACTBL2	18	1	0	0	2	11	0.833356484490896	1	13074	-0.393032464347945	1.86803630439813	4.99248869433941	-0.210398729094603
ACTC1	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
ACTG1	62222	53876	68874	44477	58633	51750	0.0561929023673544	0.224025329000074	2966	-0.226816214720731	0.118780761961325	55814.2043779133	-1.90953662003433
ACTG2	3	0	0	0	0	0	0.571765264032507	1	10137.5	-2.26435343777397	4.00449014323738	0.437829045606877	-0.565453617509315
ACTL10	4	0	0	0	0	0	0.501462019112591	1	9293.5	-2.67566342189228	3.9805097875861	0.58377206080917	-0.672191142510639
ACTL6A	848	496	723	731	929	619	0.291355508704097	0.572671014189744	6545	0.193201368668224	0.183102763244605	708.592906098973	1.0551526653376
ACTL6B	0	0	0	0	0	1	0.807157515949566	1	12631.5	0.996021593726898	4.0804728567969	0.17147777373656	0.244094649978571
ACTL7A	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
ACTL7B	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
ACTL8	143	71	161	115	80	120	0.724590272099354	0.878445921292929	11766	-0.132348965535671	0.375638478377642	113.136940809648	-0.352330693349834
ACTL9	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
ACTN1	1587	838	1527	1268	1323	1460	0.503228434105807	0.742180084665144	9327	0.121182803818441	0.181026920939249	1308.12038938547	0.669418687506203
