userId	geneSymbol	geneName	entrezgene	gLink
CRELD1	CRELD1	cysteine rich with EGF like domains 1	78987	https://www.ncbi.nlm.nih.gov/gene/?term=78987
GADD45A	GADD45A	growth arrest and DNA damage inducible alpha	1647	https://www.ncbi.nlm.nih.gov/gene/?term=1647
SLC7A11	SLC7A11	solute carrier family 7 member 11	23657	https://www.ncbi.nlm.nih.gov/gene/?term=23657
XBP1	XBP1	X-box binding protein 1	7494	https://www.ncbi.nlm.nih.gov/gene/?term=7494
ZNF165	ZNF165	zinc finger protein 165	7718	https://www.ncbi.nlm.nih.gov/gene/?term=7718
CDK2AP2	CDK2AP2	cyclin dependent kinase 2 associated protein 2	10263	https://www.ncbi.nlm.nih.gov/gene/?term=10263
CRELD2	CRELD2	cysteine rich with EGF like domains 2	79174	https://www.ncbi.nlm.nih.gov/gene/?term=79174
ULBP1	ULBP1	UL16 binding protein 1	80329	https://www.ncbi.nlm.nih.gov/gene/?term=80329
ASNS	ASNS	asparagine synthetase (glutamine-hydrolyzing)	440	https://www.ncbi.nlm.nih.gov/gene/?term=440
CALR	CALR	calreticulin	811	https://www.ncbi.nlm.nih.gov/gene/?term=811
DNAJB11	DNAJB11	DnaJ heat shock protein family (Hsp40) member B11	51726	https://www.ncbi.nlm.nih.gov/gene/?term=51726
SELENOK	SELENOK	selenoprotein K	58515	https://www.ncbi.nlm.nih.gov/gene/?term=58515
PPP1R15A	PPP1R15A	protein phosphatase 1 regulatory subunit 15A	23645	https://www.ncbi.nlm.nih.gov/gene/?term=23645
CSRNP1	CSRNP1	cysteine and serine rich nuclear protein 1	64651	https://www.ncbi.nlm.nih.gov/gene/?term=64651
IDI1	IDI1	isopentenyl-diphosphate delta isomerase 1	3422	https://www.ncbi.nlm.nih.gov/gene/?term=3422
SHMT2	SHMT2	serine hydroxymethyltransferase 2	6472	https://www.ncbi.nlm.nih.gov/gene/?term=6472
SEL1L	SEL1L	SEL1L, ERAD E3 ligase adaptor subunit	6400	https://www.ncbi.nlm.nih.gov/gene/?term=6400
FICD	FICD	FIC domain containing	11153	https://www.ncbi.nlm.nih.gov/gene/?term=11153
SLC1A4	SLC1A4	solute carrier family 1 member 4	6509	https://www.ncbi.nlm.nih.gov/gene/?term=6509
KLF10	KLF10	Kruppel like factor 10	7071	https://www.ncbi.nlm.nih.gov/gene/?term=7071
PDIA3	PDIA3	protein disulfide isomerase family A member 3	2923	https://www.ncbi.nlm.nih.gov/gene/?term=2923
ZBED3	ZBED3	zinc finger BED-type containing 3	84327	https://www.ncbi.nlm.nih.gov/gene/?term=84327
SLC38A2	SLC38A2	solute carrier family 38 member 2	54407	https://www.ncbi.nlm.nih.gov/gene/?term=54407
DNAJC3	DNAJC3	DnaJ heat shock protein family (Hsp40) member C3	5611	https://www.ncbi.nlm.nih.gov/gene/?term=5611
PDIA6	PDIA6	protein disulfide isomerase family A member 6	10130	https://www.ncbi.nlm.nih.gov/gene/?term=10130
PHGDH	PHGDH	phosphoglycerate dehydrogenase	26227	https://www.ncbi.nlm.nih.gov/gene/?term=26227
MIS12	MIS12	MIS12, kinetochore complex component	79003	https://www.ncbi.nlm.nih.gov/gene/?term=79003
NFIL3	NFIL3	nuclear factor, interleukin 3 regulated	4783	https://www.ncbi.nlm.nih.gov/gene/?term=4783
RPL22L1	RPL22L1	ribosomal protein L22 like 1	200916	https://www.ncbi.nlm.nih.gov/gene/?term=200916
NUDT16L1	NUDT16L1	nudix hydrolase 16 like 1	84309	https://www.ncbi.nlm.nih.gov/gene/?term=84309
GMPPB	GMPPB	GDP-mannose pyrophosphorylase B	29925	https://www.ncbi.nlm.nih.gov/gene/?term=29925
FKBP2	FKBP2	FKBP prolyl isomerase 2	2286	https://www.ncbi.nlm.nih.gov/gene/?term=2286
PSAT1	PSAT1	phosphoserine aminotransferase 1	29968	https://www.ncbi.nlm.nih.gov/gene/?term=29968
EIF2AK3	EIF2AK3	eukaryotic translation initiation factor 2 alpha kinase 3	9451	https://www.ncbi.nlm.nih.gov/gene/?term=9451
VEGFA	VEGFA	vascular endothelial growth factor A	7422	https://www.ncbi.nlm.nih.gov/gene/?term=7422
SAT1	SAT1	spermidine/spermine N1-acetyltransferase 1	6303	https://www.ncbi.nlm.nih.gov/gene/?term=6303
PSPH	PSPH	phosphoserine phosphatase	5723	https://www.ncbi.nlm.nih.gov/gene/?term=5723
LRIG3	LRIG3	leucine rich repeats and immunoglobulin like domains 3	121227	https://www.ncbi.nlm.nih.gov/gene/?term=121227
STX5	STX5	syntaxin 5	6811	https://www.ncbi.nlm.nih.gov/gene/?term=6811
CCNB1IP1	CCNB1IP1	cyclin B1 interacting protein 1	57820	https://www.ncbi.nlm.nih.gov/gene/?term=57820
LIMA1	LIMA1	LIM domain and actin binding 1	51474	https://www.ncbi.nlm.nih.gov/gene/?term=51474
ADPRM	ADPRM	ADP-ribose/CDP-alcohol diphosphatase, manganese dependent	56985	https://www.ncbi.nlm.nih.gov/gene/?term=56985
TES	TES	testin LIM domain protein	26136	https://www.ncbi.nlm.nih.gov/gene/?term=26136
MTHFD1L	MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like	25902	https://www.ncbi.nlm.nih.gov/gene/?term=25902
FAM24B	FAM24B	family with sequence similarity 24 member B	196792	https://www.ncbi.nlm.nih.gov/gene/?term=196792
MAGT1	MAGT1	magnesium transporter 1	84061	https://www.ncbi.nlm.nih.gov/gene/?term=84061
CEBPG	CEBPG	CCAAT enhancer binding protein gamma	1054	https://www.ncbi.nlm.nih.gov/gene/?term=1054
JUND	JUND	JunD proto-oncogene, AP-1 transcription factor subunit	3727	https://www.ncbi.nlm.nih.gov/gene/?term=3727
ISL2	ISL2	ISL LIM homeobox 2	64843	https://www.ncbi.nlm.nih.gov/gene/?term=64843
TXNIP	TXNIP	thioredoxin interacting protein	10628	https://www.ncbi.nlm.nih.gov/gene/?term=10628
SREBF1	SREBF1	sterol regulatory element binding transcription factor 1	6720	https://www.ncbi.nlm.nih.gov/gene/?term=6720
DNAJB5	DNAJB5	DnaJ heat shock protein family (Hsp40) member B5	25822	https://www.ncbi.nlm.nih.gov/gene/?term=25822
PER1	PER1	period circadian regulator 1	5187	https://www.ncbi.nlm.nih.gov/gene/?term=5187
COPG1	COPG1	coatomer protein complex subunit gamma 1	22820	https://www.ncbi.nlm.nih.gov/gene/?term=22820
P4HB	P4HB	prolyl 4-hydroxylase subunit beta	5034	https://www.ncbi.nlm.nih.gov/gene/?term=5034
CREB3L2	CREB3L2	cAMP responsive element binding protein 3 like 2	64764	https://www.ncbi.nlm.nih.gov/gene/?term=64764
RGS16	RGS16	regulator of G protein signaling 16	6004	https://www.ncbi.nlm.nih.gov/gene/?term=6004
KLF9	KLF9	Kruppel like factor 9	687	https://www.ncbi.nlm.nih.gov/gene/?term=687
RNF113A	RNF113A	ring finger protein 113A	7737	https://www.ncbi.nlm.nih.gov/gene/?term=7737
HSD17B7	HSD17B7	hydroxysteroid 17-beta dehydrogenase 7	51478	https://www.ncbi.nlm.nih.gov/gene/?term=51478
ZNF48	ZNF48	zinc finger protein 48	197407	https://www.ncbi.nlm.nih.gov/gene/?term=197407
GOT1	GOT1	glutamic-oxaloacetic transaminase 1	2805	https://www.ncbi.nlm.nih.gov/gene/?term=2805
GZF1	GZF1	GDNF inducible zinc finger protein 1	64412	https://www.ncbi.nlm.nih.gov/gene/?term=64412
DUSP1	DUSP1	dual specificity phosphatase 1	1843	https://www.ncbi.nlm.nih.gov/gene/?term=1843
PMAIP1	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1	5366	https://www.ncbi.nlm.nih.gov/gene/?term=5366
TOE1	TOE1	target of EGR1, exonuclease	114034	https://www.ncbi.nlm.nih.gov/gene/?term=114034
DERL2	DERL2	derlin 2	51009	https://www.ncbi.nlm.nih.gov/gene/?term=51009
MYDGF	MYDGF	myeloid derived growth factor	56005	https://www.ncbi.nlm.nih.gov/gene/?term=56005
RPL10A	RPL10A	ribosomal protein L10a	4736	https://www.ncbi.nlm.nih.gov/gene/?term=4736
PPIB	PPIB	peptidylprolyl isomerase B	5479	https://www.ncbi.nlm.nih.gov/gene/?term=5479
CCN1	CCN1	cellular communication network factor 1	3491	https://www.ncbi.nlm.nih.gov/gene/?term=3491
MTHFD2	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	10797	https://www.ncbi.nlm.nih.gov/gene/?term=10797
SLFN11	SLFN11	schlafen family member 11	91607	https://www.ncbi.nlm.nih.gov/gene/?term=91607
TMED7	TMED7	transmembrane p24 trafficking protein 7	51014	https://www.ncbi.nlm.nih.gov/gene/?term=51014
CBX4	CBX4	chromobox 4	8535	https://www.ncbi.nlm.nih.gov/gene/?term=8535
ATF4	ATF4	activating transcription factor 4	468	https://www.ncbi.nlm.nih.gov/gene/?term=468
SSR4	SSR4	signal sequence receptor subunit 4	6748	https://www.ncbi.nlm.nih.gov/gene/?term=6748
SYVN1	SYVN1	synoviolin 1	84447	https://www.ncbi.nlm.nih.gov/gene/?term=84447
BTG1	BTG1	BTG anti-proliferation factor 1	694	https://www.ncbi.nlm.nih.gov/gene/?term=694
HMGCS1	HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1	3157	https://www.ncbi.nlm.nih.gov/gene/?term=3157
ZCCHC8	ZCCHC8	zinc finger CCHC-type containing 8	55596	https://www.ncbi.nlm.nih.gov/gene/?term=55596
FAM174B	FAM174B	family with sequence similarity 174 member B	400451	https://www.ncbi.nlm.nih.gov/gene/?term=400451
GPT2	GPT2	glutamic--pyruvic transaminase 2	84706	https://www.ncbi.nlm.nih.gov/gene/?term=84706
IFRD1	IFRD1	interferon related developmental regulator 1	3475	https://www.ncbi.nlm.nih.gov/gene/?term=3475
DMRTA2	DMRTA2	DMRT like family A2	63950	https://www.ncbi.nlm.nih.gov/gene/?term=63950
ADAMTS1	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1	9510	https://www.ncbi.nlm.nih.gov/gene/?term=9510
NANS	NANS	N-acetylneuraminate synthase	54187	https://www.ncbi.nlm.nih.gov/gene/?term=54187
RABGGTB	RABGGTB	Rab geranylgeranyltransferase subunit beta	5876	https://www.ncbi.nlm.nih.gov/gene/?term=5876
EIF4A2	EIF4A2	eukaryotic translation initiation factor 4A2	1974	https://www.ncbi.nlm.nih.gov/gene/?term=1974
JUN	JUN	Jun proto-oncogene, AP-1 transcription factor subunit	3725	https://www.ncbi.nlm.nih.gov/gene/?term=3725
OSTC	OSTC	oligosaccharyltransferase complex non-catalytic subunit	58505	https://www.ncbi.nlm.nih.gov/gene/?term=58505
TUFT1	TUFT1	tuftelin 1	7286	https://www.ncbi.nlm.nih.gov/gene/?term=7286
SLC35B1	SLC35B1	solute carrier family 35 member B1	10237	https://www.ncbi.nlm.nih.gov/gene/?term=10237
SMAD7	SMAD7	SMAD family member 7	4092	https://www.ncbi.nlm.nih.gov/gene/?term=4092
FOXRED1	FOXRED1	FAD dependent oxidoreductase domain containing 1	55572	https://www.ncbi.nlm.nih.gov/gene/?term=55572
CDC6	CDC6	cell division cycle 6	990	https://www.ncbi.nlm.nih.gov/gene/?term=990
SLC7A1	SLC7A1	solute carrier family 7 member 1	6541	https://www.ncbi.nlm.nih.gov/gene/?term=6541
NAB2	NAB2	NGFI-A binding protein 2	4665	https://www.ncbi.nlm.nih.gov/gene/?term=4665
TAF1A	TAF1A	TATA-box binding protein associated factor, RNA polymerase I subunit A	9015	https://www.ncbi.nlm.nih.gov/gene/?term=9015
METTL1	METTL1	methyltransferase like 1	4234	https://www.ncbi.nlm.nih.gov/gene/?term=4234
CIRBP	CIRBP	cold inducible RNA binding protein	1153	https://www.ncbi.nlm.nih.gov/gene/?term=1153
DPM1	DPM1	dolichyl-phosphate mannosyltransferase subunit 1, catalytic	8813	https://www.ncbi.nlm.nih.gov/gene/?term=8813
DCLRE1C	DCLRE1C	DNA cross-link repair 1C	64421	https://www.ncbi.nlm.nih.gov/gene/?term=64421
RNF181	RNF181	ring finger protein 181	51255	https://www.ncbi.nlm.nih.gov/gene/?term=51255
CDT1	CDT1	chromatin licensing and DNA replication factor 1	81620	https://www.ncbi.nlm.nih.gov/gene/?term=81620
MYC	MYC	MYC proto-oncogene, bHLH transcription factor	4609	https://www.ncbi.nlm.nih.gov/gene/?term=4609
ATP2A2	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2	488	https://www.ncbi.nlm.nih.gov/gene/?term=488
ZBTB10	ZBTB10	zinc finger and BTB domain containing 10	65986	https://www.ncbi.nlm.nih.gov/gene/?term=65986
TMED10	TMED10	transmembrane p24 trafficking protein 10	10972	https://www.ncbi.nlm.nih.gov/gene/?term=10972
UTP14A	UTP14A	UTP14A, small subunit processome component	10813	https://www.ncbi.nlm.nih.gov/gene/?term=10813
ZNF829	ZNF829	zinc finger protein 829	374899	https://www.ncbi.nlm.nih.gov/gene/?term=374899
RND3	RND3	Rho family GTPase 3	390	https://www.ncbi.nlm.nih.gov/gene/?term=390
PARP16	PARP16	poly(ADP-ribose) polymerase family member 16	54956	https://www.ncbi.nlm.nih.gov/gene/?term=54956
MSX2	MSX2	msh homeobox 2	4488	https://www.ncbi.nlm.nih.gov/gene/?term=4488
TMEM18	TMEM18	transmembrane protein 18	129787	https://www.ncbi.nlm.nih.gov/gene/?term=129787
SLC3A2	SLC3A2	solute carrier family 3 member 2	6520	https://www.ncbi.nlm.nih.gov/gene/?term=6520
GRPEL2	GRPEL2	GrpE like 2, mitochondrial	134266	https://www.ncbi.nlm.nih.gov/gene/?term=134266
PCNA	PCNA	proliferating cell nuclear antigen	5111	https://www.ncbi.nlm.nih.gov/gene/?term=5111
BHLHE40	BHLHE40	basic helix-loop-helix family member e40	8553	https://www.ncbi.nlm.nih.gov/gene/?term=8553
ZNF273	ZNF273	zinc finger protein 273	10793	https://www.ncbi.nlm.nih.gov/gene/?term=10793
EXOSC8	EXOSC8	exosome component 8	11340	https://www.ncbi.nlm.nih.gov/gene/?term=11340
MAP3K8	MAP3K8	mitogen-activated protein kinase kinase kinase 8	1326	https://www.ncbi.nlm.nih.gov/gene/?term=1326
GLA	GLA	galactosidase alpha	2717	https://www.ncbi.nlm.nih.gov/gene/?term=2717
GATA3	GATA3	GATA binding protein 3	2625	https://www.ncbi.nlm.nih.gov/gene/?term=2625
IRF2BP2	IRF2BP2	interferon regulatory factor 2 binding protein 2	359948	https://www.ncbi.nlm.nih.gov/gene/?term=359948
PHF6	PHF6	PHD finger protein 6	84295	https://www.ncbi.nlm.nih.gov/gene/?term=84295
PNRC1	PNRC1	proline rich nuclear receptor coactivator 1	10957	https://www.ncbi.nlm.nih.gov/gene/?term=10957
YDJC	YDJC	YdjC chitooligosaccharide deacetylase homolog	150223	https://www.ncbi.nlm.nih.gov/gene/?term=150223
RBM39	RBM39	RNA binding motif protein 39	9584	https://www.ncbi.nlm.nih.gov/gene/?term=9584
SELENOS	SELENOS	selenoprotein S	55829	https://www.ncbi.nlm.nih.gov/gene/?term=55829
ZNF181	ZNF181	zinc finger protein 181	339318	https://www.ncbi.nlm.nih.gov/gene/?term=339318
KLF15	KLF15	Kruppel like factor 15	28999	https://www.ncbi.nlm.nih.gov/gene/?term=28999
ZNF711	ZNF711	zinc finger protein 711	7552	https://www.ncbi.nlm.nih.gov/gene/?term=7552
HEY1	HEY1	hes related family bHLH transcription factor with YRPW motif 1	23462	https://www.ncbi.nlm.nih.gov/gene/?term=23462
EIF5	EIF5	eukaryotic translation initiation factor 5	1983	https://www.ncbi.nlm.nih.gov/gene/?term=1983
RAB9A	RAB9A	RAB9A, member RAS oncogene family	9367	https://www.ncbi.nlm.nih.gov/gene/?term=9367
ERP29	ERP29	endoplasmic reticulum protein 29	10961	https://www.ncbi.nlm.nih.gov/gene/?term=10961
SLC25A25	SLC25A25	solute carrier family 25 member 25	114789	https://www.ncbi.nlm.nih.gov/gene/?term=114789
MCL1	MCL1	MCL1, BCL2 family apoptosis regulator	4170	https://www.ncbi.nlm.nih.gov/gene/?term=4170
TMED9	TMED9	transmembrane p24 trafficking protein 9	54732	https://www.ncbi.nlm.nih.gov/gene/?term=54732
PRSS23	PRSS23	serine protease 23	11098	https://www.ncbi.nlm.nih.gov/gene/?term=11098
CTBP2	CTBP2	C-terminal binding protein 2	1488	https://www.ncbi.nlm.nih.gov/gene/?term=1488
PYCR2	PYCR2	pyrroline-5-carboxylate reductase 2	29920	https://www.ncbi.nlm.nih.gov/gene/?term=29920
SNRPA	SNRPA	small nuclear ribonucleoprotein polypeptide A	6626	https://www.ncbi.nlm.nih.gov/gene/?term=6626
NSUN6	NSUN6	NOP2/Sun RNA methyltransferase family member 6	221078	https://www.ncbi.nlm.nih.gov/gene/?term=221078
AMMECR1L	AMMECR1L	AMMECR1 like	83607	https://www.ncbi.nlm.nih.gov/gene/?term=83607
MDM2	MDM2	MDM2 proto-oncogene	4193	https://www.ncbi.nlm.nih.gov/gene/?term=4193
DTL	DTL	denticleless E3 ubiquitin protein ligase homolog	51514	https://www.ncbi.nlm.nih.gov/gene/?term=51514
BCL10	BCL10	BCL10, immune signaling adaptor	8915	https://www.ncbi.nlm.nih.gov/gene/?term=8915
WDR4	WDR4	WD repeat domain 4	10785	https://www.ncbi.nlm.nih.gov/gene/?term=10785
TCF25	TCF25	transcription factor 25	22980	https://www.ncbi.nlm.nih.gov/gene/?term=22980
ZBTB21	ZBTB21	zinc finger and BTB domain containing 21	49854	https://www.ncbi.nlm.nih.gov/gene/?term=49854
NXT1	NXT1	nuclear transport factor 2 like export factor 1	29107	https://www.ncbi.nlm.nih.gov/gene/?term=29107
ALG13	ALG13	ALG13, UDP-N-acetylglucosaminyltransferase subunit	79868	https://www.ncbi.nlm.nih.gov/gene/?term=79868
ACTR6	ACTR6	actin related protein 6	64431	https://www.ncbi.nlm.nih.gov/gene/?term=64431
NFE2L2	NFE2L2	nuclear factor, erythroid 2 like 2	4780	https://www.ncbi.nlm.nih.gov/gene/?term=4780
ZNF566	ZNF566	zinc finger protein 566	84924	https://www.ncbi.nlm.nih.gov/gene/?term=84924
EIF2S2	EIF2S2	eukaryotic translation initiation factor 2 subunit beta	8894	https://www.ncbi.nlm.nih.gov/gene/?term=8894
RPP38	RPP38	ribonuclease P/MRP subunit p38	10557	https://www.ncbi.nlm.nih.gov/gene/?term=10557
ZNF267	ZNF267	zinc finger protein 267	10308	https://www.ncbi.nlm.nih.gov/gene/?term=10308
FBXO4	FBXO4	F-box protein 4	26272	https://www.ncbi.nlm.nih.gov/gene/?term=26272
SPEN	SPEN	spen family transcriptional repressor	23013	https://www.ncbi.nlm.nih.gov/gene/?term=23013
HS3ST3A1	HS3ST3A1	heparan sulfate-glucosamine 3-sulfotransferase 3A1	9955	https://www.ncbi.nlm.nih.gov/gene/?term=9955
PNP	PNP	purine nucleoside phosphorylase	4860	https://www.ncbi.nlm.nih.gov/gene/?term=4860
ING3	ING3	inhibitor of growth family member 3	54556	https://www.ncbi.nlm.nih.gov/gene/?term=54556
ZNF292	ZNF292	zinc finger protein 292	23036	https://www.ncbi.nlm.nih.gov/gene/?term=23036
ID4	ID4	inhibitor of DNA binding 4, HLH protein	3400	https://www.ncbi.nlm.nih.gov/gene/?term=3400
ELF1	ELF1	E74 like ETS transcription factor 1	1997	https://www.ncbi.nlm.nih.gov/gene/?term=1997
HES1	HES1	hes family bHLH transcription factor 1	3280	https://www.ncbi.nlm.nih.gov/gene/?term=3280
EXOSC1	EXOSC1	exosome component 1	51013	https://www.ncbi.nlm.nih.gov/gene/?term=51013
AKAP13	AKAP13	A-kinase anchoring protein 13	11214	https://www.ncbi.nlm.nih.gov/gene/?term=11214
TIPIN	TIPIN	TIMELESS interacting protein	54962	https://www.ncbi.nlm.nih.gov/gene/?term=54962
TAF1D	TAF1D	TATA-box binding protein associated factor, RNA polymerase I subunit D	79101	https://www.ncbi.nlm.nih.gov/gene/?term=79101
ZFP36L1	ZFP36L1	ZFP36 ring finger protein like 1	677	https://www.ncbi.nlm.nih.gov/gene/?term=677
NOP58	NOP58	NOP58 ribonucleoprotein	51602	https://www.ncbi.nlm.nih.gov/gene/?term=51602
POLE3	POLE3	DNA polymerase epsilon 3, accessory subunit	54107	https://www.ncbi.nlm.nih.gov/gene/?term=54107
SEC31A	SEC31A	SEC31 homolog A, COPII coat complex component	22872	https://www.ncbi.nlm.nih.gov/gene/?term=22872
ZNF420	ZNF420	zinc finger protein 420	147923	https://www.ncbi.nlm.nih.gov/gene/?term=147923
NBEAL1	NBEAL1	neurobeachin like 1	65065	https://www.ncbi.nlm.nih.gov/gene/?term=65065
SLC38A1	SLC38A1	solute carrier family 38 member 1	81539	https://www.ncbi.nlm.nih.gov/gene/?term=81539
TBC1D15	TBC1D15	TBC1 domain family member 15	64786	https://www.ncbi.nlm.nih.gov/gene/?term=64786
GTPBP2	GTPBP2	GTP binding protein 2	54676	https://www.ncbi.nlm.nih.gov/gene/?term=54676
MAP1B	MAP1B	microtubule associated protein 1B	4131	https://www.ncbi.nlm.nih.gov/gene/?term=4131
PRKAB1	PRKAB1	protein kinase AMP-activated non-catalytic subunit beta 1	5564	https://www.ncbi.nlm.nih.gov/gene/?term=5564
KDM6A	KDM6A	lysine demethylase 6A	7403	https://www.ncbi.nlm.nih.gov/gene/?term=7403
ZNF227	ZNF227	zinc finger protein 227	7770	https://www.ncbi.nlm.nih.gov/gene/?term=7770
SRSF5	SRSF5	serine and arginine rich splicing factor 5	6430	https://www.ncbi.nlm.nih.gov/gene/?term=6430
ZCCHC7	ZCCHC7	zinc finger CCHC-type containing 7	84186	https://www.ncbi.nlm.nih.gov/gene/?term=84186
AEN	AEN	apoptosis enhancing nuclease	64782	https://www.ncbi.nlm.nih.gov/gene/?term=64782
SRSF10	SRSF10	serine and arginine rich splicing factor 10	10772	https://www.ncbi.nlm.nih.gov/gene/?term=10772
ARID5B	ARID5B	AT-rich interaction domain 5B	84159	https://www.ncbi.nlm.nih.gov/gene/?term=84159
SSR3	SSR3	signal sequence receptor subunit 3	6747	https://www.ncbi.nlm.nih.gov/gene/?term=6747
OSER1	OSER1	oxidative stress responsive serine rich 1	51526	https://www.ncbi.nlm.nih.gov/gene/?term=51526
NGRN	NGRN	neugrin, neurite outgrowth associated	51335	https://www.ncbi.nlm.nih.gov/gene/?term=51335
SRSF7	SRSF7	serine and arginine rich splicing factor 7	6432	https://www.ncbi.nlm.nih.gov/gene/?term=6432
MORF4L2	MORF4L2	mortality factor 4 like 2	9643	https://www.ncbi.nlm.nih.gov/gene/?term=9643
DLX2	DLX2	distal-less homeobox 2	1746	https://www.ncbi.nlm.nih.gov/gene/?term=1746
PDXK	PDXK	pyridoxal kinase	8566	https://www.ncbi.nlm.nih.gov/gene/?term=8566
SNX5	SNX5	sorting nexin 5	27131	https://www.ncbi.nlm.nih.gov/gene/?term=27131
RSRC2	RSRC2	arginine and serine rich coiled-coil 2	65117	https://www.ncbi.nlm.nih.gov/gene/?term=65117
BARD1	BARD1	BRCA1 associated RING domain 1	580	https://www.ncbi.nlm.nih.gov/gene/?term=580
BRPF1	BRPF1	bromodomain and PHD finger containing 1	7862	https://www.ncbi.nlm.nih.gov/gene/?term=7862
USP36	USP36	ubiquitin specific peptidase 36	57602	https://www.ncbi.nlm.nih.gov/gene/?term=57602
KANSL2	KANSL2	KAT8 regulatory NSL complex subunit 2	54934	https://www.ncbi.nlm.nih.gov/gene/?term=54934
NOL8	NOL8	nucleolar protein 8	55035	https://www.ncbi.nlm.nih.gov/gene/?term=55035
HOXD11	HOXD11	homeobox D11	3237	https://www.ncbi.nlm.nih.gov/gene/?term=3237
HOXB6	HOXB6	homeobox B6	3216	https://www.ncbi.nlm.nih.gov/gene/?term=3216
SRSF3	SRSF3	serine and arginine rich splicing factor 3	6428	https://www.ncbi.nlm.nih.gov/gene/?term=6428
TRA2A	TRA2A	transformer 2 alpha homolog	29896	https://www.ncbi.nlm.nih.gov/gene/?term=29896
SRSF6	SRSF6	serine and arginine rich splicing factor 6	6431	https://www.ncbi.nlm.nih.gov/gene/?term=6431
MCM7	MCM7	minichromosome maintenance complex component 7	4176	https://www.ncbi.nlm.nih.gov/gene/?term=4176
OGFOD1	OGFOD1	2-oxoglutarate and iron dependent oxygenase domain containing 1	55239	https://www.ncbi.nlm.nih.gov/gene/?term=55239
UBC	UBC	ubiquitin C	7316	https://www.ncbi.nlm.nih.gov/gene/?term=7316
RRM2	RRM2	ribonucleotide reductase regulatory subunit M2	6241	https://www.ncbi.nlm.nih.gov/gene/?term=6241
NFKBIA	NFKBIA	NFKB inhibitor alpha	4792	https://www.ncbi.nlm.nih.gov/gene/?term=4792
HOXA9	HOXA9	homeobox A9	3205	https://www.ncbi.nlm.nih.gov/gene/?term=3205
SREK1	SREK1	splicing regulatory glutamic acid and lysine rich protein 1	140890	https://www.ncbi.nlm.nih.gov/gene/?term=140890
SMNDC1	SMNDC1	survival motor neuron domain containing 1	10285	https://www.ncbi.nlm.nih.gov/gene/?term=10285
YBX3	YBX3	Y-box binding protein 3	8531	https://www.ncbi.nlm.nih.gov/gene/?term=8531
