ID	length
TMEM52|ENSG00000178821.13|chr1	630
CFAP74|ENSG00000142609.20|chr1	4920
GABRD|ENSG00000187730.9|chr1	1359
PRKCZ|ENSG00000067606.17|chr1	1779
FAAP20|ENSG00000162585.17|chr1	543
SKI|ENSG00000157933.10|chr1	2187
MORN1|ENSG00000116151.14|chr1	1494
RER1|ENSG00000157916.20|chr1	591
PEX10|ENSG00000157911.11|chr1	981
PLCH2|ENSG00000149527.18|chr1	4251
PANK4|ENSG00000157881.16|chr1	2322
HES5|ENSG00000197921.6|chr1	501
TNFRSF14|ENSG00000157873.18|chr1	852
PRXL2B|ENSG00000157870.17|chr1	597
MMEL1|ENSG00000142606.16|chr1	2340
TTC34|ENSG00000215912.13|chr1	3240
ACTRT2|ENSG00000169717.7|chr1	1134
PRDM16|ENSG00000142611.17|chr1	3831
ARHGEF16|ENSG00000130762.15|chr1	2130
MEGF6|ENSG00000162591.17|chr1	4626
TPRG1L|ENSG00000158109.15|chr1	819
WRAP73|ENSG00000116213.16|chr1	1383
TP73|ENSG00000078900.15|chr1	1911
CCDC27|ENSG00000162592.10|chr1	1971
SMIM1|ENSG00000235169.11|chr1	237
LRRC47|ENSG00000130764.10|chr1	1752
CEP104|ENSG00000116198.14|chr1	2778
DFFB|ENSG00000169598.17|chr1	1017
C1orf174|ENSG00000198912.12|chr1	732
AJAP1|ENSG00000196581.11|chr1	1236
NPHP4|ENSG00000131697.18|chr1	4281
KCNAB2|ENSG00000069424.16|chr1	1248
CHD5|ENSG00000116254.18|chr1	5865
ENSG00000285629|ENSG00000285629.1|chr1	162
RPL22|ENSG00000116251.11|chr1	387
RNF207|ENSG00000158286.13|chr1	1905
ICMT|ENSG00000116237.16|chr1	855
HES3|ENSG00000173673.8|chr1	561
GPR153|ENSG00000158292.7|chr1	1830
ACOT7|ENSG00000097021.20|chr1	1113
HES2|ENSG00000069812.11|chr1	522
ESPN|ENSG00000187017.18|chr1	2565
TNFRSF25|ENSG00000215788.11|chr1	1254
PLEKHG5|ENSG00000171680.23|chr1	3021
NOL9|ENSG00000162408.11|chr1	2109
TAS1R1|ENSG00000173662.21|chr1	2526
ZBTB48|ENSG00000204859.13|chr1	2067
KLHL21|ENSG00000162413.17|chr1	1794
PHF13|ENSG00000116273.6|chr1	903
THAP3|ENSG00000041988.16|chr1	720
DNAJC11|ENSG00000007923.17|chr1	1680
CAMTA1|ENSG00000171735.20|chr1	5022
VAMP3|ENSG00000049245.13|chr1	303
PER3|ENSG00000049246.15|chr1	3633
UTS2|ENSG00000049247.14|chr1	375
TNFRSF9|ENSG00000049249.10|chr1	768
PARK7|ENSG00000116288.13|chr1	570
ERRFI1|ENSG00000116285.13|chr1	1389
SLC45A1|ENSG00000162426.16|chr1	2247
RERE|ENSG00000142599.19|chr1	4701
ENO1|ENSG00000074800.16|chr1	1305
CA6|ENSG00000131686.15|chr1	927
SLC2A7|ENSG00000197241.4|chr1	1539
SLC2A5|ENSG00000142583.18|chr1	1506
GPR157|ENSG00000180758.12|chr1	1008
H6PD|ENSG00000049239.13|chr1	2376
SPSB1|ENSG00000171621.14|chr1	822
SLC25A33|ENSG00000171612.7|chr1	966
TMEM201|ENSG00000188807.13|chr1	2001
PIK3CD|ENSG00000171608.18|chr1	3135
CLSTN1|ENSG00000171603.18|chr1	2946
CTNNBIP1|ENSG00000178585.15|chr1	246
LZIC|ENSG00000162441.12|chr1	573
NMNAT1|ENSG00000173614.14|chr1	840
RBP7|ENSG00000162444.12|chr1	405
UBE4B|ENSG00000130939.20|chr1	3909
KIF1B|ENSG00000054523.20|chr1	5451
PGD|ENSG00000142657.21|chr1	1452
CENPS-CORT|ENSG00000251503.8|chr1	495
CENPS|ENSG00000175279.22|chr1	417
CORT|ENSG00000241563.4|chr1	318
DFFA|ENSG00000160049.12|chr1	996
PEX14|ENSG00000142655.13|chr1	1134
CASZ1|ENSG00000130940.15|chr1	5280
C1orf127|ENSG00000175262.15|chr1	2472
TARDBP|ENSG00000120948.19|chr1	1245
MASP2|ENSG00000009724.18|chr1	2061
SRM|ENSG00000116649.10|chr1	909
EXOSC10|ENSG00000171824.14|chr1	2658
MTOR|ENSG00000198793.14|chr1	7650
ANGPTL7|ENSG00000171819.5|chr1	1041
UBIAD1|ENSG00000120942.14|chr1	1017
DISP3|ENSG00000204624.8|chr1	4179
FBXO2|ENSG00000116661.11|chr1	891
FBXO44|ENSG00000132879.14|chr1	768
MAD2L2|ENSG00000116670.16|chr1	636
FBXO6|ENSG00000116663.11|chr1	882
DRAXIN|ENSG00000162490.7|chr1	1050
AGTRAP|ENSG00000177674.16|chr1	480
C1orf167|ENSG00000215910.8|chr1	4350
MTHFR|ENSG00000177000.13|chr1	1971
CLCN6|ENSG00000011021.23|chr1	2610
NPPA|ENSG00000175206.11|chr1	456
NPPB|ENSG00000120937.9|chr1	405
KIAA2013|ENSG00000116685.16|chr1	1905
PLOD1|ENSG00000083444.17|chr1	2184
MFN2|ENSG00000116688.18|chr1	2274
MIIP|ENSG00000116691.11|chr1	1167
TNFRSF8|ENSG00000120949.15|chr1	1788
TNFRSF1B|ENSG00000028137.19|chr1	1386
VPS13D|ENSG00000048707.15|chr1	13167
DHRS3|ENSG00000162496.9|chr1	909
AADACL4|ENSG00000204518.3|chr1	1224
AADACL3|ENSG00000188984.12|chr1	1224
CFAP107|ENSG00000157330.10|chr1	585
PRAMEF12|ENSG00000116726.5|chr1	1452
PRAMEF1|ENSG00000116721.9|chr1	1425
PRAMEF11|ENSG00000239810.3|chr1	1437
HNRNPCL1|ENSG00000179172.10|chr1	882
PRAMEF2|ENSG00000120952.4|chr1	1425
PRAMEF4|ENSG00000243073.4|chr1	1437
PRAMEF10|ENSG00000187545.5|chr1	1425
PRAMEF7|ENSG00000204510.6|chr1	1425
PRAMEF6|ENSG00000232423.6|chr1	1431
PRAMEF27|ENSG00000274764.6|chr1	1437
HNRNPCL3|ENSG00000277058.3|chr1	882
PRAMEF25|ENSG00000229571.7|chr1	1437
HNRNPCL2|ENSG00000275774.3|chr1	882
PRAMEF26|ENSG00000280267.6|chr1	1437
HNRNPCL4|ENSG00000179412.11|chr1	882
PRAMEF9|ENSG00000204505.5|chr1	1437
PRAMEF13|ENSG00000279169.3|chr1	1425
PRAMEF18|ENSG00000279804.3|chr1	1440
PRAMEF5|ENSG00000270601.5|chr1	1431
PRAMEF8|ENSG00000182330.11|chr1	1425
PRAMEF33|ENSG00000237700.2|chr1	1425
PRAMEF15|ENSG00000204501.7|chr1	1437
PRAMEF14|ENSG00000204481.8|chr1	1425
PRAMEF19|ENSG00000204480.9|chr1	1440
PRAMEF17|ENSG00000204479.4|chr1	1425
PRAMEF20|ENSG00000204478.11|chr1	1428
LRRC38|ENSG00000162494.6|chr1	885
PDPN|ENSG00000162493.17|chr1	489
PRDM2|ENSG00000116731.23|chr1	5157
KAZN|ENSG00000189337.17|chr1	2328
TMEM51|ENSG00000171729.14|chr1	762
FHAD1|ENSG00000142621.21|chr1	4440
EFHD2|ENSG00000142634.13|chr1	723
CTRC|ENSG00000162438.12|chr1	807
CELA2A|ENSG00000142615.8|chr1	810
CELA2B|ENSG00000215704.10|chr1	810
CASP9|ENSG00000132906.18|chr1	1251
DNAJC16|ENSG00000116138.13|chr1	2349
AGMAT|ENSG00000116771.6|chr1	1059
DDI2|ENSG00000197312.12|chr1	1200
RSC1A1|ENSG00000215695.2|chr1	1854
PLEKHM2|ENSG00000116786.13|chr1	3060
SLC25A34|ENSG00000162461.8|chr1	915
TMEM82|ENSG00000162460.7|chr1	1032
FBLIM1|ENSG00000162458.13|chr1	1122
UQCRHL|ENSG00000233954.7|chr1	276
SPEN|ENSG00000065526.12|chr1	10995
ZBTB17|ENSG00000116809.12|chr1	2412
SRARP|ENSG00000183888.4|chr1	510
HSPB7|ENSG00000173641.18|chr1	513
CLCNKA|ENSG00000186510.12|chr1	2064
CLCNKB|ENSG00000184908.20|chr1	2064
FAM131C|ENSG00000185519.9|chr1	843
EPHA2|ENSG00000142627.13|chr1	2931
ARHGEF19|ENSG00000142632.17|chr1	2409
CPLANE2|ENSG00000132881.12|chr1	777
FBXO42|ENSG00000037637.11|chr1	2154
SZRD1|ENSG00000055070.17|chr1	459
SPATA21|ENSG00000187144.11|chr1	1410
NECAP2|ENSG00000157191.20|chr1	792
NBPF1|ENSG00000219481.11|chr1	3420
CROCC|ENSG00000058453.17|chr1	6054
MFAP2|ENSG00000117122.14|chr1	552
ATP13A2|ENSG00000159363.19|chr1	3543
ENSG00000288636|ENSG00000288636.1|chr1	312
SDHB|ENSG00000117118.10|chr1	843
PADI2|ENSG00000117115.13|chr1	1998
PADI1|ENSG00000142623.11|chr1	1992
PADI3|ENSG00000142619.4|chr1	1995
PADI4|ENSG00000159339.13|chr1	1992
PADI6|ENSG00000276747.1|chr1	2085
RCC2|ENSG00000179051.14|chr1	1569
ARHGEF10L|ENSG00000074964.17|chr1	3840
ACTL8|ENSG00000117148.8|chr1	1101
IGSF21|ENSG00000117154.12|chr1	1404
KLHDC7A|ENSG00000179023.9|chr1	2334
PAX7|ENSG00000009709.12|chr1	1518
TAS1R2|ENSG00000179002.6|chr1	2520
ALDH4A1|ENSG00000159423.17|chr1	1692
IFFO2|ENSG00000169991.11|chr1	1554
UBR4|ENSG00000127481.15|chr1	15552
EMC1|ENSG00000127463.16|chr1	2982
MRTO4|ENSG00000053372.5|chr1	720
AKR7L|ENSG00000211454.16|chr1	996
AKR7A3|ENSG00000162482.5|chr1	996
AKR7A2|ENSG00000053371.13|chr1	1080
SLC66A1|ENSG00000040487.13|chr1	876
CAPZB|ENSG00000077549.19|chr1	819
MICOS10|ENSG00000173436.15|chr1	237
NBL1|ENSG00000158747.15|chr1	546
MICOS10-NBL1|ENSG00000270136.6|chr1	216
HTR6|ENSG00000158748.4|chr1	1323
TMCO4|ENSG00000162542.14|chr1	1905
RNF186|ENSG00000178828.7|chr1	684
OTUD3|ENSG00000169914.6|chr1	1197
PLA2G2E|ENSG00000188784.4|chr1	429
PLA2G2A|ENSG00000188257.12|chr1	435
PLA2G5|ENSG00000127472.11|chr1	417
PLA2G2D|ENSG00000117215.15|chr1	438
PLA2G2F|ENSG00000158786.5|chr1	636
PLA2G2C|ENSG00000187980.7|chr1	450
UBXN10|ENSG00000162543.6|chr1	843
VWA5B1|ENSG00000158816.16|chr1	3648
CAMK2N1|ENSG00000162545.6|chr1	237
MUL1|ENSG00000090432.7|chr1	1059
FAM43B|ENSG00000183114.8|chr1	990
CDA|ENSG00000158825.6|chr1	441
PINK1|ENSG00000158828.8|chr1	1746
DDOST|ENSG00000244038.11|chr1	1320
KIF17|ENSG00000117245.13|chr1	3087
SH2D5|ENSG00000189410.12|chr1	1272
HP1BP3|ENSG00000127483.19|chr1	1662
EIF4G3|ENSG00000075151.24|chr1	4926
ECE1|ENSG00000117298.16|chr1	2313
NBPF3|ENSG00000142794.19|chr1	1902
ALPL|ENSG00000162551.14|chr1	1575
ENSG00000289715|ENSG00000289715.1|chr1	144
RAP1GAP|ENSG00000076864.21|chr1	1992
USP48|ENSG00000090686.16|chr1	3108
LDLRAD2|ENSG00000187942.12|chr1	819
HSPG2|ENSG00000142798.20|chr1	13176
CELA3B|ENSG00000219073.8|chr1	813
CELA3A|ENSG00000142789.20|chr1	813
ENSG00000289694|ENSG00000289694.1|chr1	576
CDC42|ENSG00000070831.18|chr1	576
WNT4|ENSG00000162552.15|chr1	1056
ZBTB40|ENSG00000184677.18|chr1	3720
EPHA8|ENSG00000070886.12|chr1	3018
C1QA|ENSG00000173372.18|chr1	738
ENSG00000289692|ENSG00000289692.1|chr1	629
C1QC|ENSG00000159189.13|chr1	738
C1QB|ENSG00000173369.18|chr1	756
EPHB2|ENSG00000133216.17|chr1	2961
LACTBL1|ENSG00000215906.9|chr1	1740
TEX46|ENSG00000227868.7|chr1	366
KDM1A|ENSG00000004487.18|chr1	2631
LUZP1|ENSG00000169641.14|chr1	3231
HTR1D|ENSG00000179546.5|chr1	1134
HNRNPR|ENSG00000125944.21|chr1	1902
ZNF436|ENSG00000125945.15|chr1	1413
TCEA3|ENSG00000204219.11|chr1	1047
ASAP3|ENSG00000088280.20|chr1	2712
E2F2|ENSG00000007968.7|chr1	1314
ID3|ENSG00000117318.9|chr1	360
RPL11|ENSG00000142676.14|chr1	537
ELOA|ENSG00000011007.13|chr1	2319
PITHD1|ENSG00000057757.10|chr1	636
LYPLA2|ENSG00000011009.11|chr1	696
GALE|ENSG00000117308.15|chr1	1047
HMGCL|ENSG00000117305.15|chr1	978
FUCA1|ENSG00000179163.12|chr1	1401
CNR2|ENSG00000188822.8|chr1	1083
PNRC2|ENSG00000189266.13|chr1	420
SRSF10|ENSG00000188529.15|chr1	789
MYOM3|ENSG00000142661.19|chr1	4314
IL22RA1|ENSG00000142677.4|chr1	1725
IFNLR1|ENSG00000185436.12|chr1	1563
GRHL3|ENSG00000158055.17|chr1	1809
STPG1|ENSG00000001460.18|chr1	1005
NIPAL3|ENSG00000001461.17|chr1	1221
RCAN3|ENSG00000117602.13|chr1	726
NCMAP|ENSG00000184454.7|chr1	309
SRRM1|ENSG00000133226.18|chr1	2715
CLIC4|ENSG00000169504.15|chr1	762
RUNX3|ENSG00000020633.19|chr1	1248
SYF2|ENSG00000117614.10|chr1	732
RSRP1|ENSG00000117616.18|chr1	873
RHD|ENSG00000187010.21|chr1	1254
TMEM50A|ENSG00000183726.11|chr1	474
RHCE|ENSG00000188672.19|chr1	1254
MACO1|ENSG00000204178.11|chr1	1995
LDLRAP1|ENSG00000157978.12|chr1	927
MAN1C1|ENSG00000117643.15|chr1	1893
SELENON|ENSG00000162430.18|chr1	1773
ENSG00000255054|ENSG00000255054.3|chr1	132
MTFR1L|ENSG00000117640.18|chr1	879
AUNIP|ENSG00000127423.11|chr1	1074
PAQR7|ENSG00000182749.6|chr1	1041
STMN1|ENSG00000117632.23|chr1	450
PAFAH2|ENSG00000158006.14|chr1	1179
EXTL1|ENSG00000158008.10|chr1	2031
SLC30A2|ENSG00000158014.15|chr1	1119
TRIM63|ENSG00000158022.7|chr1	1062
PDIK1L|ENSG00000175087.10|chr1	1026
FAM110D|ENSG00000197245.6|chr1	816
C1orf232|ENSG00000282872.2|chr1	561
ZNF593OS|ENSG00000236782.8|chr1	192
ZNF593|ENSG00000142684.9|chr1	405
CNKSR1|ENSG00000142675.18|chr1	2142
CATSPER4|ENSG00000188782.9|chr1	1419
CEP85|ENSG00000130695.16|chr1	2286
SH3BGRL3|ENSG00000142669.15|chr1	282
UBXN11|ENSG00000158062.21|chr1	1563
CD52|ENSG00000169442.9|chr1	186
CRYBG2|ENSG00000176092.17|chr1	4986
ZNF683|ENSG00000176083.18|chr1	1515
LIN28A|ENSG00000131914.11|chr1	630
DHDDS|ENSG00000117682.18|chr1	1002
HMGN2|ENSG00000198830.11|chr1	273
RPS6KA1|ENSG00000117676.14|chr1	2208
ARID1A|ENSG00000117713.21|chr1	6858
PIGV|ENSG00000060642.12|chr1	1482
ZDHHC18|ENSG00000204160.12|chr1	1167
SFN|ENSG00000175793.12|chr1	747
GPN2|ENSG00000142751.15|chr1	933
GPATCH3|ENSG00000198746.13|chr1	1578
NUDC|ENSG00000090273.14|chr1	996
NR0B2|ENSG00000131910.5|chr1	774
KDF1|ENSG00000175707.10|chr1	1197
TRNP1|ENSG00000253368.4|chr1	684
TENT5B|ENSG00000158246.8|chr1	1278
SLC9A1|ENSG00000090020.11|chr1	2448
WDTC1|ENSG00000142784.16|chr1	2034
TMEM222|ENSG00000186501.15|chr1	627
SYTL1|ENSG00000142765.18|chr1	1689
MAP3K6|ENSG00000142733.18|chr1	3867
FCN3|ENSG00000142748.14|chr1	900
CD164L2|ENSG00000174950.11|chr1	525
GPR3|ENSG00000181773.7|chr1	993
WASF2|ENSG00000158195.11|chr1	1497
AHDC1|ENSG00000126705.15|chr1	4812
FGR|ENSG00000000938.13|chr1	1590
IFI6|ENSG00000126709.16|chr1	393
FAM76A|ENSG00000009780.16|chr1	924
STX12|ENSG00000117758.14|chr1	831
PPP1R8|ENSG00000117751.18|chr1	1056
THEMIS2|ENSG00000130775.16|chr1	1932
RPA2|ENSG00000117748.10|chr1	813
SMPDL3B|ENSG00000130768.15|chr1	1368
XKR8|ENSG00000158156.9|chr1	1188
EYA3|ENSG00000158161.16|chr1	1722
PTAFR|ENSG00000169403.12|chr1	1029
DNAJC8|ENSG00000126698.11|chr1	762
ATP5IF1|ENSG00000130770.18|chr1	321
SESN2|ENSG00000130766.5|chr1	1443
MED18|ENSG00000130772.14|chr1	627
PHACTR4|ENSG00000204138.13|chr1	2109
RCC1|ENSG00000180198.17|chr1	1266
TRNAU1AP|ENSG00000180098.9|chr1	864
TAF12|ENSG00000120656.14|chr1	486
RAB42|ENSG00000188060.8|chr1	657
GMEB1|ENSG00000162419.13|chr1	1692
YTHDF2|ENSG00000198492.16|chr1	1740
OPRD1|ENSG00000116329.12|chr1	1119
EPB41|ENSG00000159023.22|chr1	2595
TMEM200B|ENSG00000253304.2|chr1	924
SRSF4|ENSG00000116350.18|chr1	1485
MECR|ENSG00000116353.16|chr1	1122
PTPRU|ENSG00000060656.20|chr1	4311
ENSG00000289710|ENSG00000289710.1|chr1	171
MATN1|ENSG00000162510.6|chr1	1491
LAPTM5|ENSG00000162511.8|chr1	789
SDC3|ENSG00000162512.16|chr1	1329
PUM1|ENSG00000134644.16|chr1	3567
NKAIN1|ENSG00000084628.10|chr1	624
SNRNP40|ENSG00000060688.13|chr1	1074
ZCCHC17|ENSG00000121766.16|chr1	726
FABP3|ENSG00000121769.8|chr1	402
SERINC2|ENSG00000168528.12|chr1	1368
TINAGL1|ENSG00000142910.16|chr1	1404
HCRTR1|ENSG00000121764.12|chr1	1278
PEF1|ENSG00000162517.13|chr1	855
COL16A1|ENSG00000084636.18|chr1	4815
ADGRB2|ENSG00000121753.13|chr1	4758
SPOCD1|ENSG00000134668.13|chr1	3651
PTP4A2|ENSG00000184007.22|chr1	504
ENSG00000288678|ENSG00000288678.1|chr1	66
KHDRBS1|ENSG00000121774.18|chr1	1332
TMEM39B|ENSG00000121775.18|chr1	1479
KPNA6|ENSG00000025800.14|chr1	1611
TXLNA|ENSG00000084652.16|chr1	1641
CCDC28B|ENSG00000160050.16|chr1	603
IQCC|ENSG00000160051.12|chr1	1401
DCDC2B|ENSG00000222046.3|chr1	1050
TMEM234|ENSG00000160055.20|chr1	423
EIF3I|ENSG00000084623.12|chr1	978
FAM167B|ENSG00000183615.6|chr1	492
LCK|ENSG00000182866.18|chr1	1530
HDAC1|ENSG00000116478.12|chr1	1449
MARCKSL1|ENSG00000175130.7|chr1	588
TSSK3|ENSG00000162526.7|chr1	807
FAM229A|ENSG00000225828.2|chr1	384
BSDC1|ENSG00000160058.19|chr1	1293
ENSG00000254553|ENSG00000254553.1|chr1	1539
ZBTB8B|ENSG00000273274.2|chr1	1488
ZBTB8A|ENSG00000160062.15|chr1	1326
ZBTB8OS|ENSG00000176261.16|chr1	504
RBBP4|ENSG00000162521.19|chr1	1278
SYNC|ENSG00000162520.15|chr1	1449
KIAA1522|ENSG00000162522.11|chr1	3285
YARS1|ENSG00000134684.13|chr1	1587
S100PBP|ENSG00000116497.18|chr1	1227
FNDC5|ENSG00000160097.20|chr1	639
HPCA|ENSG00000121905.10|chr1	582
TMEM54|ENSG00000121900.19|chr1	669
RNF19B|ENSG00000116514.17|chr1	2196
AK2|ENSG00000004455.18|chr1	720
AZIN2|ENSG00000142920.17|chr1	1383
TRIM62|ENSG00000116525.14|chr1	1428
ZNF362|ENSG00000160094.15|chr1	1263
A3GALT2|ENSG00000184389.9|chr1	1023
PHC2|ENSG00000134686.20|chr1	2580
ZSCAN20|ENSG00000121903.15|chr1	3132
CSMD2|ENSG00000121904.19|chr1	10896
HMGB4|ENSG00000176256.11|chr1	561
C1orf94|ENSG00000142698.15|chr1	1797
SMIM12|ENSG00000163866.9|chr1	279
GJB5|ENSG00000189280.3|chr1	822
GJB4|ENSG00000189433.7|chr1	801
GJB3|ENSG00000188910.8|chr1	813
GJA4|ENSG00000187513.9|chr1	1002
DLGAP3|ENSG00000116544.12|chr1	2940
ENSG00000284773|ENSG00000284773.1|chr1	168
TMEM35B|ENSG00000243749.2|chr1	465
ENSG00000271741|ENSG00000271741.1|chr1	2172
ZMYM6|ENSG00000163867.17|chr1	3978
ZMYM1|ENSG00000197056.11|chr1	3429
SFPQ|ENSG00000116560.12|chr1	2124
ZMYM4|ENSG00000146463.12|chr1	4647
KIAA0319L|ENSG00000142687.19|chr1	3150
NCDN|ENSG00000020129.16|chr1	2190
TFAP2E|ENSG00000116819.9|chr1	1329
PSMB2|ENSG00000126067.12|chr1	606
C1orf216|ENSG00000142686.8|chr1	690
CLSPN|ENSG00000092853.14|chr1	4020
AGO4|ENSG00000134698.11|chr1	2586
AGO1|ENSG00000092847.14|chr1	2574
AGO3|ENSG00000126070.20|chr1	2583
TEKT2|ENSG00000092850.12|chr1	1293
ADPRS|ENSG00000116863.11|chr1	1092
COL8A2|ENSG00000171812.13|chr1	2112
TRAPPC3|ENSG00000054116.12|chr1	543
MAP7D1|ENSG00000116871.16|chr1	2523
THRAP3|ENSG00000054118.15|chr1	2868
SH3D21|ENSG00000214193.11|chr1	2271
EVA1B|ENSG00000142694.7|chr1	498
STK40|ENSG00000196182.11|chr1	1308
LSM10|ENSG00000181817.6|chr1	372
OSCP1|ENSG00000116885.18|chr1	1140
MRPS15|ENSG00000116898.12|chr1	774
CSF3R|ENSG00000119535.19|chr1	2511
GRIK3|ENSG00000163873.10|chr1	2760
ZC3H12A|ENSG00000163874.11|chr1	1800
MEAF6|ENSG00000163875.16|chr1	576
SNIP1|ENSG00000163877.11|chr1	1191
DNALI1|ENSG00000163879.11|chr1	777
GNL2|ENSG00000134697.13|chr1	2196
RSPO1|ENSG00000169218.14|chr1	792
C1orf109|ENSG00000116922.15|chr1	612
CDCA8|ENSG00000134690.11|chr1	843
EPHA10|ENSG00000183317.17|chr1	3027
MANEAL|ENSG00000185090.15|chr1	1374
YRDC|ENSG00000196449.4|chr1	840
C1orf122|ENSG00000197982.14|chr1	333
MTF1|ENSG00000188786.10|chr1	2262
INPP5B|ENSG00000204084.13|chr1	2742
SF3A3|ENSG00000183431.12|chr1	1506
FHL3|ENSG00000183386.10|chr1	843
UTP11|ENSG00000183520.12|chr1	762
POU3F1|ENSG00000185668.8|chr1	1356
RRAGC|ENSG00000116954.8|chr1	1200
MYCBP|ENSG00000214114.9|chr1	312
ENSG00000274944|ENSG00000274944.4|chr1	333
GJA9|ENSG00000131233.10|chr1	1548
RHBDL2|ENSG00000158315.11|chr1	912
AKIRIN1|ENSG00000174574.16|chr1	579
NDUFS5|ENSG00000168653.11|chr1	321
MACF1|ENSG00000127603.32|chr1	22668
BMP8A|ENSG00000183682.8|chr1	1209
PABPC4|ENSG00000090621.15|chr1	1983
HEYL|ENSG00000163909.8|chr1	987
NT5C1A|ENSG00000116981.4|chr1	1107
HPCAL4|ENSG00000116983.13|chr1	576
PPIE|ENSG00000084072.17|chr1	906
BMP8B|ENSG00000116985.12|chr1	1209
OXCT2|ENSG00000198754.5|chr1	1554
TRIT1|ENSG00000043514.17|chr1	1404
MYCL|ENSG00000116990.11|chr1	1095
MFSD2A|ENSG00000168389.18|chr1	1593
CAP1|ENSG00000131236.18|chr1	1428
PPT1|ENSG00000131238.18|chr1	921
RLF|ENSG00000117000.9|chr1	5745
TMCO2|ENSG00000188800.6|chr1	549
ZMPSTE24|ENSG00000084073.10|chr1	1428
COL9A2|ENSG00000049089.15|chr1	2070
SMAP2|ENSG00000084070.12|chr1	1290
ZFP69B|ENSG00000187801.15|chr1	1605
ZFP69|ENSG00000187815.10|chr1	1581
EXO5|ENSG00000164002.12|chr1	1122
ZNF684|ENSG00000117010.17|chr1	1137
RIMS3|ENSG00000117016.10|chr1	927
NFYC|ENSG00000066136.21|chr1	1008
KCNQ4|ENSG00000117013.17|chr1	2088
CITED4|ENSG00000179862.7|chr1	555
CTPS1|ENSG00000171793.17|chr1	1776
SLFNL1|ENSG00000171790.16|chr1	1224
SCMH1|ENSG00000010803.17|chr1	2013
FOXO6|ENSG00000204060.8|chr1	1479
EDN2|ENSG00000127129.10|chr1	537
HIVEP3|ENSG00000127124.16|chr1	7221
ENSG00000284895|ENSG00000284895.1|chr1	81
GUCA2B|ENSG00000044012.4|chr1	339
GUCA2A|ENSG00000197273.4|chr1	348
FOXJ3|ENSG00000198815.9|chr1	1869
RIMKLA|ENSG00000177181.15|chr1	1176
ZMYND12|ENSG00000066185.13|chr1	1098
PPCS|ENSG00000127125.9|chr1	936
CCDC30|ENSG00000186409.19|chr1	2817
PPIH|ENSG00000171960.12|chr1	534
YBX1|ENSG00000065978.19|chr1	975
CLDN19|ENSG00000164007.11|chr1	675
P3H1|ENSG00000117385.16|chr1	2211
C1orf50|ENSG00000164008.17|chr1	600
ENSG00000283580|ENSG00000283580.4|chr1	330
TMEM269|ENSG00000274386.6|chr1	612
SVBP|ENSG00000177868.12|chr1	201
ERMAP|ENSG00000164010.15|chr1	1428
ZNF691|ENSG00000164011.18|chr1	948
SLC2A1|ENSG00000117394.24|chr1	1479
FAM183A|ENSG00000186973.11|chr1	405
EBNA1BP2|ENSG00000117395.13|chr1	921
TMEM125|ENSG00000179178.11|chr1	660
C1orf210|ENSG00000253313.6|chr1	342
TIE1|ENSG00000066056.14|chr1	3417
