RIBO-DMSO-1	RIBO-DMSO-2	RIBO-DMSO-3	RIBO-TPG-1	RIBO-TPG-2	RIBO-TPG-3
HES2|ENSG00000069812.11|chr1	0	0	7	0	0	12
ESPN|ENSG00000187017.18|chr1	0	3	0	0	20	8
TNFRSF25|ENSG00000215788.11|chr1	16	26	10	0	0	1
PLEKHG5|ENSG00000171680.23|chr1	28	15	13	45	23	0
NOL9|ENSG00000162408.11|chr1	1220	1493	1292	1334	1050	705
TAS1R1|ENSG00000173662.21|chr1	0	0	0	0	0	15
ZBTB48|ENSG00000204859.13|chr1	30	45	74	129	133	125
KLHL21|ENSG00000162413.17|chr1	474	544	484	373	510	337
PHF13|ENSG00000116273.6|chr1	300	358	281	290	165	154
THAP3|ENSG00000041988.16|chr1	204	388	249	496	447	450
DNAJC11|ENSG00000007923.17|chr1	573	637	730	880	612	444
CAMTA1|ENSG00000171735.20|chr1	31	120	75	102	103	69
VAMP3|ENSG00000049245.13|chr1	1027	1301	879	628	668	384
PER3|ENSG00000049246.15|chr1	4	21	7	39	12	1
UTS2|ENSG00000049247.14|chr1	0	5	0	0	0	0
TNFRSF9|ENSG00000049249.10|chr1	1	16	0	0	0	0
PARK7|ENSG00000116288.13|chr1	9866	11824	9891	8576	7830	6428
ERRFI1|ENSG00000116285.13|chr1	145	282	162	181	224	143
SLC45A1|ENSG00000162426.16|chr1	0	0	0	18	0	0
RERE|ENSG00000142599.19|chr1	693	711	599	851	508	392
ENO1|ENSG00000074800.16|chr1	51849	61990	48586	49977	45554	35784
CA6|ENSG00000131686.15|chr1	0	0	0	0	0	0
SLC2A7|ENSG00000197241.4|chr1	0	0	0	0	0	0
SLC2A5|ENSG00000142583.18|chr1	0	0	0	3	0	0
GPR157|ENSG00000180758.12|chr1	91	135	104	38	45	11
H6PD|ENSG00000049239.13|chr1	55	99	147	112	65	129
SPSB1|ENSG00000171621.14|chr1	24	77	52	59	17	29
SLC25A33|ENSG00000171612.7|chr1	561	714	623	414	357	332
TMEM201|ENSG00000188807.13|chr1	121	179	192	234	146	71
PIK3CD|ENSG00000171608.18|chr1	21	27	22	37	37	0
CLSTN1|ENSG00000171603.18|chr1	789	850	663	718	704	414
CTNNBIP1|ENSG00000178585.15|chr1	254	387	262	318	130	249
LZIC|ENSG00000162441.12|chr1	450	566	459	378	355	280
NMNAT1|ENSG00000173614.14|chr1	72	114	63	94	203	123
RBP7|ENSG00000162444.12|chr1	138	136	58	48	58	19
UBE4B|ENSG00000130939.20|chr1	336	400	306	235	345	153
KIF1B|ENSG00000054523.20|chr1	154	160	95	149	123	87
PGD|ENSG00000142657.21|chr1	1571	1756	1657	1854	1438	1366
CENPS-CORT|ENSG00000251503.8|chr1	30	16	64	34	55	15
CENPS|ENSG00000175279.22|chr1	780	1086	862	653	658	552
CORT|ENSG00000241563.4|chr1	30	16	64	34	55	15
DFFA|ENSG00000160049.12|chr1	1814	2475	1813	1910	1821	1341
PEX14|ENSG00000142655.13|chr1	268	217	251	326	359	171
CASZ1|ENSG00000130940.15|chr1	24	15	10	54	40	9
TARDBP|ENSG00000120948.19|chr1	1077	1468	1037	1145	945	1104
MASP2|ENSG00000009724.18|chr1	0	0	0	0	0	0
SRM|ENSG00000116649.10|chr1	7125	9546	7350	4624	4654	3381
EXOSC10|ENSG00000171824.14|chr1	744	695	760	857	761	619
MTOR|ENSG00000198793.14|chr1	199	256	180	239	234	115
ANGPTL7|ENSG00000171819.5|chr1	0	0	0	0	0	0
UBIAD1|ENSG00000120942.14|chr1	909	762	603	654	674	411
DISP3|ENSG00000204624.8|chr1	0	1	0	25	0	0
FBXO2|ENSG00000116661.11|chr1	11	11	1	11	0	0
FBXO44|ENSG00000132879.14|chr1	133	212	102	84	136	25
MAD2L2|ENSG00000116670.16|chr1	1577	2020	1488	1439	1021	954
FBXO6|ENSG00000116663.11|chr1	34	23	82	58	25	43
DRAXIN|ENSG00000162490.7|chr1	28	26	17	15	12	0
AGTRAP|ENSG00000177674.16|chr1	456	636	438	468	380	391
C1orf167|ENSG00000215910.8|chr1	0	0	0	0	0	0
MTHFR|ENSG00000177000.13|chr1	270	362	273	258	122	175
CLCN6|ENSG00000011021.23|chr1	0	8	19	27	21	42
NPPA|ENSG00000175206.11|chr1	0	0	0	0	0	0
NPPB|ENSG00000120937.9|chr1	0	3	9	14	0	0
KIAA2013|ENSG00000116685.16|chr1	674	1047	759	656	413	344
PLOD1|ENSG00000083444.17|chr1	529	601	387	332	434	376
MFN2|ENSG00000116688.18|chr1	945	1155	887	867	803	386
MIIP|ENSG00000116691.11|chr1	203	208	53	263	166	220
TNFRSF8|ENSG00000120949.15|chr1	0	0	0	0	0	0
TNFRSF1B|ENSG00000028137.19|chr1	0	0	0	0	0	0
VPS13D|ENSG00000048707.15|chr1	64	89	66	99	40	143
DHRS3|ENSG00000162496.9|chr1	244	312	316	424	268	306
AADACL4|ENSG00000204518.3|chr1	0	0	0	0	0	0
AADACL3|ENSG00000188984.12|chr1	0	0	0	0	0	0
CFAP107|ENSG00000157330.10|chr1	0	0	0	0	0	0
PRAMEF12|ENSG00000116726.5|chr1	0	0	0	0	0	0
PRAMEF1|ENSG00000116721.9|chr1	0	0	0	0	0	0
PRAMEF11|ENSG00000239810.3|chr1	0	0	0	0	0	0
HNRNPCL1|ENSG00000179172.10|chr1	0	0	0	0	0	0
PRAMEF2|ENSG00000120952.4|chr1	0	0	0	0	0	0
PRAMEF4|ENSG00000243073.4|chr1	0	0	0	0	0	0
PRAMEF10|ENSG00000187545.5|chr1	0	0	0	0	0	0
PRAMEF7|ENSG00000204510.6|chr1	0	0	0	0	0	0
PRAMEF6|ENSG00000232423.6|chr1	0	0	0	0	0	0
PRAMEF27|ENSG00000274764.6|chr1	0	0	0	0	0	0
HNRNPCL3|ENSG00000277058.3|chr1	0	0	0	0	0	0
PRAMEF25|ENSG00000229571.7|chr1	0	0	0	0	0	0
HNRNPCL2|ENSG00000275774.3|chr1	0	0	0	0	0	0
PRAMEF26|ENSG00000280267.6|chr1	0	0	0	0	0	0
HNRNPCL4|ENSG00000179412.11|chr1	0	0	0	0	0	0
PRAMEF9|ENSG00000204505.5|chr1	0	0	0	0	0	0
PRAMEF13|ENSG00000279169.3|chr1	0	0	0	0	0	0
PRAMEF18|ENSG00000279804.3|chr1	0	0	0	0	0	0
PRAMEF5|ENSG00000270601.5|chr1	0	0	0	0	0	0
PRAMEF8|ENSG00000182330.11|chr1	0	0	0	0	0	0
PRAMEF33|ENSG00000237700.2|chr1	0	0	0	0	0	0
PRAMEF15|ENSG00000204501.7|chr1	0	0	0	0	0	0
PRAMEF14|ENSG00000204481.8|chr1	0	0	0	0	0	0
PRAMEF19|ENSG00000204480.9|chr1	0	0	0	0	0	0
PRAMEF17|ENSG00000204479.4|chr1	0	0	0	0	0	0
PRAMEF20|ENSG00000204478.11|chr1	0	0	0	0	0	0
LRRC38|ENSG00000162494.6|chr1	0	0	0	0	0	0
PDPN|ENSG00000162493.17|chr1	541	628	346	310	227	266
KAZN|ENSG00000189337.17|chr1	0	0	0	1	0	0
TMEM51|ENSG00000171729.14|chr1	285	248	200	317	374	198
FHAD1|ENSG00000142621.21|chr1	0	0	0	0	0	0
EFHD2|ENSG00000142634.13|chr1	210	254	181	161	117	89
CTRC|ENSG00000162438.12|chr1	0	0	0	0	0	0
CELA2A|ENSG00000142615.8|chr1	0	0	0	0	0	0
CELA2B|ENSG00000215704.10|chr1	0	0	0	0	0	0
CASP9|ENSG00000132906.18|chr1	217	290	167	265	311	256
DNAJC16|ENSG00000116138.13|chr1	136	226	161	119	188	62
AGMAT|ENSG00000116771.6|chr1	0	0	0	0	0	0
RSC1A1|ENSG00000215695.2|chr1	25	70	18	31	31	94
PLEKHM2|ENSG00000116786.13|chr1	230	309	196	306	157	179
SLC25A34|ENSG00000162461.8|chr1	0	0	0	0	0	0
TMEM82|ENSG00000162460.7|chr1	0	0	0	0	0	0
FBLIM1|ENSG00000162458.13|chr1	179	205	126	157	123	161
SPEN|ENSG00000065526.12|chr1	836	1130	759	1580	1594	1077
ZBTB17|ENSG00000116809.12|chr1	145	148	91	153	126	50
SRARP|ENSG00000183888.4|chr1	0	6	0	0	0	0
HSPB7|ENSG00000173641.18|chr1	0	0	0	0	0	0
CLCNKA|ENSG00000186510.12|chr1	0	0	0	0	0	0
CLCNKB|ENSG00000184908.20|chr1	0	0	8	0	0	0
FAM131C|ENSG00000185519.9|chr1	12	66	48	31	34	30
EPHA2|ENSG00000142627.13|chr1	211	500	337	510	459	326
ARHGEF19|ENSG00000142632.17|chr1	52	31	35	26	34	55
CPLANE2|ENSG00000132881.12|chr1	21	39	15	2	30	1
FBXO42|ENSG00000037637.11|chr1	136	94	53	125	157	42
SZRD1|ENSG00000055070.17|chr1	950	1193	754	864	615	697
SPATA21|ENSG00000187144.11|chr1	0	0	0	0	0	0
NECAP2|ENSG00000157191.20|chr1	414	557	559	514	541	338
NBPF1|ENSG00000219481.11|chr1	0	0	0	1	0	0
CROCC|ENSG00000058453.17|chr1	99	150	71	100	117	0
MFAP2|ENSG00000117122.14|chr1	0	0	0	0	0	0
ATP13A2|ENSG00000159363.19|chr1	204	334	246	31	50	50
SDHB|ENSG00000117118.10|chr1	3028	3261	2425	2369	2034	2457
PADI2|ENSG00000117115.13|chr1	31	31	14	21	2	1
PADI1|ENSG00000142623.11|chr1	0	0	0	0	0	0
PADI3|ENSG00000142619.4|chr1	0	0	0	0	0	0
PADI4|ENSG00000159339.13|chr1	0	0	0	0	0	0
PADI6|ENSG00000276747.1|chr1	0	0	0	0	0	0
RCC2|ENSG00000179051.14|chr1	39	42	25	30	13	0
ARHGEF10L|ENSG00000074964.17|chr1	33	60	27	11	30	14
ACTL8|ENSG00000117148.8|chr1	117	109	126	158	39	69
IGSF21|ENSG00000117154.12|chr1	7	6	12	18	11	24
KLHDC7A|ENSG00000179023.9|chr1	1	13	0	0	0	0
PAX7|ENSG00000009709.12|chr1	7	2	0	1	21	0
ALDH4A1|ENSG00000159423.17|chr1	91	138	158	167	135	64
IFFO2|ENSG00000169991.11|chr1	70	57	89	77	39	48
UBR4|ENSG00000127481.15|chr1	155	259	226	237	302	172
EMC1|ENSG00000127463.16|chr1	363	549	449	406	301	200
MRTO4|ENSG00000053372.5|chr1	4761	5221	4338	4852	4964	3670
AKR7L|ENSG00000211454.16|chr1	0	0	0	0	0	0
AKR7A3|ENSG00000162482.5|chr1	0	0	0	21	4	0
AKR7A2|ENSG00000053371.13|chr1	1944	2763	2147	2091	1885	1501
SLC66A1|ENSG00000040487.13|chr1	193	273	227	268	242	251
CAPZB|ENSG00000077549.19|chr1	2739	4403	3055	3190	3173	2428
MICOS10|ENSG00000173436.15|chr1	3659	4062	2927	2950	2565	1847
NBL1|ENSG00000158747.15|chr1	367	485	347	319	173	206
HTR6|ENSG00000158748.4|chr1	0	24	0	19	0	9
TMCO4|ENSG00000162542.14|chr1	6	11	11	14	34	25
RNF186|ENSG00000178828.7|chr1	0	0	0	0	0	0
OTUD3|ENSG00000169914.6|chr1	61	58	37	56	68	11
PLA2G2E|ENSG00000188784.4|chr1	0	0	0	0	0	0
PLA2G2A|ENSG00000188257.12|chr1	0	0	0	0	0	0
PLA2G5|ENSG00000127472.11|chr1	0	0	0	0	0	0
PLA2G2D|ENSG00000117215.15|chr1	0	0	0	0	0	0
PLA2G2F|ENSG00000158786.5|chr1	0	0	0	0	0	0
PLA2G2C|ENSG00000187980.7|chr1	0	0	0	0	0	0
UBXN10|ENSG00000162543.6|chr1	0	0	0	0	0	0
VWA5B1|ENSG00000158816.16|chr1	0	0	0	0	0	0
CAMK2N1|ENSG00000162545.6|chr1	402	470	375	327	201	84
MUL1|ENSG00000090432.7|chr1	427	406	369	357	283	282
FAM43B|ENSG00000183114.8|chr1	9	0	0	0	0	12
CDA|ENSG00000158825.6|chr1	33	42	12	26	23	17
PINK1|ENSG00000158828.8|chr1	1447	1573	1158	1303	1043	878
DDOST|ENSG00000244038.11|chr1	2137	2621	1878	2301	2121	1815
KIF17|ENSG00000117245.13|chr1	2	13	0	19	18	11
SH2D5|ENSG00000189410.12|chr1	36	35	114	5	54	47
HP1BP3|ENSG00000127483.19|chr1	675	882	698	607	625	325
EIF4G3|ENSG00000075151.24|chr1	1845	2030	1653	1323	1260	1008
ECE1|ENSG00000117298.16|chr1	467	625	487	454	476	400
NBPF3|ENSG00000142794.19|chr1	67	75	25	11	45	18
ALPL|ENSG00000162551.14|chr1	0	9	0	7	17	17
USP48|ENSG00000090686.16|chr1	353	429	389	508	378	363
LDLRAD2|ENSG00000187942.12|chr1	0	0	0	0	0	0
HSPG2|ENSG00000142798.20|chr1	38	39	42	0	3	0
CELA3B|ENSG00000219073.8|chr1	0	0	0	0	0	0
CELA3A|ENSG00000142789.20|chr1	0	0	0	0	0	0
ENSG00000289694|ENSG00000289694.1|chr1	336	419	283	345	234	316
CDC42|ENSG00000070831.18|chr1	4161	5191	4111	3769	3036	2933
WNT4|ENSG00000162552.15|chr1	2	23	9	4	15	0
ZBTB40|ENSG00000184677.18|chr1	67	79	77	117	98	79
EPHA8|ENSG00000070886.12|chr1	7	0	0	0	0	0
C1QA|ENSG00000173372.18|chr1	0	0	0	0	0	0
C1QC|ENSG00000159189.13|chr1	0	0	0	0	0	0
C1QB|ENSG00000173369.18|chr1	0	0	0	0	0	0
EPHB2|ENSG00000133216.17|chr1	77	86	55	21	193	12
TEX46|ENSG00000227868.7|chr1	19	17	2	0	7	6
KDM1A|ENSG00000004487.18|chr1	656	790	514	698	829	639
LUZP1|ENSG00000169641.14|chr1	124	146	131	113	87	105
HTR1D|ENSG00000179546.5|chr1	1	0	6	2	0	25
HNRNPR|ENSG00000125944.21|chr1	8	0	12	0	2	0
ZNF436|ENSG00000125945.15|chr1	1	0	0	0	0	0
TCEA3|ENSG00000204219.11|chr1	0	0	0	0	0	0
ASAP3|ENSG00000088280.20|chr1	0	0	0	0	0	0
E2F2|ENSG00000007968.7|chr1	0	0	0	0	0	0
RPL11|ENSG00000142676.14|chr1	1821	2391	2419	3364	2657	2830
ELOA|ENSG00000011007.13|chr1	600	581	568	623	578	541
PITHD1|ENSG00000057757.10|chr1	1005	1347	1256	1685	1413	1262
LYPLA2|ENSG00000011009.11|chr1	339	472	391	403	283	343
GALE|ENSG00000117308.15|chr1	308	320	299	371	356	239
HMGCL|ENSG00000117305.15|chr1	131	105	77	160	108	98
FUCA1|ENSG00000179163.12|chr1	468	639	558	498	324	286
CNR2|ENSG00000188822.8|chr1	0	0	0	0	0	0
PNRC2|ENSG00000189266.13|chr1	554	632	481	749	598	661
SRSF10|ENSG00000188529.15|chr1	2035	2400	1858	2698	2371	1781
MYOM3|ENSG00000142661.19|chr1	0	0	0	0	0	0
IL22RA1|ENSG00000142677.4|chr1	0	5	0	0	0	0
IFNLR1|ENSG00000185436.12|chr1	57	74	32	31	16	37
GRHL3|ENSG00000158055.17|chr1	13	5	0	1	0	0
STPG1|ENSG00000001460.18|chr1	16	36	25	9	1	93
NIPAL3|ENSG00000001461.17|chr1	434	545	369	291	392	327
RCAN3|ENSG00000117602.13|chr1	238	265	206	128	220	90
NCMAP|ENSG00000184454.7|chr1	0	0	0	0	0	0
SRRM1|ENSG00000133226.18|chr1	424	576	461	570	393	455
CLIC4|ENSG00000169504.15|chr1	549	776	623	695	579	304
RUNX3|ENSG00000020633.19|chr1	262	327	207	232	152	125
SYF2|ENSG00000117614.10|chr1	792	789	617	844	659	493
RSRP1|ENSG00000117616.18|chr1	272	292	219	242	176	111
RHD|ENSG00000187010.21|chr1	0	0	0	0	0	0
TMEM50A|ENSG00000183726.11|chr1	2829	3582	2968	2218	1786	1955
RHCE|ENSG00000188672.19|chr1	16	14	5	0	1	0
MACO1|ENSG00000204178.11|chr1	210	236	77	263	269	428
LDLRAP1|ENSG00000157978.12|chr1	277	388	474	339	285	144
MAN1C1|ENSG00000117643.15|chr1	58	40	34	24	74	52
SELENON|ENSG00000162430.18|chr1	245	280	366	261	153	174
MTFR1L|ENSG00000117640.18|chr1	314	333	307	343	261	240
AUNIP|ENSG00000127423.11|chr1	187	252	210	427	314	377
PAQR7|ENSG00000182749.6|chr1	0	0	0	0	0	43
STMN1|ENSG00000117632.23|chr1	11625	14010	10390	11893	10137	9291
PAFAH2|ENSG00000158006.14|chr1	110	199	99	72	121	58
EXTL1|ENSG00000158008.10|chr1	0	10	0	0	0	0
SLC30A2|ENSG00000158014.15|chr1	0	0	0	0	0	0
TRIM63|ENSG00000158022.7|chr1	0	1	0	0	0	0
PDIK1L|ENSG00000175087.10|chr1	185	144	119	165	177	75
FAM110D|ENSG00000197245.6|chr1	0	3	0	0	0	0
C1orf232|ENSG00000282872.2|chr1	0	0	0	0	0	0
ZNF593|ENSG00000142684.9|chr1	1265	1700	1192	1683	1852	1188
CNKSR1|ENSG00000142675.18|chr1	3	14	12	25	0	26
CATSPER4|ENSG00000188782.9|chr1	0	0	0	0	0	0
CEP85|ENSG00000130695.16|chr1	82	130	60	236	212	102
SH3BGRL3|ENSG00000142669.15|chr1	1133	1369	905	906	728	507
UBXN11|ENSG00000158062.21|chr1	0	0	0	0	0	0
CD52|ENSG00000169442.9|chr1	7	0	0	0	0	0
CRYBG2|ENSG00000176092.17|chr1	11	34	25	0	21	29
ZNF683|ENSG00000176083.18|chr1	0	0	0	0	0	0
LIN28A|ENSG00000131914.11|chr1	0	0	0	0	0	0
DHDDS|ENSG00000117682.18|chr1	156	221	218	227	198	122
HMGN2|ENSG00000198830.11|chr1	354	645	452	361	306	232
RPS6KA1|ENSG00000117676.14|chr1	0	0	0	0	0	0
ARID1A|ENSG00000117713.21|chr1	692	818	669	711	580	404
PIGV|ENSG00000060642.12|chr1	65	81	71	58	57	35
ZDHHC18|ENSG00000204160.12|chr1	189	201	194	89	116	19
SFN|ENSG00000175793.12|chr1	12	26	1	0	6	18
GPN2|ENSG00000142751.15|chr1	436	493	302	423	466	271
GPATCH3|ENSG00000198746.13|chr1	39	91	83	155	196	53
NUDC|ENSG00000090273.14|chr1	3573	4322	3658	4174	3764	3080
NR0B2|ENSG00000131910.5|chr1	0	0	0	0	0	0
KDF1|ENSG00000175707.10|chr1	0	12	0	0	3	0
TENT5B|ENSG00000158246.8|chr1	25	0	0	0	24	0
SLC9A1|ENSG00000090020.11|chr1	151	202	197	174	85	53
WDTC1|ENSG00000142784.16|chr1	172	172	132	111	54	101
TMEM222|ENSG00000186501.15|chr1	351	407	371	333	355	242
SYTL1|ENSG00000142765.18|chr1	26	5	31	1	2	21
MAP3K6|ENSG00000142733.18|chr1	87	39	45	81	9	56
FCN3|ENSG00000142748.14|chr1	0	0	0	0	0	0
CD164L2|ENSG00000174950.11|chr1	0	0	0	0	0	0
GPR3|ENSG00000181773.7|chr1	8	8	30	29	4	0
WASF2|ENSG00000158195.11|chr1	1449	2064	1510	1548	1481	1202
FGR|ENSG00000000938.13|chr1	12	0	0	0	0	0
IFI6|ENSG00000126709.16|chr1	479	581	405	503	359	331
FAM76A|ENSG00000009780.16|chr1	166	165	184	290	217	201
STX12|ENSG00000117758.14|chr1	285	389	410	278	286	473
PPP1R8|ENSG00000117751.18|chr1	650	751	664	680	644	374
THEMIS2|ENSG00000130775.16|chr1	0	12	15	29	0	0
RPA2|ENSG00000117748.10|chr1	1391	1856	1306	1559	1741	1412
SMPDL3B|ENSG00000130768.15|chr1	207	294	148	109	169	74
XKR8|ENSG00000158156.9|chr1	181	164	98	121	90	41
EYA3|ENSG00000158161.16|chr1	285	315	251	247	245	176
PTAFR|ENSG00000169403.12|chr1	0	12	0	4	0	0
DNAJC8|ENSG00000126698.11|chr1	2897	3651	2877	3194	2546	2621
ATP5IF1|ENSG00000130770.18|chr1	5	28	9	31	2	5
SESN2|ENSG00000130766.5|chr1	4	5	0	41	62	30
MED18|ENSG00000130772.14|chr1	0	0	0	0	0	0
PHACTR4|ENSG00000204138.13|chr1	639	824	772	635	545	644
RCC1|ENSG00000180198.17|chr1	1175	1498	1078	1228	1067	971
TRNAU1AP|ENSG00000180098.9|chr1	625	745	471	595	584	484
TAF12|ENSG00000120656.14|chr1	207	394	343	352	336	177
RAB42|ENSG00000188060.8|chr1	0	0	4	9	0	0
GMEB1|ENSG00000162419.13|chr1	296	279	290	398	394	258
YTHDF2|ENSG00000198492.16|chr1	904	1132	895	1289	1177	799
OPRD1|ENSG00000116329.12|chr1	92	37	8	45	36	28
TMEM200B|ENSG00000253304.2|chr1	1	0	0	0	0	0
SRSF4|ENSG00000116350.18|chr1	1236	1295	975	1837	1895	983
MECR|ENSG00000116353.16|chr1	413	417	240	344	214	229
PTPRU|ENSG00000060656.20|chr1	106	139	138	145	48	61
MATN1|ENSG00000162510.6|chr1	0	0	0	0	0	0
LAPTM5|ENSG00000162511.8|chr1	0	6	0	0	0	0
SDC3|ENSG00000162512.16|chr1	56	62	37	38	40	1
PUM1|ENSG00000134644.16|chr1	1027	968	718	897	1124	669
NKAIN1|ENSG00000084628.10|chr1	50	5	26	11	0	0
SNRNP40|ENSG00000060688.13|chr1	391	476	360	339	380	208
ZCCHC17|ENSG00000121766.16|chr1	599	657	491	505	337	248
FABP3|ENSG00000121769.8|chr1	0	0	3	0	0	0
SERINC2|ENSG00000168528.12|chr1	270	319	197	79	65	123
TINAGL1|ENSG00000142910.16|chr1	3	15	1	15	0	0
HCRTR1|ENSG00000121764.12|chr1	0	0	0	0	0	0
PEF1|ENSG00000162517.13|chr1	1833	2378	2254	1825	1674	1408
COL16A1|ENSG00000084636.18|chr1	0	0	5	0	0	0
ADGRB2|ENSG00000121753.13|chr1	18	66	20	8	22	17
SPOCD1|ENSG00000134668.13|chr1	0	2	0	1	0	0
PTP4A2|ENSG00000184007.22|chr1	6138	7850	6025	4745	3837	4086
KHDRBS1|ENSG00000121774.18|chr1	5781	6886	5361	5847	5397	4258
TMEM39B|ENSG00000121775.18|chr1	253	370	335	362	252	317
KPNA6|ENSG00000025800.14|chr1	2209	2907	2303	2323	2366	1816
TXLNA|ENSG00000084652.16|chr1	831	973	819	1129	844	661
