gene_name	DMSO-P0-1	DMSO-P0-2	DMSO-P0-3	TPG-P0-1	TPG-P0-2	TPG-P0-3
LYRM7	1298	1650	1269	1197	1094	780
LYRM9	30	44	20	42	19	1
LYSMD1	88	83	72	141	55	44
LYSMD2	103	224	156	137	179	237
LYSMD3	188	107	128	135	177	226
LYSMD4	107	115	62	68	97	25
LYST	0	6	2	16	36	28
LYVE1	0	0	0	0	0	0
LYZ	0	2	0	0	0	0
LYZL1	0	0	0	0	0	0
LYZL2	0	0	0	0	0	0
LYZL4	0	0	0	0	0	0
LYZL6	0	0	0	0	0	0
LZIC	462	610	489	396	355	297
LZTFL1	160	304	173	96	183	226
LZTR1	278	275	258	261	292	161
LZTS1	27	14	23	21	20	28
LZTS2	266	472	290	208	241	212
LZTS3	199	196	230	195	147	66
M1AP	0	0	0	0	0	0
M6PR	986	1300	861	697	553	501
MAB21L1	12	41	40	17	21	0
MAB21L2	0	0	0	0	0	0
MAB21L3	0	0	0	0	0	0
MAB21L4	0	0	0	0	0	0
MACC1	0	0	0	0	0	0
MACF1	669	631	538	765	909	661
MACIR	349	322	233	278	230	240
MACO1	274	311	213	381	477	565
MACROD1	0	16	17	39	9	19
MACROD2	0	0	3	0	17	0
MACROH2A1	5249	6619	5499	5163	5205	3940
MACROH2A2	574	795	644	512	502	334
MAD1L1	90	124	96	123	122	83
MAD2L1	1157	1563	1086	1437	1170	1195
MAD2L1BP	491	543	450	605	630	460
MAD2L2	1577	2020	1488	1439	1021	954
MADCAM1	0	7	0	0	0	0
MADD	70	55	41	59	119	44
MAEA	676	863	625	677	860	568
MAEL	1	0	0	13	0	0
MAF	106	123	101	132	15	25
MAF1	972	1223	1070	846	897	618
MAFA	83	44	49	115	50	5
MAFB	119	175	70	113	94	97
MAFF	22	33	11	137	150	47
MAFG	657	682	522	585	526	560
MAFK	179	264	189	268	335	307
MAG	0	0	0	0	0	0
MAGEA1	0	0	0	0	0	0
MAGEA10	0	0	0	0	0	0
MAGEA11	15	0	0	0	0	0
MAGEA12	0	0	0	0	0	0
MAGEA2	0	0	0	0	0	0
MAGEA2B	0	0	0	0	0	0
MAGEA3	0	0	0	0	0	0
MAGEA4	0	0	0	0	0	0
MAGEA6	0	0	0	0	0	0
MAGEA8	0	0	0	0	0	0
MAGEA9	0	0	0	0	0	0
MAGEA9B	0	0	0	0	0	0
MAGEB1	0	0	0	0	0	0
MAGEB10	0	0	0	0	0	0
MAGEB16	0	0	0	0	0	0
MAGEB17	0	0	0	0	0	0
MAGEB18	0	0	0	0	0	0
MAGEB2	0	0	0	0	0	0
MAGEB3	0	0	0	0	0	0
MAGEB4	0	0	0	0	0	0
MAGEB5	0	0	0	0	0	0
MAGEB6	0	0	0	0	0	0
MAGEC1	0	0	0	0	0	0
MAGEC2	0	0	21	0	10	1
MAGEC3	0	0	0	0	0	0
MAGED1	690	968	663	930	849	445
MAGED2	402	555	464	660	463	431
MAGED4	0	0	0	0	0	0
MAGED4B	0	0	0	0	0	0
MAGEE1	22	29	11	45	0	1
MAGEE2	0	0	0	0	0	0
MAGEF1	933	1311	1028	1250	961	957
MAGEH1	2	26	10	4	0	0
MAGEL2	0	0	0	0	0	0
MAGI1	256	214	261	303	333	144
MAGI2	89	125	153	67	102	79
MAGI3	149	213	150	140	185	44
MAGIX	36	25	34	27	53	42
MAGOH	910	1264	716	922	794	705
MAGOHB	379	492	354	486	470	464
MAGT1	1268	1623	1377	1290	1263	1028
MAIP1	404	584	552	460	591	342
MAJIN	0	0	1	2	0	0
MAK	3	9	11	0	39	39
MAK16	330	296	248	467	359	200
MAL	0	0	4	0	0	0
MAL2	92	114	135	50	54	109
MALL	0	0	0	0	0	0
MALRD1	0	0	0	0	0	0
MALSU1	1082	1199	1039	964	920	792
MALT1	157	131	126	204	270	175
MAMDC2	0	0	0	0	0	0
MAMDC4	0	8	0	0	0	0
MAML1	1	0	0	0	0	0
MAML2	6	34	20	31	32	0
MAML3	33	56	25	32	29	107
MAMLD1	0	10	15	1	35	14
MAMSTR	29	26	22	10	4	0
MAN1A1	178	158	120	100	75	48
MAN1A2	340	213	214	256	142	258
MAN1B1	247	269	190	239	216	187
MAN1C1	72	43	41	35	74	52
MAN2A1	210	288	220	223	207	149
MAN2A2	174	225	160	205	75	185
MAN2B1	368	523	444	381	322	172
MAN2B2	51	89	60	85	74	165
MAN2C1	87	127	123	107	87	19
MANBA	126	227	176	232	138	212
MANBAL	1474	2138	1593	1331	1274	1007
MANEA	190	255	131	163	68	72
MANEAL	781	1173	758	709	585	590
MANF	3938	4671	3788	11068	9158	6666
MANSC1	0	0	0	0	0	0
MANSC4	0	0	0	0	0	0
MAOA	116	108	95	141	58	15
MAOB	0	0	0	9	0	0
MAP10	0	0	0	0	0	0
MAP1A	58	108	61	73	55	66
MAP1B	2882	3239	3103	3457	2984	2957
MAP1LC3A	0	0	0	0	0	0
MAP1LC3B	1318	1561	1026	1145	895	958
MAP1LC3B2	68	81	67	64	72	54
MAP1LC3C	0	0	0	0	0	0
MAP1S	195	317	261	236	127	204
MAP2	4	42	2	11	38	0
MAP2K1	744	1007	791	958	788	664
MAP2K2	534	711	554	359	456	269
MAP2K3	993	1261	811	730	893	796
MAP2K4	550	629	475	296	379	426
MAP2K5	452	436	477	351	386	343
MAP2K6	156	136	149	121	87	247
MAP2K7	263	359	254	356	271	219
MAP3K1	209	390	254	322	319	106
MAP3K10	28	11	25	15	42	24
MAP3K11	67	113	95	74	59	50
MAP3K12	15	19	0	17	18	0
MAP3K13	983	1313	1109	953	859	607
MAP3K14	0	18	17	54	43	2
MAP3K15	0	23	0	78	1	26
MAP3K19	0	0	0	0	0	0
MAP3K2	678	845	623	709	599	546
MAP3K20	566	897	660	896	703	515
MAP3K21	314	290	220	267	156	83
MAP3K3	509	601	397	341	307	204
MAP3K4	136	183	142	207	163	134
MAP3K5	16	132	44	71	68	2
MAP3K6	97	39	45	81	9	56
MAP3K7	394	527	369	485	380	411
MAP3K7CL	0	0	0	0	0	0
MAP3K8	82	93	72	230	331	272
MAP3K9	27	94	67	42	74	50
MAP4	612	907	709	721	805	654
MAP4K1	113	69	39	59	56	77
MAP4K2	5	22	16	11	1	10
MAP4K3	136	157	101	149	142	62
MAP4K4	625	815	566	572	605	319
MAP4K5	243	333	265	216	228	326
MAP6	0	4	19	0	16	0
MAP6D1	109	88	104	48	104	32
MAP7	190	231	226	174	202	85
MAP7D1	495	720	604	628	574	486
MAP7D2	136	144	145	279	121	86
MAP7D3	244	237	200	173	151	143
MAP9	559	716	383	535	611	561
MAPK1	761	1085	715	670	877	661
MAPK10	0	0	0	15	0	0
MAPK11	27	54	25	21	60	17
MAPK12	291	452	316	330	275	143
MAPK13	649	767	611	394	454	298
MAPK14	381	393	261	370	290	304
MAPK15	0	0	0	0	0	0
MAPK1IP1L	1311	1819	1338	1556	1179	977
MAPK3	1001	1274	994	1038	991	571
MAPK4	58	45	144	89	45	1
MAPK6	308	471	371	235	210	230
MAPK7	122	215	177	332	169	151
MAPK8	189	198	196	154	154	128
MAPK8IP1	28	28	4	33	55	14
MAPK8IP2	375	517	289	476	418	441
MAPK8IP3	5	19	8	5	8	25
MAPK9	740	844	618	505	365	483
MAPKAP1	1086	1418	1087	354	470	341
MAPKAPK2	742	1247	996	613	609	582
MAPKAPK3	758	883	689	532	455	292
MAPKAPK5	608	750	605	372	550	408
MAPKBP1	44	28	34	80	38	36
MAPRE1	2234	2614	2061	2254	1971	1359
MAPRE2	361	434	329	322	499	242
MAPRE3	51	49	18	58	55	23
MAPT	0	0	0	0	0	0
MARCHF1	0	0	0	0	0	0
MARCHF10	15	8	5	0	0	0
MARCHF11	0	0	0	0	0	0
MARCHF2	30	21	15	31	33	2
MARCHF3	249	246	210	266	402	151
MARCHF4	0	0	0	0	0	0
MARCHF5	517	852	727	707	815	586
MARCHF6	1188	1482	1263	966	901	944
MARCHF7	403	437	336	381	465	181
MARCHF8	0	0	0	0	0	0
MARCHF9	199	297	253	193	234	88
MARCKS	2904	3181	2787	2161	1864	1276
MARCKSL1	2042	2873	2231	1796	1455	1072
MARCO	0	0	0	0	0	0
MARCOL	0	0	0	0	0	0
MARF1	0	2	5	1	0	0
MARK1	235	403	161	228	184	185
MARK2	248	366	204	197	216	225
MARK3	934	1033	753	991	989	933
MARK4	129	160	217	110	73	39
MARS1	2140	2547	2003	3644	3347	2637
MARS2	74	139	117	197	143	156
MARVELD1	48	123	40	52	12	73
MARVELD2	0	0	0	0	0	0
MARVELD3	159	182	146	131	96	196
MAS1	0	0	0	0	0	0
MAS1L	0	0	0	0	0	0
MASP1	0	0	0	0	0	0
MASP2	0	0	0	0	0	0
MAST1	67	85	63	95	40	68
MAST2	189	173	230	136	115	167
MAST3	8	29	28	7	45	31
MAST4	169	236	194	146	195	120
MASTL	251	220	134	213	166	226
MAT1A	0	0	0	0	0	0
MAT2A	232	325	191	167	151	180
MAT2B	898	999	870	1000	835	806
MATK	17	2	10	0	24	33
MATN1	0	0	0	0	0	0
MATN2	29	17	21	0	1	21
MATN3	1	6	0	0	0	0
MATN4	0	0	0	0	0	0
MATR3	4906	5610	4916	4764	4036	3672
MAU2	327	399	328	539	461	341
MAVS	579	838	637	533	482	516
MAX	770	926	873	865	759	635
MAZ	2067	3001	2070	1920	1907	1454
MB	0	0	0	0	0	0
MB21D2	202	278	167	311	223	140
MBD1	420	329	321	497	503	306
MBD2	1509	1889	1520	1186	966	1082
MBD3	950	1102	974	780	910	701
MBD3L1	0	0	0	0	0	0
MBD3L2	0	0	0	0	0	0
MBD3L2B	0	0	4	0	0	0
MBD3L3	0	0	0	0	0	0
MBD3L4	0	0	0	0	0	0
MBD3L5	0	0	0	0	0	0
MBD4	207	294	250	222	283	200
MBD5	19	5	24	45	31	12
MBD6	363	512	384	339	315	255
MBIP	148	257	185	293	123	165
MBL2	0	0	0	0	0	0
MBLAC1	110	66	37	86	97	37
MBLAC2	111	159	163	64	115	102
MBNL1	834	1385	893	891	746	532
MBNL2	71	136	101	164	125	111
MBNL3	180	188	175	83	111	80
MBOAT1	81	54	45	65	107	27
MBOAT2	474	570	421	309	196	149
MBOAT4	0	0	0	0	0	0
MBOAT7	47	50	53	19	89	23
MBP	12	64	58	66	60	50
MBTD1	96	112	101	43	57	121
MBTPS1	672	1007	672	633	639	541
MBTPS2	223	294	292	300	276	280
MC1R	0	8	1	2	0	2
MC2R	0	0	0	0	0	0
MC4R	0	0	0	0	0	0
MC5R	0	0	0	0	0	0
MCAM	318	415	275	372	328	342
MCAT	852	1075	995	1289	1063	524
MCC	321	352	234	382	317	309
MCCC1	264	340	312	294	396	226
MCCC2	903	1013	828	917	685	391
MCCD1	0	0	0	0	0	0
MCEE	51	45	7	97	42	90
MCEMP1	0	0	0	0	0	0
MCF2	0	0	1	0	0	0
MCF2L	72	43	66	94	113	49
MCF2L2	14	16	12	8	0	1
MCFD2	670	906	671	858	551	869
MCHR1	0	0	0	0	0	0
MCHR2	0	0	0	0	0	0
MCIDAS	17	20	29	27	12	39
MCL1	1889	2229	1617	2554	2383	1904
MCM10	1066	957	750	1205	1140	727
MCM2	2314	3255	2763	2954	3000	2378
MCM3	1869	2293	1800	2503	2039	1812
MCM3AP	1034	1299	883	946	1238	572
MCM4	3084	3703	3115	3283	3382	2099
MCM5	1399	2118	1467	2367	1825	1619
MCM6	1404	1407	1333	1520	1675	1251
MCM7	7165	9039	6825	9765	8221	6382
MCM8	1243	1511	1085	1581	1388	750
MCM9	194	194	187	211	221	245
MCMBP	820	773	613	1064	841	1042
MCMDC2	0	0	0	0	0	3
MCOLN1	75	52	33	39	13	98
MCOLN2	322	237	237	291	176	126
MCOLN3	126	154	81	73	117	29
MCPH1	302	409	326	477	467	226
MCRIP1	0	5	0	4	0	0
MCRIP2	716	869	760	702	500	350
MCRS1	2393	3652	2734	3094	2728	1354
MCTP1	112	46	27	45	17	26
MCTP2	0	2	0	0	0	0
MCTS1	0	0	0	0	0	0
MCTS2P	72	114	121	156	108	100
MCU	320	445	290	365	310	126
MCUB	1054	1282	987	438	493	360
MCUR1	406	495	527	465	343	358
MDC1	0	0	0	0	0	0
MDFI	0	0	0	0	0	0
MDFIC	428	427	341	335	125	205
MDFIC2	0	0	0	0	0	0
MDGA1	3	24	45	1	32	2
MDGA2	0	0	0	0	0	0
MDH1	1872	2123	1389	1941	1824	1809
MDH1B	0	6	0	0	0	0
MDH2	3771	4943	3612	4790	4321	3567
MDK	1681	2206	1617	1642	1305	1402
MDM1	152	144	76	220	188	122
MDM2	1194	1460	1115	1672	1482	1313
MDM4	201	275	235	396	507	257
MDN1	310	262	222	319	232	191
MDP1	0	6	0	0	37	0
ME1	870	1009	853	817	670	590
ME2	602	655	551	578	488	408
ME3	0	0	0	0	0	0
MEA1	4755	6244	4756	4293	3823	3110
MEAF6	959	1295	856	944	840	974
MEAK7	107	97	94	22	130	43
MECOM	112	230	141	200	158	93
MECP2	355	429	258	464	270	330
MECR	413	422	240	344	214	229
MED1	1287	1429	1419	1707	1601	1221
MED10	1494	1748	1447	2531	1908	1958
MED11	903	1143	1030	713	812	568
MED12	222	213	265	308	170	157
MED12L	218	307	175	144	214	226
MED13	697	876	627	590	580	392
MED13L	507	707	378	444	533	268
MED14	246	297	214	367	272	131
MED15	336	510	417	694	442	519
MED16	94	116	139	119	139	170
MED17	147	163	178	80	86	57
MED18	0	0	0	0	0	0
MED19	260	437	338	571	525	446
MED20	231	238	190	281	189	194
MED21	528	563	669	460	500	376
MED22	0	2	0	23	0	0
MED23	37	39	37	98	96	34
MED24	869	1309	940	837	771	518
MED25	284	237	269	260	307	257
MED26	222	383	139	166	180	107
MED27	572	933	623	749	752	478
MED28	870	1062	748	985	821	527
MED29	1003	1213	788	1035	913	842
MED30	68	104	69	82	93	37
MED31	674	792	514	710	628	494
MED4	492	599	550	396	358	344
MED6	505	607	370	677	217	463
MED7	203	110	102	104	241	109
MED8	867	979	669	800	880	577
MED9	206	230	146	81	162	100
MEDAG	0	0	0	0	0	0
MEF2A	295	286	265	271	184	136
MEF2B	0	0	13	8	0	0
MEF2C	96	169	125	60	111	78
MEF2D	132	130	47	132	47	38
MEFV	0	0	0	0	0	0
MEGF10	5	0	0	0	0	0
MEGF11	80	109	42	63	62	4
MEGF6	33	13	15	7	31	0
MEGF8	786	676	737	61	72	79
MEGF9	126	92	66	50	35	41
MEI1	0	0	0	0	0	0
MEI4	0	0	0	0	0	0
MEIG1	14	18	10	0	0	0
MEIKIN	0	0	0	0	0	0
MEIOB	0	0	0	0	0	0
MEIOC	24	6	19	23	11	11
MEIOSIN	7	2	6	0	0	0
MEIS1	26	31	23	51	16	0
MEIS2	321	571	321	347	465	225
MEIS3	93	132	161	54	68	188
MELK	238	405	303	325	231	168
MELTF	115	134	134	106	32	102
MEMO1	73	132	49	34	114	42
MEN1	812	969	688	704	518	469
MEOX1	0	20	3	0	19	0
MEOX2	0	0	0	0	0	0
MEP1A	0	0	0	0	0	0
MEP1B	4	0	0	0	0	0
MEPCE	891	811	834	918	833	568
MEPE	0	0	0	0	0	0
MERTK	43	23	50	27	24	1
MESD	973	1153	802	964	767	887
MESP1	36	98	50	48	52	5
MESP2	7	0	0	14	21	0
MEST	9	5	5	0	17	0
MET	292	426	351	321	353	304
METAP1	333	471	366	349	252	219
METAP1D	28	57	33	67	14	16
METAP2	3602	4424	3321	3853	3204	2879
METRN	7	36	14	15	3	5
METRNL	0	0	0	0	0	0
METTL1	328	600	374	850	664	689
METTL13	416	493	401	541	460	302
METTL14	129	113	154	138	163	93
METTL15	230	324	206	257	284	190
METTL16	528	549	389	562	619	383
METTL17	818	984	595	1372	1294	1072
METTL18	31	57	29	108	97	55
METTL21A	231	335	226	286	227	273
METTL21C	0	0	0	0	0	0
METTL22	108	179	164	171	175	91
METTL23	532	694	635	512	452	317
METTL24	0	0	0	0	0	0
METTL25	129	219	196	227	150	70
METTL25B	274	247	283	290	285	171
METTL26	4469	5653	4335	4289	3611	2526
METTL27	0	7	0	5	0	0
METTL2A	662	735	528	957	679	468
METTL2B	719	1006	813	994	860	574
METTL3	497	551	365	834	521	317
METTL4	36	88	37	56	49	7
METTL5	1366	1805	1186	920	935	763
METTL6	597	651	497	619	571	448
METTL7A	564	694	513	423	371	298
METTL7B	48	69	38	39	41	0
METTL8	428	365	286	424	470	314
METTL9	4	4	0	0	0	0
MEX3A	149	245	186	180	177	200
MEX3B	41	71	83	58	100	66
MEX3C	132	131	103	188	127	196
MEX3D	299	247	122	120	98	64
MFAP1	377	438	281	292	254	263
MFAP2	0	0	0	0	0	0
MFAP3	161	191	93	232	191	149
MFAP3L	48	26	23	0	1	0
MFAP4	5	0	16	0	0	0
MFAP5	3	0	0	0	0	0
MFF	1007	1004	777	587	428	469
MFGE8	136	297	156	225	148	154
MFHAS1	0	1	3	6	0	0
MFN1	292	336	487	221	237	215
MFN2	959	1175	894	867	808	386
MFNG	0	2	0	7	0	0
MFRP	0	0	0	0	0	0
MFSD1	322	398	364	259	168	298
MFSD10	716	809	616	560	440	392
MFSD11	318	448	414	539	447	413
MFSD12	915	1082	794	755	767	606
MFSD13A	104	124	138	86	88	54
MFSD14A	172	238	162	132	112	132
MFSD14B	312	387	307	311	282	158
MFSD2A	139	182	135	207	350	238
MFSD2B	17	7	0	0	1	0
MFSD3	833	1096	850	893	869	409
MFSD4A	32	12	23	15	35	0
MFSD4B	173	206	170	266	150	193
MFSD5	261	386	357	348	219	125
MFSD6	26	81	42	38	40	81
MFSD6L	0	0	0	0	0	0
MFSD8	109	98	113	75	137	117
MFSD9	91	87	95	132	52	32
MGA	187	218	162	233	161	226
MGAM	0	0	0	0	0	0
MGAM2	0	0	0	0	0	0
MGARP	18	70	35	18	9	15
MGAT1	250	461	294	159	130	194
MGAT2	141	244	194	157	84	35
MGAT3	0	0	0	1	0	0
MGAT4A	119	144	67	112	31	112
MGAT4B	0	10	11	0	10	0
MGAT4C	0	0	0	0	0	0
MGAT4D	0	0	0	0	0	0
MGAT5	184	327	192	138	158	45
MGAT5B	16	10	6	0	0	0
MGLL	35	60	76	21	43	17
MGME1	255	301	224	344	272	295
MGMT	680	692	609	593	707	529
MGP	0	0	0	0	0	0
MGRN1	202	200	260	112	200	54
MGST1	1654	1776	1554	1253	1134	856
MGST2	1464	1786	1175	1246	1145	723
MGST3	1194	1572	1205	1306	1054	643
MIA	0	0	0	0	0	0
MIA-RAB4B	128	168	158	195	209	112
MIA2	24	55	28	60	89	118
MIA3	83	161	107	135	310	153
MIB1	638	590	484	449	381	330
MIB2	120	100	167	48	39	34
MICA	0	0	0	0	0	0
MICAL1	24	18	7	2	0	24
MICAL2	39	46	42	59	24	21
MICAL3	178	182	175	220	244	166
MICALL1	493	628	503	370	359	420
MICALL2	2	16	15	69	7	17
MICB	0	0	0	0	0	0
MICOS10	3659	4062	2927	2950	2565	1847
MICOS10-NBL1	47521	57091	41052	40588	39636	28549
MICOS13	929	1405	940	1301	1268	1141
MICU1	501	712	535	587	565	401
MICU2	486	563	570	529	560	595
MICU3	10	24	27	105	38	38
MID1	391	520	327	416	249	280
MID1IP1	258	168	212	360	374	131
MID2	112	171	185	115	185	128
MIDEAS	170	204	167	226	112	100
MIDN	3254	4642	4002	3954	3526	2693
MIEF1	1532	1857	1663	2137	1872	1558
MIEF2	0	0	0	0	0	0
MIEN1	1608	1963	1521	1414	1150	878
MIER1	525	675	724	668	709	553
MIER2	82	139	145	77	82	70
MIER3	176	312	206	148	168	150
MIF	23	1	27	45	7	1
MIF4GD	1097	895	869	685	701	581
MIGA1	200	160	115	178	95	53
MIGA2	81	142	253	118	171	50
MIIP	203	208	53	263	166	220
MILR1	0	0	0	0	0	0
MINAR1	16	6	0	30	1	1
MINAR2	0	0	0	0	0	0
MINDY1	35	20	73	24	55	14
MINDY2	485	662	600	412	612	578
MINDY3	494	511	364	533	480	411
MINDY4	37	2	7	44	0	2
MINDY4B	0	0	0	0	0	0
MINK1	9	44	23	12	1	23
MINPP1	297	387	324	233	197	246
MIOS	83	72	57	163	79	134
MIOX	0	0	0	0	0	0
MIP	8	6	0	1	0	0
MIPEP	159	216	202	276	307	156
MIPOL1	76	65	73	107	83	42
MIS12	317	264	280	705	574	394
MIS18A	2141	3107	2082	2021	2018	1449
MIS18BP1	262	459	299	304	265	253
MISP	0	7	0	0	0	0
MISP3	0	0	0	0	0	0
MITD1	280	288	322	405	385	215
MITF	139	138	95	63	154	71
MIX23	2430	2909	2187	1990	1696	1758
MIXL1	34	2	0	0	0	0
MKI67	1750	1933	1808	3657	3895	3009
MKKS	867	896	773	679	666	578
MKLN1	526	571	590	813	847	521
MKNK1	323	306	286	317	286	106
MKNK2	598	732	632	248	193	128
MKRN1	746	1198	1000	1008	1001	662
MKRN2	580	540	398	732	480	632
MKRN2OS	0	6	0	15	0	0
MKRN3	0	0	5	18	0	0
MKS1	222	309	272	290	312	191
MKX	0	0	0	0	0	0
MLANA	0	0	0	0	0	0
MLC1	0	0	0	0	0	0
MLEC	2127	2368	1962	1528	1376	1525
MLF1	244	317	252	198	86	157
MLF2	3250	4829	3508	3385	2835	2059
MLH1	235	284	251	297	466	256
MLH3	70	57	66	93	55	6
MLIP	0	0	0	0	0	0
MLKL	38	60	22	118	47	75
MLLT1	342	547	446	279	210	158
MLLT10	413	455	329	443	293	241
MLLT11	1641	2040	1408	966	1006	892
MLLT3	156	180	62	264	178	160
MLLT6	0	0	0	0	0	0
MLN	0	0	0	0	0	0
MLPH	0	0	0	0	0	0
MLST8	651	905	627	664	416	559
MLX	1069	1379	1216	1433	1097	873
MLXIP	262	308	307	208	179	141
MLXIPL	24	3	12	13	15	41
MLYCD	101	110	86	75	156	17
MMAA	12	13	15	82	25	7
MMAB	953	1326	896	893	1049	664
MMACHC	412	392	311	294	296	324
MMADHC	1359	1880	1376	1460	1529	1226
MMD	24	40	40	28	26	40
MMD2	0	0	0	0	0	0
MME	58	57	44	50	75	115
MMEL1	0	0	0	0	0	0
MMGT1	1053	1426	1168	726	760	565
MMP1	0	0	0	0	0	0
MMP10	0	0	17	0	0	0
MMP11	0	0	0	0	0	0
MMP12	0	0	0	0	0	0
MMP13	0	0	0	0	0	0
MMP14	0	0	0	0	0	0
MMP15	70	55	33	5	50	14
MMP16	0	7	0	0	0	0
MMP17	3	22	9	0	0	0
MMP19	0	0	0	0	0	0
MMP2	7	11	27	24	0	0
MMP20	0	0	0	0	0	0
MMP21	0	0	0	0	0	0
MMP23B	0	0	0	0	0	0
MMP24	16	0	0	0	0	0
MMP24OS	753	981	603	793	539	444
MMP25	0	6	18	0	0	0
MMP26	0	0	0	0	0	0
MMP27	0	0	0	0	0	0
MMP28	5	24	12	40	0	14
MMP3	0	0	0	0	0	0
MMP7	0	0	0	0	0	0
MMP8	0	0	0	0	0	0
MMP9	32	12	27	21	29	0
MMRN1	0	0	0	0	0	0
MMRN2	0	0	0	0	0	0
MMS19	915	1119	737	893	872	557
MMS22L	436	569	386	535	586	376
MMUT	340	588	335	515	461	335
MN1	1	6	7	5	23	11
MNAT1	273	375	241	322	220	113
MND1	347	474	304	472	392	217
MNDA	0	0	0	0	0	0
MNS1	37	58	61	34	29	45
MNT	124	174	98	59	132	97
MNX1	720	1046	709	1066	607	683
MOAP1	0	0	0	0	0	0
MOB1A	667	812	651	422	413	227
MOB1B	18	34	88	21	34	23
MOB2	136	164	142	229	76	184
MOB3A	17	86	23	48	0	24
MOB3B	89	137	97	104	42	96
MOB3C	13	1	0	0	9	0
MOB4	564	785	503	660	648	404
MOBP	0	0	0	0	0	0
MOCOS	3	27	8	37	10	18
MOCS1	132	142	116	227	188	190
MOCS2	1379	1529	1318	1185	1023	940
MOCS3	297	256	335	343	360	230
MOG	0	0	0	0	0	0
MOGAT1	0	0	0	0	0	0
MOGAT2	0	0	0	0	0	0
MOGAT3	0	0	0	0	0	0
MOGS	449	697	444	572	467	364
MOK	118	233	91	200	165	198
MON1A	72	150	82	66	159	113
MON1B	697	584	583	608	608	478
MON2	250	296	192	257	320	189
MORC1	0	0	0	0	0	0
MORC2	399	530	337	387	375	259
MORC3	111	123	114	163	203	125
MORC4	339	501	382	286	293	240
MORF4L1	4894	7675	6338	6099	5733	3868
MORF4L2	2567	3360	2941	3211	2864	2697
MORN1	226	238	298	200	178	181
MORN2	390	518	541	346	186	277
MORN3	0	0	0	0	0	0
MORN4	173	119	142	195	165	89
MORN5	0	1	0	0	0	0
MOSMO	0	0	0	0	0	0
MOSPD1	175	170	119	160	86	52
MOSPD2	220	224	216	234	291	220
MOSPD3	229	336	255	330	260	195
MOV10	308	330	288	401	392	361
MOV10L1	0	0	1	0	0	0
MOXD1	315	329	282	401	332	224
MPC1	1167	1138	821	694	750	548
MPC1L	0	0	0	0	0	0
MPC2	2082	2283	1605	1459	1290	1126
MPDU1	564	728	586	594	596	476
MPDZ	133	222	196	214	178	180
MPEG1	0	0	0	0	0	0
MPG	1180	1221	963	787	597	342
MPHOSPH10	836	895	857	1276	838	704
MPHOSPH6	800	1024	696	800	794	659
MPHOSPH8	333	400	245	454	515	246
MPHOSPH9	703	912	654	730	764	455
MPI	1087	1355	1022	1152	921	857
MPIG6B	0	0	0	0	0	0
MPL	0	4	8	10	0	0
MPLKIP	1097	1611	1193	1073	926	1009
MPND	65	164	91	112	83	71
MPO	0	0	0	0	0	0
MPP1	628	644	507	563	472	490
MPP2	312	483	266	243	336	159
MPP3	14	18	11	12	39	1
MPP4	0	0	0	0	0	0
MPP7	173	181	140	92	98	59
MPPE1	67	101	31	71	98	87
MPPED1	12	0	0	0	0	0
MPPED2	44	25	54	83	50	59
MPRIP	1094	1627	1150	723	811	457
MPST	856	1030	649	876	607	672
MPV17	736	743	643	707	751	610
MPV17L	0	0	0	0	0	0
MPV17L2	636	838	675	1118	919	700
MPZ	0	0	0	0	0	0
MPZL1	862	1134	885	837	571	554
MPZL2	109	148	114	126	64	18
MPZL3	38	61	21	76	49	13
MR1	39	51	78	56	42	46
MRAP	0	0	0	0	0	0
MRAP2	14	50	24	33	25	18
MRAS	22	25	4	42	0	18
MRC1	0	0	0	0	0	0
MRC2	55	83	34	3	0	1
MRE11	849	878	728	833	746	555
MREG	107	118	74	102	69	15
MRFAP1	8527	9994	7421	7591	7090	5380
MRFAP1L1	777	772	655	657	321	404
MRGBP	304	468	337	364	218	261
MRGPRE	0	0	0	0	0	0
MRGPRF	0	0	0	0	0	0
MRGPRX1	0	0	0	0	0	0
MRGPRX2	0	0	0	0	0	0
MRGPRX3	0	0	0	0	0	0
MRGPRX4	0	0	0	0	0	0
MRI1	926	1126	926	945	873	644
MRLN	2	0	0	0	0	0
MRM1	8	3	18	12	0	0
MRM2	820	1140	993	909	978	780
MRM3	426	420	343	489	508	356
MRNIP	0	0	0	0	0	0
MRO	0	0	0	0	0	0
MROH1	25	28	40	1	1	20
MROH2A	0	0	0	0	0	0
MROH2B	0	0	0	0	0	0
MROH5	5	0	0	0	0	0
MROH6	0	0	0	0	0	0
MROH7	0	0	0	0	0	0
MROH7-TTC4	234	376	336	452	384	253
MROH8	0	3	2	0	0	0
MROH9	0	0	0	0	0	0
MRPL1	383	590	356	506	431	323
MRPL10	946	1242	1058	1165	851	723
MRPL11	1231	1826	1332	1181	1181	919
MRPL12	1349	1769	1250	1190	1325	1178
MRPL13	2172	2312	2211	1971	1978	1580
MRPL14	3120	3582	2617	2711	2473	2306
MRPL15	1426	1777	1256	1508	1778	1305
MRPL16	1634	1578	1411	1536	1190	1198
MRPL17	1130	1456	900	1182	924	971
MRPL18	2118	2871	1960	2127	1873	1627
MRPL19	1362	1324	1050	1088	1035	589
MRPL2	565	828	650	932	865	931
MRPL20	8559	10472	7594	7093	6814	5771
MRPL21	5088	6112	4496	4597	3979	2853
