gene_name	DMSO-P0-1	DMSO-P0-2	DMSO-P0-3	TPG-P0-1	TPG-P0-2	TPG-P0-3
ADAMTS13	0	0	0	0	0	0
ADAMTS14	0	0	2	0	1	0
ADAMTS15	24	52	22	24	27	16
ADAMTS16	0	1	0	0	0	0
ADAMTS17	76	171	82	107	156	79
ADAMTS18	0	5	2	0	0	0
ADAMTS19	47	59	7	12	85	0
ADAMTS2	20	22	21	4	22	0
ADAMTS20	21	2	15	16	0	1
ADAMTS3	3	17	22	0	0	1
ADAMTS4	0	4	4	0	0	0
ADAMTS5	0	0	0	0	0	0
ADAMTS6	16	1	0	0	0	0
ADAMTS7	0	1	0	0	0	0
ADAMTS8	14	25	24	0	0	12
ADAMTS9	0	8	22	0	0	17
ADAMTSL1	0	14	5	0	0	0
ADAMTSL2	0	0	0	0	0	0
ADAMTSL3	0	0	0	0	0	0
ADAMTSL4	0	0	0	0	0	0
ADAMTSL5	3	1	11	2	2	34
ADAP1	7	0	11	1	0	0
ADAP2	111	84	67	8	21	23
ADAR	395	607	397	237	315	268
ADARB1	49	53	58	104	15	80
ADARB2	0	0	0	0	0	0
ADAT1	117	165	208	67	180	253
ADAT2	43	72	68	62	51	42
ADAT3	37	132	75	88	41	67
ADCK1	13	18	7	6	2	17
ADCK2	201	254	113	142	144	64
ADCK5	0	0	0	0	0	0
ADCY1	13	96	95	62	41	42
ADCY10	11	10	6	0	0	0
ADCY2	0	0	0	0	0	0
ADCY3	80	97	62	28	29	2
ADCY4	0	0	0	0	0	0
ADCY5	3	0	9	0	0	0
ADCY6	13	9	0	0	1	0
ADCY7	8	29	0	1	0	8
ADCY8	0	0	0	0	0	0
ADCY9	79	167	87	57	52	57
ADCYAP1	0	0	0	0	0	0
ADCYAP1R1	0	0	0	6	0	0
ADD1	162	190	236	124	140	164
ADD2	108	129	62	77	97	58
ADD3	259	316	229	255	87	87
ADGB	0	0	0	0	0	0
ADGRA1	0	0	0	0	0	0
ADGRA2	13	28	5	0	0	0
ADGRA3	80	53	68	47	41	39
ADGRB1	0	0	10	0	0	0
ADGRB2	0	1	0	0	0	0
ADGRB3	0	0	0	0	0	0
ADGRD1	0	0	0	0	0	0
ADGRD2	0	0	0	0	0	0
ADGRE1	0	0	0	0	0	0
ADGRE2	0	0	14	2	0	0
ADGRE3	9	9	16	16	11	10
ADGRE5	59	52	58	52	68	27
ADGRF1	0	0	0	0	0	0
ADGRF3	0	0	0	0	0	0
ADGRF4	7	0	0	16	0	0
ADGRF5	0	0	0	0	0	0
ADGRG1	0	0	0	0	0	0
ADGRG2	0	0	0	0	0	0
ADGRG3	1	0	0	0	0	0
ADGRG4	0	0	0	0	0	0
ADGRG5	0	0	0	0	0	0
ADGRG6	12	21	24	20	0	0
ADGRG7	0	0	0	0	0	0
ADGRL1	0	0	1	0	0	0
ADGRL2	237	295	197	210	72	45
ADGRL3	29	16	35	0	6	5
ADGRL4	0	0	0	0	0	0
ADGRV1	85	109	99	56	166	72
ADH1A	0	0	0	0	0	0
ADH1B	0	0	0	0	0	0
ADH1C	0	0	0	0	0	0
ADH4	0	0	0	0	0	0
ADH5	245	190	168	137	162	73
ADH6	0	0	0	0	0	0
ADH7	0	0	0	0	0	0
ADHFE1	3	0	0	0	0	16
ADI1	0	0	0	0	0	0
ADIG	0	0	0	0	0	0
ADIPOQ	0	0	0	0	0	0
ADIPOR1	159	166	89	139	68	76
ADIPOR2	0	0	16	0	0	0
ADIRF	0	0	0	0	1	0
ADK	314	531	417	544	299	346
ADM	77	129	118	130	224	126
ADM2	0	0	0	0	0	0
ADM5	3	6	0	18	14	1
ADNP	455	588	424	440	317	325
ADNP2	623	776	567	597	638	452
ADO	573	912	606	681	516	553
ADORA1	0	11	4	0	0	0
ADORA2A	10	50	15	31	26	0
ADORA2B	146	101	102	124	73	46
ADORA3	0	0	0	0	0	0
ADPGK	176	212	139	251	198	124
ADPRH	0	0	0	0	0	0
ADPRHL1	1	14	6	0	28	0
ADPRM	117	49	55	252	60	146
ADPRS	547	642	477	775	572	326
ADRA1A	0	0	0	0	0	0
ADRA1B	21	1	8	0	0	4
ADRA1D	0	0	0	3	0	0
ADRA2A	0	9	3	0	3	0
ADRA2B	0	0	0	0	0	0
ADRA2C	80	124	131	32	45	96
ADRB1	22	9	4	0	1	0
ADRB2	10	0	0	0	20	35
ADRB3	0	0	0	0	0	0
ADRM1	683	754	516	566	652	444
ADSL	461	525	359	516	373	362
ADSS1	0	29	0	1	3	0
ADSS2	216	217	125	224	205	96
ADTRP	0	0	0	0	0	0
AEBP1	0	0	0	0	0	0
AEBP2	104	240	75	130	140	129
AEN	669	789	700	927	765	638
AFAP1	1	27	21	44	40	9
AFAP1L1	13	32	15	23	0	0
AFAP1L2	0	11	0	1	0	0
AFDN	79	103	46	90	59	80
AFF1	16	54	52	75	60	33
AFF2	4	10	19	10	22	0
AFF3	60	63	82	42	48	76
AFF4	201	69	132	158	108	57
AFG1L	34	25	24	0	0	14
AFG3L2	321	416	229	503	341	299
AFM	0	0	0	0	0	0
AFMID	229	289	276	236	165	270
AFP	0	0	0	0	0	0
AFTPH	230	288	178	317	294	246
AGA	47	73	76	115	66	85
AGAP1	151	168	169	121	209	37
AGAP2	0	0	0	0	0	0
AGAP3	180	185	203	181	204	128
AGAP4	0	0	0	0	0	0
AGAP5	1	0	0	0	0	0
AGAP6	9	13	7	33	5	46
AGAP9	0	0	0	0	0	29
AGBL1	0	0	0	0	0	0
AGBL2	0	0	0	0	0	0
AGBL3	0	7	0	0	0	0
AGBL4	6	20	26	19	10	0
AGBL5	13	52	52	15	30	1
AGER	0	0	0	0	0	0
AGFG1	194	222	192	124	71	90
AGFG2	34	29	11	72	0	37
AGGF1	636	766	668	484	362	488
AGK	7	12	32	7	7	18
AGL	93	86	70	104	55	78
AGMAT	0	0	0	0	0	0
AGMO	0	0	0	0	0	0
AGO1	81	115	98	56	98	48
AGO2	313	340	225	267	165	146
AGO3	114	153	103	98	144	64
AGO4	16	17	20	6	11	1
AGPAT1	0	0	0	0	0	0
AGPAT2	151	144	121	174	118	77
AGPAT3	357	634	435	441	338	205
AGPAT4	38	17	2	63	31	11
AGPAT5	0	0	4	0	0	0
AGPS	60	192	102	59	34	5
AGR2	0	0	0	0	0	0
AGR3	0	0	0	0	0	0
AGRN	7	22	24	0	6	0
AGRP	0	0	0	0	0	0
AGT	0	0	0	0	0	0
AGTPBP1	37	51	16	22	43	6
AGTR1	0	0	0	0	0	0
AGTR2	0	0	0	0	0	0
AGTRAP	130	139	87	102	70	103
AGXT	0	0	0	0	0	0
AGXT2	0	0	0	0	0	0
AHCTF1	30	45	46	84	61	6
AHCY	132	256	193	301	275	191
AHCYL1	573	744	606	432	445	302
AHCYL2	6	54	9	15	14	5
AHDC1	23	102	42	19	32	5
AHI1	108	140	183	186	118	91
AHNAK	9	38	4	5	4	5
AHNAK2	2	0	0	0	8	0
AHR	85	71	90	119	118	27
AHRR	15	7	37	5	2	0
AHSA1	376	476	433	466	482	288
AHSG	0	0	0	0	0	0
AHSP	0	0	0	0	0	0
AICDA	0	0	0	0	0	0
AIDA	19	38	20	17	0	0
AIF1	0	0	0	0	0	0
AIF1L	74	177	105	21	108	144
AIFM1	296	300	233	293	331	354
AIFM2	18	98	60	81	68	98
AIFM3	0	0	0	0	0	0
AIG1	194	239	281	233	159	226
AIM2	0	0	0	0	0	0
AIMP1	82	100	201	125	100	77
AIMP2	589	704	464	792	597	411
AIP	96	104	96	68	124	63
AIPL1	0	0	0	0	0	0
AIRE	0	0	0	0	0	0
AJAP1	0	0	0	0	0	0
AJM1	0	0	0	0	0	0
AJUBA	113	96	69	115	107	117
AK1	56	71	64	87	45	34
AK2	676	804	550	768	764	622
AK3	323	287	192	157	154	84
AK4	93	156	86	101	58	55
AK4P3	0	0	0	0	0	0
AK5	0	0	8	6	0	0
AK6	0	0	0	0	0	0
AK7	0	22	9	34	27	0
AK8	0	0	0	0	0	0
AK9	6	11	5	15	0	0
AKAIN1	0	0	0	0	0	0
AKAP1	319	399	361	301	238	221
AKAP10	173	295	176	221	140	50
AKAP11	33	80	36	41	49	30
AKAP12	91	87	97	108	103	104
AKAP13	173	216	187	305	368	204
AKAP14	0	0	0	0	0	0
AKAP17A	0	0	0	0	0	0
AKAP3	2	16	13	24	0	1
AKAP4	0	0	0	0	0	0
AKAP5	35	47	11	62	1	1
AKAP6	0	5	0	25	1	0
AKAP7	40	9	9	56	0	18
AKAP8	301	297	282	387	232	129
AKAP8L	41	72	119	43	52	0
AKAP9	768	873	606	979	516	302
AKIP1	232	222	157	272	263	243
AKIRIN1	1669	1967	1466	967	774	827
AKIRIN2	193	251	212	221	168	125
AKNA	5	20	0	3	24	6
AKNAD1	0	0	0	0	0	0
AKR1A1	161	283	170	268	203	279
AKR1B1	348	286	228	304	350	313
AKR1B10	0	0	0	0	0	0
AKR1B15	0	0	0	0	0	0
AKR1C1	0	0	0	0	0	0
AKR1C2	9	0	0	0	0	0
AKR1C3	0	0	0	0	0	0
AKR1C4	0	0	0	0	0	0
AKR1C8P	0	0	0	0	0	0
AKR1D1	0	0	0	0	0	0
AKR1E2	0	0	0	0	0	0
AKR7A2	216	282	259	258	307	180
AKR7A3	0	0	0	21	4	0
AKR7L	0	0	0	0	0	0
AKT1	224	280	243	150	97	45
AKT1S1	16	7	24	13	8	0
AKT2	467	622	445	575	300	250
AKT3	0	0	0	0	0	0
AKTIP	7	23	71	12	1	0
ALAD	62	35	33	67	37	62
ALAS1	172	148	91	215	160	113
ALAS2	0	0	0	0	0	0
ALB	0	0	0	0	0	0
ALCAM	39	123	19	45	58	126
ALDH16A1	41	47	59	73	131	1
ALDH18A1	204	334	356	237	192	300
ALDH1A1	0	0	0	0	0	0
ALDH1A2	290	405	278	496	284	273
ALDH1A3	0	0	1	11	4	0
ALDH1B1	266	246	206	296	174	85
ALDH1L1	0	5	0	3	0	0
ALDH1L2	0	4	0	9	2	0
ALDH2	71	78	39	165	14	79
ALDH3A1	0	0	7	0	0	0
ALDH3A2	400	345	285	154	188	84
ALDH3B1	6	0	7	0	0	0
ALDH3B2	0	0	0	0	0	0
ALDH4A1	20	10	47	105	32	18
ALDH5A1	208	224	124	193	139	69
ALDH6A1	69	101	146	67	107	3
ALDH7A1	363	414	286	511	300	339
ALDH8A1	0	0	0	0	0	0
ALDH9A1	505	406	361	640	370	372
ALDOA	952	1015	761	1030	804	666
ALDOB	0	0	0	0	0	0
ALDOC	16	10	21	4	70	12
ALG1	119	154	111	117	61	177
ALG10	46	23	48	0	12	26
ALG10B	73	66	72	126	54	43
ALG11	743	1038	693	1055	909	608
ALG12	43	121	47	104	72	27
ALG13	293	449	384	555	551	357
ALG14	173	165	122	178	152	71
ALG1L2	0	0	0	0	0	0
ALG2	345	501	402	362	458	379
ALG3	225	351	181	248	195	267
ALG5	323	463	374	479	320	394
ALG6	63	47	29	43	21	1
ALG8	62	177	82	97	49	2
ALG9	65	116	86	69	89	74
ALK	0	0	0	0	0	0
ALKAL1	8	13	19	1	0	0
ALKAL2	0	0	4	0	0	0
ALKBH1	44	72	36	84	70	44
ALKBH2	162	289	287	254	69	172
ALKBH3	185	201	127	199	77	102
ALKBH4	485	666	368	559	358	338
ALKBH5	735	1025	778	460	489	400
ALKBH6	91	169	135	110	82	218
ALKBH7	45	52	56	57	38	52
ALKBH8	148	190	89	103	187	179
ALLC	0	0	0	0	0	0
ALMS1	97	102	78	147	88	16
ALOX12	0	0	0	0	0	0
ALOX12B	0	13	20	45	14	11
ALOX15	0	0	0	0	0	0
ALOX15B	0	0	0	0	0	0
ALOX5	0	0	0	0	0	0
ALOX5AP	0	0	0	0	0	0
ALOXE3	1	5	0	0	0	0
ALPG	0	0	0	0	0	0
ALPI	0	0	0	0	0	0
ALPK1	6	23	26	12	0	39
ALPK2	0	0	0	0	0	0
ALPK3	0	0	0	0	0	0
ALPL	0	3	0	0	0	0
ALPP	8	3	0	7	0	0
ALS2	75	89	75	65	118	86
ALS2CL	0	0	0	0	0	0
ALX1	69	96	74	123	154	88
ALX3	0	0	0	0	0	0
ALX4	37	33	41	9	35	56
ALYREF	259	491	298	348	325	272
AMACR	94	108	69	229	88	62
AMBN	0	17	0	8	0	0
AMBP	0	0	0	0	0	0
AMBRA1	0	34	4	21	21	6
AMD1	1399	1766	1265	942	933	648
AMDHD1	0	14	1	0	14	0
AMDHD2	36	68	27	48	28	22
AMELX	0	0	0	0	0	0
AMELY	0	0	0	0	0	0
AMER1	15	22	5	24	0	0
AMER2	3	0	5	6	0	0
AMER3	0	0	0	0	0	0
AMFR	139	169	190	148	90	68
AMH	0	0	10	0	0	0
AMHR2	0	8	5	23	24	29
AMIGO1	28	9	15	4	21	14
AMIGO2	37	42	20	17	16	5
AMIGO3	24	7	14	33	24	51
AMMECR1	128	109	149	58	108	0
AMMECR1L	109	168	192	257	366	195
AMN	0	0	0	0	0	0
AMN1	30	18	22	27	18	10
AMOT	28	75	53	135	34	15
AMOTL1	254	243	152	125	125	102
AMOTL2	240	334	313	391	292	187
AMPD1	0	16	0	7	0	0
AMPD2	166	229	58	140	95	50
AMPD3	8	0	14	0	0	7
AMPH	19	25	11	6	0	42
AMT	0	0	0	0	0	0
AMTN	0	0	0	0	0	0
AMY1A	0	0	0	0	0	0
AMY1B	0	0	0	0	0	0
AMY1C	0	0	0	0	0	0
AMY2A	0	0	0	0	0	0
AMY2B	0	0	0	0	0	0
AMZ1	0	0	0	0	0	0
AMZ2	247	203	134	77	110	112
ANAPC1	39	32	12	19	36	2
ANAPC10	298	235	186	221	213	180
ANAPC11	459	432	306	366	219	343
ANAPC13	260	321	265	249	124	271
ANAPC15	164	147	120	107	48	87
ANAPC16	299	303	238	127	91	127
ANAPC2	0	0	0	0	0	0
ANAPC4	27	48	71	69	35	54
ANAPC5	515	498	277	284	323	249
ANAPC7	186	263	154	229	168	139
ANG	24	23	0	52	22	48
ANGEL1	37	36	10	81	19	17
ANGEL2	61	53	41	114	70	35
ANGPT1	8	0	0	0	0	0
ANGPT2	0	0	0	0	0	34
ANGPT4	0	0	0	0	0	0
ANGPTL1	0	0	0	0	0	0
ANGPTL2	0	0	3	0	0	0
ANGPTL3	0	0	0	0	0	0
ANGPTL4	0	0	0	0	0	0
ANGPTL5	0	0	0	0	0	0
ANGPTL6	0	0	0	0	0	0
ANGPTL7	0	0	0	0	0	0
ANGPTL8	0	0	0	0	0	0
ANHX	0	0	0	0	0	0
ANK1	4	13	14	8	0	0
ANK2	0	7	6	0	1	1
ANK3	80	169	75	111	108	63
ANKAR	0	10	2	0	0	0
ANKDD1A	0	0	0	0	0	0
ANKDD1B	5	0	0	2	0	0
ANKEF1	24	10	13	0	0	0
ANKFN1	0	0	0	0	0	0
ANKFY1	98	183	81	102	154	28
ANKH	593	648	598	532	460	349
ANKHD1	555	764	544	582	800	825
ANKHD1-EIF4EBP3	33	61	30	54	49	29
ANKIB1	197	230	79	102	69	12
ANKK1	0	0	0	0	0	0
ANKLE1	0	0	8	0	0	0
ANKLE2	188	227	200	266	166	182
ANKMY1	38	26	13	34	39	6
ANKMY2	69	74	74	83	77	66
ANKRA2	22	27	24	49	19	17
ANKRD1	20	34	12	26	4	74
ANKRD10	134	107	91	44	36	107
ANKRD11	1041	1189	893	1125	1028	1028
ANKRD12	470	626	546	657	611	434
ANKRD13A	61	126	34	81	69	9
ANKRD13B	31	56	36	75	5	0
ANKRD13C	107	76	87	11	51	34
ANKRD13D	20	63	12	33	1	1
ANKRD16	57	59	64	98	2	21
ANKRD17	105	177	160	103	117	114
ANKRD18A	0	0	0	0	0	0
ANKRD18B	1	15	30	9	0	0
ANKRD2	0	0	0	0	0	0
ANKRD20A1	0	0	0	0	0	0
ANKRD20A2P	0	0	0	0	0	0
ANKRD20A3P	0	0	0	0	0	0
ANKRD20A4P	8	0	2	2	0	0
ANKRD22	0	0	0	0	0	0
ANKRD23	0	0	0	0	0	0
ANKRD24	0	0	0	0	13	0
ANKRD26	306	438	215	287	206	339
ANKRD27	76	125	98	94	61	96
ANKRD28	135	187	135	67	156	109
ANKRD29	13	43	23	20	0	39
ANKRD30A	0	0	0	0	0	0
ANKRD30B	0	0	0	0	0	0
ANKRD30BL	0	0	0	0	0	0
ANKRD31	4	1	3	25	0	0
ANKRD33	0	0	0	0	0	0
ANKRD33B	63	197	107	33	62	51
ANKRD34A	48	26	33	20	13	0
ANKRD34B	17	12	32	0	0	0
ANKRD34C	0	0	0	0	0	0
ANKRD35	0	0	0	0	0	0
ANKRD36	0	0	0	0	0	0
ANKRD36B	5	6	3	0	5	0
ANKRD36C	48	23	16	0	21	0
ANKRD37	27	24	22	18	26	0
ANKRD39	103	183	105	78	139	11
ANKRD40	376	374	342	215	390	170
ANKRD40CL	0	0	0	0	0	0
ANKRD42	32	50	35	84	25	25
ANKRD44	20	11	2	29	15	30
ANKRD45	0	0	0	0	0	0
ANKRD46	80	182	84	114	68	37
ANKRD49	102	182	124	226	137	42
ANKRD50	94	28	52	43	43	19
ANKRD52	125	112	116	56	74	37
ANKRD53	0	0	0	0	0	0
ANKRD54	157	114	75	93	174	79
ANKRD55	0	0	0	0	0	1
ANKRD6	16	60	70	6	13	19
ANKRD61	0	0	4	0	0	11
ANKRD62	0	0	0	0	0	0
ANKRD63	16	17	28	0	21	30
ANKRD65	0	0	1	0	9	0
ANKRD66	0	0	0	0	0	0
ANKRD7	15	12	0	0	0	0
ANKRD9	55	99	94	54	70	65
ANKS1A	108	85	42	81	16	59
ANKS1B	2	8	0	0	0	0
ANKS3	54	41	36	27	87	21
ANKS4B	0	0	0	0	0	0
ANKS6	6	17	20	3	8	0
ANKUB1	0	0	0	0	0	0
ANKZF1	38	31	13	23	15	74
ANLN	152	185	129	95	97	96
ANO1	0	0	0	0	0	0
ANO10	30	48	33	30	12	0
ANO2	0	0	2	0	0	0
ANO3	0	0	0	0	0	0
